time,Chicago,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Thompson (D. Rose gains possession),,,,Jump ball: P. Gasol vs. T. Thompson (D. Rose gains possession)
11:42.0,P. Gasol misses 2-pt shot from 1 ft (block by T. Thompson),,0-0,,
11:41.0,,,0-0,,Defensive rebound by K. Love
11:36.0,,,0-0,,K. Irving misses 2-pt shot from 1 ft
11:34.0,Defensive rebound by T. Gibson,,0-0,,
11:28.0,D. Rose makes 2-pt shot from 20 ft,2,2-0,,
11:10.0,,,2-2,2,L. James makes 2-pt shot from 4 ft (assist by K. Love)
10:50.0,P. Gasol misses 3-pt shot from 24 ft,,2-2,,
10:49.0,,,2-2,,Defensive rebound by K. Love
10:24.0,,,2-2,,L. James misses 2-pt shot from 6 ft
10:22.0,,,2-2,,Offensive rebound by L. James
10:21.0,,,2-4,2,L. James makes 2-pt shot from 1 ft
10:03.0,P. Gasol misses 2-pt shot from 6 ft,,2-4,,
10:01.0,,,2-4,,Defensive rebound by K. Love
9:55.0,,,2-4,,K. Irving misses 2-pt shot from 9 ft
9:53.0,,,2-4,,Offensive rebound by K. Love
9:48.0,,,2-4,,K. Irving misses 2-pt shot from 12 ft
9:48.0,,,2-4,,Offensive rebound by Team
9:48.0,Personal foul by P. Gasol (drawn by T. Thompson),,2-4,,
9:37.0,,,2-4,,J. Smith misses 2-pt shot from 9 ft
9:36.0,Defensive rebound by P. Gasol,,2-4,,
9:28.0,D. Rose misses 2-pt shot from 16 ft,,2-4,,
9:27.0,,,2-4,,Defensive rebound by K. Love
9:18.0,,,2-6,2,L. James makes 2-pt shot from 18 ft (assist by K. Love)
9:07.0,T. Gibson misses 2-pt shot at rim,,2-6,,
9:06.0,,,2-6,,Defensive rebound by T. Thompson
9:01.0,,,2-8,2,L. James makes 2-pt shot from 1 ft
8:35.0,E. Moore misses 3-pt shot from 25 ft,,2-8,,
8:34.0,,,2-8,,Defensive rebound by K. Love
8:31.0,Personal block foul by M. Dunleavy (drawn by L. James),,2-8,,
8:26.0,,,2-8,,L. James misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by D. Rose,,2-8,,
8:16.0,M. Dunleavy misses 2-pt shot from 1 ft,,2-8,,
8:15.0,Offensive rebound by P. Gasol,,2-8,,
8:13.0,P. Gasol makes 2-pt shot from 6 ft,2,4-8,,
7:46.0,,,4-10,2,K. Irving makes 2-pt shot from 20 ft
