time,Denver,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Lauvergne vs. M. Plumlee (K. Faried gains possession),,,,Jump ball: J. Lauvergne vs. M. Plumlee (K. Faried gains possession)
11:40.0,Turnover by K. Papanikolaou (bad pass; steal by M. Plumlee),,0-0,,
11:27.0,,,0-0,,Turnover by N. Vonleh (bad pass; steal by G. Harris)
11:23.0,Shooting foul by A. Crabbe (drawn by G. Harris),,0-0,,
11:23.0,G. Harris misses free throw 1 of 2,,0-0,,
11:23.0,Offensive rebound by Team,,0-0,,
11:23.0,G. Harris makes free throw 2 of 2,1,1-0,,
11:06.0,,,1-0,,N. Vonleh misses 2-pt shot from 7 ft
11:06.0,Defensive rebound by K. Papanikolaou,,1-0,,
10:56.0,J. Lauvergne misses 2-pt shot from 2 ft,,1-0,,
10:54.0,Offensive rebound by J. Lauvergne,,1-0,,
10:54.0,J. Lauvergne misses 2-pt shot at rim,,1-0,,
10:53.0,Offensive rebound by K. Faried,,1-0,,
10:53.0,K. Faried misses 2-pt shot from 1 ft,,1-0,,
10:50.0,Offensive rebound by K. Faried,,1-0,,
10:50.0,K. Faried misses 2-pt shot at rim,,1-0,,
10:50.0,,,1-0,,Defensive rebound by N. Vonleh
10:33.0,,,1-2,2,A. Crabbe makes 2-pt shot from 18 ft (assist by N. Vonleh)
10:21.0,G. Harris makes 3-pt shot from 25 ft (assist by K. Faried),3,4-2,,
10:06.0,,,4-2,,M. Plumlee misses 2-pt shot from 2 ft
10:06.0,Defensive rebound by Team,,4-2,,
10:06.0,,,4-2,,Loose ball foul by N. Vonleh (drawn by K. Papanikolaou)
9:47.0,J. Lauvergne misses 2-pt shot from 12 ft,,4-2,,
9:45.0,,,4-2,,Defensive rebound by M. Plumlee
9:33.0,,,4-2,,A. Crabbe misses 2-pt shot from 20 ft
9:32.0,Defensive rebound by K. Faried,,4-2,,
9:20.0,J. Lauvergne makes 2-pt shot from 3 ft (assist by J. Nelson),2,6-2,,
9:09.0,,,6-2,,C. McCollum misses 2-pt shot from 18 ft
9:07.0,,,6-2,,Offensive rebound by M. Plumlee
8:56.0,,,6-4,2,A. Aminu makes 2-pt shot from 19 ft
8:38.0,J. Nelson makes 2-pt shot from 19 ft,2,8-4,,
8:26.0,,,8-4,,A. Crabbe misses 2-pt shot from 19 ft
8:25.0,Defensive rebound by K. Faried,,8-4,,
8:25.0,,,8-4,,Personal foul by M. Plumlee (drawn by K. Faried)
8:12.0,K. Papanikolaou misses 3-pt shot from 24 ft,,8-4,,
8:12.0,,,8-4,,Defensive rebound by C. McCollum
8:02.0,,,8-7,3,C. McCollum makes 3-pt shot from 22 ft (assist by A. Aminu)
7:50.0,J. Nelson makes 3-pt shot from 26 ft,3,11-7,,
7:37.0,,,11-7,,Turnover by M. Plumlee (bad pass; steal by J. Lauvergne)
7:19.0,Turnover by J. Lauvergne (lost ball; steal by N. Vonleh),,11-7,,
7:08.0,,,11-10,3,C. McCollum makes 3-pt shot from 24 ft (assist by M. Plumlee)
6:51.0,K. Faried misses 2-pt shot from 1 ft (block by M. Plumlee),,11-10,,
6:49.0,,,11-10,,Defensive rebound by C. McCollum
6:49.0,Personal take foul by J. Nelson (drawn by C. McCollum),,11-10,,
6:38.0,,,11-10,,C. McCollum misses 3-pt shot from 23 ft
6:38.0,,,11-10,,Offensive rebound by M. Plumlee
6:31.0,,,11-10,,A. Crabbe misses 3-pt shot from 23 ft
6:30.0,,,11-10,,Offensive rebound by N. Vonleh
6:11.0,,,11-10,,A. Aminu misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by J. Lauvergne,,11-10,,
6:03.0,Turnover by G. Harris (lost ball; steal by N. Vonleh),,11-10,,
5:57.0,,,11-12,2,C. McCollum makes 2-pt shot from 2 ft
5:44.0,J. Nelson misses 2-pt shot from 17 ft,,11-12,,
5:44.0,,,11-12,,Defensive rebound by Team
5:44.0,Loose ball foul by J. Lauvergne (drawn by M. Plumlee),,11-12,,
5:44.0,,,11-12,,Portland full timeout
5:44.0,W. Barton enters the game for K. Papanikolaou,,11-12,,
5:20.0,,,11-15,3,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Plumlee)
5:05.0,Turnover by W. Barton (lost ball),,11-15,,
4:54.0,,,11-15,,Turnover by C. McCollum (lost ball)
4:54.0,N. Jokic enters the game for J. Lauvergne,,11-15,,
4:54.0,,,11-15,,G. Henderson enters the game for A. Crabbe
4:33.0,G. Harris makes 2-pt shot from 18 ft,2,13-15,,
4:12.0,,,13-17,2,A. Aminu makes 2-pt shot from 2 ft
4:02.0,W. Barton makes 2-pt shot from 6 ft,2,15-17,,
3:45.0,,,15-17,,G. Henderson misses 2-pt shot from 21 ft
3:44.0,Defensive rebound by Team,,15-17,,
3:44.0,,,15-17,,E. Davis enters the game for N. Vonleh
3:44.0,,,15-17,,M. Leonard enters the game for M. Plumlee
3:44.0,R. Foye enters the game for K. Faried,,15-17,,
3:44.0,D. Arthur enters the game for J. Nelson,,15-17,,
3:28.0,R. Foye misses 3-pt shot from 24 ft,,15-17,,
3:26.0,Offensive rebound by G. Harris,,15-17,,
3:17.0,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton),2,17-17,,
3:05.0,,,17-19,2,A. Aminu makes 2-pt shot from 9 ft (assist by C. McCollum)
2:53.0,N. Jokic misses 2-pt shot from 19 ft,,17-19,,
2:52.0,Offensive rebound by N. Jokic,,17-19,,
2:49.0,W. Barton makes 3-pt shot from 24 ft (assist by N. Jokic),3,20-19,,
2:35.0,,,20-19,,A. Aminu misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by W. Barton,,20-19,,
2:26.0,D. Arthur misses 3-pt shot from 23 ft,,20-19,,
2:25.0,,,20-19,,Defensive rebound by M. Leonard
2:11.0,,,20-22,3,C. McCollum makes 3-pt shot from 24 ft
1:52.0,R. Foye makes 2-pt shot from 2 ft,2,22-22,,
1:34.0,,,22-22,,Turnover by G. Henderson (bad pass; steal by G. Harris)
1:26.0,W. Barton misses 3-pt shot from 24 ft,,22-22,,
1:24.0,,,22-22,,Defensive rebound by G. Henderson
1:19.0,,,22-22,,G. Henderson misses 2-pt shot at rim (block by D. Arthur)
1:18.0,Defensive rebound by W. Barton,,22-22,,
1:12.0,W. Barton makes 2-pt shot at rim,2,24-22,,
0:54.0,,,24-24,2,A. Aminu makes 2-pt shot from 8 ft
0:38.0,Turnover by N. Jokic (lost ball),,24-24,,
0:38.0,Denver full timeout,,24-24,,
0:38.0,,,24-24,,M. Harkless enters the game for A. Aminu
0:29.0,,,24-24,,M. Leonard misses 2-pt shot at rim
0:28.0,,,24-24,,Offensive rebound by E. Davis
0:28.0,,,24-24,,E. Davis misses 2-pt shot at rim
0:28.0,,,24-24,,Offensive rebound by M. Leonard
0:28.0,,,24-26,2,M. Leonard makes 2-pt shot at rim
0:16.0,D. Arthur misses 2-pt shot from 21 ft,,24-26,,
0:15.0,Offensive rebound by W. Barton,,24-26,,
0:02.0,D. Arthur makes 3-pt shot from 23 ft (assist by W. Barton),3,27-26,,
