time,Toronto,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. D. Jordan (J. Redick gains possession),,,,Jump ball: B. Biyombo vs. D. Jordan (J. Redick gains possession)
11:45.0,,,0-0,,J. Redick misses 2-pt shot from 21 ft
11:44.0,Defensive rebound by B. Biyombo,,0-0,,
11:25.0,K. Lowry misses 2-pt shot from 20 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by D. Jordan
11:12.0,,,0-0,,C. Paul misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by L. Scola,,0-0,,
11:00.0,D. Carroll makes 2-pt shot from 17 ft (assist by K. Lowry),2,2-0,,
10:38.0,,,2-3,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
10:21.0,K. Lowry misses 2-pt shot from 3 ft (block by D. Jordan),,2-3,,
10:19.0,,,2-3,,Defensive rebound by P. Pierce
10:13.0,,,2-3,,J. Redick misses 2-pt shot from 15 ft
10:11.0,Defensive rebound by L. Scola,,2-3,,
9:54.0,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry),2,4-3,,
9:49.0,,,4-5,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
9:21.0,D. Carroll makes 2-pt shot from 11 ft,2,6-5,,
9:04.0,,,6-7,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
8:47.0,D. DeRozan misses 2-pt shot from 19 ft,,6-7,,
8:47.0,,,6-7,,Defensive rebound by B. Griffin
8:40.0,,,6-9,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
8:20.0,K. Lowry misses 3-pt shot from 26 ft,,6-9,,
8:19.0,,,6-9,,Defensive rebound by D. Jordan
8:10.0,,,6-9,,Shooting foul by B. Biyombo (drawn by J. Redick)
8:10.0,,,6-10,1,J. Redick makes free throw 1 of 2
8:10.0,,,6-11,1,J. Redick makes free throw 2 of 2
7:54.0,D. DeRozan makes 2-pt shot from 9 ft,2,8-11,,
7:43.0,,,8-11,,Turnover by D. Jordan (lost ball; steal by K. Lowry)
7:32.0,L. Scola makes 3-pt shot from 25 ft (assist by D. DeRozan),3,11-11,,
7:24.0,,,11-14,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
7:11.0,,,11-14,,Def 3 sec tech foul by D. Jordan
7:11.0,D. DeRozan makes technical free throw,1,12-14,,
6:54.0,D. Carroll makes 2-pt shot from 7 ft,2,14-14,,
6:49.0,Personal foul by L. Scola (drawn by D. Jordan),,14-14,,
6:41.0,,,14-16,2,J. Redick makes 2-pt shot from 21 ft (assist by B. Griffin)
6:21.0,B. Biyombo makes 2-pt shot from 2 ft (assist by L. Scola),2,16-16,,
5:58.0,,,16-16,,B. Griffin misses 2-pt shot from 19 ft
5:57.0,Defensive rebound by B. Biyombo,,16-16,,
5:39.0,,,16-16,,Violation by D. Jordan (def goaltending)
5:39.0,D. Carroll makes 2-pt shot from 2 ft,2,18-16,,
5:30.0,,,18-16,,Turnover by J. Redick (lost ball; steal by D. Carroll)
5:28.0,L. Scola makes 2-pt shot from 2 ft (assist by K. Lowry),2,20-16,,
5:28.0,Shooting foul by B. Griffin (drawn by L. Scola),,20-16,,
5:28.0,,,20-16,,LA Clippers full timeout
5:28.0,L. Scola makes free throw 1 of 1,1,21-16,,
5:15.0,Personal foul by K. Lowry (drawn by C. Paul),,21-16,,
5:03.0,,,21-16,,B. Griffin misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by D. DeRozan,,21-16,,
4:53.0,D. DeRozan misses 2-pt shot from 14 ft,,21-16,,
4:51.0,Offensive rebound by B. Biyombo,,21-16,,
4:47.0,B. Biyombo misses 2-pt shot from 8 ft,,21-16,,
4:47.0,,,21-16,,Defensive rebound by D. Jordan
4:35.0,Def 3 sec tech foul by B. Biyombo,,21-16,,
4:35.0,,,21-17,1,J. Redick makes technical free throw
4:27.0,,,21-17,,Offensive foul by B. Griffin
4:27.0,,,21-17,,Turnover by B. Griffin (offensive foul)
4:27.0,,,21-17,,J. Smith enters the game for B. Griffin
4:08.0,L. Scola makes 2-pt shot from 3 ft (assist by K. Lowry),2,23-17,,
3:51.0,,,23-19,2,J. Smith makes 2-pt shot from 21 ft (assist by C. Paul)
3:31.0,L. Scola misses 3-pt shot from 25 ft,,23-19,,
3:30.0,Offensive rebound by D. Carroll,,23-19,,
3:27.0,Toronto full timeout,,23-19,,
3:27.0,,,23-19,,W. Johnson enters the game for P. Pierce
3:27.0,,,23-19,,J. Crawford enters the game for J. Redick
3:27.0,,,23-19,,A. Rivers enters the game for C. Paul
3:27.0,P. Patterson enters the game for L. Scola,,23-19,,
3:27.0,C. Joseph enters the game for D. DeRozan,,23-19,,
3:24.0,,,23-19,,Personal foul by J. Smith (drawn by P. Patterson)
3:11.0,K. Lowry misses 2-pt shot from 17 ft,,23-19,,
3:10.0,Offensive rebound by B. Biyombo,,23-19,,
3:07.0,B. Biyombo misses 2-pt shot from 1 ft,,23-19,,
3:06.0,Offensive rebound by P. Patterson,,23-19,,
3:03.0,P. Patterson makes 2-pt shot at rim,2,25-19,,
2:49.0,,,25-19,,Turnover by J. Smith (bad pass; steal by D. Carroll)
2:44.0,D. Carroll makes 2-pt shot from 3 ft (assist by K. Lowry),2,27-19,,
2:44.0,,,27-19,,LA Clippers full timeout
2:22.0,,,27-19,,W. Johnson misses 3-pt shot from 22 ft
2:21.0,,,27-19,,Offensive rebound by J. Smith
2:07.0,,,27-19,,J. Smith misses 3-pt shot from 26 ft
2:06.0,Defensive rebound by B. Biyombo,,27-19,,
1:49.0,D. Carroll makes 2-pt shot from 18 ft,2,29-19,,
1:27.0,,,29-21,2,J. Crawford makes 2-pt shot from 14 ft
1:04.0,C. Joseph misses 2-pt shot from 17 ft,,29-21,,
1:03.0,,,29-21,,Defensive rebound by D. Jordan
0:56.0,,,29-23,2,D. Jordan makes 2-pt shot at rim (assist by J. Smith)
0:39.0,C. Joseph misses 2-pt shot from 3 ft (block by J. Smith),,29-23,,
0:39.0,Offensive rebound by Team,,29-23,,
0:39.0,,,29-23,,L. Mbah a Moute enters the game for D. Jordan
0:39.0,J. Johnson enters the game for B. Biyombo,,29-23,,
0:34.0,Shooting foul by L. Mbah a Moute (drawn by K. Lowry),,29-23,,
0:34.0,K. Lowry makes free throw 1 of 2,1,30-23,,
0:34.0,K. Lowry makes free throw 2 of 2,1,31-23,,
0:13.0,,,31-23,,J. Crawford misses 2-pt shot from 3 ft
0:10.0,Defensive rebound by D. Carroll,,31-23,,
0:01.0,Shooting foul by A. Rivers (drawn by K. Lowry),,31-23,,
0:01.0,K. Lowry makes free throw 1 of 2,1,32-23,,
0:01.0,K. Lowry makes free throw 2 of 2,1,33-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. DeRozan misses 2-pt shot from 16 ft,,33-23,,
11:43.0,,,33-23,,Defensive rebound by J. Smith
11:18.0,,,33-23,,A. Rivers misses 2-pt shot from 19 ft
11:17.0,,,33-23,,Offensive rebound by L. Mbah a Moute
11:05.0,,,33-23,,Turnover by J. Smith (turnover)
10:52.0,J. Johnson misses 3-pt shot from 25 ft,,33-23,,
10:52.0,,,33-23,,Defensive rebound by J. Smith
10:46.0,,,33-25,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by J. Smith)
10:27.0,,,33-25,,Def 3 sec tech foul by J. Smith
10:27.0,D. DeRozan misses technical free throw,,33-25,,
10:27.0,Offensive rebound by Team,,33-25,,
10:27.0,,,33-25,,B. Griffin enters the game for J. Smith
10:16.0,J. Johnson misses 2-pt shot from 3 ft,,33-25,,
10:16.0,Offensive rebound by J. Johnson,,33-25,,
10:12.0,J. Johnson makes 2-pt shot from 1 ft,2,35-25,,
9:50.0,,,35-25,,J. Crawford misses 2-pt shot from 15 ft
9:50.0,Defensive rebound by P. Patterson,,35-25,,
9:36.0,Shooting foul by L. Mbah a Moute (drawn by D. DeRozan),,35-25,,
9:36.0,D. DeRozan makes free throw 1 of 2,1,36-25,,
9:36.0,,,36-25,,C. Paul enters the game for W. Johnson
9:36.0,D. DeRozan makes free throw 2 of 2,1,37-25,,
9:23.0,,,37-25,,Turnover by B. Griffin (turnover)
9:06.0,C. Joseph makes 2-pt shot from 4 ft,2,39-25,,
8:48.0,,,39-25,,J. Crawford misses 3-pt shot from 23 ft
8:47.0,Defensive rebound by P. Patterson,,39-25,,
8:38.0,Turnover by P. Patterson (bad pass; steal by L. Mbah a Moute),,39-25,,
8:29.0,,,39-25,,Offensive foul by B. Griffin
8:29.0,,,39-25,,Turnover by B. Griffin (offensive foul)
8:29.0,Official timeout,,39-25,,
8:29.0,,,39-25,,D. Jordan enters the game for L. Mbah a Moute
8:29.0,,,39-25,,P. Pierce enters the game for B. Griffin
8:29.0,L. Scola enters the game for P. Patterson,,39-25,,
