time,Miami,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. H. Whiteside (D. Carroll gains possession),,,,Jump ball: J. Valanciunas vs. H. Whiteside (D. Carroll gains possession)
11:40.0,,,0-2,2,D. DeRozan makes 2-pt shot from 18 ft
11:14.0,Turnover by Team (shot clock),,0-2,,
10:58.0,,,0-2,,Shooting foul by D. Wade (drawn by D. DeRozan)
10:58.0,,,0-3,1,D. DeRozan makes free throw 1 of 2
10:58.0,,,0-4,1,D. DeRozan makes free throw 2 of 2
10:39.0,D. Wade makes 2-pt shot from 17 ft,2,2-4,,
10:23.0,,,2-4,,K. Lowry misses 2-pt shot from 19 ft
10:23.0,,,2-4,,Offensive rebound by Team
10:23.0,Loose ball foul by H. Whiteside,,2-4,,
10:08.0,,,2-4,,Offensive foul by J. Valanciunas
10:08.0,,,2-4,,Turnover by J. Valanciunas (offensive foul)
10:01.0,G. Dragic misses 2-pt shot from 3 ft,,2-4,,
10:00.0,Offensive rebound by H. Whiteside,,2-4,,
9:57.0,H. Whiteside misses 2-pt shot from 2 ft (block by J. Valanciunas),,2-4,,
9:56.0,,,2-4,,Defensive rebound by D. DeRozan
9:50.0,,,2-6,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
9:35.0,Turnover by L. Deng (lost ball; steal by D. Carroll),,2-6,,
9:28.0,,,2-6,,Turnover by D. Carroll (lost ball; steal by D. Wade)
9:21.0,G. Dragic makes 2-pt shot from 15 ft,2,4-6,,
9:01.0,,,4-8,2,J. Valanciunas makes 2-pt shot from 10 ft (assist by N. Powell)
8:44.0,G. Dragic misses 2-pt shot from 2 ft,,4-8,,
8:43.0,,,4-8,,Defensive rebound by N. Powell
8:36.0,,,4-8,,N. Powell misses 2-pt shot from 2 ft
8:36.0,,,4-8,,Offensive rebound by Team
8:31.0,Personal foul by G. Dragic,,4-8,,
8:21.0,,,4-8,,D. Carroll misses 2-pt shot from 6 ft
8:20.0,Defensive rebound by D. Wade,,4-8,,
8:07.0,Turnover by D. Wade (lost ball; steal by N. Powell),,4-8,,
7:56.0,,,4-8,,K. Lowry misses 3-pt shot from 26 ft
7:56.0,Defensive rebound by G. Dragic,,4-8,,
7:43.0,D. Wade misses 2-pt shot from 7 ft,,4-8,,
7:42.0,,,4-8,,Defensive rebound by K. Lowry
7:37.0,,,4-8,,N. Powell misses 2-pt shot from 2 ft
7:36.0,Defensive rebound by J. Johnson,,4-8,,
7:26.0,J. Johnson misses 2-pt shot from 9 ft,,4-8,,
7:25.0,Offensive rebound by J. Johnson,,4-8,,
7:20.0,L. Deng misses 2-pt shot from 15 ft,,4-8,,
7:20.0,,,4-8,,Defensive rebound by D. Carroll
7:10.0,,,4-8,,J. Valanciunas misses 2-pt shot from 20 ft
7:09.0,Defensive rebound by G. Dragic,,4-8,,
6:49.0,G. Dragic misses 2-pt shot from 8 ft,,4-8,,
6:49.0,Offensive rebound by L. Deng,,4-8,,
6:46.0,Turnover by Team (shot clock),,4-8,,
6:46.0,,,4-8,,Toronto full timeout
6:36.0,,,4-10,2,D. DeRozan makes 2-pt shot from 17 ft (assist by J. Valanciunas)
6:14.0,J. Johnson misses 2-pt shot from 6 ft,,4-10,,
6:13.0,,,4-10,,Defensive rebound by J. Valanciunas
6:01.0,,,4-10,,Toronto full timeout
6:01.0,J. Richardson enters the game for J. Johnson,,4-10,,
6:01.0,G. Green enters the game for G. Dragic,,4-10,,
5:52.0,,,4-10,,K. Lowry misses 3-pt shot from 28 ft
5:51.0,Defensive rebound by D. Wade,,4-10,,
5:40.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,6-10,,
5:17.0,,,6-12,2,J. Valanciunas makes 2-pt shot at rim
4:54.0,Turnover by D. Wade (bad pass),,6-12,,
4:54.0,Miami full timeout,,6-12,,
4:54.0,,,6-12,,T. Ross enters the game for D. Carroll
4:54.0,A. Stoudemire enters the game for H. Whiteside,,6-12,,
4:54.0,,,6-12,,Turnover by N. Powell (lost ball; steal by J. Richardson)
4:46.0,D. Wade makes 2-pt shot from 19 ft,2,8-12,,
4:20.0,,,8-14,2,J. Valanciunas makes 2-pt shot from 12 ft
4:00.0,L. Deng makes 3-pt shot from 27 ft (assist by D. Wade),3,11-14,,
3:37.0,,,11-16,2,D. DeRozan makes 2-pt shot from 12 ft
3:16.0,A. Stoudemire makes 2-pt shot from 3 ft (assist by L. Deng),2,13-16,,
2:57.0,,,13-16,,N. Powell misses 2-pt shot from 2 ft
2:57.0,Defensive rebound by A. Stoudemire,,13-16,,
2:37.0,D. Wade misses 2-pt shot from 8 ft,,13-16,,
2:37.0,,,13-16,,Defensive rebound by J. Valanciunas
2:31.0,,,13-16,,Turnover by T. Ross (lost ball; steal by L. Deng)
2:18.0,L. Deng misses 2-pt shot from 2 ft,,13-16,,
2:17.0,,,13-16,,Defensive rebound by J. Valanciunas
2:09.0,,,13-18,2,J. Valanciunas makes 2-pt shot at rim (assist by N. Powell)
1:48.0,,,13-18,,Personal foul by N. Powell
1:48.0,G. Dragic enters the game for L. Deng,,13-18,,
1:48.0,J. Johnson enters the game for D. Wade,,13-18,,
1:48.0,J. Winslow enters the game for G. Green,,13-18,,
1:48.0,,,13-18,,B. Biyombo enters the game for J. Valanciunas
1:48.0,,,13-18,,C. Joseph enters the game for K. Lowry
