time,Houston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:34.0,P. Beverley misses 2-pt shot from 19 ft,,0-0,,
12:00.0,Jump ball: T. Duncan vs. D. Howard (T. Ariza gains possession),,,,Jump ball: T. Duncan vs. D. Howard (T. Ariza gains possession)
11:33.0,,,0-0,,Defensive rebound by T. Duncan
11:16.0,,,0-3,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
11:00.0,T. Ariza misses 2-pt shot from 11 ft,,0-3,,
10:59.0,Offensive rebound by Team,,0-3,,
10:49.0,T. Ariza misses 2-pt shot from 20 ft,,0-3,,
10:48.0,,,0-3,,Defensive rebound by T. Parker
10:36.0,,,0-3,,Turnover by D. Green (bad pass)
10:19.0,D. Howard misses 2-pt shot from 7 ft,,0-3,,
10:18.0,,,0-3,,Defensive rebound by T. Duncan
10:05.0,,,0-3,,T. Parker misses 2-pt shot from 2 ft
10:03.0,Defensive rebound by C. Capela,,0-3,,
9:57.0,Shooting foul by D. Green (drawn by D. Howard),,0-3,,
9:57.0,D. Howard misses free throw 1 of 2,,0-3,,
9:57.0,Offensive rebound by Team,,0-3,,
9:57.0,D. Howard misses free throw 2 of 2,,0-3,,
9:56.0,,,0-3,,Defensive rebound by T. Duncan
9:39.0,,,0-3,,T. Duncan misses 2-pt shot from 18 ft
9:38.0,Defensive rebound by D. Howard,,0-3,,
9:28.0,Shooting foul by K. Leonard (drawn by J. Harden),,0-3,,
9:28.0,J. Harden makes free throw 1 of 2,1,1-3,,
9:28.0,J. Harden makes free throw 2 of 2,1,2-3,,
9:07.0,,,2-3,,T. Duncan misses 2-pt shot from 3 ft (block by C. Capela)
9:03.0,,,2-3,,Offensive rebound by K. Leonard
8:59.0,,,2-3,,L. Aldridge misses 2-pt shot from 20 ft
8:59.0,Defensive rebound by D. Howard,,2-3,,
8:51.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,5-3,,
8:36.0,,,5-3,,T. Parker misses 2-pt shot from 2 ft (block by C. Capela)
8:32.0,Defensive rebound by P. Beverley,,5-3,,
8:22.0,C. Capela makes 2-pt shot from 2 ft (assist by T. Ariza),2,7-3,,
7:58.0,,,7-3,,T. Parker misses 3-pt shot from 22 ft
7:57.0,Defensive rebound by P. Beverley,,7-3,,
7:50.0,J. Harden makes 3-pt shot from 25 ft (assist by P. Beverley),3,10-3,,
7:31.0,,,10-3,,Turnover by T. Parker (lost ball; steal by P. Beverley)
7:26.0,J. Harden makes 2-pt shot from 1 ft,2,12-3,,
7:24.0,,,12-3,,San Antonio full timeout
7:24.0,T. Jones enters the game for C. Capela,,12-3,,
7:03.0,,,12-6,3,D. Green makes 3-pt shot from 26 ft (assist by T. Duncan)
6:49.0,P. Beverley misses 2-pt shot from 3 ft,,12-6,,
6:46.0,,,12-6,,Defensive rebound by K. Leonard
6:42.0,,,12-8,2,K. Leonard makes 2-pt shot at rim (assist by D. Green)
6:22.0,D. Howard makes 2-pt shot at rim,2,14-8,,
6:09.0,,,14-11,3,D. Green makes 3-pt shot from 26 ft (assist by T. Parker)
5:44.0,T. Ariza misses 2-pt shot from 6 ft (block by D. Green),,14-11,,
5:40.0,Offensive rebound by D. Howard,,14-11,,
5:40.0,D. Howard misses 2-pt shot from 4 ft,,14-11,,
5:39.0,,,14-11,,Defensive rebound by D. Green
5:34.0,,,14-11,,D. Green misses 3-pt shot from 23 ft
5:32.0,Defensive rebound by D. Howard,,14-11,,
5:25.0,T. Ariza misses 3-pt shot from 24 ft,,14-11,,
5:24.0,,,14-11,,Defensive rebound by L. Aldridge
5:19.0,,,14-14,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
5:07.0,Houston full timeout,,14-14,,
5:07.0,T. Lawson enters the game for P. Beverley,,14-14,,
5:00.0,J. Harden makes 2-pt shot from 18 ft (assist by T. Jones),2,16-14,,
4:45.0,,,16-14,,L. Aldridge misses 2-pt shot from 17 ft
4:43.0,Defensive rebound by T. Lawson,,16-14,,
4:37.0,Shooting foul by K. Leonard (drawn by D. Howard),,16-14,,
4:37.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,18-14,,
4:37.0,,,18-14,,P. Mills enters the game for T. Parker
4:37.0,,,18-14,,M. Ginobili enters the game for D. Green
4:37.0,,,18-14,,D. West enters the game for T. Duncan
