time,Dallas,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. Z. Pachulia (T. Gibson gains possession),,,,Jump ball: P. Gasol vs. Z. Pachulia (T. Gibson gains possession)
11:41.0,,,0-2,2,P. Gasol makes 2-pt shot from 4 ft
11:20.0,W. Matthews misses 3-pt shot from 24 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by P. Gasol
11:07.0,,,0-4,2,D. Rose makes 2-pt shot from 1 ft
10:57.0,Z. Pachulia makes 2-pt shot from 17 ft (assist by D. Williams),2,2-4,,
10:33.0,,,2-4,,T. Snell misses 3-pt shot from 23 ft
10:32.0,Defensive rebound by D. Williams,,2-4,,
10:22.0,D. Williams misses 2-pt shot from 7 ft (block by P. Gasol),,2-4,,
10:22.0,Offensive rebound by Z. Pachulia,,2-4,,
10:22.0,Shooting foul by T. Gibson (drawn by Z. Pachulia),,2-4,,
10:22.0,Z. Pachulia misses free throw 1 of 2,,2-4,,
10:22.0,Offensive rebound by Team,,2-4,,
10:22.0,Z. Pachulia makes free throw 2 of 2,1,3-4,,
10:01.0,,,3-6,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler)
9:38.0,C. Parsons misses 2-pt shot from 20 ft,,3-6,,
9:37.0,,,3-6,,Defensive rebound by T. Gibson
9:20.0,,,3-6,,Shooting foul by D. Nowitzki (drawn by T. Gibson)
9:20.0,,,3-6,,T. Gibson misses free throw 1 of 2
9:20.0,,,3-6,,Offensive rebound by Team
9:20.0,,,3-7,1,T. Gibson makes free throw 2 of 2
9:05.0,Turnover by D. Nowitzki (bad pass; steal by D. Rose),,3-7,,
9:00.0,,,3-9,2,T. Gibson makes 2-pt shot at rim (assist by D. Rose)
8:34.0,W. Matthews misses 2-pt shot from 15 ft,,3-9,,
8:33.0,,,3-9,,Defensive rebound by T. Snell
8:23.0,,,3-11,2,P. Gasol makes 2-pt shot from 19 ft (assist by J. Butler)
8:22.0,Dallas full timeout,,3-11,,
8:02.0,D. Nowitzki misses 2-pt shot from 8 ft,,3-11,,
8:01.0,Offensive rebound by Team,,3-11,,
7:36.0,W. Matthews misses 3-pt shot from 24 ft,,3-11,,
7:35.0,,,3-11,,Defensive rebound by T. Snell
7:20.0,,,3-11,,D. Rose misses 2-pt shot from 2 ft
7:19.0,Defensive rebound by Z. Pachulia,,3-11,,
7:07.0,D. Nowitzki misses 3-pt shot from 24 ft,,3-11,,
7:06.0,,,3-11,,Defensive rebound by T. Gibson
6:51.0,,,3-13,2,T. Gibson makes 2-pt shot from 3 ft
6:43.0,,,3-13,,Personal foul by D. Rose (drawn by W. Matthews)
6:34.0,D. Nowitzki misses 2-pt shot from 20 ft,,3-13,,
6:34.0,,,3-13,,Defensive rebound by Team
6:23.0,,,3-13,,T. Gibson misses 2-pt shot from 13 ft
6:22.0,Defensive rebound by Z. Pachulia,,3-13,,
6:15.0,Turnover by D. Williams (bad pass; steal by D. Rose),,3-13,,
6:10.0,,,3-13,,D. Rose misses 2-pt shot from 1 ft
6:09.0,Defensive rebound by C. Parsons,,3-13,,
6:02.0,C. Parsons misses 2-pt shot from 2 ft (block by P. Gasol),,3-13,,
6:01.0,,,3-13,,Defensive rebound by D. Rose
5:52.0,,,3-13,,T. Gibson misses 2-pt shot at rim
5:50.0,Defensive rebound by C. Parsons,,3-13,,
5:44.0,C. Parsons misses 3-pt shot from 24 ft,,3-13,,
5:43.0,,,3-13,,Defensive rebound by T. Snell
5:25.0,,,3-13,,T. Snell misses 3-pt shot from 22 ft
5:25.0,Defensive rebound by Z. Pachulia,,3-13,,
5:25.0,,,3-13,,Personal foul by P. Gasol (drawn by Z. Pachulia)
5:25.0,,,3-13,,K. Hinrich enters the game for T. Gibson
5:25.0,,,3-13,,N. Mirotic enters the game for D. Rose
5:25.0,D. Powell enters the game for D. Nowitzki,,3-13,,
5:25.0,D. Harris enters the game for C. Parsons,,3-13,,
5:07.0,D. Williams makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,6-13,,
4:58.0,,,6-13,,Chicago full timeout
4:48.0,,,6-13,,J. Butler misses 2-pt shot from 19 ft
4:47.0,Defensive rebound by D. Harris,,6-13,,
4:32.0,D. Williams misses 3-pt shot from 22 ft,,6-13,,
4:31.0,,,6-13,,Defensive rebound by P. Gasol
4:16.0,,,6-13,,P. Gasol misses 2-pt shot from 11 ft
4:15.0,Defensive rebound by Z. Pachulia,,6-13,,
3:52.0,W. Matthews makes 2-pt shot from 21 ft (assist by D. Williams),2,8-13,,
3:37.0,,,8-13,,N. Mirotic misses 2-pt shot from 16 ft
3:36.0,Defensive rebound by D. Williams,,8-13,,
3:32.0,,,8-13,,Personal foul by K. Hinrich (drawn by D. Powell)
3:32.0,,,8-13,,Technical foul by K. Hinrich (drawn by D. Powell)
3:32.0,D. Williams misses technical free throw,,8-13,,
3:32.0,Offensive rebound by Team,,8-13,,
3:32.0,,,8-13,,J. Noah enters the game for P. Gasol
3:22.0,,,8-13,,Personal foul by N. Mirotic (drawn by D. Harris)
3:22.0,D. Harris makes free throw 1 of 2,1,9-13,,
3:22.0,D. Harris makes free throw 2 of 2,1,10-13,,
3:05.0,,,10-13,,N. Mirotic misses 2-pt shot from 12 ft
3:04.0,,,10-13,,Offensive rebound by J. Noah
3:04.0,,,10-15,2,J. Noah makes 2-pt shot from 2 ft
2:38.0,Turnover by W. Matthews (bad pass; steal by K. Hinrich),,10-15,,
2:34.0,,,10-17,2,K. Hinrich makes 2-pt shot from 1 ft (assist by J. Butler)
2:34.0,,,10-17,,Shooting foul by D. Williams (drawn by K. Hinrich)
2:34.0,,,10-17,,D. McDermott enters the game for T. Snell
2:34.0,,,10-18,1,K. Hinrich makes free throw 1 of 1
2:15.0,Z. Pachulia makes 2-pt shot from 5 ft,2,12-18,,
1:52.0,,,12-18,,K. Hinrich misses 3-pt shot from 23 ft
1:51.0,,,12-18,,Offensive rebound by N. Mirotic
1:46.0,,,12-18,,K. Hinrich misses 3-pt shot from 23 ft
1:45.0,Defensive rebound by D. Harris,,12-18,,
1:36.0,Z. Pachulia misses 2-pt shot from 16 ft,,12-18,,
