time,New Orleans,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Davis (T. Evans gains possession),,,,Jump ball: T. Chandler vs. A. Davis (T. Evans gains possession)
11:44.0,Turnover by T. Evans (illegal screen),,0-0,,
11:35.0,,,0-0,,Turnover by E. Bledsoe (bad pass; steal by T. Evans)
11:24.0,A. Gee makes 2-pt shot from 1 ft,2,2-0,,
11:11.0,,,2-0,,T. Chandler misses 2-pt shot from 3 ft (block by T. Evans)
11:09.0,,,2-0,,Offensive rebound by J. Leuer
11:09.0,,,2-2,2,J. Leuer makes 2-pt shot from 1 ft
10:52.0,,,2-2,,Personal foul by J. Leuer (drawn by A. Davis)
10:41.0,E. Gordon misses 3-pt shot from 25 ft,,2-2,,
10:39.0,,,2-2,,Defensive rebound by T. Chandler
10:33.0,,,2-2,,J. Leuer misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by O. Asik,,2-2,,
10:20.0,T. Evans makes 2-pt shot from 4 ft,2,4-2,,
10:04.0,,,4-2,,P. Tucker misses 2-pt shot from 1 ft
10:01.0,Defensive rebound by A. Davis,,4-2,,
9:48.0,E. Gordon misses 2-pt shot from 18 ft,,4-2,,
9:46.0,,,4-2,,Defensive rebound by J. Leuer
9:42.0,Personal foul by T. Evans (drawn by T. Chandler),,4-2,,
9:34.0,,,4-2,,B. Knight misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by A. Davis,,4-2,,
9:20.0,E. Gordon misses 2-pt shot from 3 ft,,4-2,,
9:18.0,Offensive rebound by O. Asik,,4-2,,
9:18.0,O. Asik misses 2-pt shot from 1 ft,,4-2,,
9:16.0,,,4-2,,Defensive rebound by J. Leuer
9:05.0,,,4-4,2,E. Bledsoe makes 2-pt shot from 1 ft
8:50.0,A. Davis misses 2-pt shot from 19 ft,,4-4,,
8:48.0,,,4-4,,Defensive rebound by J. Leuer
8:33.0,,,4-4,,E. Bledsoe misses 3-pt shot from 23 ft
8:32.0,Defensive rebound by A. Gee,,4-4,,
8:29.0,Turnover by T. Evans (bad pass),,4-4,,
8:20.0,,,4-4,,Turnover by B. Knight (bad pass)
8:06.0,E. Gordon makes 3-pt shot from 25 ft (assist by O. Asik),3,7-4,,
7:56.0,,,7-4,,E. Bledsoe misses 2-pt shot from 19 ft
7:54.0,Defensive rebound by T. Evans,,7-4,,
7:50.0,E. Gordon misses 3-pt shot from 26 ft,,7-4,,
7:48.0,Offensive rebound by O. Asik,,7-4,,
7:48.0,O. Asik makes 2-pt shot from 1 ft,2,9-4,,
7:48.0,,,9-4,,Phoenix full timeout
7:36.0,Personal foul by T. Evans (drawn by J. Leuer),,9-4,,
7:36.0,J. Holiday enters the game for T. Evans,,9-4,,
7:30.0,Violation by A. Davis (kicked ball),,9-4,,
7:25.0,,,9-6,2,E. Bledsoe makes 2-pt shot from 11 ft
6:58.0,J. Holiday misses 2-pt shot from 14 ft,,9-6,,
6:56.0,,,9-6,,Defensive rebound by P. Tucker
6:41.0,,,9-6,,Turnover by B. Knight (bad pass; steal by O. Asik)
6:31.0,Turnover by A. Gee (bad pass; steal by E. Bledsoe),,9-6,,
6:26.0,,,9-8,2,J. Leuer makes 2-pt shot from 1 ft (assist by E. Bledsoe)
6:13.0,J. Holiday misses 3-pt shot from 24 ft,,9-8,,
6:11.0,,,9-8,,Defensive rebound by J. Leuer
6:08.0,Personal foul by A. Davis (drawn by T. Chandler),,9-8,,
6:08.0,,,9-8,,A. Len enters the game for T. Chandler
