time,Milwaukee,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:47.0,J. Parker misses 2-pt shot from 2 ft (block by A. Horford),,0-0,,
12:00.0,Jump ball: A. Horford vs. M. Plumlee (G. Antetokounmpo gains possession),,,,Jump ball: A. Horford vs. M. Plumlee (G. Antetokounmpo gains possession)
11:47.0,Offensive rebound by Team,,0-0,,
11:41.0,O. Mayo makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,3-0,,
11:18.0,,,3-0,,K. Bazemore misses 3-pt shot from 23 ft
11:15.0,Defensive rebound by K. Middleton,,3-0,,
11:09.0,J. Parker misses 2-pt shot from 17 ft,,3-0,,
11:09.0,Offensive rebound by Team,,3-0,,
10:57.0,O. Mayo misses 3-pt shot from 24 ft,,3-0,,
10:56.0,Offensive rebound by M. Plumlee,,3-0,,
10:51.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,5-0,,
10:27.0,,,5-2,2,P. Millsap makes 2-pt shot at rim
10:11.0,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by K. Middleton),2,7-2,,
10:00.0,,,7-2,,J. Teague misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by G. Antetokounmpo,,7-2,,
9:54.0,,,7-2,,Personal foul by K. Bazemore (drawn by G. Antetokounmpo)
9:34.0,K. Middleton misses 3-pt shot from 24 ft,,7-2,,
9:32.0,,,7-2,,Defensive rebound by P. Millsap
9:21.0,,,7-4,2,P. Millsap makes 2-pt shot from 11 ft
9:11.0,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo),2,9-4,,
8:43.0,,,9-4,,K. Bazemore misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by G. Antetokounmpo,,9-4,,
8:39.0,Turnover by G. Antetokounmpo (bad pass),,9-4,,
8:28.0,,,9-7,3,K. Korver makes 3-pt shot from 23 ft (assist by P. Millsap)
8:05.0,G. Antetokounmpo makes 2-pt shot from 19 ft,2,11-7,,
7:53.0,,,11-7,,Turnover by P. Millsap (bad pass; steal by O. Mayo)
7:43.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,13-7,,
7:43.0,Shooting foul by P. Millsap (drawn by J. Parker),,13-7,,
7:43.0,J. Parker makes free throw 1 of 1,1,14-7,,
7:20.0,,,14-9,2,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore)
7:12.0,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo),2,16-9,,
7:05.0,,,16-9,,Turnover by J. Teague (bad pass; steal by O. Mayo)
6:56.0,K. Middleton makes 2-pt shot from 19 ft (assist by O. Mayo),2,18-9,,
6:56.0,,,18-9,,Atlanta full timeout
6:56.0,,,18-9,,T. Sefolosha enters the game for K. Bazemore
6:38.0,,,18-11,2,K. Korver makes 2-pt shot from 13 ft (assist by A. Horford)
6:19.0,,,18-11,,M. Muscala enters the game for A. Horford
6:12.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,18-11,,
6:09.0,Offensive rebound by M. Plumlee,,18-11,,
6:09.0,Shooting foul by K. Korver (drawn by G. Antetokounmpo),,18-11,,
6:09.0,G. Antetokounmpo makes free throw 1 of 2,1,19-11,,
6:09.0,M. Carter-Williams enters the game for J. Parker,,19-11,,
6:09.0,G. Monroe enters the game for M. Plumlee,,19-11,,
6:09.0,,,19-11,,D. Schroder enters the game for J. Teague
6:09.0,G. Antetokounmpo makes free throw 2 of 2,1,20-11,,
5:48.0,,,20-11,,K. Korver misses 3-pt shot from 22 ft
5:45.0,Defensive rebound by K. Middleton,,20-11,,
5:40.0,O. Mayo misses 3-pt shot from 23 ft,,20-11,,
5:39.0,,,20-11,,Defensive rebound by M. Muscala
5:33.0,,,20-11,,Turnover by K. Korver (bad pass; steal by K. Middleton)
5:26.0,M. Carter-Williams misses 2-pt shot from 4 ft,,20-11,,
5:25.0,,,20-11,,Defensive rebound by T. Sefolosha
5:14.0,,,20-13,2,D. Schroder makes 2-pt shot from 1 ft
5:04.0,,,20-13,,Personal foul by D. Schroder (drawn by O. Mayo)
5:04.0,,,20-13,,T. Hardaway enters the game for K. Korver
4:51.0,M. Carter-Williams makes 2-pt shot from 8 ft,2,22-13,,
4:39.0,,,22-15,2,P. Millsap makes 2-pt shot from 8 ft
4:24.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,22-15,,
4:23.0,Offensive rebound by G. Antetokounmpo,,22-15,,
4:22.0,G. Antetokounmpo misses 2-pt shot at rim,,22-15,,
4:19.0,Offensive rebound by G. Monroe,,22-15,,
4:19.0,G. Monroe makes 2-pt shot at rim,2,24-15,,
4:05.0,,,24-15,,D. Schroder misses 2-pt shot from 1 ft (block by M. Carter-Williams)
4:05.0,,,24-15,,Offensive rebound by Team
4:05.0,Inbound foul by M. Carter-Williams,,24-15,,
4:05.0,,,24-16,1,P. Millsap makes free throw 1 of 2
4:05.0,,,24-16,,P. Millsap misses free throw 2 of 2
4:03.0,Defensive rebound by M. Carter-Williams,,24-16,,
3:46.0,G. Monroe misses 2-pt shot from 6 ft,,24-16,,
3:44.0,,,24-16,,Defensive rebound by P. Millsap
3:41.0,,,24-16,,Turnover by P. Millsap (lost ball; steal by G. Monroe)
3:38.0,Turnover by O. Mayo (bad pass; steal by D. Schroder),,24-16,,
3:27.0,,,24-16,,T. Hardaway misses 3-pt shot from 24 ft
3:24.0,,,24-16,,Offensive rebound by T. Sefolosha
3:21.0,,,24-16,,Atlanta full timeout
3:13.0,,,24-19,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by P. Millsap)
2:55.0,G. Monroe misses 2-pt shot from 2 ft (block by M. Muscala),,24-19,,
2:53.0,,,24-19,,Defensive rebound by P. Millsap
2:49.0,,,24-21,2,T. Hardaway makes 2-pt shot from 1 ft (assist by P. Millsap)
