time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Thompson (S. Curry gains possession),,,,Jump ball: A. Bogut vs. T. Thompson (S. Curry gains possession)
11:41.0,D. Green misses 3-pt shot from 25 ft,,0-0,,
11:40.0,Offensive rebound by H. Barnes,,0-0,,
11:29.0,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry),3,3-0,,
11:14.0,,,3-3,3,K. Irving makes 3-pt shot from 24 ft (assist by L. James)
10:58.0,Shooting foul by K. Irving (drawn by D. Green),,3-3,,
10:58.0,D. Green makes free throw 1 of 2,1,4-3,,
10:58.0,D. Green makes free throw 2 of 2,1,5-3,,
10:44.0,,,5-6,3,J. Smith makes 3-pt shot from 23 ft (assist by K. Irving)
10:27.0,H. Barnes makes 2-pt shot from 14 ft,2,7-6,,
10:08.0,,,7-6,,K. Irving misses 2-pt shot from 14 ft (block by D. Green)
10:05.0,,,7-6,,Offensive rebound by T. Thompson
10:03.0,,,7-8,2,T. Thompson makes 2-pt shot from 4 ft
9:54.0,H. Barnes makes 3-pt shot from 23 ft (assist by A. Bogut),3,10-8,,
9:38.0,,,10-10,2,T. Thompson makes 2-pt shot from 1 ft (assist by K. Irving)
9:26.0,Shooting foul by R. Jefferson (drawn by D. Green),,10-10,,
9:26.0,D. Green misses free throw 1 of 2,,10-10,,
9:26.0,Offensive rebound by Team,,10-10,,
9:26.0,D. Green misses free throw 2 of 2,,10-10,,
9:25.0,,,10-10,,Defensive rebound by L. James
9:09.0,Personal foul by S. Curry,,10-10,,
8:54.0,,,10-10,,J. Smith misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by H. Barnes,,10-10,,
8:54.0,,,10-10,,Personal foul by L. James
8:37.0,K. Thompson misses 2-pt shot at rim,,10-10,,
8:37.0,,,10-10,,Defensive rebound by Team
8:19.0,,,10-10,,R. Jefferson misses 2-pt shot from 2 ft
8:18.0,Defensive rebound by H. Barnes,,10-10,,
8:16.0,S. Curry misses 3-pt shot from 25 ft,,10-10,,
8:16.0,,,10-10,,Defensive rebound by Team
7:58.0,,,10-10,,T. Thompson misses 2-pt shot from 6 ft
7:56.0,Defensive rebound by D. Green,,10-10,,
7:40.0,,,10-10,,Personal foul by T. Thompson
7:40.0,A. Iguodala enters the game for A. Bogut,,10-10,,
7:27.0,S. Curry misses 2-pt shot from 18 ft,,10-10,,
7:26.0,,,10-10,,Defensive rebound by R. Jefferson
7:08.0,,,10-13,3,K. Irving makes 3-pt shot from 24 ft (assist by J. Smith)
7:06.0,Golden State full timeout,,10-13,,
6:47.0,K. Thompson makes 3-pt shot from 25 ft (assist by A. Iguodala),3,13-13,,
6:36.0,,,13-13,,Turnover by L. James (lost ball)
