time,Detroit,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: A. Drummond vs. D. Jordan (B. Griffin gains possession)
11:44.0,,,0-0,,J. Crawford misses 2-pt shot from 15 ft
11:42.0,Defensive rebound by A. Drummond,,0-0,,
11:30.0,M. Morris misses 3-pt shot from 25 ft,,0-0,,
11:30.0,Offensive rebound by A. Drummond,,0-0,,
11:26.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by A. Drummond),2,2-0,,
11:08.0,,,2-3,3,A. Rivers makes 3-pt shot from 23 ft (assist by J. Crawford)
10:55.0,Shooting foul by D. Jordan (drawn by A. Drummond),,2-3,,
10:55.0,A. Drummond misses free throw 1 of 2,,2-3,,
10:55.0,Offensive rebound by Team,,2-3,,
10:55.0,A. Drummond misses free throw 2 of 2,,2-3,,
10:54.0,,,2-3,,Defensive rebound by D. Jordan
10:43.0,,,2-3,,B. Griffin misses 2-pt shot from 16 ft
10:42.0,Defensive rebound by A. Drummond,,2-3,,
10:33.0,R. Jackson makes 2-pt shot from 6 ft,2,4-3,,
10:17.0,,,4-3,,B. Griffin misses 2-pt shot from 7 ft
10:15.0,Defensive rebound by A. Drummond,,4-3,,
10:09.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson),3,7-3,,
9:43.0,,,7-3,,P. Pierce misses 2-pt shot from 17 ft
9:40.0,,,7-3,,Offensive rebound by D. Jordan
9:37.0,,,7-5,2,D. Jordan makes 2-pt shot at rim
9:23.0,R. Jackson makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,10-5,,
8:49.0,,,10-5,,Turnover by Team (shot clock)
8:38.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson),3,13-5,,
8:17.0,Personal foul by E. Ilyasova (drawn by B. Griffin),,13-5,,
8:17.0,,,13-5,,B. Griffin misses free throw 1 of 2
8:17.0,,,13-5,,Offensive rebound by Team
8:17.0,,,13-6,1,B. Griffin makes free throw 2 of 2
7:59.0,M. Morris misses 2-pt shot from 18 ft,,13-6,,
7:58.0,,,13-6,,Defensive rebound by D. Jordan
7:48.0,,,13-8,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
7:30.0,R. Jackson makes 3-pt shot from 24 ft,3,16-8,,
7:09.0,,,16-10,2,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin)
6:49.0,A. Drummond makes 2-pt shot from 6 ft,2,18-10,,
6:24.0,,,18-12,2,J. Crawford makes 2-pt shot from 18 ft (assist by B. Griffin)
6:11.0,R. Jackson makes 2-pt shot from 14 ft,2,20-12,,
6:01.0,,,20-12,,B. Griffin misses 2-pt shot from 2 ft
6:00.0,,,20-12,,Offensive rebound by B. Griffin
5:56.0,,,20-14,2,B. Griffin makes 2-pt shot at rim
5:33.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson),2,22-14,,
5:22.0,,,22-14,,J. Crawford misses 3-pt shot from 24 ft
5:21.0,Defensive rebound by R. Jackson,,22-14,,
5:15.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson),3,25-14,,
5:10.0,,,25-14,,LA Clippers full timeout
5:10.0,S. Johnson enters the game for M. Morris,,25-14,,
4:55.0,,,25-14,,P. Pierce misses 2-pt shot from 2 ft
4:55.0,,,25-14,,Offensive rebound by P. Pierce
4:52.0,,,25-14,,Turnover by P. Pierce (bad pass; steal by K. Caldwell-Pope)
4:49.0,Turnover by R. Jackson (traveling),,25-14,,
4:33.0,,,25-14,,B. Griffin misses 2-pt shot from 2 ft
4:32.0,Defensive rebound by R. Jackson,,25-14,,
4:17.0,Offensive foul by A. Drummond,,25-14,,
4:17.0,Turnover by A. Drummond (offensive foul),,25-14,,
4:17.0,,,25-14,,W. Johnson enters the game for P. Pierce
4:03.0,,,25-14,,Shooting foul by E. Ilyasova (drawn by A. Rivers)
4:03.0,,,25-15,1,A. Rivers makes free throw 1 of 2
4:03.0,,,25-15,,Technical foul by Team
4:03.0,A. Tolliver enters the game for E. Ilyasova,,25-15,,
4:03.0,K. Caldwell-Pope makes technical free throw,1,26-15,,
4:03.0,,,26-15,,A. Rivers misses free throw 2 of 2
4:02.0,Defensive rebound by A. Drummond,,26-15,,
3:47.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,26-15,,
3:46.0,,,26-15,,Defensive rebound by D. Jordan
3:34.0,,,26-17,2,B. Griffin makes 2-pt shot from 2 ft
3:14.0,A. Drummond misses 2-pt shot from 11 ft,,26-17,,
3:12.0,Offensive rebound by K. Caldwell-Pope,,26-17,,
3:00.0,A. Drummond misses 2-pt shot from 9 ft,,26-17,,
2:57.0,,,26-17,,Defensive rebound by B. Griffin
2:49.0,,,26-19,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
2:42.0,Detroit full timeout,,26-19,,
2:42.0,S. Blake enters the game for K. Caldwell-Pope,,26-19,,
2:42.0,M. Morris enters the game for R. Jackson,,26-19,,
2:42.0,,,26-19,,J. Smith enters the game for B. Griffin
2:22.0,M. Morris misses 3-pt shot from 26 ft,,26-19,,
2:21.0,,,26-19,,Defensive rebound by A. Rivers
2:05.0,,,26-21,2,J. Crawford makes 2-pt shot from 9 ft (assist by D. Jordan)
1:43.0,M. Morris misses 3-pt shot from 24 ft,,26-21,,
1:42.0,,,26-21,,Defensive rebound by D. Jordan
1:35.0,,,26-21,,Shooting foul by S. Johnson (drawn by J. Crawford)
1:35.0,,,26-22,1,J. Crawford makes free throw 1 of 2
1:35.0,,,26-22,,P. Prigioni enters the game for A. Rivers
1:35.0,,,26-23,1,J. Crawford makes free throw 2 of 2
1:13.0,S. Johnson misses 3-pt shot from 24 ft,,26-23,,
1:12.0,,,26-23,,Defensive rebound by J. Crawford
1:02.0,Personal foul by A. Tolliver (drawn by J. Smith),,26-23,,
1:02.0,,,26-24,1,J. Smith makes free throw 1 of 2
1:02.0,,,26-25,1,J. Smith makes free throw 2 of 2
