time,San Antonio,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. K. Towns (D. Green gains possession),,,,Jump ball: T. Duncan vs. K. Towns (D. Green gains possession)
11:43.0,Turnover by T. Parker (bad pass),,0-0,,
11:29.0,,,0-0,,A. Wiggins misses 2-pt shot from 1 ft (block by K. Leonard)
11:28.0,Defensive rebound by K. Leonard,,0-0,,
11:27.0,Turnover by K. Leonard (bad pass),,0-0,,
11:10.0,,,0-0,,T. Prince misses 2-pt shot from 12 ft
11:09.0,Defensive rebound by T. Parker,,0-0,,
10:46.0,,,0-0,,Violation by K. Towns (def goaltending)
10:46.0,T. Parker makes 2-pt shot from 2 ft,2,2-0,,
10:33.0,,,2-0,,A. Wiggins misses 2-pt shot from 16 ft
10:32.0,Defensive rebound by L. Aldridge,,2-0,,
10:13.0,T. Duncan makes 2-pt shot from 13 ft,2,4-0,,
10:05.0,,,4-2,2,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio)
9:46.0,K. Leonard makes 2-pt shot from 13 ft,2,6-2,,
9:34.0,,,6-2,,K. Towns misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by T. Duncan,,6-2,,
9:19.0,L. Aldridge misses 2-pt shot from 6 ft,,6-2,,
9:19.0,Offensive rebound by T. Duncan,,6-2,,
9:05.0,T. Duncan misses 2-pt shot from 20 ft,,6-2,,
9:05.0,Offensive rebound by D. Green,,6-2,,
8:41.0,K. Leonard misses 2-pt shot from 21 ft,,6-2,,
8:40.0,Offensive rebound by Team,,6-2,,
8:40.0,Turnover by Team (shot clock),,6-2,,
8:24.0,,,6-4,2,K. Towns makes 2-pt shot at rim (assist by A. Wiggins)
8:10.0,,,6-4,,Personal foul by K. Garnett (drawn by T. Parker)
8:06.0,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard),3,9-4,,
7:48.0,,,9-6,2,K. Garnett makes 2-pt shot from 18 ft (assist by A. Wiggins)
7:19.0,T. Parker makes 3-pt shot from 23 ft (assist by T. Duncan),3,12-6,,
7:10.0,,,12-6,,Shooting foul by T. Parker (drawn by R. Rubio)
7:10.0,,,12-7,1,R. Rubio makes free throw 1 of 2
7:10.0,,,12-8,1,R. Rubio makes free throw 2 of 2
6:48.0,T. Duncan misses 2-pt shot from 7 ft,,12-8,,
6:47.0,,,12-8,,Defensive rebound by T. Prince
6:42.0,,,12-8,,Turnover by R. Rubio (bad pass; steal by K. Leonard)
6:35.0,T. Parker misses 2-pt shot from 23 ft,,12-8,,
6:34.0,,,12-8,,Defensive rebound by R. Rubio
6:23.0,,,12-8,,A. Wiggins misses 2-pt shot from 1 ft (block by T. Duncan)
6:22.0,Defensive rebound by D. Green,,12-8,,
6:16.0,K. Leonard makes 3-pt shot from 23 ft (assist by T. Parker),3,15-8,,
6:16.0,,,15-8,,Minnesota full timeout
6:16.0,,,15-8,,G. Dieng enters the game for K. Garnett
6:00.0,,,15-8,,K. Towns misses 2-pt shot from 22 ft
5:59.0,Defensive rebound by D. Green,,15-8,,
5:44.0,K. Leonard misses 2-pt shot from 18 ft,,15-8,,
5:43.0,Offensive rebound by K. Leonard,,15-8,,
5:23.0,T. Parker makes 3-pt shot from 22 ft (assist by T. Duncan),3,18-8,,
5:08.0,,,18-8,,A. Wiggins misses 3-pt shot from 28 ft
5:07.0,Defensive rebound by T. Parker,,18-8,,
4:57.0,T. Parker makes 2-pt shot from 9 ft,2,20-8,,
4:36.0,,,20-8,,G. Dieng misses 2-pt shot from 18 ft
4:36.0,Defensive rebound by D. Green,,20-8,,
4:28.0,M. Ginobili enters the game for D. Green,,20-8,,
4:28.0,B. Diaw enters the game for T. Duncan,,20-8,,
4:23.0,Shooting foul by K. Towns (drawn by L. Aldridge),,20-8,,
4:23.0,L. Aldridge makes free throw 1 of 2,1,21-8,,
4:23.0,L. Aldridge makes free throw 2 of 2,1,22-8,,
4:10.0,,,22-8,,G. Dieng misses 2-pt shot from 3 ft (block by L. Aldridge)
4:09.0,,,22-8,,Offensive rebound by G. Dieng
4:02.0,,,22-10,2,A. Wiggins makes 2-pt shot from 5 ft
3:37.0,L. Aldridge misses 2-pt shot from 15 ft,,22-10,,
3:37.0,,,22-10,,Defensive rebound by R. Rubio
3:31.0,,,22-10,,Shooting foul by B. Diaw (drawn by K. Towns)
3:31.0,,,22-11,1,K. Towns makes free throw 1 of 2
3:31.0,P. Mills enters the game for T. Parker,,22-11,,
3:31.0,,,22-12,1,K. Towns makes free throw 2 of 2
3:07.0,B. Diaw misses 3-pt shot from 25 ft,,22-12,,
3:07.0,,,22-12,,Defensive rebound by K. Towns
2:50.0,,,22-12,,Turnover by K. Towns (bad pass; steal by L. Aldridge)
2:41.0,K. Leonard misses 2-pt shot from 15 ft,,22-12,,
2:41.0,,,22-12,,Defensive rebound by R. Rubio
2:37.0,,,22-12,,Offensive foul by A. Wiggins
2:37.0,,,22-12,,Turnover by A. Wiggins (offensive foul)
2:37.0,San Antonio full timeout,,22-12,,
2:37.0,,,22-12,,Z. LaVine enters the game for T. Prince
2:37.0,,,22-12,,T. Jones enters the game for R. Rubio
2:29.0,Turnover by M. Ginobili (bad pass; steal by T. Jones),,22-12,,
2:08.0,,,22-12,,Offensive foul by Z. LaVine
2:08.0,,,22-12,,Turnover by Z. LaVine (offensive foul)
2:08.0,D. West enters the game for L. Aldridge,,22-12,,
1:56.0,M. Ginobili misses 2-pt shot from 10 ft,,22-12,,
1:56.0,,,22-12,,Defensive rebound by K. Towns
1:49.0,,,22-14,2,Z. LaVine makes 2-pt shot from 22 ft
1:35.0,D. West makes 2-pt shot from 1 ft (assist by B. Diaw),2,24-14,,
