time,San Antonio,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. R. Gobert (T. Parker gains possession),,,,Jump ball: T. Duncan vs. R. Gobert (T. Parker gains possession)
11:47.0,Turnover by T. Duncan (bad pass),,0-0,,
11:26.0,,,0-0,,R. Gobert misses 2-pt shot from 1 ft
11:26.0,,,0-0,,Offensive rebound by R. Gobert
11:26.0,,,0-0,,D. Favors misses 2-pt shot from 12 ft
11:25.0,Defensive rebound by K. Leonard,,0-0,,
11:14.0,K. Leonard makes 2-pt shot from 3 ft,2,2-0,,
11:00.0,,,2-2,2,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hayward)
10:45.0,K. Leonard misses 3-pt shot from 22 ft,,2-2,,
10:43.0,,,2-2,,Defensive rebound by Team
10:27.0,,,2-2,,S. Mack misses 2-pt shot from 18 ft
10:25.0,Defensive rebound by L. Aldridge,,2-2,,
10:17.0,T. Parker makes 2-pt shot from 17 ft,2,4-2,,
9:55.0,,,4-4,2,D. Favors makes 2-pt shot from 9 ft (assist by R. Hood)
9:40.0,D. Green misses 3-pt shot from 23 ft,,4-4,,
9:40.0,,,4-4,,Defensive rebound by D. Favors
9:26.0,,,4-4,,G. Hayward misses 2-pt shot from 18 ft
9:25.0,Defensive rebound by T. Parker,,4-4,,
9:14.0,Turnover by T. Parker (bad pass; steal by D. Favors),,4-4,,
9:08.0,,,4-4,,R. Hood misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by T. Duncan,,4-4,,
8:46.0,D. Green misses 2-pt shot from 9 ft,,4-4,,
8:45.0,,,4-4,,Defensive rebound by D. Favors
8:34.0,,,4-4,,R. Hood misses 2-pt shot from 4 ft (block by D. Green)
8:34.0,,,4-4,,Offensive rebound by Team
8:28.0,,,4-4,,Shooting foul by D. Green (drawn by R. Hood)
8:28.0,,,4-5,1,R. Hood makes free throw 1 of 2
8:28.0,,,4-6,1,R. Hood makes free throw 2 of 2
8:16.0,T. Duncan makes 2-pt shot from 16 ft (assist by T. Parker),2,6-6,,
7:59.0,,,6-8,2,D. Favors makes 2-pt shot from 14 ft (assist by R. Hood)
7:43.0,T. Parker misses 2-pt shot from 8 ft,,6-8,,
7:43.0,,,6-8,,Defensive rebound by S. Mack
7:24.0,,,6-10,2,R. Gobert makes 2-pt shot from 1 ft
7:09.0,L. Aldridge misses 2-pt shot from 3 ft,,6-10,,
7:08.0,Offensive rebound by T. Duncan,,6-10,,
7:06.0,T. Duncan makes 2-pt shot from 1 ft,2,8-10,,
6:45.0,,,8-10,,Turnover by R. Gobert (lost ball; steal by T. Duncan)
6:35.0,Shooting foul by G. Hayward (drawn by K. Leonard),,8-10,,
6:35.0,K. Leonard makes free throw 1 of 2,1,9-10,,
6:35.0,K. Leonard makes free throw 2 of 2,1,10-10,,
6:22.0,,,10-12,2,S. Mack makes 2-pt shot from 11 ft
6:21.0,San Antonio full timeout,,10-12,,
6:08.0,Turnover by L. Aldridge (bad pass; steal by S. Mack),,10-12,,
6:02.0,,,10-14,2,S. Mack makes 2-pt shot from 1 ft
5:39.0,K. Leonard makes 2-pt shot from 3 ft,2,12-14,,
5:20.0,,,12-16,2,G. Hayward makes 2-pt shot from 15 ft (assist by D. Favors)
5:06.0,T. Duncan misses 2-pt shot from 17 ft,,12-16,,
5:06.0,,,12-16,,Defensive rebound by D. Favors
4:48.0,,,12-19,3,R. Hood makes 3-pt shot from 24 ft
4:30.0,T. Parker makes 2-pt shot from 18 ft,2,14-19,,
4:22.0,,,14-19,,Turnover by R. Gobert (back court)
4:22.0,,,14-19,,C. Johnson enters the game for R. Hood
4:22.0,,,14-19,,T. Booker enters the game for D. Favors
4:22.0,B. Diaw enters the game for T. Duncan,,14-19,,
4:22.0,K. Anderson enters the game for D. Green,,14-19,,
4:22.0,P. Mills enters the game for T. Parker,,14-19,,
4:05.0,L. Aldridge misses 2-pt shot from 3 ft,,14-19,,
4:04.0,,,14-19,,Defensive rebound by R. Gobert
3:54.0,,,14-19,,C. Johnson misses 2-pt shot from 3 ft
3:53.0,Defensive rebound by B. Diaw,,14-19,,
3:38.0,K. Anderson misses 2-pt shot from 15 ft,,14-19,,
3:37.0,,,14-19,,Defensive rebound by T. Booker
3:27.0,,,14-21,2,S. Mack makes 2-pt shot from 2 ft
3:08.0,L. Aldridge misses 2-pt shot from 18 ft,,14-21,,
3:08.0,,,14-21,,Defensive rebound by G. Hayward
2:56.0,,,14-21,,Turnover by G. Hayward (traveling)
2:56.0,,,14-21,,Utah full timeout
2:56.0,J. Simmons enters the game for K. Leonard,,14-21,,
2:56.0,,,14-21,,R. Neto enters the game for S. Mack
2:33.0,L. Aldridge misses 2-pt shot from 16 ft,,14-21,,
2:32.0,Offensive rebound by J. Simmons,,14-21,,
2:21.0,Turnover by P. Mills (bad pass; steal by G. Hayward),,14-21,,
2:05.0,,,14-21,,C. Johnson misses 3-pt shot from 22 ft
2:04.0,Defensive rebound by B. Diaw,,14-21,,
1:45.0,L. Aldridge misses 2-pt shot from 12 ft,,14-21,,
1:44.0,,,14-21,,Defensive rebound by C. Johnson
1:25.0,,,14-21,,G. Hayward misses 3-pt shot from 24 ft
1:25.0,Defensive rebound by K. Anderson,,14-21,,
1:08.0,B. Diaw misses 2-pt shot from 21 ft,,14-21,,
1:07.0,,,14-21,,Defensive rebound by T. Booker
1:00.0,,,14-21,,G. Hayward misses 2-pt shot from 2 ft (block by K. Anderson)
0:59.0,Defensive rebound by L. Aldridge,,14-21,,
0:48.0,B. Diaw makes 2-pt shot from 2 ft,2,16-21,,
0:31.0,,,16-21,,G. Hayward misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by J. Simmons,,16-21,,
0:16.0,Turnover by J. Simmons (lost ball; steal by R. Neto),,16-21,,
0:14.0,,,16-21,,Shooting foul by J. Simmons (drawn by R. Neto)
0:14.0,,,16-22,1,R. Neto makes free throw 1 of 2
0:14.0,T. Duncan enters the game for L. Aldridge,,16-22,,
0:14.0,,,16-23,1,R. Neto makes free throw 2 of 2
0:02.0,T. Duncan makes 2-pt shot from 2 ft,2,18-23,,
0:00.0,,,18-23,,R. Neto misses 3-pt shot from 51 ft
0:00.0,,,18-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,18-25,2,T. Booker makes 2-pt shot at rim (assist by R. Hood)
11:21.0,T. Duncan misses 2-pt shot from 2 ft (block by T. Booker),,18-25,,
11:19.0,Offensive rebound by T. Duncan,,18-25,,
11:19.0,T. Duncan makes 2-pt shot from 1 ft,2,20-25,,
11:08.0,Personal foul by J. Simmons (drawn by D. Favors),,20-25,,
10:54.0,,,20-25,,R. Hood misses 2-pt shot from 13 ft
10:54.0,,,20-25,,Offensive rebound by Team
10:54.0,Loose ball foul by J. Simmons (drawn by D. Favors),,20-25,,
10:38.0,,,20-25,,D. Favors misses 2-pt shot from 1 ft (block by T. Duncan)
10:37.0,,,20-25,,Offensive rebound by D. Favors
10:36.0,,,20-27,2,D. Favors makes 2-pt shot from 2 ft
10:08.0,B. Diaw misses 3-pt shot from 25 ft,,20-27,,
