time,Miami,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. A. Stoudemire (C. Bosh gains possession),,,,Jump ball: G. Monroe vs. A. Stoudemire (C. Bosh gains possession)
11:44.0,A. Stoudemire makes 2-pt shot from 4 ft (assist by C. Bosh),2,2-0,,
11:29.0,,,2-0,,Turnover by G. Antetokounmpo (bad pass; steal by D. Wade)
11:18.0,C. Bosh makes 2-pt shot from 17 ft (assist by G. Dragic),2,4-0,,
10:58.0,,,4-2,2,G. Antetokounmpo makes 2-pt shot at rim
10:41.0,L. Deng misses 3-pt shot from 24 ft,,4-2,,
10:40.0,,,4-2,,Defensive rebound by G. Monroe
10:35.0,,,4-4,2,J. Parker makes 2-pt shot at rim (assist by M. Carter-Williams)
10:18.0,Turnover by L. Deng (bad pass; steal by J. Parker),,4-4,,
10:11.0,,,4-4,,G. Monroe misses 2-pt shot at rim (block by L. Deng)
10:07.0,Defensive rebound by G. Dragic,,4-4,,
10:02.0,G. Dragic makes 2-pt shot from 16 ft,2,6-4,,
9:43.0,,,6-4,,K. Middleton misses 2-pt shot from 1 ft
9:41.0,,,6-4,,Offensive rebound by G. Monroe
9:38.0,,,6-6,2,G. Monroe makes 2-pt shot from 5 ft
9:18.0,G. Dragic makes 2-pt shot from 14 ft,2,8-6,,
9:00.0,,,8-6,,G. Antetokounmpo misses 2-pt shot from 4 ft
8:59.0,Defensive rebound by D. Wade,,8-6,,
8:49.0,C. Bosh misses 3-pt shot from 22 ft,,8-6,,
8:48.0,,,8-6,,Defensive rebound by M. Carter-Williams
8:40.0,,,8-8,2,G. Monroe makes 2-pt shot from 5 ft (assist by M. Carter-Williams)
8:30.0,G. Dragic makes 2-pt shot from 2 ft (assist by D. Wade),2,10-8,,
8:17.0,Personal foul by L. Deng (drawn by M. Carter-Williams),,10-8,,
8:11.0,,,10-10,2,J. Parker makes 2-pt shot at rim (assist by G. Monroe)
8:11.0,,,10-10,,Shooting foul by D. Wade (drawn by J. Parker)
8:11.0,,,10-11,1,J. Parker makes free throw 1 of 1
8:00.0,A. Stoudemire makes 2-pt shot from 1 ft (assist by G. Dragic),2,12-11,,
7:43.0,,,12-13,2,M. Carter-Williams makes 2-pt shot from 6 ft
7:24.0,D. Wade makes 2-pt shot from 9 ft,2,14-13,,
7:10.0,,,14-13,,K. Middleton misses 2-pt shot from 14 ft
7:09.0,Defensive rebound by C. Bosh,,14-13,,
6:57.0,A. Stoudemire makes 2-pt shot at rim (assist by D. Wade),2,16-13,,
6:43.0,,,16-13,,J. Parker misses 2-pt shot from 15 ft
6:41.0,Defensive rebound by A. Stoudemire,,16-13,,
6:32.0,J. Winslow enters the game for A. Stoudemire,,16-13,,
6:32.0,,,16-13,,M. Plumlee enters the game for G. Monroe
6:21.0,D. Wade misses 2-pt shot at rim,,16-13,,
6:20.0,,,16-13,,Defensive rebound by J. Parker
6:04.0,,,16-13,,M. Carter-Williams misses 2-pt shot from 18 ft
6:02.0,Defensive rebound by L. Deng,,16-13,,
5:49.0,Turnover by C. Bosh (bad pass),,16-13,,
5:49.0,,,16-13,,Milwaukee full timeout
5:49.0,J. McRoberts enters the game for C. Bosh,,16-13,,
5:30.0,,,16-13,,J. Parker misses 2-pt shot from 1 ft
5:28.0,,,16-13,,Offensive rebound by M. Plumlee
5:28.0,,,16-13,,M. Plumlee misses 2-pt shot from 1 ft
5:27.0,,,16-13,,Offensive rebound by M. Plumlee
5:27.0,,,16-13,,M. Plumlee misses 2-pt shot from 1 ft
5:26.0,,,16-13,,Offensive rebound by M. Plumlee
5:21.0,,,16-13,,K. Middleton misses 2-pt shot from 4 ft
5:18.0,,,16-13,,Offensive rebound by M. Plumlee
5:18.0,,,16-15,2,M. Plumlee makes 2-pt shot at rim
5:05.0,Offensive foul by J. McRoberts,,16-15,,
5:05.0,Turnover by J. McRoberts (offensive foul),,16-15,,
5:05.0,B. Udrih enters the game for G. Dragic,,16-15,,
4:48.0,,,16-15,,M. Carter-Williams misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by D. Wade,,16-15,,
4:40.0,D. Wade misses 2-pt shot at rim (block by M. Plumlee),,16-15,,
4:38.0,,,16-15,,Defensive rebound by M. Carter-Williams
4:35.0,,,16-17,2,J. Parker makes 2-pt shot from 1 ft
4:27.0,Miami full timeout,,16-17,,
4:27.0,,,16-17,,J. Bayless enters the game for G. Antetokounmpo
4:20.0,D. Wade makes 2-pt shot from 4 ft (assist by B. Udrih),2,18-17,,
4:20.0,Shooting foul by J. Bayless (drawn by D. Wade),,18-17,,
4:20.0,D. Wade makes free throw 1 of 1,1,19-17,,
4:08.0,,,19-17,,Turnover by K. Middleton (bad pass; steal by J. McRoberts)
4:01.0,J. Winslow makes 2-pt shot from 2 ft (assist by D. Wade),2,21-17,,
3:38.0,,,21-19,2,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
3:22.0,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade),3,24-19,,
3:08.0,,,24-19,,M. Carter-Williams misses 2-pt shot from 4 ft
3:06.0,,,24-19,,Offensive rebound by M. Carter-Williams
