time,Sacramento,pts.away,score,pts.home,Orlando
6:41.0,,,9-6,2,V. Oladipo makes 2-pt shot from 2 ft
6:33.0,D. Collison makes 2-pt shot from 1 ft,2,11-6,,
6:16.0,,,11-8,2,N. Vucevic makes 2-pt shot from 3 ft (assist by T. Harris)
6:09.0,D. Collison misses 3-pt shot from 26 ft,,11-8,,
6:08.0,,,11-8,,Defensive rebound by V. Oladipo
5:56.0,,,11-8,,E. Fournier misses 2-pt shot from 7 ft
5:55.0,Defensive rebound by D. Cousins,,11-8,,
5:47.0,D. Cousins misses 3-pt shot from 24 ft,,11-8,,
5:45.0,,,11-8,,Defensive rebound by N. Vucevic
5:39.0,,,11-10,2,E. Payton makes 2-pt shot from 19 ft
5:28.0,Turnover by D. Cousins (lost ball; steal by N. Vucevic),,11-10,,
5:25.0,,,11-12,2,T. Harris makes 2-pt shot from 1 ft (assist by V. Oladipo)
5:25.0,,,11-12,,Shooting foul by O. Casspi (drawn by T. Harris)
5:25.0,,,11-12,,Orlando full timeout
5:25.0,,,11-12,,M. Hezonja enters the game for E. Fournier
5:25.0,,,11-13,1,T. Harris makes free throw 1 of 1
5:08.0,B. McLemore makes 2-pt shot from 22 ft (assist by R. Rondo),2,13-13,,
4:52.0,,,13-13,,V. Oladipo misses 2-pt shot from 16 ft
4:49.0,,,13-13,,Offensive rebound by M. Hezonja
4:38.0,,,13-16,3,V. Oladipo makes 3-pt shot from 26 ft (assist by E. Payton)
4:17.0,D. Cousins makes 2-pt shot from 1 ft,2,15-16,,
4:11.0,,,15-16,,Technical foul by T. Harris
4:11.0,D. Collison makes technical free throw,1,16-16,,
4:11.0,M. Belinelli enters the game for D. Collison,,16-16,,
4:11.0,,,16-16,,A. Gordon enters the game for T. Harris
4:11.0,,,16-16,,Technical foul by Team
4:11.0,M. Belinelli misses technical free throw,,16-16,,
4:11.0,,,16-16,,Offensive rebound by Team
4:01.0,,,16-16,,E. Payton misses 2-pt shot from 18 ft
3:58.0,Defensive rebound by B. McLemore,,16-16,,
3:55.0,Shooting foul by A. Gordon (drawn by M. Belinelli),,16-16,,
3:55.0,M. Belinelli makes free throw 1 of 3,1,17-16,,
3:55.0,M. Belinelli makes free throw 2 of 3,1,18-16,,
3:55.0,,,18-16,,D. Dedmon enters the game for N. Vucevic
3:55.0,K. Koufos enters the game for B. McLemore,,18-16,,
3:55.0,M. Belinelli makes free throw 3 of 3,1,19-16,,
3:45.0,,,19-16,,Turnover by V. Oladipo (lost ball; steal by R. Rondo)
3:22.0,O. Casspi makes 2-pt shot from 5 ft (assist by R. Rondo),2,21-16,,
3:06.0,,,21-18,2,V. Oladipo makes 2-pt shot from 17 ft
2:43.0,R. Rondo makes 3-pt shot from 26 ft (assist by M. Belinelli),3,24-18,,
2:25.0,,,24-20,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
2:14.0,,,24-20,,Personal foul by D. Dedmon (drawn by D. Cousins)
2:14.0,Sacramento full timeout,,24-20,,
2:14.0,,,24-20,,E. Fournier enters the game for V. Oladipo
2:05.0,M. Belinelli misses 2-pt shot from 16 ft,,24-20,,
2:04.0,,,24-20,,Defensive rebound by M. Hezonja
1:53.0,,,24-20,,Turnover by D. Dedmon (offensive foul)
1:53.0,,,24-20,,Offensive foul by D. Dedmon
1:53.0,,,24-20,,J. Smith enters the game for D. Dedmon
1:29.0,Turnover by Team (shot clock),,24-20,,
1:18.0,,,24-20,,Turnover by M. Hezonja (bad pass; steal by K. Koufos)
1:08.0,R. Rondo makes 3-pt shot from 26 ft (assist by D. Cousins),3,27-20,,
0:55.0,,,27-20,,E. Payton misses 2-pt shot from 1 ft
0:53.0,Defensive rebound by K. Koufos,,27-20,,
0:48.0,O. Casspi misses 3-pt shot from 24 ft,,27-20,,
0:46.0,,,27-20,,Defensive rebound by A. Gordon
0:40.0,,,27-20,,A. Gordon misses 2-pt shot from 11 ft
0:39.0,Defensive rebound by D. Cousins,,27-20,,
0:28.0,K. Koufos misses 2-pt shot from 2 ft,,27-20,,
0:27.0,,,27-20,,Defensive rebound by E. Payton
0:23.0,,,27-22,2,A. Gordon makes 2-pt shot at rim (assist by M. Hezonja)
0:00.0,O. Casspi misses 2-pt shot from 2 ft,,27-22,,
0:00.0,Offensive rebound by Team,,27-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,Violation by Team (delay of game),,27-22,,
11:49.0,,,27-22,,Personal foul by S. Napier (drawn by R. Rondo)
11:35.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by R. Rondo),2,29-22,,
11:23.0,Personal foul by M. Belinelli (drawn by E. Fournier),,29-22,,
11:15.0,,,29-24,2,J. Smith makes 2-pt shot from 4 ft (assist by S. Napier)
11:04.0,,,29-24,,Personal foul by J. Smith (drawn by R. Rondo)
11:04.0,D. Collison enters the game for R. Rondo,,29-24,,
10:55.0,O. Casspi misses 2-pt shot from 4 ft,,29-24,,
10:53.0,Offensive rebound by K. Koufos,,29-24,,
10:53.0,K. Koufos misses 2-pt shot from 2 ft,,29-24,,
10:52.0,,,29-24,,Defensive rebound by J. Smith
10:44.0,,,29-27,3,M. Hezonja makes 3-pt shot from 22 ft
10:33.0,,,29-27,,Personal foul by M. Hezonja (drawn by O. Casspi)
10:20.0,D. Collison misses 2-pt shot from 13 ft,,29-27,,
10:18.0,,,29-27,,Defensive rebound by Team
10:18.0,Loose ball foul by K. Koufos (drawn by J. Smith),,29-27,,
10:07.0,,,29-27,,E. Fournier misses 2-pt shot from 4 ft
10:06.0,Defensive rebound by M. Belinelli,,29-27,,
9:49.0,M. Belinelli misses 3-pt shot from 30 ft,,29-27,,
9:47.0,Offensive rebound by K. Koufos,,29-27,,
9:47.0,Shooting foul by J. Smith (drawn by K. Koufos),,29-27,,
9:47.0,K. Koufos makes free throw 1 of 2,1,30-27,,
9:47.0,,,30-27,,N. Vucevic enters the game for J. Smith
9:47.0,,,30-27,,A. Nicholson enters the game for A. Gordon
9:47.0,K. Koufos makes free throw 2 of 2,1,31-27,,
9:29.0,,,31-27,,E. Fournier misses 3-pt shot from 23 ft
9:27.0,Defensive rebound by O. Casspi,,31-27,,
9:14.0,,,31-27,,Violation by A. Nicholson (kicked ball)
9:03.0,M. Belinelli misses 3-pt shot from 24 ft,,31-27,,
9:02.0,Offensive rebound by W. Cauley-Stein,,31-27,,
8:56.0,O. Casspi misses 2-pt shot from 1 ft,,31-27,,
8:54.0,,,31-27,,Defensive rebound by N. Vucevic
8:54.0,Personal foul by W. Cauley-Stein (drawn by N. Vucevic),,31-27,,
8:54.0,Official timeout,,31-27,,
8:54.0,B. McLemore enters the game for O. Casspi,,31-27,,
8:36.0,,,31-27,,A. Nicholson misses 2-pt shot from 7 ft
8:35.0,Defensive rebound by K. Koufos,,31-27,,
8:29.0,Turnover by D. Collison (bad pass; steal by E. Fournier),,31-27,,
8:24.0,,,31-29,2,E. Fournier makes 2-pt shot at rim
8:23.0,,,31-29,,Violation by Team (delay of game)
8:06.0,B. McLemore misses 2-pt shot from 7 ft,,31-29,,
8:05.0,,,31-29,,Defensive rebound by M. Hezonja
7:58.0,,,31-29,,A. Nicholson misses 2-pt shot from 6 ft (block by W. Cauley-Stein)
7:56.0,,,31-29,,Offensive rebound by S. Napier
7:52.0,,,31-29,,E. Fournier misses 3-pt shot from 23 ft
7:51.0,,,31-29,,Offensive rebound by A. Nicholson
7:49.0,,,31-31,2,A. Nicholson makes 2-pt shot from 2 ft
7:33.0,M. Belinelli makes 3-pt shot from 25 ft (assist by B. McLemore),3,34-31,,
7:16.0,,,34-31,,Shooting foul by B. McLemore (drawn by N. Vucevic)
7:16.0,,,34-32,1,N. Vucevic makes free throw 1 of 2
7:16.0,D. Cousins enters the game for K. Koufos,,34-32,,
7:16.0,,,34-32,,E. Payton enters the game for E. Fournier
7:16.0,,,34-32,,V. Oladipo enters the game for M. Hezonja
7:16.0,,,34-32,,T. Harris enters the game for S. Napier
7:16.0,,,34-32,,N. Vucevic misses free throw 2 of 2
7:15.0,Defensive rebound by B. McLemore,,34-32,,
7:05.0,Turnover by D. Collison (bad pass; steal by T. Harris),,34-32,,
6:58.0,,,34-32,,V. Oladipo misses 3-pt shot from 23 ft
6:57.0,Defensive rebound by W. Cauley-Stein,,34-32,,
6:52.0,B. McLemore misses 2-pt shot at rim,,34-32,,
6:50.0,,,34-32,,Defensive rebound by N. Vucevic
6:43.0,,,34-32,,V. Oladipo misses 2-pt shot from 1 ft (block by D. Cousins)
6:41.0,,,34-32,,Offensive rebound by V. Oladipo
6:36.0,,,34-32,,T. Harris misses 3-pt shot from 23 ft
6:36.0,Defensive rebound by Team,,34-32,,
6:36.0,,,34-32,,Loose ball foul by A. Nicholson (drawn by B. McLemore)
6:36.0,B. McLemore makes free throw 1 of 2,1,35-32,,
6:36.0,O. Casspi enters the game for W. Cauley-Stein,,35-32,,
6:36.0,B. McLemore makes free throw 2 of 2,1,36-32,,
6:19.0,,,36-32,,E. Payton misses 2-pt shot from 2 ft
6:16.0,,,36-32,,Offensive rebound by E. Payton
6:11.0,,,36-32,,V. Oladipo misses 3-pt shot from 30 ft
6:09.0,Defensive rebound by D. Cousins,,36-32,,
6:01.0,M. Belinelli misses 3-pt shot from 24 ft,,36-32,,
6:00.0,Offensive rebound by B. McLemore,,36-32,,
5:51.0,O. Casspi makes 2-pt shot from 1 ft (assist by M. Belinelli),2,38-32,,
5:30.0,Violation by B. McLemore (kicked ball),,38-32,,
5:30.0,,,38-32,,Orlando full timeout
5:21.0,,,38-32,,V. Oladipo misses 2-pt shot from 19 ft
5:20.0,Defensive rebound by D. Cousins,,38-32,,
5:08.0,Shooting foul by N. Vucevic (drawn by D. Cousins),,38-32,,
5:08.0,D. Cousins makes free throw 1 of 2,1,39-32,,
5:08.0,R. Rondo enters the game for M. Belinelli,,39-32,,
5:08.0,D. Cousins makes free throw 2 of 2,1,40-32,,
4:47.0,,,40-32,,T. Harris misses 2-pt shot from 8 ft
4:45.0,Defensive rebound by O. Casspi,,40-32,,
4:28.0,D. Cousins misses 2-pt shot from 14 ft,,40-32,,
4:27.0,,,40-32,,Defensive rebound by T. Harris
4:19.0,,,40-32,,N. Vucevic misses 2-pt shot from 17 ft
4:18.0,,,40-32,,Offensive rebound by A. Nicholson
4:16.0,,,40-34,2,A. Nicholson makes 2-pt shot from 2 ft
4:08.0,D. Collison misses 2-pt shot from 1 ft,,40-34,,
4:06.0,Offensive rebound by O. Casspi,,40-34,,
4:00.0,D. Collison makes 3-pt shot from 23 ft (assist by R. Rondo),3,43-34,,
3:45.0,,,43-37,3,V. Oladipo makes 3-pt shot from 24 ft (assist by A. Nicholson)
3:35.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,45-37,,
3:11.0,,,45-37,,A. Nicholson misses 2-pt shot from 3 ft
3:09.0,,,45-37,,Offensive rebound by N. Vucevic
3:09.0,,,45-39,2,N. Vucevic makes 2-pt shot from 1 ft
2:48.0,O. Casspi makes 3-pt shot from 26 ft (assist by D. Cousins),3,48-39,,
2:28.0,,,48-39,,E. Payton misses 2-pt shot from 2 ft (block by D. Cousins)
2:27.0,,,48-39,,Offensive rebound by V. Oladipo
2:26.0,Personal foul by B. McLemore (drawn by V. Oladipo),,48-39,,
2:26.0,Sacramento full timeout,,48-39,,
2:26.0,,,48-39,,A. Gordon enters the game for N. Vucevic
2:26.0,,,48-39,,J. Smith enters the game for A. Nicholson
2:26.0,K. Koufos enters the game for O. Casspi,,48-39,,
2:26.0,,,48-39,,V. Oladipo misses free throw 1 of 2
2:26.0,,,48-39,,Offensive rebound by Team
2:26.0,,,48-40,1,V. Oladipo makes free throw 2 of 2
2:08.0,B. McLemore misses 2-pt shot from 4 ft,,48-40,,
2:07.0,,,48-40,,Defensive rebound by A. Gordon
1:55.0,,,48-42,2,T. Harris makes 2-pt shot from 4 ft (assist by A. Gordon)
1:46.0,Shooting foul by J. Smith (drawn by D. Cousins),,48-42,,
1:46.0,D. Cousins makes free throw 1 of 3,1,49-42,,
1:46.0,D. Cousins makes free throw 2 of 3,1,50-42,,
1:46.0,M. Belinelli enters the game for D. Collison,,50-42,,
1:46.0,,,50-42,,D. Dedmon enters the game for J. Smith
1:46.0,,,50-42,,S. Napier enters the game for V. Oladipo
1:46.0,D. Cousins makes free throw 3 of 3,1,51-42,,
1:25.0,,,51-45,3,S. Napier makes 3-pt shot from 25 ft (assist by T. Harris)
1:07.0,D. Cousins makes 2-pt shot from 1 ft,2,53-45,,
0:46.0,,,53-45,,Turnover by T. Harris (turnover)
0:33.0,Offensive charge foul by B. McLemore,,53-45,,
0:33.0,Turnover by B. McLemore (offensive foul),,53-45,,
0:33.0,D. Collison enters the game for B. McLemore,,53-45,,
0:28.0,Violation by K. Koufos (kicked ball),,53-45,,
0:20.0,,,53-47,2,A. Gordon makes 2-pt shot from 15 ft
0:02.0,R. Rondo misses 2-pt shot from 1 ft (block by D. Dedmon),,53-47,,
0:02.0,Offensive rebound by Team,,53-47,,
0:02.0,Sacramento full timeout,,53-47,,
0:01.0,D. Cousins misses 2-pt shot from 15 ft,,53-47,,
0:00.0,,,53-47,,Defensive rebound by S. Napier
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Collison misses 2-pt shot from 15 ft,,53-47,,
11:42.0,Offensive rebound by Team,,53-47,,
11:32.0,Turnover by B. McLemore (lost ball; steal by T. Harris),,53-47,,
11:15.0,,,53-47,,T. Harris misses 2-pt shot from 17 ft
11:14.0,,,53-47,,Offensive rebound by N. Vucevic
11:12.0,,,53-47,,N. Vucevic misses 2-pt shot at rim (block by W. Cauley-Stein)
11:10.0,,,53-47,,Offensive rebound by N. Vucevic
11:07.0,,,53-47,,E. Payton misses 2-pt shot from 1 ft
11:02.0,Defensive rebound by D. Collison,,53-47,,
10:49.0,Turnover by D. Collison (lost ball),,53-47,,
10:36.0,,,53-47,,E. Fournier misses 2-pt shot from 18 ft
10:35.0,Defensive rebound by R. Rondo,,53-47,,
10:26.0,D. Cousins misses 2-pt shot from 9 ft,,53-47,,
10:25.0,,,53-47,,Defensive rebound by E. Fournier
10:05.0,,,53-49,2,N. Vucevic makes 2-pt shot from 4 ft (assist by V. Oladipo)
9:55.0,,,53-49,,Personal foul by E. Fournier (drawn by B. McLemore)
9:39.0,B. McLemore misses 3-pt shot from 28 ft,,53-49,,
9:38.0,,,53-49,,Defensive rebound by T. Harris
9:27.0,,,53-51,2,E. Payton makes 2-pt shot from 12 ft (assist by T. Harris)
9:07.0,B. McLemore misses 2-pt shot from 2 ft,,53-51,,
9:05.0,,,53-51,,Defensive rebound by N. Vucevic
8:58.0,,,53-51,,Turnover by E. Payton (turnover)
8:48.0,,,53-51,,Personal foul by E. Fournier (drawn by W. Cauley-Stein)
8:41.0,D. Collison misses 3-pt shot from 26 ft,,53-51,,
8:39.0,,,53-51,,Defensive rebound by T. Harris
8:31.0,,,53-54,3,E. Payton makes 3-pt shot from 24 ft (assist by V. Oladipo)
8:10.0,D. Cousins makes 2-pt shot at rim,2,55-54,,
8:00.0,,,55-54,,Orlando full timeout
7:50.0,,,55-54,,Shooting foul by W. Cauley-Stein (drawn by T. Harris)
7:50.0,,,55-56,2,T. Harris makes 2-pt shot from 4 ft (assist by E. Payton)
7:50.0,,,55-57,1,T. Harris makes free throw 1 of 1
7:25.0,B. McLemore makes 2-pt shot from 15 ft (assist by D. Cousins),2,57-57,,
7:06.0,,,57-60,3,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic)
6:42.0,Turnover by B. McLemore (turnover),,57-60,,
6:42.0,O. Casspi enters the game for W. Cauley-Stein,,57-60,,
6:30.0,,,57-60,,N. Vucevic misses 2-pt shot from 20 ft
6:29.0,Defensive rebound by O. Casspi,,57-60,,
6:20.0,Shooting foul by E. Payton (drawn by D. Cousins),,57-60,,
6:20.0,D. Cousins makes free throw 1 of 2,1,58-60,,
6:20.0,D. Cousins makes free throw 2 of 2,1,59-60,,
6:00.0,,,59-63,3,E. Fournier makes 3-pt shot from 26 ft (assist by N. Vucevic)
5:38.0,Turnover by D. Cousins (lost ball; steal by E. Fournier),,59-63,,
5:38.0,Personal take foul by O. Casspi (drawn by E. Fournier),,59-63,,
5:38.0,M. Belinelli enters the game for B. McLemore,,59-63,,
5:20.0,,,59-63,,E. Payton misses 3-pt shot from 23 ft
5:19.0,Defensive rebound by D. Cousins,,59-63,,
5:14.0,O. Casspi makes 2-pt shot from 1 ft (assist by R. Rondo),2,61-63,,
5:03.0,,,61-65,2,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton)
4:57.0,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison),2,63-65,,
4:57.0,Shooting foul by N. Vucevic (drawn by D. Cousins),,63-65,,
4:57.0,D. Cousins makes free throw 1 of 1,1,64-65,,
4:44.0,Personal foul by D. Cousins (drawn by E. Fournier),,64-65,,
4:39.0,,,64-65,,Turnover by E. Payton (bad pass; steal by D. Cousins)
4:34.0,M. Belinelli makes 2-pt shot at rim (assist by O. Casspi),2,66-65,,
4:11.0,,,66-65,,V. Oladipo misses 3-pt shot from 25 ft
4:10.0,,,66-65,,Offensive rebound by N. Vucevic
4:08.0,,,66-65,,Turnover by T. Harris (lost ball; steal by D. Cousins)
4:07.0,,,66-65,,Personal foul by V. Oladipo (drawn by D. Collison)
4:07.0,D. Collison makes free throw 1 of 2,1,67-65,,
4:07.0,D. Collison makes free throw 2 of 2,1,68-65,,
3:55.0,,,68-65,,Turnover by E. Payton (traveling)
3:55.0,K. Koufos enters the game for D. Collison,,68-65,,
3:55.0,,,68-65,,M. Hezonja enters the game for V. Oladipo
3:38.0,K. Koufos makes 2-pt shot at rim (assist by D. Cousins),2,70-65,,
3:29.0,,,70-65,,Turnover by T. Harris (lost ball; steal by O. Casspi)
3:28.0,Turnover by O. Casspi (lost ball),,70-65,,
3:28.0,,,70-65,,S. Napier enters the game for E. Payton
3:16.0,,,70-65,,Turnover by E. Fournier (bad pass; steal by R. Rondo)
3:12.0,,,70-65,,Violation by M. Hezonja (def goaltending)
3:12.0,R. Rondo makes 2-pt shot from 1 ft,2,72-65,,
2:58.0,,,72-65,,N. Vucevic misses 2-pt shot from 15 ft
2:57.0,Defensive rebound by D. Cousins,,72-65,,
2:42.0,K. Koufos makes 2-pt shot at rim (assist by D. Cousins),2,74-65,,
2:30.0,,,74-67,2,E. Fournier makes 2-pt shot at rim
2:23.0,Shooting foul by M. Hezonja (drawn by K. Koufos),,74-67,,
2:23.0,Sacramento full timeout,,74-67,,
2:23.0,,,74-67,,V. Oladipo enters the game for E. Fournier
2:23.0,,,74-67,,A. Gordon enters the game for T. Harris
2:23.0,,,74-67,,J. Smith enters the game for N. Vucevic
2:23.0,K. Koufos makes free throw 1 of 2,1,75-67,,
2:23.0,K. Koufos makes free throw 2 of 2,1,76-67,,
2:16.0,Personal foul by R. Rondo (drawn by V. Oladipo),,76-67,,
2:06.0,,,76-67,,M. Hezonja misses 3-pt shot from 24 ft
2:03.0,Defensive rebound by D. Cousins,,76-67,,
1:50.0,K. Koufos makes 2-pt shot from 5 ft (assist by D. Cousins),2,78-67,,
1:35.0,,,78-67,,J. Smith misses 2-pt shot from 19 ft
1:34.0,Defensive rebound by M. Belinelli,,78-67,,
1:19.0,M. Belinelli makes 3-pt shot from 26 ft (assist by R. Rondo),3,81-67,,
1:02.0,,,81-67,,V. Oladipo misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by R. Rondo,,81-67,,
0:48.0,O. Casspi makes 2-pt shot from 1 ft (assist by M. Belinelli),2,83-67,,
0:35.0,,,83-67,,A. Gordon misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by O. Casspi,,83-67,,
0:28.0,D. Cousins misses 2-pt shot from 1 ft (block by A. Gordon),,83-67,,
0:25.0,,,83-67,,Defensive rebound by A. Gordon
0:04.0,,,83-67,,M. Hezonja misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by D. Cousins,,83-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Personal foul by R. Rondo (drawn by A. Gordon),,83-67,,
11:26.0,,,83-67,,E. Payton misses 2-pt shot from 16 ft
11:24.0,Defensive rebound by O. Casspi,,83-67,,
11:14.0,K. Koufos misses 2-pt shot from 1 ft (block by T. Harris),,83-67,,
11:12.0,,,83-67,,Defensive rebound by E. Payton
11:07.0,,,83-67,,E. Fournier misses 3-pt shot from 24 ft
11:07.0,,,83-67,,Offensive rebound by Team
11:07.0,Loose ball foul by O. Casspi (drawn by T. Harris),,83-67,,
10:59.0,,,83-69,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
10:39.0,K. Koufos makes 2-pt shot from 4 ft (assist by O. Casspi),2,85-69,,
10:22.0,,,85-69,,J. Smith misses 2-pt shot from 3 ft
10:21.0,Defensive rebound by O. Casspi,,85-69,,
10:14.0,W. Cauley-Stein misses 2-pt shot at rim (block by J. Smith),,85-69,,
10:10.0,,,85-69,,Defensive rebound by A. Gordon
10:07.0,Shooting block foul by W. Cauley-Stein (drawn by T. Harris),,85-69,,
10:07.0,,,85-70,1,T. Harris makes free throw 1 of 2
10:07.0,B. McLemore enters the game for O. Casspi,,85-70,,
10:07.0,,,85-71,1,T. Harris makes free throw 2 of 2
9:58.0,,,85-71,,Personal foul by T. Harris (drawn by B. McLemore)
9:58.0,,,85-71,,C. Frye enters the game for J. Smith
9:58.0,D. Collison enters the game for M. Belinelli,,85-71,,
9:49.0,B. McLemore misses 2-pt shot from 18 ft,,85-71,,
9:48.0,,,85-71,,Defensive rebound by C. Frye
9:31.0,,,85-73,2,T. Harris makes 2-pt shot at rim
9:13.0,Turnover by B. McLemore (back court),,85-73,,
9:13.0,Sacramento full timeout,,85-73,,
9:13.0,D. Cousins enters the game for W. Cauley-Stein,,85-73,,
9:02.0,,,85-73,,C. Frye misses 3-pt shot from 26 ft
9:01.0,Defensive rebound by K. Koufos,,85-73,,
8:40.0,D. Cousins misses 2-pt shot from 22 ft,,85-73,,
8:39.0,,,85-73,,Defensive rebound by C. Frye
8:25.0,,,85-73,,E. Fournier misses 2-pt shot from 16 ft
8:24.0,Defensive rebound by D. Cousins,,85-73,,
8:08.0,Turnover by D. Cousins (lost ball; steal by A. Gordon),,85-73,,
8:02.0,,,85-75,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
7:45.0,B. McLemore misses 3-pt shot from 26 ft,,85-75,,
7:45.0,Offensive rebound by Team,,85-75,,
7:45.0,,,85-75,,Loose ball foul by A. Gordon (drawn by D. Cousins)
7:45.0,O. Casspi enters the game for B. McLemore,,85-75,,
7:45.0,Turnover by Team (5 sec inbounds),,85-75,,
7:33.0,,,85-75,,C. Frye misses 2-pt shot from 1 ft
7:31.0,,,85-75,,Offensive rebound by A. Gordon
7:31.0,,,85-75,,A. Gordon misses 2-pt shot at rim
7:28.0,,,85-75,,Offensive rebound by E. Payton
7:28.0,,,85-75,,Turnover by E. Payton (lost ball; steal by D. Collison)
7:24.0,D. Collison misses 2-pt shot at rim (block by T. Harris),,85-75,,
7:22.0,,,85-75,,Defensive rebound by A. Gordon
7:15.0,,,85-77,2,T. Harris makes 2-pt shot from 2 ft (assist by E. Fournier)
6:53.0,,,85-77,,Personal foul by A. Gordon (drawn by D. Cousins)
6:48.0,R. Rondo makes 2-pt shot from 3 ft,2,87-77,,
6:33.0,,,87-80,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton)
6:14.0,,,87-80,,Personal foul by A. Gordon (drawn by D. Cousins)
6:14.0,M. Belinelli enters the game for K. Koufos,,87-80,,
6:05.0,R. Rondo misses 3-pt shot from 26 ft,,87-80,,
6:04.0,,,87-80,,Defensive rebound by E. Fournier
5:59.0,,,87-80,,Offensive foul by E. Fournier
5:59.0,,,87-80,,Turnover by E. Fournier (offensive foul)
5:59.0,,,87-80,,Technical foul by E. Fournier
