time,Portland,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. M. Plumlee (J. Anderson gains possession),,,,Jump ball: W. Cauley-Stein vs. M. Plumlee (J. Anderson gains possession)
11:38.0,,,0-3,3,J. Anderson makes 3-pt shot from 25 ft (assist by S. Curry)
11:18.0,D. Lillard makes 3-pt shot from 24 ft,3,3-3,,
11:09.0,,,3-3,,Turnover by R. Rondo (bad pass)
11:01.0,M. Plumlee misses 2-pt shot from 11 ft,,3-3,,
11:01.0,,,3-3,,Defensive rebound by W. Cauley-Stein
10:42.0,,,3-3,,J. Anderson misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by M. Plumlee,,3-3,,
10:33.0,D. Lillard misses 3-pt shot from 25 ft,,3-3,,
10:32.0,,,3-3,,Defensive rebound by R. Rondo
10:21.0,,,3-5,2,D. Cousins makes 2-pt shot at rim
10:00.0,D. Lillard misses 3-pt shot from 26 ft,,3-5,,
10:00.0,,,3-5,,Defensive rebound by W. Cauley-Stein
9:52.0,,,3-7,2,R. Rondo makes 2-pt shot from 3 ft
9:33.0,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard),3,6-7,,
9:24.0,,,6-9,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo)
9:02.0,C. McCollum makes 2-pt shot from 19 ft,2,8-9,,
8:38.0,,,8-11,2,D. Cousins makes 2-pt shot from 2 ft
8:15.0,M. Harkless misses 2-pt shot from 16 ft,,8-11,,
8:15.0,,,8-11,,Defensive rebound by R. Rondo
8:05.0,,,8-13,2,D. Cousins makes 2-pt shot at rim
7:39.0,Shooting foul by W. Cauley-Stein (drawn by A. Aminu),,8-13,,
7:39.0,A. Aminu makes free throw 1 of 2,1,9-13,,
7:39.0,A. Aminu misses free throw 2 of 2,,9-13,,
7:39.0,Offensive rebound by M. Harkless,,9-13,,
7:36.0,M. Harkless misses 2-pt shot from 2 ft (block by D. Cousins),,9-13,,
7:34.0,,,9-13,,Defensive rebound by W. Cauley-Stein
7:27.0,,,9-13,,Turnover by J. Anderson (lost ball; steal by A. Aminu)
