time,Philadelphia,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Grant vs. C. Zeller (M. Williams gains possession),,,,Jump ball: J. Grant vs. C. Zeller (M. Williams gains possession)
11:43.0,,,0-0,,C. Lee misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by I. Canaan,,0-0,,
11:24.0,H. Thompson makes 2-pt shot from 1 ft,2,2-0,,
11:08.0,,,2-2,2,K. Walker makes 2-pt shot from 6 ft
10:44.0,H. Thompson misses 3-pt shot from 23 ft,,2-2,,
10:43.0,,,2-2,,Defensive rebound by C. Zeller
10:38.0,,,2-2,,Shooting foul by C. Landry (drawn by K. Walker)
10:38.0,,,2-3,1,K. Walker makes free throw 1 of 2
10:38.0,,,2-4,1,K. Walker makes free throw 2 of 2
10:29.0,I. Canaan misses 3-pt shot from 31 ft,,2-4,,
10:28.0,,,2-4,,Defensive rebound by C. Zeller
10:19.0,,,2-4,,K. Walker misses 2-pt shot from 2 ft (block by I. Canaan)
10:17.0,,,2-4,,Offensive rebound by C. Zeller
10:13.0,,,2-4,,Turnover by N. Batum (lost ball; steal by J. Grant)
10:08.0,J. Grant misses 2-pt shot from 2 ft,,2-4,,
10:05.0,Offensive rebound by C. Landry,,2-4,,
10:05.0,C. Landry makes 2-pt shot from 1 ft,2,4-4,,
9:52.0,,,4-4,,K. Walker misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by C. Landry,,4-4,,
9:35.0,Shooting foul by N. Batum (drawn by J. Grant),,4-4,,
9:35.0,J. Grant makes free throw 1 of 2,1,5-4,,
9:35.0,J. Grant makes free throw 2 of 2,1,6-4,,
9:21.0,,,6-6,2,M. Williams makes 2-pt shot from 2 ft (assist by N. Batum)
9:21.0,,,6-6,,Shooting foul by H. Thompson (drawn by M. Williams)
9:21.0,,,6-6,,M. Williams misses free throw 1 of 1
9:20.0,Defensive rebound by J. Grant,,6-6,,
9:07.0,I. Smith misses 3-pt shot from 24 ft,,6-6,,
9:06.0,Offensive rebound by C. Landry,,6-6,,
9:02.0,Turnover by Team (5 sec inbounds),,6-6,,
8:50.0,,,6-6,,N. Batum misses 2-pt shot from 21 ft
8:49.0,Defensive rebound by J. Grant,,6-6,,
8:40.0,J. Grant makes 2-pt shot from 1 ft (assist by C. Landry),2,8-6,,
8:25.0,,,8-6,,M. Williams misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by I. Smith,,8-6,,
8:12.0,Turnover by H. Thompson (lost ball; steal by C. Zeller),,8-6,,
8:09.0,,,8-8,2,C. Lee makes 2-pt shot from 1 ft (assist by C. Zeller)
8:09.0,Philadelphia full timeout,,8-8,,
8:09.0,R. Covington enters the game for J. Grant,,8-8,,
7:46.0,I. Canaan misses 2-pt shot from 20 ft,,8-8,,
7:45.0,,,8-8,,Defensive rebound by C. Zeller
7:37.0,,,8-11,3,N. Batum makes 3-pt shot from 25 ft (assist by C. Lee)
7:24.0,R. Covington misses 3-pt shot from 26 ft,,8-11,,
7:22.0,,,8-11,,Defensive rebound by C. Lee
7:10.0,Personal foul by H. Thompson,,8-11,,
7:10.0,N. Stauskas enters the game for H. Thompson,,8-11,,
7:01.0,,,8-11,,C. Lee misses 2-pt shot from 9 ft
6:59.0,Defensive rebound by C. Landry,,8-11,,
6:47.0,I. Canaan misses 3-pt shot from 26 ft,,8-11,,
6:46.0,,,8-11,,Defensive rebound by M. Williams
6:43.0,,,8-11,,Shooting foul by N. Stauskas (drawn by C. Zeller)
6:43.0,,,8-12,1,C. Zeller makes free throw 1 of 2
6:43.0,,,8-13,1,C. Zeller makes free throw 2 of 2
6:31.0,C. Landry makes 2-pt shot at rim (assist by R. Covington),2,10-13,,
6:16.0,,,10-13,,Turnover by N. Batum (bad pass)
6:03.0,I. Canaan makes 2-pt shot from 13 ft,2,12-13,,
5:49.0,,,12-15,2,K. Walker makes 2-pt shot from 1 ft
5:39.0,C. Landry misses 2-pt shot from 8 ft (block by C. Zeller),,12-15,,
5:38.0,Offensive rebound by C. Landry,,12-15,,
5:34.0,N. Stauskas makes 3-pt shot from 24 ft (assist by C. Landry),3,15-15,,
5:23.0,,,15-17,2,K. Walker makes 2-pt shot from 18 ft
5:01.0,R. Covington misses 3-pt shot from 25 ft,,15-17,,
5:00.0,,,15-17,,Defensive rebound by K. Walker
4:45.0,,,15-19,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
4:20.0,C. Landry makes 2-pt shot from 2 ft (assist by I. Smith),2,17-19,,
4:03.0,,,17-19,,N. Batum misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by I. Smith,,17-19,,
3:55.0,E. Brand enters the game for C. Landry,,17-19,,
3:55.0,T. McConnell enters the game for I. Canaan,,17-19,,
3:55.0,,,17-19,,A. Jefferson enters the game for C. Zeller
3:55.0,,,17-19,,J. Lin enters the game for C. Lee
3:51.0,Turnover by N. Stauskas (lost ball; steal by J. Lin),,17-19,,
3:46.0,,,17-21,2,J. Lin makes 2-pt shot at rim
3:31.0,N. Stauskas misses 3-pt shot from 23 ft,,17-21,,
3:29.0,,,17-21,,Defensive rebound by A. Jefferson
3:17.0,,,17-21,,A. Jefferson misses 2-pt shot from 9 ft (block by E. Brand)
3:17.0,Defensive rebound by Team,,17-21,,
3:17.0,,,17-21,,F. Kaminsky enters the game for M. Williams
3:17.0,,,17-21,,J. Lamb enters the game for N. Batum
3:01.0,E. Brand makes 2-pt shot from 1 ft (assist by T. McConnell),2,19-21,,
2:40.0,,,19-21,,K. Walker misses 2-pt shot from 18 ft
2:39.0,Defensive rebound by E. Brand,,19-21,,
2:30.0,I. Smith misses 3-pt shot from 24 ft,,19-21,,
2:27.0,,,19-21,,Defensive rebound by J. Lamb
2:14.0,,,19-21,,K. Walker misses 3-pt shot from 24 ft
2:13.0,Defensive rebound by E. Brand,,19-21,,
2:07.0,Turnover by I. Smith (lost ball; steal by F. Kaminsky),,19-21,,
2:06.0,Personal foul by R. Covington,,19-21,,
2:06.0,,,19-21,,Charlotte full timeout
2:06.0,K. Marshall enters the game for I. Smith,,19-21,,
2:06.0,,,19-22,1,F. Kaminsky makes free throw 1 of 2
2:06.0,,,19-22,,F. Kaminsky misses free throw 2 of 2
2:05.0,,,19-22,,Offensive rebound by Team
2:04.0,,,19-24,2,J. Lin makes 2-pt shot from 1 ft (assist by J. Lamb)
2:04.0,,,19-24,,Shooting foul by E. Brand (drawn by J. Lin)
2:04.0,,,19-25,1,J. Lin makes free throw 1 of 1
1:42.0,T. McConnell makes 3-pt shot from 23 ft (assist by N. Stauskas),3,22-25,,
1:18.0,,,22-25,,F. Kaminsky misses 2-pt shot from 1 ft
1:17.0,Defensive rebound by E. Brand,,22-25,,
1:06.0,Shooting foul by A. Jefferson (drawn by R. Covington),,22-25,,
1:06.0,R. Covington misses free throw 1 of 2,,22-25,,
1:06.0,Offensive rebound by Team,,22-25,,
1:06.0,R. Covington misses free throw 2 of 2,,22-25,,
1:05.0,,,22-25,,Defensive rebound by A. Jefferson
0:48.0,,,22-25,,A. Jefferson misses 2-pt shot from 2 ft (block by R. Covington)
0:47.0,Defensive rebound by E. Brand,,22-25,,
0:28.0,R. Covington makes 3-pt shot from 24 ft (assist by E. Brand),3,25-25,,
0:08.0,,,25-25,,K. Walker misses 3-pt shot from 24 ft
0:06.0,Defensive rebound by R. Covington,,25-25,,
0:00.0,R. Covington misses 3-pt shot from 24 ft,,25-25,,
0:00.0,Offensive rebound by Team,,25-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-25,,Personal foul by J. Lamb
11:36.0,E. Brand makes 2-pt shot from 17 ft (assist by T. McConnell),2,27-25,,
11:20.0,,,27-25,,Turnover by J. Lin (lost ball; steal by J. Grant)
11:16.0,K. Marshall misses 2-pt shot from 1 ft,,27-25,,
11:12.0,,,27-25,,Defensive rebound by F. Kaminsky
10:57.0,,,27-25,,J. Lamb misses 2-pt shot from 4 ft (block by J. Grant)
10:55.0,Defensive rebound by K. Marshall,,27-25,,
10:44.0,Shooting foul by J. Lamb (drawn by N. Stauskas),,27-25,,
10:44.0,N. Stauskas misses free throw 1 of 3,,27-25,,
10:44.0,Offensive rebound by Team,,27-25,,
10:44.0,N. Stauskas makes free throw 2 of 3,1,28-25,,
