time,Toronto,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,D. DeRozan misses 2-pt shot from 18 ft,,0-0,,
12:00.0,Jump ball: B. Biyombo vs. L. Deng (P. Patterson gains possession),,,,Jump ball: B. Biyombo vs. L. Deng (P. Patterson gains possession)
11:42.0,,,0-0,,Defensive rebound by G. Dragic
11:37.0,,,0-2,2,D. Wade makes 2-pt shot from 9 ft (assist by G. Dragic)
11:12.0,K. Lowry makes 2-pt shot from 3 ft,2,2-2,,
11:12.0,Shooting foul by J. Johnson (drawn by K. Lowry),,2-2,,
11:12.0,K. Lowry misses free throw 1 of 1,,2-2,,
11:11.0,,,2-2,,Defensive rebound by L. Deng
10:56.0,,,2-2,,D. Wade misses 2-pt shot from 3 ft
10:55.0,Defensive rebound by B. Biyombo,,2-2,,
10:41.0,D. Carroll misses 3-pt shot from 24 ft,,2-2,,
10:40.0,,,2-2,,Defensive rebound by J. Johnson
10:28.0,,,2-2,,G. Dragic misses 3-pt shot from 23 ft
10:27.0,Defensive rebound by D. DeRozan,,2-2,,
10:08.0,K. Lowry misses 2-pt shot from 20 ft,,2-2,,
10:07.0,,,2-2,,Defensive rebound by Team
9:55.0,,,2-5,3,J. Winslow makes 3-pt shot from 24 ft (assist by G. Dragic)
9:30.0,K. Lowry misses 2-pt shot from 2 ft,,2-5,,
9:29.0,Offensive rebound by Team,,2-5,,
9:29.0,Turnover by Team (shot clock),,2-5,,
9:20.0,,,2-5,,G. Dragic misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by K. Lowry,,2-5,,
9:03.0,D. DeRozan makes 2-pt shot from 16 ft,2,4-5,,
8:49.0,,,4-7,2,D. Wade makes 2-pt shot from 14 ft
8:33.0,D. DeRozan misses 2-pt shot from 16 ft,,4-7,,
8:32.0,,,4-7,,Defensive rebound by J. Johnson
8:25.0,,,4-7,,D. Wade misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by K. Lowry,,4-7,,
8:14.0,D. Carroll makes 2-pt shot from 2 ft (assist by K. Lowry),2,6-7,,
8:02.0,,,6-7,,J. Winslow misses 2-pt shot from 1 ft (block by B. Biyombo)
8:01.0,Defensive rebound by D. Carroll,,6-7,,
7:41.0,B. Biyombo misses 2-pt shot from 16 ft,,6-7,,
7:40.0,,,6-7,,Defensive rebound by Team
