time,Golden State,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Bogut (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. A. Bogut (R. Westbrook gains possession)
11:43.0,,,0-0,,K. Durant misses 2-pt shot from 14 ft
11:43.0,,,0-0,,Offensive rebound by A. Roberson
11:27.0,,,0-0,,S. Ibaka misses 3-pt shot from 23 ft
11:27.0,,,0-0,,Offensive rebound by S. Adams
11:22.0,,,0-0,,Turnover by S. Adams (lost ball; steal by S. Curry)
11:19.0,Turnover by S. Curry (lost ball; steal by S. Adams),,0-0,,
11:12.0,,,0-0,,K. Durant misses 2-pt shot from 9 ft
11:11.0,,,0-0,,Offensive rebound by K. Durant
11:09.0,,,0-2,2,K. Durant makes 2-pt shot from 8 ft
10:47.0,K. Thompson misses 3-pt shot from 23 ft,,0-2,,
10:46.0,Offensive rebound by Team,,0-2,,
10:42.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,3-2,,
10:28.0,,,3-2,,Shooting foul by D. Green (drawn by S. Adams)
10:28.0,,,3-2,,S. Adams misses free throw 1 of 2
10:28.0,,,3-2,,Offensive rebound by Team
10:28.0,,,3-3,1,S. Adams makes free throw 2 of 2
10:16.0,S. Curry misses 2-pt shot from 23 ft,,3-3,,
10:14.0,Offensive rebound by K. Thompson,,3-3,,
10:13.0,A. Bogut makes 2-pt shot from 2 ft,2,5-3,,
9:55.0,,,5-5,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
9:40.0,K. Thompson misses 2-pt shot from 22 ft,,5-5,,
9:39.0,,,5-5,,Defensive rebound by R. Westbrook
9:26.0,,,5-7,2,S. Ibaka makes 2-pt shot from 8 ft
9:11.0,H. Barnes misses 2-pt shot from 14 ft,,5-7,,
9:10.0,,,5-7,,Defensive rebound by R. Westbrook
8:59.0,,,5-7,,K. Durant misses 2-pt shot from 14 ft
8:58.0,Defensive rebound by A. Bogut,,5-7,,
8:44.0,S. Curry misses 2-pt shot from 15 ft,,5-7,,
8:43.0,,,5-7,,Defensive rebound by S. Adams
8:33.0,,,5-7,,R. Westbrook misses 2-pt shot from 15 ft
8:32.0,Defensive rebound by K. Thompson,,5-7,,
8:26.0,H. Barnes misses 2-pt shot from 2 ft (block by S. Ibaka),,5-7,,
8:26.0,Offensive rebound by Team,,5-7,,
8:20.0,D. Green makes 3-pt shot from 24 ft (assist by A. Bogut),3,8-7,,
7:55.0,,,8-7,,K. Durant misses 2-pt shot from 2 ft
7:54.0,Defensive rebound by D. Green,,8-7,,
7:51.0,Turnover by D. Green (lost ball; steal by R. Westbrook),,8-7,,
7:48.0,,,8-7,,K. Durant misses 3-pt shot from 24 ft
7:47.0,Defensive rebound by D. Green,,8-7,,
7:32.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,10-7,,
7:13.0,,,10-9,2,R. Westbrook makes 2-pt shot from 17 ft
6:58.0,Turnover by S. Curry (traveling),,10-9,,
6:58.0,A. Iguodala enters the game for H. Barnes,,10-9,,
6:44.0,,,10-9,,R. Westbrook misses 2-pt shot from 2 ft
6:43.0,Defensive rebound by S. Curry,,10-9,,
6:38.0,,,10-9,,Personal foul by S. Adams
6:38.0,,,10-9,,E. Kanter enters the game for S. Adams
6:34.0,K. Thompson misses 2-pt shot from 2 ft (block by A. Roberson),,10-9,,
6:32.0,,,10-9,,Defensive rebound by S. Ibaka
6:21.0,,,10-9,,K. Durant misses 3-pt shot from 26 ft
6:21.0,Defensive rebound by D. Green,,10-9,,
6:15.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,12-9,,
6:15.0,,,12-9,,Oklahoma City full timeout
6:01.0,,,12-9,,S. Ibaka misses 3-pt shot from 22 ft
6:01.0,Defensive rebound by A. Iguodala,,12-9,,
5:43.0,A. Iguodala misses 3-pt shot from 25 ft,,12-9,,
5:42.0,,,12-9,,Defensive rebound by K. Durant
5:21.0,,,12-11,2,R. Westbrook makes 2-pt shot at rim
5:09.0,K. Thompson misses 3-pt shot from 26 ft,,12-11,,
5:08.0,,,12-11,,Defensive rebound by E. Kanter
4:57.0,,,12-14,3,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:49.0,Turnover by D. Green (lost ball; steal by A. Roberson),,12-14,,
4:43.0,,,12-16,2,R. Westbrook makes 2-pt shot from 19 ft
4:41.0,Golden State full timeout,,12-16,,
4:41.0,,,12-16,,D. Waiters enters the game for K. Durant
4:41.0,H. Barnes enters the game for A. Bogut,,12-16,,
4:41.0,,,12-16,,R. Foye enters the game for E. Kanter
4:24.0,K. Thompson misses 2-pt shot from 2 ft (block by A. Roberson),,12-16,,
4:24.0,Offensive rebound by Team,,12-16,,
4:17.0,K. Thompson misses 2-pt shot from 15 ft,,12-16,,
4:17.0,,,12-16,,Defensive rebound by S. Ibaka
4:08.0,,,12-16,,Turnover by A. Roberson (lost ball)
4:01.0,S. Curry misses 3-pt shot from 25 ft,,12-16,,
4:01.0,Offensive rebound by D. Green,,12-16,,
3:55.0,K. Thompson misses 2-pt shot from 1 ft (block by S. Ibaka),,12-16,,
3:55.0,,,12-16,,Defensive rebound by D. Waiters
3:39.0,,,12-18,2,R. Westbrook makes 2-pt shot from 18 ft
3:21.0,K. Thompson makes 2-pt shot from 2 ft,2,14-18,,
3:05.0,,,14-18,,R. Westbrook misses 3-pt shot from 24 ft
3:03.0,Defensive rebound by S. Curry,,14-18,,
2:56.0,D. Green makes 3-pt shot from 22 ft (assist by S. Curry),3,17-18,,
2:36.0,,,17-20,2,S. Ibaka makes 2-pt shot from 16 ft (assist by D. Waiters)
2:29.0,,,17-20,,Personal foul by S. Ibaka
2:29.0,,,17-20,,K. Durant enters the game for S. Ibaka
2:29.0,,,17-20,,S. Adams enters the game for A. Roberson
