time,Boston,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. N. Vucevic (J. Sullinger gains possession),,,,Jump ball: A. Johnson vs. N. Vucevic (J. Sullinger gains possession)
11:45.0,Turnover by I. Thomas (bad pass; steal by C. Frye),,0-0,,
11:39.0,,,0-2,2,E. Fournier makes 2-pt shot from 1 ft (assist by C. Frye)
11:39.0,,,0-2,,Shooting foul by A. Bradley (drawn by E. Fournier)
11:39.0,,,0-3,1,E. Fournier makes free throw 1 of 1
11:24.0,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas),2,2-3,,
11:14.0,,,2-3,,Offensive foul by C. Frye
11:14.0,,,2-3,,Turnover by C. Frye (offensive foul)
11:01.0,A. Johnson misses 2-pt shot from 11 ft,,2-3,,
11:00.0,,,2-3,,Defensive rebound by N. Vucevic
10:50.0,,,2-3,,T. Harris misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by A. Johnson,,2-3,,
10:33.0,Turnover by A. Bradley (bad pass; steal by E. Fournier),,2-3,,
10:28.0,,,2-5,2,T. Harris makes 2-pt shot from 1 ft
10:09.0,I. Thomas misses 2-pt shot from 11 ft,,2-5,,
10:07.0,,,2-5,,Defensive rebound by T. Harris
9:53.0,,,2-5,,N. Vucevic misses 2-pt shot from 8 ft
9:51.0,,,2-5,,Offensive rebound by T. Harris
9:51.0,,,2-7,2,T. Harris makes 2-pt shot from 1 ft
9:33.0,A. Johnson makes 2-pt shot at rim (assist by J. Crowder),2,4-7,,
9:10.0,,,4-9,2,N. Vucevic makes 2-pt shot from 10 ft
8:58.0,A. Bradley makes 2-pt shot from 18 ft (assist by A. Johnson),2,6-9,,
8:46.0,,,6-9,,Turnover by E. Fournier (bad pass; steal by I. Thomas)
8:42.0,I. Thomas makes 2-pt shot from 1 ft,2,8-9,,
8:28.0,,,8-9,,E. Fournier misses 3-pt shot from 25 ft
8:27.0,,,8-9,,Offensive rebound by N. Vucevic
8:16.0,,,8-9,,N. Vucevic misses 2-pt shot from 10 ft
