time,LA Lakers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. R. Hibbert (D. Favors gains possession),,,,Jump ball: R. Gobert vs. R. Hibbert (D. Favors gains possession)
11:46.0,,,0-0,,G. Hayward misses 3-pt shot from 24 ft
11:45.0,Defensive rebound by J. Clarkson,,0-0,,
11:25.0,K. Bryant misses 2-pt shot from 17 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by R. Gobert
11:10.0,,,0-0,,Turnover by D. Favors (lost ball; steal by J. Clarkson)
11:07.0,J. Clarkson makes 2-pt shot from 2 ft,2,2-0,,
10:49.0,,,2-0,,Turnover by G. Hayward (lost ball; steal by K. Bryant)
10:42.0,K. Bryant misses 2-pt shot from 23 ft,,2-0,,
10:42.0,,,2-0,,Defensive rebound by R. Gobert
10:27.0,,,2-0,,R. Gobert misses 2-pt shot at rim
10:27.0,,,2-0,,Offensive rebound by R. Gobert
10:17.0,,,2-0,,R. Gobert misses 2-pt shot from 1 ft (block by R. Hibbert)
10:16.0,,,2-0,,Offensive rebound by R. Gobert
10:10.0,,,2-3,3,R. Hood makes 3-pt shot from 25 ft (assist by R. Gobert)
9:52.0,R. Hibbert misses 2-pt shot from 3 ft,,2-3,,
9:52.0,,,2-3,,Defensive rebound by D. Favors
9:41.0,,,2-6,3,S. Mack makes 3-pt shot from 23 ft (assist by G. Hayward)
9:32.0,D. Russell misses 2-pt shot from 17 ft,,2-6,,
9:32.0,,,2-6,,Defensive rebound by R. Gobert
9:18.0,,,2-6,,G. Hayward misses 2-pt shot from 19 ft
9:18.0,Defensive rebound by J. Clarkson,,2-6,,
9:14.0,,,2-6,,Personal foul by G. Hayward
9:09.0,K. Bryant misses 2-pt shot from 14 ft (block by R. Gobert),,2-6,,
9:07.0,,,2-6,,Defensive rebound by R. Gobert
9:00.0,,,2-9,3,R. Hood makes 3-pt shot from 24 ft (assist by R. Gobert)
8:38.0,J. Randle misses 2-pt shot from 21 ft,,2-9,,
8:37.0,,,2-9,,Defensive rebound by R. Gobert
8:25.0,,,2-11,2,D. Favors makes 2-pt shot from 3 ft
8:17.0,LA Lakers full timeout,,2-11,,
8:01.0,D. Russell misses 2-pt shot from 11 ft,,2-11,,
8:00.0,,,2-11,,Defensive rebound by D. Favors
7:43.0,,,2-13,2,R. Hood makes 2-pt shot from 19 ft
7:25.0,Turnover by J. Randle (lost ball; steal by G. Hayward),,2-13,,
6:59.0,,,2-15,2,D. Favors makes 2-pt shot from 2 ft (assist by S. Mack)
6:43.0,D. Russell misses 2-pt shot from 5 ft,,2-15,,
6:43.0,Offensive rebound by R. Hibbert,,2-15,,
6:40.0,R. Hibbert misses 2-pt shot from 1 ft (block by R. Hood),,2-15,,
6:38.0,,,2-15,,Defensive rebound by D. Favors
6:27.0,,,2-17,2,S. Mack makes 2-pt shot from 2 ft
6:14.0,K. Bryant makes 2-pt shot from 12 ft,2,4-17,,
6:05.0,Personal foul by J. Clarkson,,4-17,,
6:05.0,L. Williams enters the game for D. Russell,,4-17,,
6:05.0,,,4-17,,T. Booker enters the game for D. Favors
5:53.0,,,4-17,,R. Gobert misses 2-pt shot from 3 ft (block by R. Hibbert)
5:53.0,Defensive rebound by Team,,4-17,,
5:43.0,J. Clarkson makes 2-pt shot from 12 ft (assist by K. Bryant),2,6-17,,
5:28.0,,,6-19,2,S. Mack makes 2-pt shot from 16 ft
5:11.0,R. Hibbert makes 2-pt shot from 4 ft,2,8-19,,
5:11.0,Shooting foul by R. Gobert (drawn by R. Hibbert),,8-19,,
5:11.0,R. Hibbert makes free throw 1 of 1,1,9-19,,
4:54.0,,,9-19,,R. Gobert misses 2-pt shot from 2 ft (block by R. Hibbert)
4:53.0,Defensive rebound by J. Clarkson,,9-19,,
4:47.0,J. Clarkson misses 2-pt shot from 2 ft (block by G. Hayward),,9-19,,
4:46.0,,,9-19,,Defensive rebound by R. Hood
4:41.0,,,9-19,,R. Gobert misses 2-pt shot from 2 ft (block by R. Hibbert)
4:40.0,,,9-19,,Offensive rebound by T. Booker
4:38.0,,,9-21,2,T. Booker makes 2-pt shot from 1 ft
4:38.0,,,9-21,,Shooting foul by J. Randle (drawn by T. Booker)
4:38.0,,,9-21,,J. Ingles enters the game for G. Hayward
4:38.0,,,9-21,,T. Booker misses free throw 1 of 1
4:37.0,Defensive rebound by R. Hibbert,,9-21,,
4:23.0,K. Bryant misses 2-pt shot from 14 ft,,9-21,,
4:23.0,,,9-21,,Defensive rebound by R. Gobert
4:07.0,,,9-24,3,R. Hood makes 3-pt shot from 24 ft
3:51.0,L. Williams makes 3-pt shot from 24 ft (assist by J. Clarkson),3,12-24,,
3:44.0,Personal foul by J. Randle,,12-24,,
3:44.0,,,12-25,1,R. Gobert makes free throw 1 of 2
3:44.0,M. World Peace enters the game for J. Randle,,12-25,,
3:44.0,B. Bass enters the game for K. Bryant,,12-25,,
3:44.0,R. Kelly enters the game for R. Hibbert,,12-25,,
3:44.0,,,12-25,,R. Gobert misses free throw 2 of 2
3:43.0,Defensive rebound by R. Kelly,,12-25,,
3:23.0,J. Clarkson makes 2-pt shot from 7 ft,2,14-25,,
3:04.0,,,14-27,2,S. Mack makes 2-pt shot from 10 ft
2:53.0,L. Williams misses 3-pt shot from 22 ft,,14-27,,
2:53.0,,,14-27,,Defensive rebound by J. Ingles
2:30.0,,,14-27,,S. Mack misses 3-pt shot from 24 ft
2:30.0,Defensive rebound by J. Clarkson,,14-27,,
2:23.0,J. Clarkson misses 2-pt shot from 16 ft,,14-27,,
2:22.0,,,14-27,,Defensive rebound by R. Hood
2:18.0,,,14-27,,Utah full timeout
2:18.0,M. Huertas enters the game for J. Clarkson,,14-27,,
2:18.0,,,14-27,,D. Favors enters the game for R. Gobert
2:01.0,,,14-30,3,R. Hood makes 3-pt shot from 24 ft
1:44.0,R. Kelly misses 2-pt shot from 15 ft (block by T. Booker),,14-30,,
1:44.0,Offensive rebound by Team,,14-30,,
1:44.0,,,14-30,,C. Johnson enters the game for R. Hood
1:39.0,B. Bass misses 2-pt shot from 15 ft,,14-30,,
1:38.0,,,14-30,,Defensive rebound by T. Booker
1:16.0,,,14-30,,D. Favors misses 2-pt shot from 4 ft
1:16.0,Defensive rebound by M. World Peace,,14-30,,
0:56.0,M. World Peace misses 3-pt shot from 24 ft,,14-30,,
0:55.0,,,14-30,,Defensive rebound by S. Mack
0:45.0,Personal foul by M. World Peace,,14-30,,
0:45.0,,,14-31,1,D. Favors makes free throw 1 of 2
0:45.0,,,14-31,,R. Neto enters the game for S. Mack
0:45.0,,,14-32,1,D. Favors makes free throw 2 of 2
0:23.0,B. Bass makes 2-pt shot from 2 ft (assist by L. Williams),2,16-32,,
0:03.0,,,16-34,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Neto)
0:00.0,M. Huertas misses 3-pt shot from 50 ft,,16-34,,
0:00.0,Offensive rebound by Team,,16-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,L. Williams makes 2-pt shot from 19 ft,2,18-34,,
11:49.0,Shooting foul by T. Booker (drawn by L. Williams),,18-34,,
11:49.0,L. Williams makes free throw 1 of 1,1,19-34,,
11:31.0,,,19-34,,R. Neto misses 2-pt shot from 3 ft (block by R. Kelly)
11:30.0,Defensive rebound by R. Kelly,,19-34,,
11:27.0,M. Huertas misses 2-pt shot from 1 ft,,19-34,,
11:27.0,Offensive rebound by Team,,19-34,,
11:27.0,,,19-34,,Loose ball foul by T. Booker
11:25.0,,,19-34,,T. Lyles enters the game for T. Booker
11:22.0,Offensive foul by M. World Peace,,19-34,,
11:22.0,Turnover by M. World Peace (offensive foul),,19-34,,
11:05.0,,,19-34,,T. Lyles misses 3-pt shot from 23 ft
11:04.0,Defensive rebound by B. Bass,,19-34,,
10:52.0,M. World Peace makes 3-pt shot from 24 ft (assist by R. Kelly),3,22-34,,
10:40.0,,,22-34,,Shooting foul by R. Kelly (drawn by G. Hayward)
10:40.0,,,22-34,,G. Hayward misses free throw 1 of 2
10:40.0,,,22-34,,Offensive rebound by Team
10:40.0,,,22-35,1,G. Hayward makes free throw 2 of 2
10:30.0,M. World Peace makes 2-pt shot from 1 ft,2,24-35,,
10:11.0,,,24-35,,Shooting foul by M. Huertas (drawn by C. Johnson)
10:11.0,,,24-36,1,C. Johnson makes free throw 1 of 2
10:11.0,,,24-37,1,C. Johnson makes free throw 2 of 2
10:02.0,Shooting foul by G. Hayward (drawn by M. World Peace),,24-37,,
10:02.0,M. World Peace misses free throw 1 of 2,,24-37,,
10:02.0,Offensive rebound by Team,,24-37,,
10:02.0,,,24-37,,R. Hood enters the game for C. Johnson
10:02.0,M. World Peace misses free throw 2 of 2,,24-37,,
10:01.0,,,24-37,,Defensive rebound by T. Lyles
9:39.0,,,24-37,,T. Lyles misses 2-pt shot from 18 ft
9:39.0,Defensive rebound by B. Bass,,24-37,,
9:31.0,Turnover by L. Williams (lost ball; steal by D. Favors),,24-37,,
9:21.0,,,24-37,,R. Hood misses 2-pt shot from 5 ft
9:21.0,,,24-37,,Offensive rebound by R. Hood
9:19.0,,,24-39,2,R. Hood makes 2-pt shot from 2 ft
8:58.0,M. Huertas makes 3-pt shot from 24 ft (assist by B. Bass),3,27-39,,
8:53.0,,,27-39,,Utah full timeout
8:53.0,J. Clarkson enters the game for L. Williams,,27-39,,
8:53.0,K. Bryant enters the game for M. World Peace,,27-39,,
8:53.0,,,27-39,,J. Ingles enters the game for G. Hayward
8:53.0,,,27-39,,S. Mack enters the game for R. Neto
8:40.0,,,27-41,2,R. Hood makes 2-pt shot from 5 ft (assist by S. Mack)
8:23.0,R. Kelly makes 2-pt shot from 8 ft,2,29-41,,
8:08.0,,,29-44,3,T. Lyles makes 3-pt shot from 24 ft (assist by J. Ingles)
7:55.0,K. Bryant misses 3-pt shot from 23 ft,,29-44,,
7:54.0,,,29-44,,Defensive rebound by S. Mack
7:53.0,Personal foul by M. Huertas,,29-44,,
7:53.0,,,29-44,,R. Gobert enters the game for T. Lyles
7:41.0,Personal foul by B. Bass,,29-44,,
7:34.0,,,29-44,,D. Favors misses 2-pt shot from 17 ft
7:34.0,,,29-44,,Offensive rebound by Team
7:34.0,Loose ball foul by B. Bass,,29-44,,
7:34.0,,,29-45,1,R. Gobert makes free throw 1 of 2
7:34.0,,,29-45,,R. Gobert misses free throw 2 of 2
7:33.0,Defensive rebound by R. Kelly,,29-45,,
7:16.0,M. Huertas misses 2-pt shot from 3 ft,,29-45,,
7:16.0,Offensive rebound by Team,,29-45,,
7:16.0,,,29-45,,Loose ball foul by D. Favors
7:10.0,M. Huertas misses 2-pt shot from 10 ft,,29-45,,
7:10.0,,,29-45,,Defensive rebound by J. Ingles
7:02.0,,,29-48,3,J. Ingles makes 3-pt shot from 24 ft
6:47.0,J. Clarkson makes 2-pt shot from 15 ft,2,31-48,,
6:26.0,,,31-48,,R. Hood misses 3-pt shot from 24 ft
6:26.0,,,31-48,,Offensive rebound by D. Favors
6:21.0,,,31-48,,S. Mack misses 3-pt shot from 23 ft
6:20.0,Defensive rebound by Team,,31-48,,
6:20.0,R. Hibbert enters the game for M. Huertas,,31-48,,
6:20.0,J. Randle enters the game for B. Bass,,31-48,,
6:20.0,D. Russell enters the game for R. Kelly,,31-48,,
6:00.0,J. Clarkson misses 2-pt shot from 1 ft,,31-48,,
5:59.0,,,31-48,,Defensive rebound by J. Ingles
5:46.0,,,31-48,,D. Favors misses 2-pt shot from 2 ft
5:45.0,,,31-48,,Offensive rebound by D. Favors
5:35.0,,,31-51,3,R. Hood makes 3-pt shot from 22 ft (assist by S. Mack)
