time,Detroit,pts.away,score,pts.home,Orlando
2:04.0,Offensive rebound by A. Drummond,,20-19,,
2:04.0,Shooting foul by N. Vucevic (drawn by A. Drummond),,20-19,,
2:04.0,A. Drummond makes free throw 1 of 2,1,21-19,,
2:04.0,S. Blake enters the game for R. Jackson,,21-19,,
2:04.0,,,21-19,,E. Fournier enters the game for A. Gordon
2:04.0,,,21-19,,B. Jennings enters the game for V. Oladipo
2:04.0,,,21-19,,A. Nicholson enters the game for E. Payton
2:04.0,A. Drummond misses free throw 2 of 2,,21-19,,
2:02.0,,,21-19,,Defensive rebound by A. Nicholson
1:46.0,,,21-19,,N. Vucevic misses 2-pt shot from 10 ft (block by A. Drummond)
1:45.0,Defensive rebound by T. Harris,,21-19,,
1:38.0,T. Harris misses 3-pt shot from 26 ft,,21-19,,
1:38.0,,,21-19,,Defensive rebound by Team
1:25.0,,,21-19,,E. Fournier misses 2-pt shot from 2 ft (block by R. Bullock)
1:24.0,Defensive rebound by T. Harris,,21-19,,
1:18.0,T. Harris makes 2-pt shot from 5 ft,2,23-19,,
1:00.0,,,23-19,,A. Nicholson misses 2-pt shot from 13 ft
0:59.0,Defensive rebound by A. Drummond,,23-19,,
0:35.0,K. Caldwell-Pope makes 2-pt shot from 16 ft,2,25-19,,
0:21.0,,,25-19,,E. Fournier misses 3-pt shot from 22 ft
0:21.0,,,25-19,,Offensive rebound by E. Fournier
0:16.0,,,25-19,,B. Jennings misses 3-pt shot from 24 ft
0:16.0,,,25-19,,Offensive rebound by A. Nicholson
0:14.0,,,25-21,2,A. Nicholson makes 2-pt shot from 5 ft
0:00.0,T. Harris misses 2-pt shot from 11 ft,,25-21,,
0:00.0,,,25-21,,Defensive rebound by N. Vucevic
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,25-23,2,M. Hezonja makes 2-pt shot from 1 ft
11:23.0,A. Tolliver makes 2-pt shot at rim (assist by R. Bullock),2,27-23,,
11:09.0,,,27-25,2,N. Vucevic makes 2-pt shot from 3 ft (assist by M. Hezonja)
10:54.0,A. Baynes makes 2-pt shot from 6 ft (assist by S. Blake),2,29-25,,
10:40.0,,,29-25,,Turnover by M. Hezonja (lost ball; steal by M. Morris)
10:34.0,R. Bullock makes 3-pt shot from 22 ft (assist by S. Blake),3,32-25,,
10:13.0,,,32-25,,M. Hezonja misses 2-pt shot from 23 ft
10:13.0,Defensive rebound by S. Blake,,32-25,,
10:09.0,R. Bullock misses 2-pt shot from 1 ft (block by M. Hezonja),,32-25,,
10:08.0,,,32-25,,Defensive rebound by A. Nicholson
9:54.0,,,32-25,,B. Jennings misses 2-pt shot from 6 ft
9:53.0,Defensive rebound by A. Baynes,,32-25,,
9:44.0,A. Baynes misses 2-pt shot from 18 ft,,32-25,,
9:44.0,,,32-25,,Defensive rebound by N. Vucevic
9:30.0,,,32-25,,Turnover by E. Fournier (lost ball; steal by M. Morris)
9:18.0,R. Bullock misses 3-pt shot from 24 ft,,32-25,,
9:18.0,,,32-25,,Defensive rebound by N. Vucevic
9:06.0,,,32-27,2,N. Vucevic makes 2-pt shot from 7 ft (assist by B. Jennings)
8:53.0,M. Morris misses 2-pt shot from 6 ft,,32-27,,
8:51.0,Offensive rebound by R. Bullock,,32-27,,
8:41.0,A. Tolliver misses 3-pt shot from 23 ft,,32-27,,
8:41.0,,,32-27,,Defensive rebound by M. Hezonja
8:36.0,Personal foul by A. Tolliver,,32-27,,
8:36.0,Official timeout,,32-27,,
8:36.0,,,32-27,,J. Smith enters the game for N. Vucevic
8:19.0,,,32-27,,Turnover by A. Nicholson (bad pass)
8:09.0,,,32-27,,Personal foul by E. Fournier
8:06.0,R. Bullock makes 2-pt shot from 1 ft (assist by M. Morris),2,34-27,,
