time,LA Clippers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (B. Griffin gains possession)
11:46.0,J. Redick makes 2-pt shot from 22 ft (assist by B. Griffin),2,2-0,,
11:31.0,,,2-2,2,C. McCollum makes 2-pt shot from 20 ft (assist by M. Plumlee)
11:26.0,LA Clippers full timeout,,2-2,,
11:13.0,J. Redick misses 3-pt shot from 23 ft,,2-2,,
11:13.0,,,2-2,,Defensive rebound by A. Aminu
11:02.0,,,2-2,,M. Plumlee misses 2-pt shot from 2 ft
11:01.0,Defensive rebound by B. Griffin,,2-2,,
10:52.0,J. Redick misses 2-pt shot from 18 ft,,2-2,,
10:50.0,,,2-2,,Defensive rebound by D. Lillard
10:26.0,,,2-4,2,M. Plumlee makes 2-pt shot from 10 ft (assist by A. Aminu)
10:09.0,B. Griffin misses 2-pt shot from 19 ft,,2-4,,
10:09.0,,,2-4,,Defensive rebound by M. Plumlee
10:00.0,,,2-4,,D. Lillard misses 2-pt shot from 22 ft
9:59.0,Defensive rebound by C. Paul,,2-4,,
9:38.0,L. Stephenson makes 2-pt shot from 1 ft (assist by C. Paul),2,4-4,,
9:18.0,,,4-4,,Turnover by C. McCollum (lost ball; steal by J. Redick)
9:14.0,Shooting foul by A. Aminu (drawn by L. Stephenson),,4-4,,
9:14.0,L. Stephenson misses free throw 1 of 2,,4-4,,
9:14.0,Offensive rebound by Team,,4-4,,
9:14.0,L. Stephenson misses free throw 2 of 2,,4-4,,
9:12.0,,,4-4,,Defensive rebound by A. Aminu
8:58.0,,,4-4,,A. Aminu misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by J. Redick,,4-4,,
8:49.0,B. Griffin misses 2-pt shot from 6 ft,,4-4,,
8:48.0,,,4-4,,Defensive rebound by M. Plumlee
8:32.0,,,4-7,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
8:14.0,C. Paul makes 3-pt shot from 24 ft (assist by J. Redick),3,7-7,,
7:56.0,,,7-7,,Offensive foul by N. Vonleh
7:56.0,,,7-7,,Turnover by N. Vonleh (offensive foul)
7:45.0,C. Paul misses 2-pt shot from 16 ft,,7-7,,
7:44.0,Offensive rebound by D. Jordan,,7-7,,
7:44.0,D. Jordan misses 2-pt shot from 1 ft,,7-7,,
7:44.0,Offensive rebound by Team,,7-7,,
7:33.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,9-7,,
7:17.0,,,9-9,2,M. Plumlee makes 2-pt shot from 3 ft
7:12.0,,,9-9,,Personal foul by M. Plumlee (drawn by L. Stephenson)
7:07.0,B. Griffin makes 2-pt shot from 3 ft,2,11-9,,
6:55.0,,,11-9,,D. Lillard misses 2-pt shot from 20 ft
6:54.0,Defensive rebound by D. Jordan,,11-9,,
6:40.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,13-9,,
6:20.0,,,13-9,,D. Lillard misses 2-pt shot at rim
