time,Detroit,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Noel (T. Harris gains possession),,,,Jump ball: A. Drummond vs. N. Noel (T. Harris gains possession)
11:46.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,2-0,,
11:35.0,,,2-0,,C. Landry misses 2-pt shot from 17 ft
11:33.0,Defensive rebound by M. Morris,,2-0,,
11:25.0,Turnover by R. Jackson (lost ball; steal by N. Noel),,2-0,,
11:15.0,,,2-0,,C. Landry misses 2-pt shot from 2 ft
11:14.0,Defensive rebound by A. Drummond,,2-0,,
11:04.0,T. Harris misses 2-pt shot from 7 ft,,2-0,,
11:03.0,,,2-0,,Defensive rebound by I. Smith
10:51.0,,,2-0,,I. Canaan misses 2-pt shot from 16 ft
10:50.0,Defensive rebound by T. Harris,,2-0,,
10:41.0,M. Morris misses 2-pt shot from 17 ft,,2-0,,
10:39.0,,,2-0,,Defensive rebound by I. Smith
10:30.0,,,2-0,,N. Noel misses 2-pt shot from 10 ft
10:29.0,Defensive rebound by T. Harris,,2-0,,
10:20.0,R. Jackson makes 2-pt shot from 7 ft,2,4-0,,
9:55.0,,,4-3,3,I. Smith makes 3-pt shot from 27 ft
9:39.0,Turnover by R. Jackson (lost ball; steal by I. Canaan),,4-3,,
9:32.0,,,4-3,,I. Smith misses 3-pt shot from 23 ft
9:30.0,,,4-3,,Offensive rebound by C. Landry
9:27.0,,,4-5,2,C. Landry makes 2-pt shot at rim
9:13.0,T. Harris makes 3-pt shot from 27 ft (assist by R. Jackson),3,7-5,,
8:53.0,,,7-5,,C. Landry misses 2-pt shot from 13 ft
8:52.0,Defensive rebound by T. Harris,,7-5,,
8:46.0,K. Caldwell-Pope makes 2-pt shot from 12 ft (assist by R. Jackson),2,9-5,,
8:21.0,,,9-5,,Shooting foul by M. Morris (drawn by N. Noel)
8:21.0,,,9-6,1,N. Noel makes free throw 1 of 2
8:21.0,,,9-7,1,N. Noel makes free throw 2 of 2
8:07.0,M. Morris misses 2-pt shot from 11 ft,,9-7,,
8:06.0,,,9-7,,Defensive rebound by N. Noel
8:01.0,,,9-7,,I. Smith misses 2-pt shot at rim
8:00.0,,,9-7,,Offensive rebound by C. Landry
7:58.0,,,9-9,2,C. Landry makes 2-pt shot from 1 ft
7:47.0,R. Jackson makes 2-pt shot from 8 ft,2,11-9,,
7:40.0,,,11-11,2,C. Landry makes 2-pt shot from 1 ft (assist by I. Smith)
7:29.0,Shooting foul by I. Smith (drawn by R. Jackson),,11-11,,
7:29.0,R. Jackson makes free throw 1 of 2,1,12-11,,
7:29.0,,,12-11,,E. Brand enters the game for C. Landry
7:29.0,,,12-11,,N. Stauskas enters the game for H. Thompson
7:29.0,R. Jackson misses free throw 2 of 2,,12-11,,
7:28.0,,,12-11,,Defensive rebound by N. Stauskas
7:25.0,,,12-11,,Turnover by I. Smith (traveling)
7:14.0,T. Harris makes 2-pt shot from 12 ft (assist by R. Jackson),2,14-11,,
6:51.0,,,14-14,3,I. Smith makes 3-pt shot from 26 ft (assist by N. Noel)
6:32.0,M. Morris misses 2-pt shot from 11 ft,,14-14,,
6:31.0,,,14-14,,Defensive rebound by N. Noel
6:17.0,,,14-14,,N. Stauskas misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by A. Drummond,,14-14,,
6:10.0,R. Jackson makes 3-pt shot from 25 ft,3,17-14,,
6:10.0,,,17-14,,Philadelphia full timeout
6:10.0,,,17-14,,K. Marshall enters the game for I. Canaan
5:52.0,,,17-14,,Shooting foul by T. Harris (drawn by N. Noel)
5:52.0,,,17-15,1,N. Noel makes free throw 1 of 2
5:52.0,,,17-15,,N. Noel misses free throw 2 of 2
5:51.0,Defensive rebound by A. Drummond,,17-15,,
5:41.0,Turnover by T. Harris (lost ball; steal by N. Stauskas),,17-15,,
5:35.0,,,17-17,2,N. Stauskas makes 2-pt shot from 1 ft
5:23.0,T. Harris misses 3-pt shot from 26 ft,,17-17,,
5:21.0,,,17-17,,Defensive rebound by I. Smith
4:58.0,,,17-19,2,K. Marshall makes 2-pt shot from 15 ft (assist by E. Brand)
4:47.0,R. Jackson makes 2-pt shot from 11 ft,2,19-19,,
4:33.0,,,19-19,,K. Marshall misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by A. Drummond,,19-19,,
4:25.0,M. Morris makes 2-pt shot from 17 ft,2,21-19,,
4:13.0,,,21-19,,E. Brand misses 2-pt shot from 11 ft
4:12.0,Defensive rebound by R. Jackson,,21-19,,
4:07.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,21-19,,
4:05.0,Offensive rebound by R. Jackson,,21-19,,
4:03.0,Turnover by K. Caldwell-Pope (lost ball),,21-19,,
4:03.0,S. Blake enters the game for R. Jackson,,21-19,,
4:03.0,S. Johnson enters the game for M. Morris,,21-19,,
3:43.0,,,21-21,2,E. Brand makes 2-pt shot from 10 ft (assist by N. Stauskas)
3:24.0,Shooting foul by K. Marshall (drawn by K. Caldwell-Pope),,21-21,,
3:24.0,K. Caldwell-Pope makes free throw 1 of 2,1,22-21,,
3:24.0,,,22-21,,H. Thompson enters the game for N. Noel
3:24.0,,,22-21,,T. McConnell enters the game for I. Smith
3:24.0,K. Caldwell-Pope makes free throw 2 of 2,1,23-21,,
3:00.0,,,23-23,2,E. Brand makes 2-pt shot from 1 ft (assist by N. Stauskas)
2:52.0,Detroit full timeout,,23-23,,
2:42.0,A. Drummond misses 2-pt shot from 6 ft,,23-23,,
2:41.0,Offensive rebound by S. Johnson,,23-23,,
2:40.0,S. Johnson misses 2-pt shot from 3 ft (block by E. Brand),,23-23,,
2:38.0,,,23-23,,Defensive rebound by H. Thompson
2:28.0,,,23-25,2,N. Stauskas makes 2-pt shot from 2 ft (assist by E. Brand)
2:28.0,,,23-25,,Shooting foul by K. Caldwell-Pope (drawn by N. Stauskas)
2:28.0,,,23-26,1,N. Stauskas makes free throw 1 of 1
2:12.0,K. Caldwell-Pope misses 2-pt shot from 6 ft,,23-26,,
2:11.0,Offensive rebound by K. Caldwell-Pope,,23-26,,
2:11.0,Shooting foul by N. Stauskas (drawn by K. Caldwell-Pope),,23-26,,
2:11.0,K. Caldwell-Pope makes 2-pt shot from 6 ft,2,25-26,,
2:11.0,K. Caldwell-Pope misses free throw 1 of 1,,25-26,,
2:10.0,,,25-26,,Defensive rebound by E. Brand
1:54.0,,,25-26,,T. McConnell misses 3-pt shot from 25 ft
1:53.0,Defensive rebound by S. Johnson,,25-26,,
1:42.0,Turnover by S. Blake (lost ball; steal by E. Brand),,25-26,,
1:37.0,,,25-28,2,E. Brand makes 2-pt shot at rim (assist by N. Stauskas)
1:15.0,A. Drummond misses 2-pt shot from 7 ft,,25-28,,
1:14.0,,,25-28,,Defensive rebound by K. Marshall
1:03.0,,,25-28,,E. Brand misses 2-pt shot from 12 ft
1:02.0,Defensive rebound by T. Harris,,25-28,,
0:56.0,Turnover by K. Caldwell-Pope (lost ball; steal by E. Brand),,25-28,,
0:39.0,,,25-30,2,T. McConnell makes 2-pt shot from 16 ft
0:28.0,S. Blake makes 2-pt shot at rim,2,27-30,,
0:08.0,Personal foul by S. Blake,,27-30,,
0:03.0,,,27-30,,Turnover by E. Brand (lost ball; steal by A. Drummond)
0:01.0,Turnover by A. Drummond (lost ball; steal by E. Brand),,27-30,,
0:00.0,,,27-32,2,E. Brand makes 2-pt shot from 3 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,27-34,2,C. Landry makes 2-pt shot from 19 ft (assist by K. Marshall)
11:23.0,M. Morris misses 2-pt shot from 5 ft,,27-34,,
11:21.0,,,27-34,,Defensive rebound by H. Thompson
11:02.0,,,27-34,,K. Marshall misses 3-pt shot from 26 ft
11:00.0,Defensive rebound by S. Johnson,,27-34,,
10:44.0,M. Morris makes 2-pt shot from 2 ft (assist by R. Bullock),2,29-34,,
10:44.0,,,29-34,,Violation by H. Thompson (def goaltending)
10:27.0,,,29-34,,C. Landry misses 2-pt shot from 17 ft
10:26.0,Defensive rebound by S. Johnson,,29-34,,
10:20.0,Shooting foul by C. Landry (drawn by A. Baynes),,29-34,,
10:20.0,A. Baynes makes free throw 1 of 2,1,30-34,,
10:20.0,A. Baynes misses free throw 2 of 2,,30-34,,
10:18.0,,,30-34,,Defensive rebound by C. Landry
10:07.0,,,30-34,,S. Weems misses 2-pt shot from 8 ft (block by M. Morris)
