time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Thompson (S. Curry gains possession),,,,Jump ball: A. Bogut vs. T. Thompson (S. Curry gains possession)
11:44.0,,,0-0,,Turnover by A. Bogut (bad pass)
11:30.0,Turnover by L. James (lost ball; steal by A. Iguodala),,0-0,,
11:24.0,,,0-2,2,A. Iguodala makes 2-pt shot from 2 ft
11:08.0,K. Irving makes 3-pt shot from 26 ft (assist by L. James),3,3-2,,
10:49.0,,,3-2,,K. Thompson misses 3-pt shot from 23 ft
10:48.0,Defensive rebound by L. James,,3-2,,
10:36.0,L. James misses 2-pt shot from 12 ft,,3-2,,
10:35.0,,,3-2,,Defensive rebound by A. Bogut
10:25.0,,,3-5,3,S. Curry makes 3-pt shot from 25 ft
10:18.0,Turnover by K. Irving (lost ball),,3-5,,
10:04.0,,,3-5,,K. Thompson misses 2-pt shot from 8 ft
10:03.0,Defensive rebound by K. Love,,3-5,,
9:54.0,Offensive foul by J. Smith,,3-5,,
9:54.0,Turnover by J. Smith (offensive foul),,3-5,,
9:37.0,,,3-5,,S. Curry misses 3-pt shot from 26 ft
9:36.0,,,3-5,,Offensive rebound by A. Bogut
9:33.0,,,3-5,,K. Thompson misses 2-pt shot from 4 ft (block by T. Thompson)
9:33.0,Defensive rebound by Team,,3-5,,
9:33.0,Jump ball: K. Thompson vs. T. Thompson (J. Smith gains possession),,,,Jump ball: K. Thompson vs. T. Thompson (J. Smith gains possession)
9:22.0,,,3-5,,Personal foul by H. Barnes
9:15.0,K. Love misses 2-pt shot from 2 ft (block by A. Bogut),,3-5,,
9:13.0,,,3-5,,Defensive rebound by A. Iguodala
9:05.0,,,3-7,2,K. Thompson makes 2-pt shot from 13 ft (assist by A. Iguodala)
9:03.0,,,3-7,,Personal foul by S. Curry
8:47.0,L. James misses 2-pt shot from 2 ft (block by A. Bogut),,3-7,,
8:46.0,,,3-7,,Defensive rebound by A. Bogut
8:36.0,,,3-9,2,A. Iguodala makes 2-pt shot from 2 ft
8:36.0,Cleveland full timeout,,3-9,,
8:24.0,Turnover by K. Irving (bad pass),,3-9,,
8:09.0,,,3-9,,A. Iguodala misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by K. Love,,3-9,,
7:57.0,K. Irving makes 2-pt shot from 2 ft,2,5-9,,
7:43.0,,,5-12,3,K. Thompson makes 3-pt shot from 26 ft (assist by H. Barnes)
7:27.0,L. James makes 3-pt shot from 27 ft (assist by K. Irving),3,8-12,,
7:14.0,,,8-12,,K. Thompson misses 3-pt shot from 28 ft
7:14.0,Defensive rebound by Team,,8-12,,
6:58.0,K. Love misses 3-pt shot from 24 ft,,8-12,,
6:58.0,Offensive rebound by Team,,8-12,,
