time,Oklahoma City,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. Z. Pachulia,,,,Jump ball: S. Adams vs. Z. Pachulia
11:38.0,S. Ibaka misses 2-pt shot from 18 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by R. Felton
11:20.0,,,0-0,,Turnover by D. Williams (lost ball)
11:01.0,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook),2,2-0,,
10:40.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 11 ft
10:31.0,Oklahoma City full timeout,,2-2,,
10:31.0,,,2-2,,J. Barea enters the game for D. Williams
10:23.0,R. Westbrook misses 2-pt shot from 2 ft,,2-2,,
10:22.0,Offensive rebound by A. Roberson,,2-2,,
10:22.0,A. Roberson misses 2-pt shot from 2 ft,,2-2,,
10:21.0,,,2-2,,Defensive rebound by D. Nowitzki
10:11.0,,,2-2,,R. Felton misses 2-pt shot from 11 ft
10:10.0,,,2-2,,Offensive rebound by R. Felton
10:03.0,,,2-2,,J. Barea misses 2-pt shot from 1 ft
10:03.0,Defensive rebound by S. Adams,,2-2,,
10:03.0,,,2-2,,Personal foul by Z. Pachulia
9:51.0,S. Ibaka makes 3-pt shot from 22 ft (assist by R. Westbrook),3,5-2,,
9:34.0,,,5-4,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by Z. Pachulia)
9:16.0,K. Durant makes 2-pt shot from 12 ft,2,7-4,,
9:02.0,,,7-6,2,Z. Pachulia makes 2-pt shot from 8 ft (assist by R. Felton)
8:42.0,S. Ibaka makes 2-pt shot from 8 ft (assist by R. Westbrook),2,9-6,,
8:16.0,,,9-6,,W. Matthews misses 3-pt shot from 26 ft
8:15.0,,,9-6,,Offensive rebound by Team
8:15.0,,,9-6,,Turnover by Team (shot clock)
7:59.0,K. Durant misses 2-pt shot from 15 ft,,9-6,,
7:59.0,Offensive rebound by R. Westbrook,,9-6,,
7:52.0,R. Westbrook misses 2-pt shot from 5 ft,,9-6,,
7:51.0,,,9-6,,Defensive rebound by D. Nowitzki
7:49.0,,,9-6,,Turnover by D. Nowitzki (lost ball; steal by R. Westbrook)
7:46.0,R. Westbrook misses 2-pt shot at rim,,9-6,,
7:45.0,Offensive rebound by S. Ibaka,,9-6,,
7:45.0,S. Ibaka makes 2-pt shot from 5 ft,2,11-6,,
7:28.0,,,11-8,2,D. Nowitzki makes 2-pt shot from 2 ft
7:28.0,Away from play foul by S. Adams,,11-8,,
7:28.0,,,11-9,1,Z. Pachulia makes free throw 1 of 1
7:12.0,K. Durant misses 2-pt shot from 14 ft,,11-9,,
7:11.0,,,11-9,,Defensive rebound by R. Felton
7:03.0,,,11-9,,Shooting foul by S. Ibaka (drawn by W. Matthews)
7:03.0,,,11-10,1,W. Matthews makes free throw 1 of 2
7:03.0,,,11-11,1,W. Matthews makes free throw 2 of 2
6:54.0,R. Westbrook misses 2-pt shot from 7 ft,,11-11,,
6:53.0,,,11-11,,Defensive rebound by J. Barea
6:33.0,,,11-11,,R. Felton misses 3-pt shot from 25 ft
6:31.0,Defensive rebound by S. Ibaka,,11-11,,
6:20.0,S. Ibaka misses 2-pt shot from 9 ft,,11-11,,
6:18.0,Offensive rebound by S. Adams,,11-11,,
6:18.0,S. Adams misses 2-pt shot from 1 ft,,11-11,,
6:17.0,,,11-11,,Defensive rebound by Z. Pachulia
5:56.0,,,11-11,,W. Matthews misses 2-pt shot from 19 ft
5:55.0,Defensive rebound by A. Roberson,,11-11,,
5:47.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,13-11,,
5:30.0,,,13-13,2,D. Nowitzki makes 2-pt shot from 1 ft (assist by J. Barea)
5:13.0,,,13-13,,Personal foul by W. Matthews
5:13.0,,,13-13,,Dallas full timeout
5:13.0,,,13-13,,D. Lee enters the game for D. Nowitzki
5:13.0,,,13-13,,D. Harris enters the game for J. Barea
5:13.0,D. Waiters enters the game for K. Durant,,13-13,,
5:03.0,R. Westbrook misses 2-pt shot from 13 ft,,13-13,,
5:02.0,Offensive rebound by R. Westbrook,,13-13,,
5:00.0,R. Westbrook makes 2-pt shot from 2 ft,2,15-13,,
4:43.0,,,15-13,,R. Felton misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by A. Roberson,,15-13,,
4:35.0,Shooting foul by R. Felton (drawn by R. Westbrook),,15-13,,
4:35.0,R. Westbrook misses free throw 1 of 2,,15-13,,
4:35.0,Offensive rebound by Team,,15-13,,
4:35.0,N. Collison enters the game for S. Ibaka,,15-13,,
4:35.0,E. Kanter enters the game for S. Adams,,15-13,,
4:35.0,R. Westbrook misses free throw 2 of 2,,15-13,,
4:34.0,,,15-13,,Defensive rebound by Z. Pachulia
4:20.0,Personal foul by E. Kanter,,15-13,,
4:10.0,,,15-13,,W. Matthews misses 2-pt shot at rim (block by A. Roberson)
4:08.0,Defensive rebound by D. Waiters,,15-13,,
4:08.0,Offensive foul by D. Waiters,,15-13,,
4:08.0,Turnover by D. Waiters (offensive foul),,15-13,,
4:08.0,,,15-13,,J. Anderson enters the game for W. Matthews
3:55.0,,,15-13,,Offensive charge foul by J. Anderson
3:55.0,,,15-13,,Turnover by J. Anderson (offensive foul)
3:35.0,E. Kanter makes 2-pt shot from 17 ft (assist by D. Waiters),2,17-13,,
3:16.0,K. Durant enters the game for A. Roberson,,17-13,,
3:16.0,,,17-13,,W. Matthews enters the game for J. Anderson
3:10.0,,,17-13,,R. Felton misses 2-pt shot from 5 ft
3:09.0,Defensive rebound by E. Kanter,,17-13,,
3:02.0,Shooting foul by R. Felton (drawn by R. Westbrook),,17-13,,
3:02.0,R. Westbrook makes free throw 1 of 2,1,18-13,,
3:02.0,,,18-13,,J. Barea enters the game for R. Felton
3:02.0,,,18-13,,D. Nowitzki enters the game for Z. Pachulia
3:02.0,R. Westbrook makes free throw 2 of 2,1,19-13,,
2:48.0,,,19-13,,Turnover by D. Harris (lost ball; steal by N. Collison)
2:47.0,,,19-13,,Personal foul by D. Lee
2:47.0,Oklahoma City full timeout,,19-13,,
2:47.0,R. Foye enters the game for R. Westbrook,,19-13,,
2:47.0,K. Durant makes free throw 1 of 2,1,20-13,,
2:47.0,K. Durant makes free throw 2 of 2,1,21-13,,
2:30.0,,,21-16,3,D. Harris makes 3-pt shot from 25 ft (assist by J. Barea)
2:17.0,E. Kanter makes 2-pt shot at rim,2,23-16,,
2:01.0,,,23-18,2,D. Lee makes 2-pt shot at rim (assist by J. Barea)
1:40.0,D. Waiters makes 2-pt shot from 2 ft,2,25-18,,
1:27.0,,,25-18,,J. Barea misses 2-pt shot from 12 ft (block by K. Durant)
1:25.0,Defensive rebound by D. Waiters,,25-18,,
1:16.0,D. Waiters makes 2-pt shot from 4 ft,2,27-18,,
0:52.0,,,27-18,,Turnover by J. Barea (bad pass)
0:52.0,,,27-18,,S. Mejri enters the game for D. Lee
0:34.0,R. Foye makes 3-pt shot from 25 ft (assist by D. Waiters),3,30-18,,
0:13.0,,,30-18,,D. Harris misses 2-pt shot from 4 ft (block by D. Waiters)
0:11.0,Defensive rebound by K. Durant,,30-18,,
0:03.0,D. Waiters makes 2-pt shot from 4 ft,2,32-18,,
0:03.0,Shooting foul by J. Barea (drawn by D. Waiters),,32-18,,
0:03.0,D. Waiters makes free throw 1 of 1,1,33-18,,
0:01.0,,,33-18,,J. Barea misses 3-pt shot from 39 ft
0:00.0,,,33-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,33-18,,D. Nowitzki misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by K. Durant,,33-18,,
11:31.0,Turnover by R. Foye (bad pass),,33-18,,
11:31.0,Violation by Team (jump ball),,33-18,,
11:31.0,,,33-18,,Technical foul by S. Mejri
11:31.0,Technical foul by R. Westbrook,,33-18,,
11:31.0,,,33-18,,J. Anderson enters the game for W. Matthews
11:12.0,,,33-20,2,J. Anderson makes 2-pt shot from 4 ft
10:45.0,E. Kanter makes 2-pt shot from 1 ft (assist by D. Waiters),2,35-20,,
10:23.0,,,35-20,,D. Nowitzki misses 2-pt shot from 19 ft
10:21.0,,,35-20,,Offensive rebound by S. Mejri
10:20.0,,,35-22,2,S. Mejri makes 2-pt shot at rim
10:00.0,Offensive charge foul by D. Waiters,,35-22,,
10:00.0,Turnover by D. Waiters (offensive foul),,35-22,,
10:00.0,R. Westbrook enters the game for R. Foye,,35-22,,
9:41.0,,,35-22,,J. Barea misses 2-pt shot from 11 ft
9:40.0,Defensive rebound by E. Kanter,,35-22,,
9:31.0,E. Kanter makes 2-pt shot from 2 ft (assist by K. Durant),2,37-22,,
9:29.0,,,37-22,,Dallas full timeout
9:29.0,,,37-22,,W. Matthews enters the game for D. Harris
9:29.0,A. Roberson enters the game for D. Waiters,,37-22,,
9:29.0,S. Ibaka enters the game for N. Collison,,37-22,,
9:16.0,,,37-22,,Turnover by W. Matthews (lost ball; steal by K. Durant)
9:12.0,A. Roberson misses 2-pt shot from 2 ft (block by S. Mejri),,37-22,,
9:11.0,,,37-22,,Defensive rebound by W. Matthews
9:05.0,,,37-24,2,J. Anderson makes 2-pt shot at rim (assist by W. Matthews)
8:46.0,K. Durant makes 2-pt shot from 14 ft,2,39-24,,
8:24.0,,,39-24,,J. Barea misses 2-pt shot from 10 ft
8:22.0,Defensive rebound by A. Roberson,,39-24,,
8:17.0,E. Kanter misses 2-pt shot from 2 ft (block by S. Mejri),,39-24,,
8:16.0,,,39-24,,Defensive rebound by J. Anderson
8:09.0,,,39-27,3,W. Matthews makes 3-pt shot from 25 ft (assist by J. Anderson)
8:08.0,Oklahoma City full timeout,,39-27,,
7:51.0,S. Ibaka makes 2-pt shot from 21 ft (assist by R. Westbrook),2,41-27,,
7:32.0,,,41-29,2,W. Matthews makes 2-pt shot from 8 ft
7:18.0,K. Durant misses 2-pt shot from 17 ft,,41-29,,
7:17.0,,,41-29,,Defensive rebound by D. Nowitzki
7:09.0,,,41-29,,J. Anderson misses 3-pt shot from 25 ft
7:08.0,,,41-29,,Offensive rebound by J. Anderson
7:05.0,Shooting block foul by E. Kanter (drawn by S. Mejri),,41-29,,
7:05.0,,,41-30,1,S. Mejri makes free throw 1 of 2
7:05.0,,,41-30,,R. Felton enters the game for J. Barea
7:05.0,,,41-31,1,S. Mejri makes free throw 2 of 2
6:51.0,D. Waiters enters the game for A. Roberson,,41-31,,
6:51.0,S. Adams enters the game for E. Kanter,,41-31,,
6:47.0,K. Durant misses 2-pt shot from 17 ft,,41-31,,
6:47.0,,,41-31,,Defensive rebound by J. Anderson
6:34.0,Violation by S. Ibaka (def goaltending),,41-31,,
6:34.0,,,41-33,2,S. Mejri makes 2-pt shot from 2 ft (assist by D. Nowitzki)
6:21.0,R. Westbrook misses 2-pt shot from 6 ft,,41-33,,
6:20.0,,,41-33,,Defensive rebound by D. Nowitzki
6:10.0,,,41-33,,R. Felton misses 3-pt shot from 24 ft
