time,Orlando,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. N. Vucevic (L. James gains possession),,,,Jump ball: T. Thompson vs. N. Vucevic (L. James gains possession)
11:42.0,,,0-2,2,L. James makes 2-pt shot from 9 ft
11:24.0,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton),2,2-2,,
10:58.0,,,2-2,,Turnover by Team (shot clock)
10:49.0,N. Vucevic misses 2-pt shot from 12 ft,,2-2,,
10:48.0,,,2-2,,Defensive rebound by K. Love
10:38.0,Personal foul by E. Payton (drawn by K. Irving),,2-2,,
10:21.0,,,2-2,,J. Smith misses 3-pt shot from 24 ft
10:20.0,,,2-2,,Offensive rebound by T. Thompson
10:08.0,,,2-4,2,K. Love makes 2-pt shot from 16 ft (assist by K. Irving)
9:55.0,Turnover by T. Harris (bad pass; steal by L. James),,2-4,,
9:47.0,,,2-6,2,L. James makes 2-pt shot at rim (assist by K. Irving)
9:33.0,E. Payton misses 2-pt shot from 2 ft,,2-6,,
9:33.0,,,2-6,,Defensive rebound by K. Love
9:33.0,Personal foul by N. Vucevic (drawn by K. Love),,2-6,,
9:16.0,,,2-6,,K. Irving misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by Team,,2-6,,
9:02.0,C. Frye misses 3-pt shot from 22 ft,,2-6,,
9:02.0,,,2-6,,Defensive rebound by K. Irving
8:39.0,,,2-6,,J. Smith misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by E. Payton,,2-6,,
8:26.0,C. Frye misses 3-pt shot from 23 ft,,2-6,,
8:26.0,,,2-6,,Defensive rebound by T. Thompson
8:18.0,,,2-8,2,K. Irving makes 2-pt shot at rim (assist by L. James)
7:57.0,E. Payton misses 2-pt shot from 5 ft,,2-8,,
7:56.0,,,2-8,,Defensive rebound by T. Thompson
7:53.0,,,2-8,,K. Irving misses 2-pt shot from 2 ft (block by T. Harris)
7:52.0,,,2-8,,Offensive rebound by Team
7:51.0,Personal foul by E. Fournier (drawn by J. Smith),,2-8,,
7:41.0,,,2-8,,Shooting foul by N. Vucevic (drawn by K. Love)
7:41.0,,,2-9,1,K. Love makes free throw 1 of 3
7:41.0,,,2-10,1,K. Love makes free throw 2 of 3
7:41.0,J. Smith enters the game for N. Vucevic,,2-10,,
7:41.0,,,2-10,,K. Love misses free throw 3 of 3
7:39.0,Defensive rebound by C. Frye,,2-10,,
7:30.0,Turnover by J. Smith (bad pass),,2-10,,
7:14.0,,,2-13,3,K. Love makes 3-pt shot from 26 ft (assist by J. Smith)
7:07.0,Orlando full timeout,,2-13,,
7:00.0,J. Smith makes 2-pt shot from 18 ft (assist by E. Payton),2,4-13,,
6:35.0,,,4-13,,J. Smith misses 2-pt shot from 18 ft
6:34.0,Defensive rebound by J. Smith,,4-13,,
6:23.0,C. Frye misses 3-pt shot from 25 ft,,4-13,,
6:22.0,,,4-13,,Defensive rebound by T. Thompson
6:08.0,,,4-16,3,L. James makes 3-pt shot from 24 ft (assist by K. Irving)
5:57.0,Turnover by E. Fournier (bad pass; steal by K. Love),,4-16,,
5:54.0,,,4-18,2,K. Irving makes 2-pt shot at rim
5:54.0,,,4-18,,Shooting foul by T. Harris (drawn by K. Irving)
5:54.0,A. Gordon enters the game for T. Harris,,4-18,,
5:54.0,A. Nicholson enters the game for C. Frye,,4-18,,
5:54.0,V. Oladipo enters the game for E. Payton,,4-18,,
5:54.0,,,4-19,1,K. Irving makes free throw 1 of 1
5:32.0,V. Oladipo misses 3-pt shot from 25 ft,,4-19,,
5:31.0,,,4-19,,Defensive rebound by K. Love
5:15.0,,,4-19,,T. Thompson misses 2-pt shot from 1 ft
5:15.0,Defensive rebound by A. Nicholson,,4-19,,
5:12.0,,,4-19,,M. Dellavedova enters the game for K. Irving
5:00.0,E. Fournier makes 3-pt shot from 26 ft (assist by V. Oladipo),3,7-19,,
4:50.0,,,7-19,,Shooting foul by J. Smith (drawn by L. James)
4:50.0,,,7-20,1,L. James makes free throw 1 of 2
4:50.0,,,7-20,,I. Shumpert enters the game for J. Smith
4:50.0,,,7-21,1,L. James makes free throw 2 of 2
4:37.0,V. Oladipo misses 2-pt shot from 11 ft,,7-21,,
4:35.0,,,7-21,,Defensive rebound by T. Thompson
4:27.0,,,7-23,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
4:03.0,A. Gordon misses 2-pt shot from 20 ft,,7-23,,
4:02.0,,,7-23,,Defensive rebound by M. Dellavedova
3:37.0,,,7-23,,L. James misses 3-pt shot from 23 ft
3:36.0,Defensive rebound by E. Fournier,,7-23,,
3:30.0,V. Oladipo misses 2-pt shot from 13 ft,,7-23,,
3:29.0,,,7-23,,Defensive rebound by I. Shumpert
3:26.0,,,7-23,,Cleveland full timeout
3:26.0,,,7-23,,R. Jefferson enters the game for L. James
3:17.0,,,7-23,,K. Love misses 2-pt shot from 16 ft
3:16.0,Defensive rebound by A. Gordon,,7-23,,
2:59.0,A. Gordon misses 2-pt shot from 12 ft,,7-23,,
2:58.0,,,7-23,,Defensive rebound by K. Love
2:47.0,,,7-26,3,R. Jefferson makes 3-pt shot from 23 ft (assist by M. Dellavedova)
2:20.0,A. Nicholson makes 2-pt shot from 1 ft,2,9-26,,
1:53.0,,,9-26,,T. Thompson misses 2-pt shot from 5 ft
1:53.0,Defensive rebound by A. Nicholson,,9-26,,
1:32.0,A. Gordon misses 3-pt shot from 25 ft,,9-26,,
1:32.0,,,9-26,,Defensive rebound by T. Thompson
1:24.0,,,9-29,3,I. Shumpert makes 3-pt shot from 26 ft (assist by M. Dellavedova)
1:00.0,V. Oladipo makes 2-pt shot from 15 ft,2,11-29,,
0:47.0,,,11-29,,Shooting foul by A. Gordon (drawn by T. Thompson)
0:47.0,,,11-29,,T. Thompson misses free throw 1 of 2
0:47.0,,,11-29,,Offensive rebound by Team
0:47.0,,,11-29,,T. Mozgov enters the game for K. Love
0:47.0,T. Harris enters the game for A. Gordon,,11-29,,
0:47.0,M. Hezonja enters the game for E. Fournier,,11-29,,
0:47.0,,,11-29,,T. Thompson misses free throw 2 of 2
0:46.0,Defensive rebound by T. Harris,,11-29,,
0:38.0,Shooting foul by T. Mozgov (drawn by V. Oladipo),,11-29,,
0:38.0,V. Oladipo makes 2-pt shot at rim,2,13-29,,
0:38.0,V. Oladipo misses free throw 1 of 1,,13-29,,
0:37.0,,,13-29,,Defensive rebound by T. Thompson
0:25.0,,,13-29,,M. Dellavedova misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by M. Hezonja,,13-29,,
0:08.0,Offensive foul by J. Smith,,13-29,,
0:08.0,Turnover by J. Smith (offensive foul),,13-29,,
0:08.0,,,13-29,,J. Jones enters the game for T. Thompson
0:08.0,D. Dedmon enters the game for J. Smith,,13-29,,
