time,Miami,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. C. Zeller (M. Williams gains possession),,,,Jump ball: H. Whiteside vs. C. Zeller (M. Williams gains possession)
11:37.0,,,0-0,,C. Zeller misses 2-pt shot from 16 ft (block by H. Whiteside)
11:37.0,,,0-0,,Offensive rebound by Team
11:30.0,,,0-3,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
11:16.0,G. Green makes 2-pt shot from 1 ft (assist by H. Whiteside),2,2-3,,
11:04.0,,,2-3,,M. Williams misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by D. Wade,,2-3,,
10:53.0,G. Dragic makes 2-pt shot from 7 ft,2,4-3,,
10:40.0,,,4-3,,Shooting foul by G. Green (drawn by N. Batum)
10:40.0,,,4-3,,N. Batum misses free throw 1 of 2
10:40.0,,,4-3,,Offensive rebound by Team
10:40.0,,,4-4,1,N. Batum makes free throw 2 of 2
10:29.0,G. Green misses 2-pt shot from 19 ft,,4-4,,
10:28.0,Offensive rebound by H. Whiteside,,4-4,,
10:24.0,H. Whiteside makes 2-pt shot at rim,2,6-4,,
10:10.0,,,6-4,,C. Zeller misses 2-pt shot from 6 ft
10:09.0,Defensive rebound by H. Whiteside,,6-4,,
9:54.0,D. Wade misses 2-pt shot from 2 ft (block by M. Williams),,6-4,,
9:54.0,,,6-4,,Defensive rebound by Team
9:32.0,,,6-4,,M. Williams misses 2-pt shot from 16 ft
9:31.0,Defensive rebound by H. Whiteside,,6-4,,
9:26.0,,,6-4,,Personal foul by P. Hairston (drawn by D. Wade)
9:20.0,G. Dragic misses 2-pt shot from 15 ft,,6-4,,
9:19.0,,,6-4,,Defensive rebound by P. Hairston
9:11.0,,,6-7,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
8:49.0,Turnover by G. Dragic (bad pass; steal by K. Walker),,6-7,,
8:41.0,,,6-9,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
8:21.0,Turnover by D. Wade (bad pass),,6-9,,
8:08.0,,,6-11,2,M. Williams makes 2-pt shot at rim (assist by K. Walker)
7:54.0,G. Dragic misses 3-pt shot from 25 ft,,6-11,,
7:53.0,,,6-11,,Defensive rebound by P. Hairston
7:47.0,,,6-11,,N. Batum misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by H. Whiteside,,6-11,,
7:37.0,,,6-11,,Personal foul by C. Zeller (drawn by H. Whiteside)
7:24.0,H. Whiteside misses 2-pt shot from 6 ft,,6-11,,
7:23.0,,,6-11,,Defensive rebound by N. Batum
7:18.0,,,6-11,,K. Walker misses 3-pt shot from 25 ft
7:16.0,,,6-11,,Offensive rebound by C. Zeller
7:13.0,,,6-14,3,M. Williams makes 3-pt shot from 23 ft (assist by C. Zeller)
7:13.0,Miami full timeout,,6-14,,
7:13.0,T. Johnson enters the game for C. Bosh,,6-14,,
