time,San Antonio,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Howard (P. Beverley gains possession),,,,Jump ball: T. Duncan vs. D. Howard (P. Beverley gains possession)
11:42.0,,,0-0,,Turnover by J. Smith (bad pass)
11:17.0,L. Aldridge misses 3-pt shot from 24 ft,,0-0,,
11:16.0,Offensive rebound by T. Duncan,,0-0,,
11:04.0,K. Leonard misses 2-pt shot from 16 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by J. Smith
10:56.0,,,0-0,,T. Ariza misses 2-pt shot from 2 ft
10:56.0,,,0-0,,Offensive rebound by Team
10:49.0,,,0-0,,D. Howard misses 2-pt shot from 1 ft
10:48.0,Defensive rebound by K. Leonard,,0-0,,
10:24.0,Turnover by Team (shot clock),,0-0,,
10:12.0,Personal foul by L. Aldridge (drawn by J. Smith),,0-0,,
9:59.0,,,0-0,,J. Harden misses 2-pt shot from 2 ft
9:58.0,,,0-0,,Offensive rebound by D. Howard
9:58.0,,,0-0,,D. Howard misses 2-pt shot at rim
9:58.0,,,0-0,,Offensive rebound by Team
9:49.0,,,0-0,,P. Beverley misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by L. Aldridge,,0-0,,
9:33.0,T. Parker misses 2-pt shot from 3 ft (block by D. Howard),,0-0,,
9:33.0,Offensive rebound by Team,,0-0,,
9:28.0,T. Duncan makes 2-pt shot from 18 ft (assist by D. Green),2,2-0,,
9:14.0,,,2-0,,Turnover by J. Harden (lost ball)
9:01.0,T. Duncan makes 2-pt shot from 19 ft (assist by D. Green),2,4-0,,
8:47.0,,,4-0,,P. Beverley misses 2-pt shot from 1 ft
8:47.0,Defensive rebound by L. Aldridge,,4-0,,
8:32.0,K. Leonard makes 2-pt shot from 7 ft,2,6-0,,
8:16.0,,,6-0,,Shooting foul by T. Duncan (drawn by D. Howard)
8:16.0,,,6-1,1,D. Howard makes free throw 1 of 2
8:16.0,,,6-1,,D. Howard misses free throw 2 of 2
8:16.0,Defensive rebound by L. Aldridge,,6-1,,
7:56.0,Turnover by T. Parker (bad pass),,6-1,,
7:42.0,,,6-1,,J. Smith misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by K. Leonard,,6-1,,
7:28.0,L. Aldridge makes 2-pt shot from 1 ft,2,8-1,,
7:26.0,,,8-1,,Houston full timeout
7:04.0,,,8-3,2,T. Ariza makes 2-pt shot from 1 ft (assist by D. Howard)
6:48.0,,,8-3,,Personal foul by J. Smith (drawn by L. Aldridge)
6:32.0,T. Duncan misses 2-pt shot from 17 ft,,8-3,,
6:31.0,,,8-3,,Defensive rebound by Team
6:17.0,,,8-3,,J. Harden misses 2-pt shot from 3 ft (block by T. Duncan)
6:16.0,Defensive rebound by T. Duncan,,8-3,,
6:06.0,L. Aldridge makes 2-pt shot at rim (assist by D. Green),2,10-3,,
5:55.0,,,10-3,,T. Ariza misses 2-pt shot from 20 ft
5:55.0,Defensive rebound by L. Aldridge,,10-3,,
5:45.0,L. Aldridge makes 2-pt shot from 18 ft,2,12-3,,
5:26.0,,,12-3,,J. Harden misses 2-pt shot from 19 ft
5:25.0,Defensive rebound by K. Leonard,,12-3,,
5:11.0,L. Aldridge misses 2-pt shot from 15 ft,,12-3,,
5:11.0,,,12-3,,Defensive rebound by D. Howard
5:11.0,Loose ball foul by T. Duncan (drawn by D. Howard),,12-3,,
5:11.0,D. West enters the game for T. Duncan,,12-3,,
5:11.0,,,12-3,,D. Motiejunas enters the game for J. Smith
4:57.0,,,12-5,2,J. Harden makes 2-pt shot from 2 ft
4:50.0,Turnover by D. Green (bad pass; steal by T. Ariza),,12-5,,
4:42.0,,,12-7,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by T. Ariza)
4:42.0,San Antonio full timeout,,12-7,,
4:42.0,K. Anderson enters the game for D. Green,,12-7,,
4:33.0,,,12-7,,Personal foul by D. Howard (drawn by L. Aldridge)
4:33.0,,,12-7,,T. Jones enters the game for D. Howard
4:21.0,K. Leonard makes 2-pt shot from 12 ft,2,14-7,,
4:03.0,,,14-9,2,T. Jones makes 2-pt shot at rim (assist by T. Ariza)
3:55.0,Offensive foul by T. Parker,,14-9,,
3:55.0,Turnover by T. Parker (offensive foul),,14-9,,
3:55.0,,,14-9,,C. Brewer enters the game for T. Ariza
3:43.0,,,14-9,,J. Harden misses 2-pt shot from 8 ft
3:42.0,Defensive rebound by K. Anderson,,14-9,,
3:28.0,K. Leonard makes 2-pt shot from 9 ft,2,16-9,,
3:19.0,,,16-9,,Turnover by J. Harden (bad pass; steal by D. West)
3:08.0,K. Anderson makes 2-pt shot from 17 ft (assist by T. Parker),2,18-9,,
2:54.0,,,18-9,,P. Beverley misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by Team,,18-9,,
2:54.0,,,18-9,,J. Terry enters the game for P. Beverley
2:33.0,K. Leonard makes 2-pt shot from 9 ft,2,20-9,,
2:33.0,Shooting foul by J. Harden (drawn by K. Leonard),,20-9,,
2:33.0,P. Mills enters the game for T. Parker,,20-9,,
2:33.0,B. Diaw enters the game for L. Aldridge,,20-9,,
2:33.0,Violation by Team (delay of game),,20-9,,
