time,LA Lakers,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. H. Whiteside (C. Bosh gains possession),,,,Jump ball: R. Hibbert vs. H. Whiteside (C. Bosh gains possession)
11:42.0,,,0-0,,D. Wade misses 2-pt shot from 3 ft (block by M. World Peace)
11:40.0,,,0-0,,Offensive rebound by H. Whiteside
11:38.0,,,0-2,2,H. Whiteside makes 2-pt shot from 8 ft
11:19.0,D. Russell makes 2-pt shot from 16 ft (assist by R. Hibbert),2,2-2,,
11:00.0,,,2-4,2,C. Bosh makes 2-pt shot from 18 ft (assist by G. Dragic)
10:46.0,Turnover by R. Hibbert (bad pass),,2-4,,
10:29.0,,,2-6,2,H. Whiteside makes 2-pt shot from 1 ft (assist by L. Deng)
10:14.0,J. Clarkson misses 3-pt shot from 24 ft,,2-6,,
10:13.0,,,2-6,,Defensive rebound by C. Bosh
10:03.0,Personal foul by M. World Peace (drawn by H. Whiteside),,2-6,,
9:54.0,,,2-6,,D. Wade misses 2-pt shot from 11 ft
9:53.0,,,2-6,,Offensive rebound by C. Bosh
9:53.0,,,2-6,,Shooting foul by J. Randle (drawn by C. Bosh)
9:53.0,,,2-7,1,C. Bosh makes free throw 1 of 2
9:53.0,,,2-8,1,C. Bosh makes free throw 2 of 2
9:42.0,M. World Peace makes 2-pt shot from 1 ft (assist by R. Hibbert),2,4-8,,
9:18.0,,,4-10,2,G. Dragic makes 2-pt shot from 16 ft
9:05.0,J. Randle misses 2-pt shot from 17 ft,,4-10,,
9:04.0,,,4-10,,Defensive rebound by L. Deng
8:53.0,,,4-12,2,H. Whiteside makes 2-pt shot from 6 ft (assist by L. Deng)
8:35.0,J. Clarkson misses 2-pt shot from 2 ft (block by H. Whiteside),,4-12,,
8:34.0,,,4-12,,Defensive rebound by C. Bosh
8:29.0,,,4-12,,Turnover by C. Bosh (bad pass; steal by D. Russell)
8:22.0,J. Clarkson misses 2-pt shot at rim,,4-12,,
8:21.0,,,4-12,,Defensive rebound by H. Whiteside
8:15.0,,,4-15,3,L. Deng makes 3-pt shot from 24 ft (assist by D. Wade)
8:09.0,LA Lakers full timeout,,4-15,,
8:02.0,D. Russell misses 2-pt shot from 16 ft,,4-15,,
8:01.0,,,4-15,,Defensive rebound by G. Dragic
7:52.0,,,4-15,,C. Bosh misses 2-pt shot from 1 ft (block by M. World Peace)
7:51.0,Defensive rebound by J. Randle,,4-15,,
7:46.0,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Randle),2,6-15,,
7:24.0,,,6-15,,D. Wade misses 2-pt shot from 7 ft
7:23.0,Defensive rebound by J. Randle,,6-15,,
7:18.0,,,6-15,,Shooting block foul by C. Bosh (drawn by J. Randle)
7:18.0,J. Randle makes free throw 1 of 2,1,7-15,,
7:18.0,,,7-15,,J. Winslow enters the game for C. Bosh
7:18.0,J. Randle makes free throw 2 of 2,1,8-15,,
7:07.0,,,8-15,,G. Dragic misses 3-pt shot from 24 ft
7:06.0,,,8-15,,Offensive rebound by H. Whiteside
7:06.0,,,8-15,,Shooting foul by R. Hibbert (drawn by H. Whiteside)
7:06.0,,,8-16,1,H. Whiteside makes free throw 1 of 2
7:06.0,,,8-16,,H. Whiteside misses free throw 2 of 2
7:05.0,Defensive rebound by R. Hibbert,,8-16,,
6:46.0,M. World Peace misses 2-pt shot from 1 ft (block by H. Whiteside),,8-16,,
6:45.0,,,8-16,,Defensive rebound by G. Dragic
6:32.0,,,8-16,,L. Deng misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by R. Hibbert,,8-16,,
6:14.0,R. Hibbert makes 2-pt shot at rim (assist by M. World Peace),2,10-16,,
5:52.0,,,10-16,,J. Winslow misses 3-pt shot from 23 ft
5:51.0,Defensive rebound by D. Russell,,10-16,,
5:40.0,R. Hibbert misses 2-pt shot from 6 ft,,10-16,,
5:39.0,,,10-16,,Defensive rebound by Team
5:27.0,,,10-16,,G. Dragic misses 2-pt shot from 2 ft (block by R. Hibbert)
5:26.0,,,10-16,,Offensive rebound by H. Whiteside
5:25.0,,,10-18,2,H. Whiteside makes 2-pt shot at rim
5:11.0,D. Russell misses 3-pt shot from 23 ft,,10-18,,
5:09.0,,,10-18,,Defensive rebound by J. Winslow
5:05.0,,,10-18,,G. Dragic misses 2-pt shot at rim
5:04.0,,,10-18,,Offensive rebound by J. Winslow
5:03.0,,,10-18,,J. Winslow misses 2-pt shot from 1 ft
5:02.0,,,10-18,,Offensive rebound by L. Deng
5:02.0,,,10-20,2,L. Deng makes 2-pt shot from 1 ft
5:02.0,,,10-20,,Shooting foul by J. Randle (drawn by L. Deng)
5:02.0,L. Nance enters the game for J. Randle,,10-20,,
5:02.0,L. Williams enters the game for R. Hibbert,,10-20,,
5:02.0,T. Black enters the game for D. Russell,,10-20,,
5:02.0,,,10-21,1,L. Deng makes free throw 1 of 1
4:49.0,T. Black makes 2-pt shot at rim (assist by L. Williams),2,12-21,,
4:18.0,,,12-21,,Turnover by Team (shot clock)
