time,Portland,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. M. Plumlee (N. Vonleh gains possession),,,,Jump ball: G. Monroe vs. M. Plumlee (N. Vonleh gains possession)
11:43.0,M. Plumlee misses 2-pt shot from 4 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by G. Monroe
11:16.0,,,0-0,,K. Middleton misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by M. Plumlee,,0-0,,
11:03.0,M. Plumlee misses 2-pt shot from 4 ft,,0-0,,
11:01.0,,,0-0,,Defensive rebound by J. Parker
10:47.0,,,0-0,,O. Mayo misses 3-pt shot from 22 ft
10:46.0,Defensive rebound by A. Aminu,,0-0,,
10:39.0,A. Aminu misses 2-pt shot from 18 ft,,0-0,,
10:37.0,,,0-0,,Defensive rebound by J. Parker
10:24.0,Jump ball: A. Aminu vs. G. Antetokounmpo (K. Middleton gains possession),,,,Jump ball: A. Aminu vs. G. Antetokounmpo (K. Middleton gains possession)
10:13.0,,,0-0,,K. Middleton misses 2-pt shot from 9 ft (block by M. Plumlee)
10:13.0,,,0-0,,Offensive rebound by Team
10:13.0,,,0-0,,Turnover by Team (shot clock)
10:03.0,D. Lillard makes 2-pt shot from 15 ft (assist by M. Plumlee),2,2-0,,
9:45.0,,,2-2,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
9:18.0,C. McCollum misses 2-pt shot from 14 ft,,2-2,,
9:16.0,,,2-2,,Defensive rebound by G. Antetokounmpo
9:12.0,Personal foul by M. Plumlee (drawn by G. Monroe),,2-2,,
9:02.0,,,2-2,,Shooting foul by C. McCollum (drawn by K. Middleton)
9:02.0,,,2-2,,K. Middleton misses free throw 1 of 2
9:02.0,,,2-2,,Offensive rebound by Team
9:02.0,,,2-3,1,K. Middleton makes free throw 2 of 2
8:50.0,D. Lillard makes 2-pt shot at rim (assist by N. Vonleh),2,4-3,,
8:35.0,,,4-5,2,G. Monroe makes 2-pt shot from 5 ft
8:18.0,C. McCollum misses 3-pt shot from 25 ft,,4-5,,
8:17.0,,,4-5,,Defensive rebound by G. Antetokounmpo
8:07.0,,,4-7,2,G. Monroe makes 2-pt shot from 5 ft (assist by G. Antetokounmpo)
7:49.0,Turnover by D. Lillard (lost ball; steal by O. Mayo),,4-7,,
7:45.0,,,4-9,2,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo)
7:28.0,Turnover by M. Plumlee (bad pass; steal by K. Middleton),,4-9,,
7:23.0,,,4-9,,K. Middleton misses 2-pt shot at rim (block by M. Plumlee)
7:23.0,,,4-9,,Offensive rebound by Team
7:22.0,,,4-9,,Turnover by G. Antetokounmpo (bad pass; steal by A. Aminu)
7:22.0,,,4-9,,Personal take foul by K. Middleton (drawn by A. Aminu)
7:11.0,Turnover by D. Lillard (bad pass; steal by G. Antetokounmpo),,4-9,,
7:08.0,Personal foul by N. Vonleh (drawn by G. Antetokounmpo),,4-9,,
7:01.0,,,4-11,2,G. Monroe makes 2-pt shot from 17 ft (assist by J. Parker)
6:52.0,Portland full timeout,,4-11,,
6:36.0,A. Aminu misses 3-pt shot from 23 ft,,4-11,,
6:35.0,Offensive rebound by C. McCollum,,4-11,,
6:28.0,C. McCollum makes 2-pt shot from 7 ft,2,6-11,,
6:18.0,,,6-13,2,K. Middleton makes 2-pt shot from 17 ft
6:01.0,C. McCollum misses 2-pt shot from 11 ft,,6-13,,
6:00.0,Offensive rebound by N. Vonleh,,6-13,,
5:57.0,N. Vonleh misses 2-pt shot from 4 ft (block by G. Antetokounmpo),,6-13,,
