time,Boston,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Sullinger vs. C. Zeller (M. Williams gains possession),,,,Jump ball: J. Sullinger vs. C. Zeller (M. Williams gains possession)
11:44.0,,,0-0,,N. Batum misses 2-pt shot from 10 ft
11:43.0,Defensive rebound by K. Olynyk,,0-0,,
11:31.0,Turnover by A. Bradley (step out of bounds),,0-0,,
11:19.0,,,0-0,,K. Walker misses 2-pt shot from 22 ft
11:18.0,Defensive rebound by K. Olynyk,,0-0,,
11:01.0,Turnover by K. Olynyk (lost ball; steal by M. Williams),,0-0,,
10:56.0,,,0-0,,Turnover by K. Walker (bad pass; steal by I. Thomas)
10:44.0,,,0-0,,Def 3 sec tech foul by M. Williams
10:44.0,I. Thomas makes technical free throw,1,1-0,,
10:36.0,K. Olynyk makes 2-pt shot from 1 ft (assist by I. Thomas),2,3-0,,
10:19.0,,,3-0,,P. Hairston misses 2-pt shot from 20 ft
10:18.0,Defensive rebound by J. Crowder,,3-0,,
10:13.0,I. Thomas makes 3-pt shot from 25 ft,3,6-0,,
9:53.0,,,6-0,,P. Hairston misses 3-pt shot from 23 ft
9:52.0,Defensive rebound by J. Crowder,,6-0,,
9:44.0,Turnover by I. Thomas (bad pass; steal by K. Walker),,6-0,,
9:31.0,,,6-0,,P. Hairston misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by J. Crowder,,6-0,,
9:19.0,Offensive charge foul by I. Thomas,,6-0,,
9:19.0,Turnover by I. Thomas (offensive foul),,6-0,,
9:04.0,,,6-3,3,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker)
8:48.0,A. Bradley misses 2-pt shot from 20 ft,,6-3,,
8:47.0,,,6-3,,Defensive rebound by C. Zeller
8:38.0,,,6-3,,M. Williams misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by J. Sullinger,,6-3,,
8:33.0,K. Olynyk makes 2-pt shot at rim (assist by J. Sullinger),2,8-3,,
8:33.0,,,8-3,,Charlotte full timeout
8:33.0,,,8-3,,J. Lin enters the game for P. Hairston
8:19.0,,,8-5,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
8:11.0,,,8-5,,Def 3 sec tech foul by C. Zeller
8:11.0,I. Thomas makes technical free throw,1,9-5,,
8:04.0,J. Crowder makes 2-pt shot from 18 ft (assist by I. Thomas),2,11-5,,
7:40.0,,,11-7,2,J. Lin makes 2-pt shot from 16 ft
7:24.0,A. Bradley makes 3-pt shot from 24 ft (assist by K. Olynyk),3,14-7,,
7:05.0,,,14-7,,Turnover by C. Zeller (3 sec)
6:52.0,I. Thomas misses 3-pt shot from 26 ft,,14-7,,
6:50.0,,,14-7,,Defensive rebound by J. Lin
6:45.0,,,14-7,,Turnover by J. Lin (lost ball)
6:37.0,Turnover by K. Olynyk (traveling),,14-7,,
6:28.0,,,14-9,2,N. Batum makes 2-pt shot from 19 ft (assist by C. Zeller)
6:13.0,A. Bradley makes 2-pt shot from 1 ft (assist by J. Sullinger),2,16-9,,
5:51.0,,,16-9,,Shooting foul by A. Bradley (drawn by K. Walker)
5:51.0,,,16-9,,K. Walker misses free throw 1 of 2
5:51.0,,,16-9,,Offensive rebound by Team
5:51.0,,,16-10,1,K. Walker makes free throw 2 of 2
5:41.0,Offensive foul by J. Sullinger,,16-10,,
5:41.0,Turnover by J. Sullinger (offensive foul),,16-10,,
5:32.0,,,16-10,,Shooting foul by J. Crowder (drawn by N. Batum)
5:32.0,,,16-10,,N. Batum misses free throw 1 of 2
5:32.0,,,16-10,,Offensive rebound by Team
5:32.0,,,16-11,1,N. Batum makes free throw 2 of 2
5:09.0,J. Crowder misses 3-pt shot from 23 ft,,16-11,,
5:06.0,,,16-11,,Defensive rebound by Team
4:48.0,,,16-14,3,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum)
4:40.0,Shooting foul by M. Williams (drawn by I. Thomas),,16-14,,
4:40.0,I. Thomas makes free throw 1 of 2,1,17-14,,
4:40.0,D. Lee enters the game for J. Crowder,,17-14,,
4:40.0,E. Turner enters the game for J. Sullinger,,17-14,,
4:40.0,I. Thomas makes free throw 2 of 2,1,18-14,,
4:22.0,,,18-14,,N. Batum misses 2-pt shot from 17 ft
4:21.0,Defensive rebound by K. Olynyk,,18-14,,
4:12.0,K. Olynyk misses 3-pt shot from 24 ft,,18-14,,
4:11.0,,,18-14,,Defensive rebound by J. Lin
4:02.0,,,18-14,,Turnover by J. Lin (bad pass; steal by K. Olynyk)
3:46.0,Turnover by K. Olynyk (lost ball; steal by C. Zeller),,18-14,,
3:42.0,,,18-14,,C. Zeller misses 2-pt shot from 1 ft
3:39.0,Defensive rebound by D. Lee,,18-14,,
3:39.0,Turnover by I. Thomas (bad pass),,18-14,,
3:39.0,,,18-14,,F. Kaminsky enters the game for M. Williams
3:32.0,,,18-14,,Turnover by K. Walker (lost ball; steal by A. Bradley)
3:25.0,A. Bradley makes 2-pt shot from 2 ft,2,20-14,,
3:14.0,,,20-14,,J. Lin misses 3-pt shot from 26 ft
3:13.0,Defensive rebound by K. Olynyk,,20-14,,
3:04.0,I. Thomas makes 3-pt shot from 25 ft (assist by D. Lee),3,23-14,,
3:04.0,,,23-14,,Charlotte full timeout
2:45.0,,,23-16,2,F. Kaminsky makes 2-pt shot from 9 ft
2:45.0,,,23-16,,Shooting foul by K. Olynyk (drawn by F. Kaminsky)
2:45.0,R. Hunter enters the game for K. Olynyk,,23-16,,
2:45.0,J. Jerebko enters the game for I. Thomas,,23-16,,
2:45.0,,,23-16,,S. Hawes enters the game for C. Zeller
2:45.0,Boston full timeout,,23-16,,
2:45.0,,,23-17,1,F. Kaminsky makes free throw 1 of 1
2:35.0,Shooting foul by S. Hawes (drawn by D. Lee),,23-17,,
2:35.0,D. Lee makes free throw 1 of 2,1,24-17,,
2:35.0,D. Lee makes free throw 2 of 2,1,25-17,,
2:20.0,,,25-19,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
1:56.0,A. Bradley misses 2-pt shot from 21 ft,,25-19,,
1:56.0,,,25-19,,Defensive rebound by Team
1:41.0,,,25-21,2,K. Walker makes 2-pt shot from 17 ft (assist by N. Batum)
1:18.0,D. Lee makes 2-pt shot from 7 ft,2,27-21,,
0:59.0,,,27-21,,S. Hawes misses 2-pt shot from 16 ft
0:58.0,,,27-21,,Offensive rebound by J. Lin
0:54.0,,,27-21,,Turnover by S. Hawes (lost ball; steal by E. Turner)
0:44.0,A. Bradley misses 3-pt shot from 22 ft,,27-21,,
0:43.0,,,27-21,,Defensive rebound by S. Hawes
0:35.0,Personal foul by R. Hunter (drawn by J. Lin),,27-21,,
0:35.0,,,27-21,,J. Lamb enters the game for N. Batum
0:26.0,,,27-21,,Turnover by S. Hawes (3 sec)
0:06.0,D. Lee makes 2-pt shot from 1 ft (assist by J. Jerebko),2,29-21,,
0:00.0,,,29-21,,S. Hawes misses 2-pt shot from 4 ft
0:00.0,,,29-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,J. Crowder misses 3-pt shot from 25 ft,,29-21,,
11:37.0,,,29-21,,Defensive rebound by K. Walker
11:20.0,Flagrant foul type 1 by D. Lee (drawn by F. Kaminsky),,29-21,,
11:20.0,,,29-21,,F. Kaminsky misses flagrant free throw 1 of 2
11:20.0,,,29-21,,Offensive rebound by Team
11:20.0,,,29-22,1,F. Kaminsky makes flagrant free throw 2 of 2
11:10.0,,,29-24,2,J. Lin makes 2-pt shot at rim (assist by F. Kaminsky)
10:59.0,J. Crowder makes 2-pt shot from 17 ft (assist by E. Turner),2,31-24,,
10:43.0,,,31-24,,K. Walker misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by D. Lee,,31-24,,
10:31.0,E. Turner misses 2-pt shot from 15 ft,,31-24,,
10:30.0,,,31-24,,Defensive rebound by J. Lamb
10:23.0,,,31-24,,Turnover by J. Lamb (traveling)
10:23.0,T. Zeller enters the game for J. Jerebko,,31-24,,
10:23.0,,,31-24,,P. Hairston enters the game for K. Walker
10:04.0,E. Turner misses 3-pt shot from 25 ft,,31-24,,
10:02.0,Offensive rebound by T. Zeller,,31-24,,
9:51.0,J. Crowder misses 2-pt shot from 11 ft,,31-24,,
9:49.0,Offensive rebound by D. Lee,,31-24,,
9:44.0,R. Hunter makes 3-pt shot from 25 ft (assist by D. Lee),3,34-24,,
9:33.0,,,34-24,,F. Kaminsky misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by J. Crowder,,34-24,,
9:17.0,J. Crowder makes 2-pt shot from 18 ft (assist by E. Turner),2,36-24,,
9:01.0,,,36-24,,Turnover by J. Lin (bad pass; steal by R. Hunter)
8:55.0,Turnover by E. Turner (bad pass; steal by P. Hairston),,36-24,,
8:52.0,,,36-24,,Shooting foul by E. Turner (drawn by P. Hairston)
8:52.0,Official timeout,,36-24,,
8:52.0,,,36-24,,C. Zeller enters the game for S. Hawes
8:52.0,,,36-25,1,P. Hairston makes free throw 1 of 2
8:52.0,,,36-26,1,P. Hairston makes free throw 2 of 2
8:34.0,E. Turner misses 3-pt shot from 23 ft,,36-26,,
8:33.0,,,36-26,,Defensive rebound by F. Kaminsky
8:20.0,,,36-26,,J. Lin misses 2-pt shot from 18 ft
8:17.0,Defensive rebound by D. Lee,,36-26,,
8:12.0,T. Zeller makes 2-pt shot at rim (assist by D. Lee),2,38-26,,
7:49.0,,,38-26,,Shooting foul by J. Crowder (drawn by J. Lamb)
7:49.0,,,38-27,1,J. Lamb makes free throw 1 of 2
7:49.0,,,38-27,,K. Walker enters the game for J. Lin
7:49.0,,,38-27,,N. Batum enters the game for P. Hairston
7:49.0,,,38-28,1,J. Lamb makes free throw 2 of 2
7:42.0,,,38-28,,Personal foul by N. Batum (drawn by J. Crowder)
7:27.0,J. Crowder makes 2-pt shot from 19 ft (assist by R. Hunter),2,40-28,,
7:12.0,,,40-28,,Turnover by J. Lamb (lost ball; steal by R. Hunter)
6:59.0,D. Lee misses 2-pt shot from 1 ft,,40-28,,
6:58.0,,,40-28,,Defensive rebound by F. Kaminsky
6:47.0,,,40-28,,N. Batum misses 2-pt shot from 18 ft
6:46.0,Defensive rebound by E. Turner,,40-28,,
6:35.0,Turnover by E. Turner (bad pass; steal by C. Zeller),,40-28,,
6:31.0,,,40-30,2,N. Batum makes 2-pt shot at rim (assist by K. Walker)
6:31.0,Boston full timeout,,40-30,,
6:31.0,I. Thomas enters the game for D. Lee,,40-30,,
6:31.0,J. Sullinger enters the game for E. Turner,,40-30,,
6:21.0,T. Zeller misses 2-pt shot from 17 ft,,40-30,,
6:20.0,,,40-30,,Defensive rebound by J. Lamb
6:06.0,,,40-30,,K. Walker misses 2-pt shot from 19 ft
6:05.0,,,40-30,,Offensive rebound by C. Zeller
6:05.0,,,40-30,,Shooting foul by J. Sullinger (drawn by C. Zeller)
6:05.0,,,40-30,,C. Zeller misses free throw 1 of 2
6:05.0,,,40-30,,Offensive rebound by Team
6:05.0,,,40-31,1,C. Zeller makes free throw 2 of 2
5:44.0,T. Zeller misses 2-pt shot from 8 ft,,40-31,,
5:43.0,,,40-31,,Defensive rebound by C. Zeller
5:30.0,,,40-31,,F. Kaminsky misses 2-pt shot from 17 ft
5:29.0,Defensive rebound by J. Crowder,,40-31,,
5:17.0,R. Hunter misses 3-pt shot from 26 ft,,40-31,,
5:16.0,,,40-31,,Defensive rebound by J. Lamb
5:00.0,,,40-31,,N. Batum misses 2-pt shot from 18 ft
4:59.0,Defensive rebound by J. Crowder,,40-31,,
4:50.0,J. Sullinger misses 3-pt shot from 25 ft,,40-31,,
4:49.0,,,40-31,,Defensive rebound by N. Batum
4:43.0,,,40-31,,Turnover by J. Lamb (bad pass; steal by J. Sullinger)
4:36.0,Shooting foul by J. Lamb (drawn by J. Crowder),,40-31,,
4:36.0,J. Crowder misses free throw 1 of 2,,40-31,,
4:36.0,Offensive rebound by Team,,40-31,,
4:36.0,A. Bradley enters the game for R. Hunter,,40-31,,
4:36.0,K. Olynyk enters the game for T. Zeller,,40-31,,
4:36.0,,,40-31,,M. Williams enters the game for F. Kaminsky
4:36.0,J. Crowder makes free throw 2 of 2,1,41-31,,
4:13.0,,,41-31,,J. Lamb misses 2-pt shot from 11 ft
4:12.0,Defensive rebound by J. Crowder,,41-31,,
4:02.0,J. Crowder misses 2-pt shot from 9 ft,,41-31,,
4:02.0,Offensive rebound by Team,,41-31,,
4:02.0,,,41-31,,Loose ball foul by C. Zeller (drawn by J. Sullinger)
4:02.0,,,41-31,,J. Lin enters the game for J. Lamb
3:56.0,Turnover by I. Thomas (bad pass),,41-31,,
3:40.0,,,41-31,,C. Zeller misses 2-pt shot from 6 ft (block by J. Sullinger)
3:39.0,Defensive rebound by K. Olynyk,,41-31,,
3:31.0,I. Thomas misses 2-pt shot from 17 ft,,41-31,,
3:30.0,,,41-31,,Defensive rebound by C. Zeller
3:16.0,,,41-31,,M. Williams misses 3-pt shot from 25 ft
3:14.0,Defensive rebound by J. Sullinger,,41-31,,
2:55.0,J. Sullinger misses 2-pt shot from 2 ft,,41-31,,
2:54.0,Offensive rebound by J. Sullinger,,41-31,,
2:49.0,J. Crowder misses 3-pt shot from 23 ft,,41-31,,
2:48.0,,,41-31,,Defensive rebound by Team
2:48.0,Loose ball foul by J. Sullinger (drawn by J. Lin),,41-31,,
2:48.0,,,41-31,,Charlotte full timeout
2:48.0,J. Jerebko enters the game for J. Sullinger,,41-31,,
2:48.0,,,41-32,1,J. Lin makes free throw 1 of 2
2:48.0,,,41-33,1,J. Lin makes free throw 2 of 2
2:38.0,Shooting foul by M. Williams (drawn by K. Olynyk),,41-33,,
2:38.0,K. Olynyk misses free throw 1 of 2,,41-33,,
2:38.0,Offensive rebound by Team,,41-33,,
2:38.0,,,41-33,,F. Kaminsky enters the game for M. Williams
2:38.0,K. Olynyk makes free throw 2 of 2,1,42-33,,
2:23.0,,,42-33,,Shooting foul by K. Olynyk (drawn by K. Walker)
2:23.0,,,42-34,1,K. Walker makes free throw 1 of 2
2:23.0,,,42-34,,K. Walker misses free throw 2 of 2
2:21.0,Defensive rebound by K. Olynyk,,42-34,,
2:09.0,A. Bradley misses 3-pt shot from 23 ft,,42-34,,
2:08.0,,,42-34,,Defensive rebound by K. Walker
1:57.0,,,42-34,,K. Walker misses 2-pt shot from 2 ft
1:56.0,,,42-34,,Offensive rebound by C. Zeller
1:55.0,,,42-34,,C. Zeller misses 2-pt shot at rim
1:55.0,Defensive rebound by K. Olynyk,,42-34,,
1:51.0,Shooting foul by F. Kaminsky (drawn by J. Crowder),,42-34,,
1:51.0,J. Crowder makes free throw 1 of 2,1,43-34,,
1:51.0,J. Crowder makes free throw 2 of 2,1,44-34,,
1:33.0,,,44-36,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by C. Zeller)
1:20.0,Shooting foul by N. Batum (drawn by K. Olynyk),,44-36,,
1:20.0,K. Olynyk makes free throw 1 of 2,1,45-36,,
1:20.0,,,45-36,,J. Lamb enters the game for N. Batum
1:20.0,K. Olynyk makes free throw 2 of 2,1,46-36,,
1:02.0,,,46-38,2,F. Kaminsky makes 2-pt shot from 2 ft
0:53.0,J. Jerebko misses 2-pt shot at rim (block by K. Walker),,46-38,,
