time,Chicago,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. P. Gasol (E. Ilyasova gains possession),,,,Jump ball: A. Drummond vs. P. Gasol (E. Ilyasova gains possession)
11:43.0,,,0-0,,M. Morris misses 2-pt shot from 13 ft
11:42.0,Defensive rebound by P. Gasol,,0-0,,
11:24.0,P. Gasol makes 2-pt shot from 17 ft,2,2-0,,
11:09.0,,,2-0,,A. Drummond misses 2-pt shot from 7 ft
11:08.0,Defensive rebound by J. Butler,,2-0,,
10:56.0,T. Snell misses 3-pt shot from 24 ft,,2-0,,
10:56.0,,,2-0,,Defensive rebound by A. Drummond
10:43.0,,,2-3,3,M. Morris makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope)
10:37.0,D. Rose misses 2-pt shot from 3 ft (block by A. Drummond),,2-3,,
10:37.0,Offensive rebound by Team,,2-3,,
10:29.0,P. Gasol misses 3-pt shot from 23 ft,,2-3,,
10:29.0,,,2-3,,Defensive rebound by M. Morris
10:18.0,Personal foul by T. Snell (drawn by A. Drummond),,2-3,,
10:09.0,,,2-3,,R. Jackson misses 2-pt shot from 1 ft
10:07.0,,,2-3,,Offensive rebound by A. Drummond
10:06.0,,,2-3,,A. Drummond misses 2-pt shot from 1 ft
10:05.0,,,2-3,,Offensive rebound by A. Drummond
10:04.0,,,2-3,,A. Drummond misses 2-pt shot from 1 ft
10:01.0,,,2-3,,Offensive rebound by A. Drummond
10:01.0,,,2-5,2,A. Drummond makes 2-pt shot at rim
9:46.0,J. Butler misses 2-pt shot from 15 ft,,2-5,,
9:46.0,Offensive rebound by P. Gasol,,2-5,,
9:40.0,P. Gasol makes 2-pt shot at rim,2,4-5,,
9:22.0,,,4-7,2,K. Caldwell-Pope makes 2-pt shot from 7 ft
9:20.0,Turnover by P. Gasol (bad pass; steal by A. Drummond),,4-7,,
9:13.0,,,4-7,,A. Drummond misses 2-pt shot from 9 ft
9:11.0,,,4-7,,Offensive rebound by R. Jackson
9:06.0,,,4-9,2,R. Jackson makes 2-pt shot from 1 ft
9:00.0,,,4-9,,Violation by E. Ilyasova (def goaltending)
9:00.0,N. Mirotic makes 2-pt shot at rim (assist by P. Gasol),2,6-9,,
8:41.0,,,6-9,,Shooting foul by T. Snell (drawn by M. Morris)
8:41.0,,,6-10,1,M. Morris makes free throw 1 of 2
8:41.0,E. Moore enters the game for T. Snell,,6-10,,
8:41.0,,,6-10,,M. Morris misses free throw 2 of 2
8:40.0,Defensive rebound by N. Mirotic,,6-10,,
8:25.0,D. Rose misses 2-pt shot from 6 ft,,6-10,,
8:25.0,,,6-10,,Defensive rebound by A. Drummond
8:16.0,,,6-13,3,R. Jackson makes 3-pt shot from 25 ft
8:04.0,J. Butler misses 2-pt shot at rim,,6-13,,
8:03.0,,,6-13,,Defensive rebound by R. Jackson
8:00.0,,,6-15,2,E. Ilyasova makes 2-pt shot at rim (assist by R. Jackson)
8:00.0,Chicago full timeout,,6-15,,
7:42.0,D. Rose misses 3-pt shot from 26 ft,,6-15,,
7:42.0,Offensive rebound by P. Gasol,,6-15,,
7:36.0,P. Gasol makes 2-pt shot at rim,2,8-15,,
7:12.0,,,8-15,,K. Caldwell-Pope misses 2-pt shot from 16 ft
7:12.0,Defensive rebound by P. Gasol,,8-15,,
6:56.0,N. Mirotic makes 2-pt shot from 4 ft,2,10-15,,
6:30.0,,,10-15,,R. Jackson misses 2-pt shot from 16 ft
6:30.0,Defensive rebound by P. Gasol,,10-15,,
6:27.0,Offensive charge foul by J. Butler,,10-15,,
6:27.0,Turnover by J. Butler (offensive foul),,10-15,,
6:15.0,,,10-17,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:54.0,P. Gasol misses 2-pt shot from 18 ft,,10-17,,
5:54.0,,,10-17,,Defensive rebound by M. Morris
5:31.0,,,10-19,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:20.0,N. Mirotic makes 3-pt shot from 28 ft (assist by D. Rose),3,13-19,,
5:03.0,,,13-19,,E. Ilyasova misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by J. Butler,,13-19,,
4:57.0,Offensive charge foul by D. Rose,,13-19,,
4:57.0,Turnover by D. Rose (offensive foul),,13-19,,
4:57.0,J. Noah enters the game for P. Gasol,,13-19,,
4:57.0,A. Brooks enters the game for D. Rose,,13-19,,
4:48.0,,,13-19,,Turnover by R. Jackson (bad pass)
4:30.0,N. Mirotic misses 2-pt shot from 19 ft,,13-19,,
4:30.0,Offensive rebound by Team,,13-19,,
4:30.0,,,13-19,,Loose ball foul by A. Drummond (drawn by J. Noah)
4:23.0,J. Butler misses 2-pt shot from 4 ft,,13-19,,
4:23.0,,,13-19,,Defensive rebound by R. Jackson
4:16.0,,,13-19,,R. Jackson misses 2-pt shot at rim
4:16.0,,,13-19,,Offensive rebound by E. Ilyasova
4:09.0,,,13-19,,K. Caldwell-Pope misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by A. Brooks,,13-19,,
4:03.0,,,13-19,,Personal foul by A. Drummond (drawn by N. Mirotic)
4:03.0,,,13-19,,A. Baynes enters the game for A. Drummond
3:53.0,N. Mirotic makes 2-pt shot at rim,2,15-19,,
3:41.0,,,15-19,,R. Jackson misses 2-pt shot from 13 ft
3:41.0,Defensive rebound by J. Butler,,15-19,,
3:28.0,Turnover by J. Noah (bad pass),,15-19,,
3:09.0,,,15-19,,K. Caldwell-Pope misses 2-pt shot from 4 ft
3:08.0,Defensive rebound by J. Butler,,15-19,,
3:04.0,Shooting foul by M. Morris (drawn by J. Butler),,15-19,,
3:04.0,J. Butler misses free throw 1 of 2,,15-19,,
3:04.0,Offensive rebound by Team,,15-19,,
3:04.0,T. Gibson enters the game for N. Mirotic,,15-19,,
3:04.0,J. Butler makes free throw 2 of 2,1,16-19,,
2:59.0,,,16-19,,Detroit full timeout
2:59.0,,,16-19,,S. Blake enters the game for E. Ilyasova
2:59.0,,,16-19,,A. Tolliver enters the game for R. Jackson
2:45.0,Personal foul by T. Gibson (drawn by A. Baynes),,16-19,,
