time,Miami,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:46.0,,,0-0,,K. Love misses 2-pt shot from 16 ft
11:45.0,Defensive rebound by H. Whiteside,,0-0,,
11:27.0,D. Wade makes 3-pt shot from 25 ft (assist by G. Dragic),3,3-0,,
11:01.0,,,3-0,,M. Williams misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by D. Wade,,3-0,,
10:51.0,D. Wade misses 2-pt shot from 3 ft,,3-0,,
10:50.0,Offensive rebound by H. Whiteside,,3-0,,
10:50.0,Shooting foul by K. Love (drawn by H. Whiteside),,3-0,,
10:50.0,H. Whiteside makes free throw 1 of 2,1,4-0,,
10:50.0,H. Whiteside makes free throw 2 of 2,1,5-0,,
10:30.0,,,5-2,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
10:08.0,L. Deng misses 3-pt shot from 26 ft,,5-2,,
10:08.0,,,5-2,,Defensive rebound by J. Smith
9:53.0,,,5-4,2,L. James makes 2-pt shot from 5 ft
9:53.0,,,5-4,,Shooting foul by L. Deng (drawn by L. James)
9:53.0,,,5-5,1,L. James makes free throw 1 of 1
9:35.0,C. Bosh makes 3-pt shot from 23 ft (assist by G. Dragic),3,8-5,,
9:22.0,,,8-7,2,T. Mozgov makes 2-pt shot at rim
8:56.0,H. Whiteside misses 2-pt shot from 1 ft,,8-7,,
8:56.0,,,8-7,,Defensive rebound by T. Mozgov
8:50.0,,,8-7,,J. Smith misses 2-pt shot from 1 ft
8:48.0,,,8-7,,Offensive rebound by K. Love
8:34.0,,,8-7,,K. Love misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by D. Wade,,8-7,,
8:18.0,C. Bosh misses 2-pt shot from 2 ft (block by J. Smith),,8-7,,
8:16.0,,,8-7,,Defensive rebound by T. Mozgov
8:13.0,,,8-7,,M. Williams misses 3-pt shot from 26 ft (block by D. Wade)
8:13.0,Defensive rebound by D. Wade,,8-7,,
8:13.0,Turnover by D. Wade (step out of bounds),,8-7,,
8:03.0,,,8-7,,L. James misses 2-pt shot from 2 ft
7:57.0,,,8-7,,Offensive rebound by K. Love
7:56.0,,,8-9,2,K. Love makes 2-pt shot at rim
7:38.0,D. Wade makes 2-pt shot from 10 ft,2,10-9,,
7:22.0,,,10-9,,K. Love misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by H. Whiteside,,10-9,,
7:18.0,Offensive foul by L. Deng,,10-9,,
7:18.0,Turnover by L. Deng (offensive foul),,10-9,,
7:18.0,J. Winslow enters the game for L. Deng,,10-9,,
7:03.0,,,10-9,,M. Williams misses 3-pt shot from 26 ft
7:03.0,,,10-9,,Offensive rebound by K. Love
7:03.0,,,10-9,,K. Love misses 2-pt shot from 1 ft
6:59.0,Defensive rebound by C. Bosh,,10-9,,
6:54.0,G. Dragic misses 2-pt shot at rim,,10-9,,
6:51.0,,,10-9,,Defensive rebound by J. Smith
6:44.0,,,10-9,,K. Love misses 2-pt shot from 5 ft (block by H. Whiteside)
6:43.0,,,10-9,,Offensive rebound by K. Love
6:42.0,,,10-9,,Shooting foul by J. Winslow (drawn by K. Love)
6:42.0,,,10-10,1,K. Love makes free throw 1 of 2
6:42.0,,,10-11,1,K. Love makes free throw 2 of 2
6:35.0,Turnover by D. Wade (bad pass),,10-11,,
6:21.0,,,10-11,,Shooting foul by D. Wade (drawn by L. James)
6:21.0,,,10-12,1,L. James makes free throw 1 of 2
6:21.0,,,10-12,,L. James misses free throw 2 of 2
6:20.0,Defensive rebound by H. Whiteside,,10-12,,
6:06.0,C. Bosh makes 2-pt shot from 18 ft (assist by G. Dragic),2,12-12,,
5:48.0,,,12-14,2,M. Williams makes 2-pt shot from 17 ft (assist by L. James)
5:31.0,G. Dragic misses 2-pt shot from 7 ft,,12-14,,
5:30.0,,,12-14,,Defensive rebound by T. Mozgov
5:16.0,,,12-14,,T. Mozgov misses 2-pt shot from 2 ft
5:16.0,Defensive rebound by H. Whiteside,,12-14,,
5:12.0,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic),2,14-14,,
5:12.0,Shooting foul by T. Mozgov (drawn by H. Whiteside),,14-14,,
5:12.0,,,14-14,,Cleveland full timeout
5:12.0,H. Whiteside makes free throw 1 of 1,1,15-14,,
5:04.0,,,15-14,,Offensive foul by L. James
5:04.0,,,15-14,,Turnover by L. James (offensive foul)
4:55.0,G. Dragic misses 3-pt shot from 25 ft,,15-14,,
4:54.0,,,15-14,,Defensive rebound by K. Love
4:39.0,,,15-16,2,L. James makes 2-pt shot from 7 ft
4:25.0,Turnover by D. Wade (bad pass),,15-16,,
4:25.0,,,15-16,,M. Dellavedova enters the game for M. Williams
4:25.0,M. Chalmers enters the game for G. Dragic,,15-16,,
4:01.0,,,15-18,2,L. James makes 2-pt shot from 12 ft
3:55.0,Miami full timeout,,15-18,,
3:55.0,,,15-18,,R. Jefferson enters the game for L. James
3:55.0,,,15-18,,T. Thompson enters the game for T. Mozgov
3:55.0,G. Green enters the game for C. Bosh,,15-18,,
3:55.0,J. McRoberts enters the game for D. Wade,,15-18,,
3:40.0,H. Whiteside misses 2-pt shot from 6 ft,,15-18,,
3:39.0,,,15-18,,Defensive rebound by T. Thompson
3:17.0,,,15-20,2,J. Smith makes 2-pt shot from 16 ft
3:02.0,J. Winslow makes 2-pt shot from 3 ft (assist by M. Chalmers),2,17-20,,
2:46.0,,,17-20,,J. Smith misses 2-pt shot from 6 ft
2:45.0,Defensive rebound by J. Winslow,,17-20,,
2:34.0,H. Whiteside makes 2-pt shot from 5 ft (assist by J. McRoberts),2,19-20,,
2:23.0,,,19-20,,Shooting foul by J. McRoberts (drawn by K. Love)
2:23.0,,,19-21,1,K. Love makes free throw 1 of 2
2:23.0,A. Stoudemire enters the game for H. Whiteside,,19-21,,
2:23.0,,,19-22,1,K. Love makes free throw 2 of 2
2:06.0,J. McRoberts misses 3-pt shot from 25 ft,,19-22,,
2:06.0,,,19-22,,Defensive rebound by K. Love
1:52.0,,,19-24,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
1:33.0,J. McRoberts makes 2-pt shot from 1 ft (assist by M. Chalmers),2,21-24,,
1:10.0,,,21-24,,J. Smith misses 2-pt shot from 16 ft
1:09.0,,,21-24,,Offensive rebound by M. Dellavedova
1:06.0,,,21-26,2,K. Love makes 2-pt shot from 1 ft (assist by T. Thompson)
1:06.0,,,21-26,,Shooting foul by G. Green (drawn by K. Love)
1:06.0,,,21-26,,J. Cunningham enters the game for J. Smith
1:06.0,,,21-27,1,K. Love makes free throw 1 of 1
0:44.0,A. Stoudemire misses 2-pt shot from 4 ft,,21-27,,
0:43.0,,,21-27,,Defensive rebound by T. Thompson
0:36.0,,,21-29,2,T. Thompson makes 2-pt shot from 14 ft (assist by M. Dellavedova)
0:23.0,M. Chalmers makes 2-pt shot at rim,2,23-29,,
0:01.0,,,23-29,,Turnover by R. Jefferson (step out of bounds)
0:00.0,M. Chalmers misses 3-pt shot from 58 ft,,23-29,,
0:00.0,Offensive rebound by Team,,23-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,G. Green misses 2-pt shot from 15 ft,,23-29,,
11:48.0,,,23-29,,Defensive rebound by Team
11:48.0,Personal foul by A. Stoudemire (drawn by A. Varejao),,23-29,,
11:28.0,,,23-29,,M. Dellavedova misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by A. Stoudemire,,23-29,,
11:12.0,Offensive foul by J. McRoberts,,23-29,,
11:12.0,Turnover by J. McRoberts (offensive foul),,23-29,,
10:57.0,,,23-29,,R. Jefferson misses 3-pt shot from 25 ft
10:56.0,Defensive rebound by J. McRoberts,,23-29,,
10:38.0,M. Chalmers misses 3-pt shot from 23 ft,,23-29,,
10:37.0,Offensive rebound by J. McRoberts,,23-29,,
10:28.0,Shooting foul by R. Jefferson (drawn by G. Green),,23-29,,
10:28.0,G. Green makes free throw 1 of 2,1,24-29,,
10:28.0,,,24-29,,L. James enters the game for J. Cunningham
10:28.0,G. Green makes free throw 2 of 2,1,25-29,,
10:08.0,,,25-31,2,L. James makes 2-pt shot from 13 ft
9:56.0,G. Green misses 2-pt shot from 10 ft,,25-31,,
9:55.0,,,25-31,,Defensive rebound by T. Thompson
9:47.0,,,25-33,2,L. James makes 2-pt shot from 9 ft
9:29.0,G. Green misses 3-pt shot from 23 ft,,25-33,,
9:29.0,,,25-33,,Defensive rebound by T. Thompson
9:18.0,,,25-36,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by L. James)
9:18.0,Miami full timeout,,25-36,,
9:18.0,C. Bosh enters the game for J. Winslow,,25-36,,
9:18.0,G. Dragic enters the game for M. Chalmers,,25-36,,
9:18.0,L. Deng enters the game for J. McRoberts,,25-36,,
8:54.0,C. Bosh misses 2-pt shot from 12 ft,,25-36,,
8:53.0,,,25-36,,Defensive rebound by A. Varejao
8:40.0,,,25-36,,R. Jefferson misses 2-pt shot from 12 ft
8:40.0,,,25-36,,Offensive rebound by T. Thompson
8:35.0,,,25-36,,L. James misses 3-pt shot from 26 ft
8:35.0,Defensive rebound by G. Dragic,,25-36,,
8:15.0,G. Green misses 2-pt shot from 12 ft,,25-36,,
8:15.0,Offensive rebound by A. Stoudemire,,25-36,,
8:13.0,L. Deng misses 3-pt shot from 25 ft,,25-36,,
8:11.0,,,25-36,,Defensive rebound by M. Dellavedova
7:54.0,,,25-36,,M. Dellavedova misses 2-pt shot from 6 ft
7:52.0,,,25-36,,Offensive rebound by A. Varejao
7:40.0,,,25-36,,M. Dellavedova misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by L. Deng,,25-36,,
7:27.0,A. Stoudemire makes 2-pt shot from 9 ft,2,27-36,,
7:09.0,,,27-38,2,T. Thompson makes 2-pt shot from 1 ft (assist by M. Dellavedova)
6:59.0,,,27-38,,Personal foul by A. Varejao (drawn by A. Stoudemire)
6:59.0,D. Wade enters the game for G. Green,,27-38,,
6:59.0,H. Whiteside enters the game for A. Stoudemire,,27-38,,
6:59.0,,,27-38,,J. Smith enters the game for R. Jefferson
6:44.0,C. Bosh makes 3-pt shot from 24 ft (assist by D. Wade),3,30-38,,
6:30.0,,,30-38,,J. Smith misses 3-pt shot from 27 ft
6:29.0,Defensive rebound by L. Deng,,30-38,,
6:16.0,C. Bosh misses 2-pt shot from 1 ft,,30-38,,
6:15.0,,,30-38,,Defensive rebound by L. James
6:09.0,,,30-38,,Offensive foul by L. James
6:09.0,,,30-38,,Turnover by L. James (offensive foul)
5:53.0,G. Dragic misses 3-pt shot from 22 ft,,30-38,,
5:53.0,,,30-38,,Defensive rebound by L. James
5:52.0,Official timeout,,30-38,,
5:52.0,,,30-38,,K. Love enters the game for T. Thompson
5:38.0,,,30-38,,J. Smith misses 3-pt shot from 25 ft
5:37.0,,,30-38,,Offensive rebound by L. James
5:37.0,,,30-38,,L. James misses 2-pt shot from 1 ft
5:35.0,Defensive rebound by C. Bosh,,30-38,,
5:25.0,D. Wade misses 2-pt shot from 4 ft,,30-38,,
5:22.0,,,30-38,,Defensive rebound by A. Varejao
5:17.0,,,30-38,,M. Williams enters the game for M. Dellavedova
5:02.0,,,30-38,,Turnover by J. Smith (bad pass; steal by L. Deng)
4:57.0,L. Deng makes 2-pt shot at rim,2,32-38,,
4:40.0,,,32-38,,Turnover by J. Smith (lost ball; steal by D. Wade)
4:34.0,C. Bosh makes 2-pt shot from 1 ft (assist by L. Deng),2,34-38,,
4:10.0,,,34-40,2,L. James makes 2-pt shot from 18 ft
3:55.0,Turnover by D. Wade (bad pass; steal by L. James),,34-40,,
3:48.0,,,34-42,2,L. James makes 2-pt shot from 5 ft
3:27.0,,,34-42,,T. Mozgov enters the game for A. Varejao
3:23.0,C. Bosh makes 2-pt shot from 15 ft (assist by D. Wade),2,36-42,,
2:59.0,,,36-42,,T. Mozgov misses 2-pt shot from 6 ft (block by H. Whiteside)
2:57.0,Defensive rebound by L. Deng,,36-42,,
2:46.0,H. Whiteside misses 2-pt shot from 18 ft,,36-42,,
2:46.0,,,36-42,,Defensive rebound by K. Love
2:37.0,,,36-45,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
2:27.0,,,36-45,,Personal foul by M. Williams (drawn by G. Dragic)
2:27.0,,,36-45,,Cleveland full timeout
2:17.0,D. Wade misses 2-pt shot from 17 ft,,36-45,,
2:16.0,Offensive rebound by Team,,36-45,,
2:04.0,D. Wade makes 2-pt shot from 13 ft (assist by L. Deng),2,38-45,,
1:40.0,,,38-45,,L. James misses 2-pt shot from 5 ft
1:39.0,Defensive rebound by G. Dragic,,38-45,,
1:31.0,C. Bosh misses 3-pt shot from 25 ft,,38-45,,
1:30.0,,,38-45,,Defensive rebound by K. Love
1:24.0,,,38-45,,Turnover by M. Williams (step out of bounds)
1:24.0,J. Winslow enters the game for L. Deng,,38-45,,
1:24.0,,,38-45,,R. Jefferson enters the game for L. James
1:14.0,Shooting foul by J. Smith (drawn by D. Wade),,38-45,,
1:14.0,D. Wade makes free throw 1 of 2,1,39-45,,
1:14.0,D. Wade makes free throw 2 of 2,1,40-45,,
1:01.0,,,40-45,,K. Love misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by H. Whiteside,,40-45,,
0:52.0,Shooting foul by J. Smith (drawn by D. Wade),,40-45,,
0:52.0,D. Wade makes free throw 1 of 2,1,41-45,,
0:52.0,,,41-45,,M. Dellavedova enters the game for J. Smith
0:52.0,D. Wade makes free throw 2 of 2,1,42-45,,
0:39.0,,,42-47,2,M. Williams makes 2-pt shot from 17 ft
0:17.0,D. Wade misses 2-pt shot from 6 ft,,42-47,,
0:15.0,,,42-47,,Defensive rebound by K. Love
0:03.0,,,42-47,,M. Williams misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by C. Bosh,,42-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,C. Bosh makes 2-pt shot from 1 ft (assist by H. Whiteside),2,44-47,,
11:14.0,,,44-47,,M. Williams misses 2-pt shot from 5 ft
11:14.0,Defensive rebound by H. Whiteside,,44-47,,
11:04.0,G. Dragic misses 2-pt shot from 4 ft,,44-47,,
11:02.0,,,44-47,,Defensive rebound by T. Mozgov
10:52.0,,,44-49,2,T. Mozgov makes 2-pt shot from 1 ft (assist by M. Williams)
10:27.0,G. Dragic misses 2-pt shot from 8 ft,,44-49,,
10:25.0,,,44-49,,Defensive rebound by K. Love
10:02.0,,,44-49,,J. Smith misses 2-pt shot from 16 ft
10:02.0,,,44-49,,Offensive rebound by K. Love
9:43.0,,,44-51,2,K. Love makes 2-pt shot from 5 ft (assist by M. Williams)
9:32.0,L. Deng misses 2-pt shot from 19 ft,,44-51,,
9:31.0,,,44-51,,Defensive rebound by K. Love
9:25.0,,,44-53,2,L. James makes 2-pt shot at rim (assist by K. Love)
