time,Sacramento,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. A. Horford (B. McLemore gains possession),,,,Jump ball: D. Cousins vs. A. Horford (B. McLemore gains possession)
11:49.0,B. McLemore misses 2-pt shot from 3 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by D. Schroder
11:32.0,,,0-3,3,J. Holiday makes 3-pt shot from 24 ft (assist by A. Horford)
11:11.0,R. Gay misses 2-pt shot from 4 ft,,0-3,,
11:10.0,,,0-3,,Defensive rebound by P. Millsap
11:03.0,,,0-3,,A. Horford misses 2-pt shot from 19 ft
10:59.0,Defensive rebound by R. Rondo,,0-3,,
10:58.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,2-3,,
10:58.0,Shooting foul by A. Horford (drawn by D. Cousins),,2-3,,
10:58.0,D. Cousins makes free throw 1 of 1,1,3-3,,
10:43.0,,,3-3,,A. Horford misses 2-pt shot from 9 ft
10:40.0,Defensive rebound by D. Cousins,,3-3,,
10:33.0,D. Cousins misses 2-pt shot from 20 ft,,3-3,,
10:30.0,,,3-3,,Defensive rebound by J. Holiday
10:18.0,,,3-6,3,J. Holiday makes 3-pt shot from 23 ft (assist by K. Korver)
10:02.0,,,3-6,,Personal foul by K. Korver (drawn by B. McLemore)
9:48.0,D. Cousins makes 2-pt shot from 20 ft (assist by Q. Acy),2,5-6,,
9:21.0,,,5-9,3,D. Schroder makes 3-pt shot from 24 ft (assist by P. Millsap)
9:05.0,D. Cousins misses 3-pt shot from 24 ft,,5-9,,
9:04.0,Offensive rebound by B. McLemore,,5-9,,
9:01.0,Turnover by D. Cousins (lost ball; steal by P. Millsap),,5-9,,
8:51.0,,,5-9,,K. Korver misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by R. Gay,,5-9,,
8:44.0,B. McLemore makes 3-pt shot from 25 ft (assist by R. Gay),3,8-9,,
8:26.0,,,8-9,,J. Holiday misses 3-pt shot from 23 ft
8:22.0,,,8-9,,Offensive rebound by P. Millsap
8:12.0,,,8-9,,P. Millsap misses 3-pt shot from 23 ft
8:10.0,Defensive rebound by R. Rondo,,8-9,,
7:56.0,Turnover by R. Gay (lost ball; steal by J. Holiday),,8-9,,
7:45.0,,,8-9,,J. Holiday misses 2-pt shot from 1 ft (block by Q. Acy)
7:45.0,Defensive rebound by Team,,8-9,,
7:32.0,Turnover by D. Cousins (turnover),,8-9,,
7:17.0,,,8-9,,D. Schroder misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by D. Cousins,,8-9,,
7:12.0,Shooting foul by P. Millsap (drawn by R. Gay),,8-9,,
7:12.0,R. Gay makes free throw 1 of 2,1,9-9,,
7:12.0,R. Gay makes free throw 2 of 2,1,10-9,,
6:55.0,,,10-9,,Turnover by P. Millsap (bad pass; steal by B. McLemore)
6:49.0,B. McLemore makes 2-pt shot at rim (assist by D. Cousins),2,12-9,,
6:49.0,,,12-9,,Atlanta full timeout
6:49.0,,,12-9,,L. Patterson enters the game for A. Horford
6:49.0,,,12-9,,T. Splitter enters the game for K. Korver
6:37.0,Personal foul by Q. Acy (drawn by P. Millsap),,12-9,,
6:28.0,,,12-9,,P. Millsap misses 2-pt shot from 1 ft
6:25.0,Defensive rebound by R. Rondo,,12-9,,
6:23.0,Turnover by R. Rondo (bad pass; steal by L. Patterson),,12-9,,
6:09.0,,,12-9,,Turnover by J. Holiday (bad pass; steal by R. Gay)
