time,San Antonio,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:50.0,,,0-0,,G. Dieng misses 2-pt shot from 3 ft (block by D. West)
12:00.0,Jump ball: L. Aldridge vs. K. Towns (G. Dieng gains possession),,,,Jump ball: L. Aldridge vs. K. Towns (G. Dieng gains possession)
11:49.0,Jump ball: L. Aldridge vs. K. Towns (A. Wiggins gains possession),,,,Jump ball: L. Aldridge vs. K. Towns (A. Wiggins gains possession)
11:49.0,,,0-0,,Offensive rebound by Team
11:33.0,,,0-0,,A. Wiggins misses 3-pt shot from 25 ft
11:32.0,,,0-0,,Offensive rebound by K. Towns
11:31.0,,,0-2,2,K. Towns makes 2-pt shot at rim
11:03.0,K. Leonard misses 2-pt shot from 10 ft,,0-2,,
11:03.0,,,0-2,,Defensive rebound by G. Dieng
10:55.0,,,0-4,2,A. Wiggins makes 2-pt shot from 3 ft (assist by R. Rubio)
10:42.0,D. Green makes 3-pt shot from 26 ft (assist by D. West),3,3-4,,
10:23.0,,,3-4,,K. Towns misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by K. Leonard,,3-4,,
10:15.0,K. Leonard makes 2-pt shot from 11 ft,2,5-4,,
9:59.0,,,5-4,,Turnover by R. Rubio (lost ball; steal by A. Miller)
9:52.0,D. Green makes 2-pt shot from 1 ft (assist by A. Miller),2,7-4,,
9:39.0,,,7-4,,G. Dieng misses 2-pt shot at rim (block by L. Aldridge)
9:37.0,,,7-4,,Offensive rebound by R. Rubio
9:34.0,,,7-4,,Shooting foul by D. Green (drawn by G. Dieng)
9:34.0,,,7-5,1,G. Dieng makes free throw 1 of 2
9:34.0,,,7-6,1,G. Dieng makes free throw 2 of 2
9:17.0,L. Aldridge misses 2-pt shot from 11 ft,,7-6,,
9:15.0,,,7-6,,Defensive rebound by A. Wiggins
9:11.0,,,7-8,2,Z. LaVine makes 2-pt shot from 1 ft (assist by A. Wiggins)
9:04.0,Shooting foul by G. Dieng (drawn by L. Aldridge),,7-8,,
9:04.0,L. Aldridge makes free throw 1 of 2,1,8-8,,
9:04.0,L. Aldridge makes free throw 2 of 2,1,9-8,,
8:47.0,,,9-8,,R. Rubio misses 2-pt shot from 17 ft
8:46.0,Defensive rebound by L. Aldridge,,9-8,,
8:25.0,D. Green misses 2-pt shot from 1 ft,,9-8,,
8:24.0,,,9-8,,Defensive rebound by K. Towns
8:15.0,,,9-10,2,K. Towns makes 2-pt shot from 1 ft (assist by Z. LaVine)
8:01.0,L. Aldridge makes 2-pt shot from 17 ft (assist by K. Leonard),2,11-10,,
7:45.0,,,11-10,,Shooting foul by D. West (drawn by K. Towns)
7:45.0,,,11-11,1,K. Towns makes free throw 1 of 2
7:45.0,,,11-11,,K. Towns misses free throw 2 of 2
7:44.0,Defensive rebound by L. Aldridge,,11-11,,
7:23.0,A. Miller misses 2-pt shot from 11 ft,,11-11,,
7:20.0,Offensive rebound by D. Green,,11-11,,
7:13.0,D. Green misses 3-pt shot from 24 ft,,11-11,,
7:12.0,,,11-11,,Defensive rebound by G. Dieng
6:57.0,,,11-11,,A. Wiggins misses 2-pt shot from 20 ft
6:55.0,Defensive rebound by L. Aldridge,,11-11,,
6:44.0,L. Aldridge makes 2-pt shot from 19 ft (assist by A. Miller),2,13-11,,
6:33.0,Personal foul by A. Miller,,13-11,,
6:16.0,,,13-11,,A. Wiggins misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by D. West,,13-11,,
6:04.0,K. Leonard makes 2-pt shot from 4 ft,2,15-11,,
5:52.0,,,15-13,2,R. Rubio makes 2-pt shot from 19 ft (assist by Z. LaVine)
5:39.0,L. Aldridge makes 2-pt shot at rim,2,17-13,,
5:38.0,,,17-13,,Minnesota full timeout
5:38.0,P. Mills enters the game for A. Miller,,17-13,,
5:21.0,,,17-13,,Shooting foul by D. West (drawn by A. Wiggins)
5:21.0,,,17-14,1,A. Wiggins makes free throw 1 of 2
5:21.0,B. Diaw enters the game for D. West,,17-14,,
5:21.0,,,17-15,1,A. Wiggins makes free throw 2 of 2
5:05.0,K. Leonard misses 2-pt shot from 14 ft,,17-15,,
5:04.0,,,17-15,,Defensive rebound by R. Rubio
4:56.0,,,17-15,,G. Dieng misses 2-pt shot from 15 ft
4:55.0,Defensive rebound by L. Aldridge,,17-15,,
4:46.0,L. Aldridge makes 2-pt shot from 21 ft (assist by P. Mills),2,19-15,,
4:25.0,,,19-18,3,A. Wiggins makes 3-pt shot from 24 ft (assist by G. Dieng)
4:10.0,L. Aldridge misses 2-pt shot from 16 ft,,19-18,,
4:09.0,Offensive rebound by P. Mills,,19-18,,
4:08.0,P. Mills makes 2-pt shot from 1 ft,2,21-18,,
3:51.0,,,21-18,,Z. LaVine misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by B. Diaw,,21-18,,
3:44.0,D. Green makes 2-pt shot from 13 ft (assist by B. Diaw),2,23-18,,
3:31.0,,,23-18,,T. Jones enters the game for R. Rubio
3:31.0,K. Anderson enters the game for K. Leonard,,23-18,,
3:17.0,,,23-18,,Turnover by A. Wiggins (lost ball; steal by D. Green)
3:10.0,P. Mills misses 3-pt shot from 25 ft,,23-18,,
3:09.0,Offensive rebound by K. Anderson,,23-18,,
2:53.0,L. Aldridge makes 2-pt shot from 8 ft (assist by P. Mills),2,25-18,,
2:30.0,,,25-20,2,K. Towns makes 2-pt shot from 12 ft
2:09.0,D. Green misses 2-pt shot from 21 ft,,25-20,,
2:08.0,,,25-20,,Defensive rebound by A. Wiggins
1:58.0,,,25-20,,Turnover by A. Wiggins (lost ball; steal by K. Anderson)
1:52.0,D. Green makes 2-pt shot at rim (assist by P. Mills),2,27-20,,
1:52.0,,,27-20,,Minnesota full timeout
1:52.0,San Antonio full timeout,,27-20,,
1:52.0,,,27-20,,A. Payne enters the game for G. Dieng
1:52.0,,,27-20,,S. Muhammad enters the game for Z. LaVine
1:52.0,J. Simmons enters the game for D. Green,,27-20,,
1:39.0,,,27-22,2,K. Towns makes 2-pt shot from 10 ft (assist by T. Jones)
1:29.0,,,27-22,,Personal foul by T. Jones
1:19.0,P. Mills misses 3-pt shot from 25 ft,,27-22,,
1:17.0,,,27-22,,Defensive rebound by A. Payne
1:01.0,,,27-22,,K. Towns misses 2-pt shot from 9 ft
1:00.0,,,27-22,,Offensive rebound by K. Towns
0:59.0,,,27-22,,K. Towns misses 2-pt shot from 1 ft
0:58.0,,,27-22,,Offensive rebound by K. Towns
0:57.0,,,27-22,,K. Towns misses 2-pt shot at rim (block by L. Aldridge)
0:56.0,Defensive rebound by Team,,27-22,,
0:56.0,D. West enters the game for L. Aldridge,,27-22,,
0:55.0,Jump ball: J. Simmons vs. K. Towns,,,,Jump ball: J. Simmons vs. K. Towns
0:32.0,P. Mills misses 2-pt shot from 22 ft,,27-22,,
0:32.0,,,27-22,,Defensive rebound by A. Wiggins
0:24.0,,,27-24,2,T. Jones makes 2-pt shot from 6 ft
0:02.0,P. Mills misses 3-pt shot from 25 ft,,27-24,,
0:00.0,,,27-24,,Defensive rebound by A. Wiggins
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,B. Diaw makes 2-pt shot at rim (assist by P. Mills),2,29-24,,
11:29.0,,,29-24,,Shooting foul by K. Anderson (drawn by S. Muhammad)
11:29.0,,,29-25,1,S. Muhammad makes free throw 1 of 2
11:29.0,,,29-26,1,S. Muhammad makes free throw 2 of 2
11:11.0,K. Anderson makes 2-pt shot from 20 ft (assist by D. West),2,31-26,,
10:51.0,,,31-26,,S. Muhammad misses 2-pt shot from 3 ft
10:50.0,,,31-26,,Offensive rebound by S. Muhammad
10:49.0,,,31-28,2,S. Muhammad makes 2-pt shot from 5 ft
10:27.0,J. Simmons misses 2-pt shot from 2 ft (block by G. Dieng),,31-28,,
10:24.0,,,31-28,,Defensive rebound by Z. LaVine
10:19.0,,,31-30,2,Z. LaVine makes 2-pt shot from 1 ft
10:05.0,P. Mills misses 3-pt shot from 24 ft,,31-30,,
10:04.0,,,31-30,,Defensive rebound by A. Payne
9:53.0,,,31-32,2,A. Payne makes 2-pt shot from 1 ft
9:53.0,San Antonio full timeout,,31-32,,
9:53.0,A. Miller enters the game for J. Simmons,,31-32,,
9:53.0,K. Leonard enters the game for P. Mills,,31-32,,
9:35.0,D. West makes 2-pt shot from 1 ft (assist by B. Diaw),2,33-32,,
9:12.0,,,33-32,,S. Muhammad misses 2-pt shot from 20 ft
9:11.0,Defensive rebound by K. Anderson,,33-32,,
9:02.0,Shooting foul by G. Dieng (drawn by D. West),,33-32,,
9:02.0,D. West makes free throw 1 of 2,1,34-32,,
9:02.0,D. West makes free throw 2 of 2,1,35-32,,
8:45.0,,,35-35,3,T. Jones makes 3-pt shot from 24 ft (assist by Z. LaVine)
8:22.0,Turnover by B. Diaw (lost ball; steal by S. Muhammad),,35-35,,
8:16.0,,,35-37,2,S. Muhammad makes 2-pt shot at rim
8:07.0,,,35-37,,G. Smith enters the game for G. Dieng
8:07.0,D. Green enters the game for K. Anderson,,35-37,,
8:07.0,L. Aldridge enters the game for B. Diaw,,35-37,,
7:51.0,D. West misses 2-pt shot from 17 ft,,35-37,,
7:50.0,,,35-37,,Defensive rebound by A. Payne
7:38.0,,,35-37,,A. Payne misses 2-pt shot from 20 ft
7:37.0,Defensive rebound by L. Aldridge,,35-37,,
7:32.0,Shooting foul by A. Payne (drawn by D. West),,35-37,,
7:32.0,D. West makes free throw 1 of 2,1,36-37,,
7:32.0,D. West makes free throw 2 of 2,1,37-37,,
7:21.0,,,37-39,2,A. Payne makes 2-pt shot at rim (assist by T. Jones)
7:02.0,D. West makes 2-pt shot from 16 ft,2,39-39,,
6:45.0,,,39-39,,T. Jones misses 2-pt shot from 7 ft
6:44.0,,,39-39,,Offensive rebound by G. Smith
6:42.0,,,39-39,,Turnover by G. Smith (lost ball; steal by L. Aldridge)
6:35.0,L. Aldridge makes 2-pt shot from 22 ft (assist by D. Green),2,41-39,,
6:35.0,,,41-39,,Minnesota full timeout
6:35.0,B. Marjanovic enters the game for D. West,,41-39,,
6:35.0,,,41-39,,K. Towns enters the game for A. Payne
6:35.0,,,41-39,,R. Rubio enters the game for T. Jones
6:35.0,,,41-39,,A. Wiggins enters the game for S. Muhammad
6:11.0,,,41-39,,R. Rubio misses 2-pt shot from 20 ft
6:11.0,Defensive rebound by B. Marjanovic,,41-39,,
5:54.0,K. Leonard misses 2-pt shot at rim,,41-39,,
5:53.0,,,41-39,,Defensive rebound by K. Towns
5:47.0,,,41-39,,Z. LaVine misses 2-pt shot from 3 ft (block by D. Green)
5:44.0,Defensive rebound by D. Green,,41-39,,
5:35.0,,,41-39,,Personal foul by G. Smith
5:22.0,B. Marjanovic misses 2-pt shot from 11 ft,,41-39,,
5:21.0,,,41-39,,Defensive rebound by R. Rubio
5:11.0,,,41-42,3,Z. LaVine makes 3-pt shot from 23 ft (assist by R. Rubio)
4:49.0,A. Miller makes 2-pt shot from 16 ft,2,43-42,,
4:27.0,,,43-44,2,K. Towns makes 2-pt shot from 7 ft
4:13.0,A. Miller makes 2-pt shot from 15 ft,2,45-44,,
4:01.0,,,45-44,,Shooting foul by L. Aldridge (drawn by G. Smith)
