time,Dallas,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:37.0,,,0-0,,R. Hood misses 3-pt shot from 25 ft
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia (T. Lyles gains possession),,,,Jump ball: R. Gobert vs. Z. Pachulia (T. Lyles gains possession)
11:37.0,Defensive rebound by J. Barea,,0-0,,
11:21.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by J. Barea),2,2-0,,
11:06.0,,,2-3,3,T. Lyles makes 3-pt shot from 23 ft (assist by R. Hood)
10:46.0,Turnover by J. Barea (lost ball; steal by R. Hood),,2-3,,
10:35.0,,,2-3,,R. Hood misses 2-pt shot from 3 ft
10:35.0,Defensive rebound by W. Matthews,,2-3,,
10:26.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams),3,5-3,,
10:12.0,Personal foul by Z. Pachulia,,5-3,,
9:57.0,,,5-3,,S. Mack misses 2-pt shot from 3 ft
9:56.0,Defensive rebound by D. Williams,,5-3,,
9:47.0,W. Matthews misses 3-pt shot from 22 ft,,5-3,,
9:44.0,Offensive rebound by D. Nowitzki,,5-3,,
9:40.0,D. Williams misses 3-pt shot from 24 ft,,5-3,,
9:40.0,,,5-3,,Defensive rebound by G. Hayward
9:31.0,,,5-3,,G. Hayward misses 2-pt shot from 18 ft
9:31.0,Defensive rebound by D. Nowitzki,,5-3,,
9:14.0,W. Matthews makes 2-pt shot from 17 ft,2,7-3,,
9:06.0,,,7-3,,Turnover by S. Mack (lost ball; steal by D. Williams)
9:00.0,D. Williams makes 2-pt shot from 2 ft,2,9-3,,
8:40.0,,,9-3,,Shooting foul by D. Williams (drawn by R. Hood)
8:40.0,,,9-4,1,R. Hood makes free throw 1 of 2
8:40.0,,,9-5,1,R. Hood makes free throw 2 of 2
8:28.0,J. Barea misses 2-pt shot from 12 ft,,9-5,,
8:26.0,,,9-5,,Defensive rebound by R. Gobert
8:13.0,,,9-7,2,G. Hayward makes 2-pt shot from 1 ft (assist by R. Gobert)
7:54.0,W. Matthews misses 3-pt shot from 24 ft,,9-7,,
7:54.0,,,9-7,,Defensive rebound by R. Gobert
7:35.0,,,9-7,,S. Mack misses 3-pt shot from 23 ft
7:34.0,Defensive rebound by D. Nowitzki,,9-7,,
7:23.0,J. Barea misses 2-pt shot from 21 ft,,9-7,,
7:22.0,,,9-7,,Defensive rebound by T. Lyles
7:04.0,,,9-7,,R. Hood misses 2-pt shot from 12 ft
7:04.0,Defensive rebound by Z. Pachulia,,9-7,,
6:39.0,J. Barea misses 3-pt shot from 37 ft,,9-7,,
6:38.0,,,9-7,,Defensive rebound by T. Lyles
6:28.0,,,9-7,,Offensive foul by G. Hayward
6:28.0,,,9-7,,Turnover by G. Hayward (offensive foul)
6:14.0,D. Nowitzki makes 3-pt shot from 23 ft (assist by J. Barea),3,12-7,,
5:51.0,,,12-10,3,S. Mack makes 3-pt shot from 22 ft (assist by R. Gobert)
5:35.0,Shooting foul by S. Mack (drawn by D. Nowitzki),,12-10,,
5:35.0,,,12-10,,Utah full timeout
5:35.0,R. Felton enters the game for J. Barea,,12-10,,
5:35.0,,,12-10,,D. Favors enters the game for T. Lyles
5:35.0,D. Nowitzki makes free throw 1 of 2,1,13-10,,
5:35.0,D. Nowitzki makes free throw 2 of 2,1,14-10,,
5:12.0,,,14-10,,D. Favors misses 2-pt shot from 16 ft
5:11.0,,,14-10,,Offensive rebound by R. Gobert
5:11.0,,,14-10,,Shooting foul by D. Williams (drawn by R. Gobert)
5:11.0,,,14-11,1,R. Gobert makes free throw 1 of 2
5:11.0,D. Lee enters the game for D. Nowitzki,,14-11,,
5:11.0,D. Harris enters the game for D. Williams,,14-11,,
5:11.0,,,14-11,,R. Gobert misses free throw 2 of 2
5:10.0,Defensive rebound by Z. Pachulia,,14-11,,
4:57.0,,,14-11,,T. Booker enters the game for R. Gobert
4:43.0,W. Matthews misses 2-pt shot from 13 ft,,14-11,,
4:43.0,,,14-11,,Defensive rebound by R. Hood
