time,Cleveland,pts.away,score,pts.home,Toronto
8:46.0,K. Irving makes free throw 2 of 2,1,10-8,,
8:35.0,,,10-8,,D. Carroll misses 2-pt shot from 24 ft
8:34.0,Defensive rebound by T. Thompson,,10-8,,
8:18.0,,,10-8,,Personal foul by L. Scola
8:05.0,J. Smith misses 3-pt shot from 25 ft,,10-8,,
8:05.0,,,10-8,,Defensive rebound by D. DeRozan
7:54.0,,,10-8,,D. DeRozan misses 2-pt shot from 17 ft
7:53.0,,,10-8,,Offensive rebound by Team
7:53.0,Loose ball foul by L. James,,10-8,,
7:36.0,,,10-8,,L. Scola misses 3-pt shot from 23 ft
7:35.0,Defensive rebound by K. Love,,10-8,,
7:28.0,J. Smith makes 3-pt shot from 22 ft (assist by L. James),3,13-8,,
7:04.0,,,13-8,,K. Lowry misses 3-pt shot from 23 ft
7:03.0,Defensive rebound by K. Love,,13-8,,
6:54.0,Turnover by T. Thompson (offensive foul),,13-8,,
6:54.0,Offensive foul by T. Thompson,,13-8,,
6:42.0,,,13-8,,Turnover by L. Scola (lost ball; steal by K. Irving)
6:37.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,15-8,,
6:27.0,,,15-8,,Toronto full timeout
6:27.0,,,15-8,,P. Patterson enters the game for L. Scola
6:16.0,,,15-8,,D. DeRozan misses 2-pt shot from 15 ft (block by J. Smith)
6:14.0,Defensive rebound by K. Irving,,15-8,,
5:55.0,Shooting foul by B. Biyombo (drawn by L. James),,15-8,,
5:55.0,L. James makes free throw 1 of 3,1,16-8,,
5:55.0,L. James misses free throw 2 of 3,,16-8,,
5:55.0,Offensive rebound by Team,,16-8,,
5:55.0,L. James makes free throw 3 of 3,1,17-8,,
5:47.0,,,17-10,2,K. Lowry makes 2-pt shot from 2 ft
5:34.0,L. James makes 3-pt shot from 27 ft (assist by K. Irving),3,20-10,,
5:19.0,,,20-12,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
5:10.0,K. Irving misses 2-pt shot from 18 ft,,20-12,,
5:10.0,,,20-12,,Defensive rebound by B. Biyombo
4:55.0,,,20-14,2,D. DeRozan makes 2-pt shot from 3 ft
4:31.0,L. James misses 3-pt shot from 24 ft,,20-14,,
4:30.0,,,20-14,,Defensive rebound by B. Biyombo
4:22.0,,,20-16,2,D. Carroll makes 2-pt shot from 4 ft (assist by K. Lowry)
4:22.0,Cleveland full timeout,,20-16,,
4:01.0,Turnover by L. James (lost ball; steal by B. Biyombo),,20-16,,
4:01.0,,,20-16,,Turnover by B. Biyombo (traveling)
3:48.0,K. Irving misses 2-pt shot from 4 ft (block by B. Biyombo),,20-16,,
3:48.0,Offensive rebound by Team,,20-16,,
3:45.0,J. Smith makes 3-pt shot from 23 ft,3,23-16,,
3:23.0,,,23-16,,D. Carroll misses 3-pt shot from 27 ft
3:23.0,Defensive rebound by Team,,23-16,,
3:18.0,,,23-16,,Flagrant foul type 1 by B. Biyombo
3:18.0,K. Love makes flagrant free throw 1 of 2,1,24-16,,
3:18.0,K. Love makes flagrant free throw 2 of 2,1,25-16,,
3:18.0,,,25-16,,J. Valanciunas enters the game for B. Biyombo
3:12.0,,,25-16,,Personal foul by D. Carroll
3:12.0,K. Love makes free throw 1 of 2,1,26-16,,
3:12.0,K. Love makes free throw 2 of 2,1,27-16,,
3:03.0,,,27-16,,Offensive foul by K. Lowry
3:03.0,,,27-16,,Turnover by K. Lowry (offensive foul)
3:03.0,C. Frye enters the game for T. Thompson,,27-16,,
3:03.0,,,27-16,,C. Joseph enters the game for K. Lowry
2:46.0,K. Love misses 3-pt shot from 27 ft,,27-16,,
2:45.0,,,27-16,,Defensive rebound by J. Valanciunas
2:36.0,,,27-18,2,J. Valanciunas makes 2-pt shot from 8 ft (assist by P. Patterson)
2:10.0,Turnover by K. Irving (bad pass),,27-18,,
2:00.0,,,27-20,2,C. Joseph makes 2-pt shot from 12 ft
1:38.0,K. Irving makes 2-pt shot from 16 ft,2,29-20,,
1:22.0,,,29-23,3,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan)
1:01.0,K. Love misses 3-pt shot from 25 ft,,29-23,,
1:00.0,,,29-23,,Defensive rebound by D. DeRozan
0:44.0,,,29-23,,Turnover by D. DeRozan (lost ball; steal by L. James)
0:39.0,Turnover by L. James (lost ball; steal by C. Joseph),,29-23,,
0:33.0,,,29-23,,C. Joseph misses 2-pt shot from 18 ft
0:33.0,,,29-23,,Offensive rebound by J. Valanciunas
0:17.0,,,29-25,2,J. Valanciunas makes 2-pt shot from 14 ft
0:01.0,L. James makes 2-pt shot from 3 ft,2,31-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,C. Frye makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,34-25,,
11:14.0,,,34-25,,C. Joseph misses 3-pt shot from 26 ft
11:13.0,,,34-25,,Offensive rebound by J. Valanciunas
11:13.0,,,34-25,,Technical foul by P. Patterson
11:13.0,Technical foul by R. Jefferson,,34-25,,
11:13.0,Personal foul by C. Frye,,34-25,,
11:13.0,,,34-25,,Technical foul by J. Valanciunas
11:13.0,M. Dellavedova misses technical free throw,,34-25,,
11:13.0,,,34-25,,Offensive rebound by Team
11:07.0,,,34-25,,J. Valanciunas misses 2-pt shot from 4 ft
11:05.0,,,34-25,,Offensive rebound by J. Valanciunas
11:04.0,,,34-25,,J. Valanciunas misses 2-pt shot at rim
11:03.0,Defensive rebound by L. James,,34-25,,
10:57.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,37-25,,
10:31.0,,,37-25,,T. Ross misses 3-pt shot from 24 ft
10:31.0,Defensive rebound by R. Jefferson,,37-25,,
10:23.0,,,37-25,,Personal foul by P. Patterson
10:15.0,Turnover by L. James (lost ball; steal by P. Patterson),,37-25,,
10:08.0,,,37-27,2,K. Lowry makes 2-pt shot from 3 ft
9:41.0,L. James misses 2-pt shot from 18 ft,,37-27,,
9:40.0,,,37-27,,Defensive rebound by J. Valanciunas
9:29.0,,,37-27,,Shooting foul by I. Shumpert (drawn by K. Lowry)
9:29.0,,,37-28,1,K. Lowry makes free throw 1 of 2
9:29.0,K. Irving enters the game for L. James,,37-28,,
9:29.0,,,37-29,1,K. Lowry makes free throw 2 of 2
9:19.0,Turnover by M. Dellavedova (lost ball; steal by T. Ross),,37-29,,
9:13.0,Personal foul by M. Dellavedova,,37-29,,
9:08.0,Personal foul by C. Frye,,37-29,,
8:58.0,,,37-29,,K. Lowry misses 3-pt shot from 26 ft
8:58.0,,,37-29,,Offensive rebound by J. Valanciunas
8:52.0,Personal foul by I. Shumpert,,37-29,,
8:52.0,Official timeout,,37-29,,
8:52.0,K. Love enters the game for R. Jefferson,,37-29,,
8:52.0,L. James enters the game for M. Dellavedova,,37-29,,
8:52.0,,,37-29,,P. Patterson misses free throw 1 of 2
8:52.0,,,37-29,,Offensive rebound by Team
8:52.0,,,37-29,,D. DeRozan enters the game for T. Ross
8:52.0,,,37-30,1,P. Patterson makes free throw 2 of 2
8:34.0,,,37-30,,Personal foul by P. Patterson
8:23.0,L. James misses 2-pt shot from 3 ft,,37-30,,
8:23.0,,,37-30,,Defensive rebound by K. Lowry
8:12.0,,,37-30,,Shooting foul by C. Frye (drawn by P. Patterson)
8:12.0,,,37-30,,P. Patterson misses free throw 1 of 2
8:12.0,,,37-30,,Offensive rebound by Team
8:12.0,J. Smith enters the game for C. Frye,,37-30,,
8:12.0,,,37-31,1,P. Patterson makes free throw 2 of 2
7:54.0,Turnover by K. Irving (lost ball; steal by C. Joseph),,37-31,,
7:49.0,,,37-31,,P. Patterson misses 2-pt shot from 5 ft
7:48.0,Defensive rebound by I. Shumpert,,37-31,,
7:45.0,Turnover by K. Irving (traveling),,37-31,,
7:22.0,,,37-31,,K. Lowry misses 2-pt shot from 4 ft
7:21.0,Defensive rebound by K. Love,,37-31,,
7:16.0,L. James makes 2-pt shot from 1 ft,2,39-31,,
7:08.0,,,39-31,,Toronto full timeout
7:08.0,,,39-31,,D. Carroll enters the game for C. Joseph
6:50.0,,,39-31,,Turnover by Team (shot clock)
6:39.0,K. Irving misses 2-pt shot from 4 ft (block by K. Lowry),,39-31,,
6:39.0,,,39-31,,Defensive rebound by Team
6:26.0,,,39-31,,D. DeRozan misses 2-pt shot from 1 ft
6:25.0,Defensive rebound by K. Love,,39-31,,
6:17.0,,,39-31,,Violation by K. Lowry (kicked ball)
6:17.0,,,39-31,,B. Biyombo enters the game for J. Valanciunas
6:02.0,L. James misses 2-pt shot from 20 ft,,39-31,,
6:02.0,,,39-31,,Defensive rebound by B. Biyombo
5:50.0,,,39-33,2,D. DeRozan makes 2-pt shot from 10 ft
5:48.0,Cleveland full timeout,,39-33,,
5:48.0,T. Thompson enters the game for I. Shumpert,,39-33,,
5:34.0,L. James misses 2-pt shot from 3 ft,,39-33,,
5:34.0,,,39-33,,Defensive rebound by Team
5:16.0,,,39-33,,Turnover by D. DeRozan (lost ball)
4:57.0,L. James makes 3-pt shot from 23 ft (assist by K. Irving),3,42-33,,
4:41.0,,,42-33,,D. DeRozan misses 2-pt shot from 5 ft
4:40.0,Defensive rebound by K. Love,,42-33,,
4:29.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,44-33,,
4:17.0,,,44-33,,Toronto full timeout
4:02.0,,,44-33,,D. Carroll misses 2-pt shot from 3 ft (block by L. James)
4:02.0,,,44-33,,Offensive rebound by Team
4:02.0,Loose ball foul by T. Thompson,,44-33,,
4:02.0,,,44-33,,B. Biyombo misses free throw 1 of 2
4:02.0,,,44-33,,Offensive rebound by Team
4:02.0,,,44-34,1,B. Biyombo makes free throw 2 of 2
3:40.0,L. James misses 2-pt shot from 15 ft,,44-34,,
3:40.0,,,44-34,,Defensive rebound by D. Carroll
3:32.0,,,44-34,,P. Patterson misses 3-pt shot from 24 ft
3:31.0,Defensive rebound by K. Love,,44-34,,
3:23.0,K. Irving misses 2-pt shot from 19 ft,,44-34,,
3:22.0,,,44-34,,Defensive rebound by D. DeRozan
3:05.0,,,44-34,,P. Patterson misses 3-pt shot from 23 ft
3:04.0,Defensive rebound by L. James,,44-34,,
2:55.0,L. James misses 2-pt shot from 3 ft,,44-34,,
2:55.0,,,44-34,,Defensive rebound by D. Carroll
2:50.0,,,44-36,2,P. Patterson makes 2-pt shot at rim (assist by D. Carroll)
2:44.0,Cleveland full timeout,,44-36,,
2:44.0,R. Jefferson enters the game for T. Thompson,,44-36,,
2:44.0,,,44-36,,C. Joseph enters the game for P. Patterson
2:32.0,K. Irving makes 2-pt shot from 1 ft (assist by L. James),2,46-36,,
2:14.0,,,46-38,2,D. DeRozan makes 2-pt shot from 20 ft
1:54.0,,,46-38,,Personal foul by D. DeRozan
1:41.0,K. Irving misses 2-pt shot from 20 ft,,46-38,,
1:40.0,,,46-38,,Defensive rebound by B. Biyombo
1:25.0,,,46-38,,K. Lowry misses 3-pt shot from 27 ft
1:25.0,Defensive rebound by K. Irving,,46-38,,
1:16.0,J. Smith misses 3-pt shot from 24 ft,,46-38,,
1:16.0,Offensive rebound by L. James,,46-38,,
1:11.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Love),3,49-38,,
0:57.0,,,49-38,,K. Lowry misses 2-pt shot from 2 ft (block by L. James)
0:56.0,Defensive rebound by K. Love,,49-38,,
0:54.0,K. Irving makes 2-pt shot from 2 ft,2,51-38,,
0:54.0,Shooting foul by C. Joseph (drawn by K. Irving),,51-38,,
0:54.0,K. Irving makes free throw 1 of 1,1,52-38,,
0:33.0,,,52-41,3,K. Lowry makes 3-pt shot from 25 ft
0:18.0,K. Irving misses 2-pt shot from 17 ft,,52-41,,
0:17.0,,,52-41,,Defensive rebound by B. Biyombo
0:10.0,,,52-41,,Turnover by K. Lowry (lost ball; steal by K. Irving)
0:03.0,K. Love makes 3-pt shot from 26 ft (assist by J. Smith),3,55-41,,
0:00.0,,,55-41,,K. Lowry misses 3-pt shot from 51 ft
0:00.0,,,55-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,T. Thompson makes 2-pt shot from 6 ft (assist by K. Irving),2,57-41,,
11:20.0,,,57-43,2,D. DeRozan makes 2-pt shot from 1 ft
11:00.0,K. Irving makes 2-pt shot from 7 ft,2,59-43,,
10:37.0,,,59-43,,D. Carroll misses 2-pt shot from 8 ft (block by L. James)
10:36.0,Defensive rebound by L. James,,59-43,,
10:22.0,K. Love makes 2-pt shot from 2 ft,2,61-43,,
10:04.0,,,61-46,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan)
9:45.0,K. Irving makes 3-pt shot from 23 ft (assist by K. Love),3,64-46,,
9:29.0,,,64-46,,K. Lowry misses 3-pt shot from 26 ft
9:28.0,,,64-46,,Offensive rebound by Team
9:28.0,Loose ball foul by K. Love,,64-46,,
9:13.0,,,64-46,,D. Carroll misses 2-pt shot from 4 ft
9:13.0,,,64-46,,Offensive rebound by D. Carroll
9:12.0,,,64-48,2,D. Carroll makes 2-pt shot from 4 ft
8:58.0,K. Love misses 3-pt shot from 23 ft,,64-48,,
8:58.0,,,64-48,,Defensive rebound by D. Carroll
8:45.0,,,64-48,,B. Biyombo misses 2-pt shot at rim
8:45.0,Defensive rebound by T. Thompson,,64-48,,
8:38.0,Turnover by K. Irving (traveling),,64-48,,
8:25.0,,,64-48,,Shooting foul by J. Smith (drawn by D. DeRozan)
8:25.0,,,64-49,1,D. DeRozan makes free throw 1 of 2
8:25.0,,,64-50,1,D. DeRozan makes free throw 2 of 2
8:16.0,K. Irving makes 2-pt shot from 12 ft,2,66-50,,
7:57.0,,,66-53,3,D. Carroll makes 3-pt shot from 22 ft (assist by P. Patterson)
7:29.0,L. James makes 2-pt shot from 15 ft,2,68-53,,
7:18.0,,,68-53,,Offensive foul by D. DeRozan
7:18.0,,,68-53,,Turnover by D. DeRozan (offensive foul)
7:18.0,,,68-53,,Violation by Team (jump ball)
7:07.0,K. Irving misses 3-pt shot from 26 ft,,68-53,,
7:07.0,,,68-53,,Defensive rebound by P. Patterson
6:57.0,,,68-55,2,D. DeRozan makes 2-pt shot from 1 ft
6:32.0,L. James misses 3-pt shot from 25 ft,,68-55,,
6:31.0,,,68-55,,Defensive rebound by Team
6:12.0,,,68-55,,P. Patterson misses 2-pt shot from 17 ft
6:12.0,Defensive rebound by T. Thompson,,68-55,,
6:09.0,,,68-55,,Personal foul by D. Carroll
5:52.0,Shooting foul by D. Carroll (drawn by K. Love),,68-55,,
5:52.0,,,68-55,,Toronto full timeout
5:52.0,,,68-55,,J. Valanciunas enters the game for B. Biyombo
5:52.0,K. Love makes free throw 1 of 2,1,69-55,,
5:52.0,K. Love makes free throw 2 of 2,1,70-55,,
5:32.0,,,70-55,,P. Patterson misses 3-pt shot from 24 ft
5:32.0,,,70-55,,Offensive rebound by D. Carroll
5:30.0,,,70-55,,D. Carroll misses 2-pt shot from 2 ft
5:30.0,Defensive rebound by L. James,,70-55,,
5:22.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,73-55,,
5:07.0,,,73-55,,D. DeRozan misses 2-pt shot from 14 ft
5:07.0,Defensive rebound by L. James,,73-55,,
4:58.0,K. Irving makes 2-pt shot from 16 ft (assist by K. Love),2,75-55,,
4:36.0,,,75-57,2,J. Valanciunas makes 2-pt shot from 15 ft
4:10.0,K. Irving misses 2-pt shot from 5 ft,,75-57,,
4:09.0,Offensive rebound by T. Thompson,,75-57,,
4:08.0,,,75-57,,Personal foul by P. Patterson
4:06.0,,,75-57,,Personal block foul by P. Patterson
3:53.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,78-57,,
3:27.0,,,78-59,2,P. Patterson makes 2-pt shot from 4 ft (assist by J. Valanciunas)
3:10.0,L. James makes 2-pt shot at rim (assist by K. Love),2,80-59,,
2:57.0,,,80-62,3,K. Lowry makes 3-pt shot from 27 ft
2:55.0,Cleveland full timeout,,80-62,,
2:55.0,,,80-62,,J. Johnson enters the game for D. Carroll
2:30.0,K. Love makes 3-pt shot from 26 ft,3,83-62,,
2:11.0,,,83-62,,Turnover by P. Patterson (lost ball; steal by J. Smith)
1:49.0,K. Irving misses 2-pt shot from 2 ft,,83-62,,
1:48.0,,,83-62,,Defensive rebound by Team
1:35.0,,,83-65,3,K. Lowry makes 3-pt shot from 25 ft
1:09.0,L. James misses 3-pt shot from 28 ft,,83-65,,
1:08.0,,,83-65,,Defensive rebound by J. Valanciunas
1:01.0,,,83-67,2,K. Lowry makes 2-pt shot from 2 ft
1:01.0,,,83-67,,Shooting foul by T. Thompson (drawn by K. Lowry)
1:01.0,,,83-68,1,K. Lowry makes free throw 1 of 1
0:41.0,K. Irving misses 3-pt shot from 25 ft,,83-68,,
0:40.0,Offensive rebound by T. Thompson,,83-68,,
0:37.0,Shooting foul by D. DeRozan (drawn by K. Irving),,83-68,,
0:37.0,K. Irving misses free throw 1 of 2,,83-68,,
0:37.0,Offensive rebound by Team,,83-68,,
0:37.0,R. Jefferson enters the game for L. James,,83-68,,
0:37.0,K. Irving makes free throw 2 of 2,1,84-68,,
0:29.0,,,84-71,3,K. Lowry makes 3-pt shot from 25 ft
0:05.0,K. Irving makes 2-pt shot from 10 ft,2,86-71,,
0:01.0,,,86-71,,Shooting foul by T. Thompson (drawn by K. Lowry)
0:01.0,,,86-72,1,K. Lowry makes free throw 1 of 3
0:01.0,,,86-73,1,K. Lowry makes free throw 2 of 3
0:01.0,,,86-74,1,K. Lowry makes free throw 3 of 3
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,86-76,2,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry)
11:13.0,M. Dellavedova makes 2-pt shot from 2 ft (assist by L. James),2,88-76,,
10:56.0,,,88-76,,D. DeRozan misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by M. Dellavedova,,88-76,,
10:45.0,C. Frye misses 3-pt shot from 24 ft,,88-76,,
10:45.0,,,88-76,,Defensive rebound by J. Valanciunas
10:32.0,Personal foul by C. Frye,,88-76,,
10:23.0,,,88-78,2,D. DeRozan makes 2-pt shot from 24 ft
9:57.0,L. James makes 2-pt shot from 3 ft,2,90-78,,
9:39.0,,,90-78,,D. DeRozan misses 2-pt shot from 19 ft
9:38.0,Defensive rebound by C. Frye,,90-78,,
9:32.0,Shooting foul by J. Johnson (drawn by L. James),,90-78,,
9:32.0,L. James misses free throw 1 of 2,,90-78,,
9:32.0,Offensive rebound by Team,,90-78,,
9:32.0,K. Irving enters the game for M. Dellavedova,,90-78,,
9:32.0,,,90-78,,P. Patterson enters the game for T. Ross
9:32.0,,,90-78,,B. Biyombo enters the game for J. Valanciunas
9:32.0,K. Love enters the game for R. Jefferson,,90-78,,
9:32.0,L. James misses free throw 2 of 2,,90-78,,
9:31.0,,,90-78,,Defensive rebound by B. Biyombo
9:22.0,,,90-78,,K. Lowry misses 2-pt shot from 11 ft
9:21.0,Defensive rebound by K. Love,,90-78,,
9:12.0,K. Irving makes 2-pt shot from 2 ft,2,92-78,,
8:53.0,,,92-78,,J. Johnson misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by L. James,,92-78,,
8:40.0,K. Love misses 3-pt shot from 25 ft,,92-78,,
8:39.0,Offensive rebound by L. James,,92-78,,
8:38.0,L. James makes 2-pt shot from 1 ft,2,94-78,,
8:38.0,,,94-78,,Toronto full timeout
8:21.0,,,94-81,3,K. Lowry makes 3-pt shot from 28 ft (assist by D. DeRozan)
7:56.0,K. Love misses 2-pt shot from 7 ft,,94-81,,
7:55.0,,,94-81,,Defensive rebound by K. Lowry
7:45.0,,,94-81,,P. Patterson misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by L. James,,94-81,,
7:31.0,L. James makes 2-pt shot from 3 ft (assist by K. Irving),2,96-81,,
7:01.0,,,96-81,,B. Biyombo misses 2-pt shot from 16 ft
7:01.0,Defensive rebound by L. James,,96-81,,
6:53.0,Cleveland full timeout,,96-81,,
6:53.0,J. Smith enters the game for L. James,,96-81,,
6:38.0,J. Smith makes 3-pt shot from 29 ft,3,99-81,,
6:20.0,,,99-81,,K. Lowry misses 3-pt shot from 29 ft
6:19.0,Defensive rebound by K. Irving,,99-81,,
6:02.0,K. Irving makes 3-pt shot from 27 ft,3,102-81,,
5:37.0,,,102-81,,B. Biyombo misses 2-pt shot from 1 ft (block by C. Frye)
5:36.0,Defensive rebound by K. Love,,102-81,,
5:18.0,J. Smith misses 3-pt shot from 23 ft,,102-81,,
5:17.0,,,102-81,,Defensive rebound by B. Biyombo
5:08.0,,,102-81,,K. Lowry misses 2-pt shot from 4 ft (block by K. Irving)
5:07.0,,,102-81,,Offensive rebound by K. Lowry
5:06.0,,,102-83,2,K. Lowry makes 2-pt shot from 1 ft
4:49.0,K. Irving makes 2-pt shot from 6 ft,2,104-83,,
4:29.0,,,104-83,,J. Johnson misses 2-pt shot from 6 ft
4:29.0,Defensive rebound by K. Love,,104-83,,
4:29.0,Cleveland full timeout,,104-83,,
4:29.0,,,104-83,,T. Ross enters the game for B. Biyombo
4:29.0,L. James enters the game for C. Frye,,104-83,,
4:10.0,K. Irving makes 2-pt shot from 9 ft,2,106-83,,
3:54.0,,,106-83,,K. Lowry misses 2-pt shot from 4 ft
3:53.0,Defensive rebound by L. James,,106-83,,
3:32.0,K. Irving misses 2-pt shot from 12 ft,,106-83,,
3:32.0,,,106-83,,Defensive rebound by J. Johnson
3:25.0,,,106-85,2,J. Johnson makes 2-pt shot from 2 ft
3:08.0,Shooting foul by J. Johnson (drawn by L. James),,106-85,,
3:08.0,L. James makes free throw 1 of 2,1,107-85,,
3:08.0,M. Dellavedova enters the game for K. Irving,,107-85,,
3:08.0,C. Frye enters the game for K. Love,,107-85,,
3:08.0,L. James makes free throw 2 of 2,1,108-85,,
3:07.0,Personal take foul by L. James,,108-85,,
3:07.0,R. Jefferson enters the game for L. James,,108-85,,
2:55.0,,,108-85,,Turnover by D. DeRozan (lost ball; steal by I. Shumpert)
2:38.0,Shooting foul by K. Lowry (drawn by M. Dellavedova),,108-85,,
2:38.0,M. Dellavedova makes free throw 1 of 2,1,109-85,,
2:38.0,,,109-85,,N. Powell enters the game for D. DeRozan
2:38.0,,,109-85,,C. Joseph enters the game for K. Lowry
2:38.0,,,109-85,,D. Wright enters the game for P. Patterson
2:38.0,,,109-85,,J. Thompson enters the game for T. Ross
2:38.0,J. Jones enters the game for J. Smith,,109-85,,
2:38.0,D. Jones enters the game for C. Frye,,109-85,,
2:38.0,M. Dellavedova makes free throw 2 of 2,1,110-85,,
2:20.0,,,110-85,,D. Wright misses 2-pt shot from 14 ft
2:20.0,Defensive rebound by I. Shumpert,,110-85,,
2:03.0,M. Dellavedova misses 3-pt shot from 25 ft,,110-85,,
2:02.0,,,110-85,,Defensive rebound by N. Powell
1:54.0,,,110-87,2,N. Powell makes 2-pt shot from 2 ft
1:33.0,R. Jefferson makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,113-87,,
1:20.0,,,113-87,,N. Powell misses 3-pt shot from 26 ft
1:20.0,Defensive rebound by I. Shumpert,,113-87,,
1:04.0,Turnover by M. Dellavedova (lost ball; steal by N. Powell),,113-87,,
1:00.0,,,113-87,,Turnover by J. Johnson (bad pass)
0:37.0,D. Jones misses 2-pt shot from 21 ft,,113-87,,
0:36.0,,,113-87,,Defensive rebound by J. Thompson
0:29.0,,,113-87,,J. Johnson misses 2-pt shot from 2 ft
0:29.0,,,113-87,,Offensive rebound by Team
0:23.0,,,113-87,,Turnover by J. Johnson (traveling)
0:05.0,Turnover by Team (shot clock),,113-87,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
