time,Utah,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia (D. Williams gains possession),,,,Jump ball: R. Gobert vs. Z. Pachulia (D. Williams gains possession)
11:44.0,,,0-0,,D. Williams misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by D. Favors,,0-0,,
11:27.0,R. Hood misses 2-pt shot from 11 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by D. Nowitzki
11:14.0,,,0-2,2,D. Williams makes 2-pt shot from 9 ft (assist by D. Nowitzki)
10:55.0,G. Hayward misses 3-pt shot from 22 ft,,0-2,,
10:54.0,Offensive rebound by G. Hayward,,0-2,,
10:50.0,G. Hayward makes 2-pt shot from 14 ft,2,2-2,,
10:25.0,,,2-2,,Z. Pachulia misses 2-pt shot from 5 ft
10:24.0,Defensive rebound by G. Hayward,,2-2,,
10:04.0,R. Neto makes 3-pt shot from 26 ft,3,5-2,,
9:45.0,,,5-2,,W. Matthews misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by R. Gobert,,5-2,,
9:33.0,D. Favors makes 2-pt shot from 15 ft (assist by R. Neto),2,7-2,,
9:12.0,,,7-4,2,Z. Pachulia makes 2-pt shot from 4 ft
8:54.0,Shooting foul by D. Nowitzki (drawn by R. Hood),,7-4,,
8:54.0,R. Hood makes free throw 1 of 2,1,8-4,,
8:54.0,R. Hood makes free throw 2 of 2,1,9-4,,
8:42.0,,,9-4,,W. Matthews misses 2-pt shot from 9 ft
8:41.0,,,9-4,,Offensive rebound by Team
8:40.0,,,9-4,,Turnover by D. Williams (bad pass; steal by R. Gobert)
8:20.0,R. Gobert misses 2-pt shot from 2 ft (block by D. Nowitzki),,9-4,,
8:18.0,,,9-4,,Defensive rebound by Z. Pachulia
8:08.0,,,9-7,3,D. Williams makes 3-pt shot from 23 ft (assist by C. Parsons)
7:51.0,Turnover by D. Favors (lost ball; steal by Z. Pachulia),,9-7,,
7:48.0,Personal take foul by R. Hood (drawn by C. Parsons),,9-7,,
7:46.0,,,9-9,2,C. Parsons makes 2-pt shot from 1 ft (assist by W. Matthews)
7:28.0,D. Favors makes 2-pt shot from 15 ft,2,11-9,,
7:20.0,,,11-9,,C. Parsons misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by R. Gobert,,11-9,,
7:12.0,R. Neto makes 2-pt shot from 2 ft,2,13-9,,
6:49.0,,,13-11,2,C. Parsons makes 2-pt shot from 14 ft
6:26.0,G. Hayward makes 3-pt shot from 24 ft (assist by R. Hood),3,16-11,,
6:09.0,,,16-13,2,Z. Pachulia makes 2-pt shot from 4 ft (assist by C. Parsons)
5:44.0,Turnover by D. Favors (lost ball; steal by D. Williams),,16-13,,
5:37.0,,,16-13,,Turnover by C. Parsons (turnover)
5:37.0,,,16-13,,Dallas full timeout
5:37.0,,,16-13,,D. Harris enters the game for D. Nowitzki
5:37.0,,,16-13,,D. Powell enters the game for W. Matthews
5:23.0,Turnover by R. Hood (lost ball; steal by D. Williams),,16-13,,
5:11.0,,,16-13,,D. Harris misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by R. Neto,,16-13,,
4:48.0,R. Neto misses 3-pt shot from 24 ft,,16-13,,
4:47.0,,,16-13,,Defensive rebound by Team
4:46.0,T. Booker enters the game for D. Favors,,16-13,,
4:46.0,T. Burke enters the game for R. Hood,,16-13,,
4:46.0,A. Burks enters the game for R. Neto,,16-13,,
4:26.0,,,16-13,,C. Parsons misses 2-pt shot from 6 ft
4:25.0,,,16-13,,Offensive rebound by Z. Pachulia
4:22.0,,,16-13,,Shooting foul by T. Booker (drawn by D. Powell)
4:22.0,,,16-14,1,D. Powell makes free throw 1 of 2
4:22.0,,,16-15,1,D. Powell makes free throw 2 of 2
4:06.0,G. Hayward misses 2-pt shot from 17 ft,,16-15,,
4:05.0,Offensive rebound by T. Booker,,16-15,,
4:05.0,T. Booker misses 2-pt shot from 2 ft,,16-15,,
4:04.0,Offensive rebound by Team,,16-15,,
3:57.0,A. Burks misses 3-pt shot from 25 ft,,16-15,,
3:56.0,,,16-15,,Defensive rebound by Z. Pachulia
3:56.0,Loose ball foul by R. Gobert (drawn by Z. Pachulia),,16-15,,
3:46.0,,,16-15,,D. Williams misses 3-pt shot from 23 ft
3:45.0,Defensive rebound by R. Gobert,,16-15,,
3:38.0,Turnover by A. Burks (lost ball; steal by D. Powell),,16-15,,
3:34.0,,,16-17,2,D. Harris makes 2-pt shot from 1 ft (assist by D. Williams)
3:05.0,T. Burke misses 3-pt shot from 23 ft,,16-17,,
3:04.0,Offensive rebound by R. Gobert,,16-17,,
2:54.0,A. Burks misses 3-pt shot from 22 ft,,16-17,,
2:54.0,,,16-17,,Defensive rebound by Z. Pachulia
2:54.0,Loose ball foul by T. Booker (drawn by Z. Pachulia),,16-17,,
2:54.0,Utah full timeout,,16-17,,
2:54.0,,,16-17,,R. Felton enters the game for C. Parsons
2:54.0,,,16-17,,W. Matthews enters the game for D. Williams
2:54.0,T. Lyles enters the game for T. Booker,,16-17,,
