time,Milwaukee,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. M. Plumlee (G. Antetokounmpo gains possession),,,,Jump ball: G. Monroe vs. M. Plumlee (G. Antetokounmpo gains possession)
11:38.0,K. Middleton misses 2-pt shot from 10 ft,,0-0,,
11:37.0,Offensive rebound by K. Middleton,,0-0,,
11:35.0,K. Middleton misses 2-pt shot from 6 ft (block by M. Plumlee),,0-0,,
11:34.0,,,0-0,,Defensive rebound by M. Plumlee
11:18.0,,,0-0,,M. Plumlee misses 2-pt shot at rim
11:18.0,Defensive rebound by G. Monroe,,0-0,,
11:13.0,Shooting foul by N. Vonleh (drawn by G. Antetokounmpo),,0-0,,
11:13.0,G. Antetokounmpo misses free throw 1 of 2,,0-0,,
11:13.0,Offensive rebound by Team,,0-0,,
11:13.0,G. Antetokounmpo misses free throw 2 of 2,,0-0,,
11:12.0,,,0-0,,Defensive rebound by M. Plumlee
10:59.0,,,0-0,,A. Aminu misses 3-pt shot from 24 ft
10:56.0,Defensive rebound by G. Antetokounmpo,,0-0,,
10:50.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,0-0,,
10:49.0,Offensive rebound by M. Carter-Williams,,0-0,,
10:49.0,M. Carter-Williams makes 2-pt shot at rim,2,2-0,,
10:21.0,,,2-2,2,M. Plumlee makes 2-pt shot from 1 ft (assist by C. McCollum)
10:13.0,J. Parker misses 2-pt shot from 20 ft,,2-2,,
10:12.0,,,2-2,,Defensive rebound by D. Lillard
9:56.0,,,2-4,2,C. McCollum makes 2-pt shot from 1 ft
9:56.0,,,2-4,,Shooting foul by K. Middleton (drawn by C. McCollum)
9:56.0,,,2-4,,C. McCollum misses free throw 1 of 1
9:55.0,Defensive rebound by G. Monroe,,2-4,,
9:37.0,Turnover by K. Middleton (lost ball; steal by A. Aminu),,2-4,,
9:31.0,,,2-7,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
9:12.0,Shooting foul by M. Plumlee (drawn by G. Monroe),,2-7,,
9:12.0,G. Monroe makes free throw 1 of 2,1,3-7,,
9:12.0,G. Monroe makes free throw 2 of 2,1,4-7,,
9:00.0,,,4-10,3,A. Aminu makes 3-pt shot from 22 ft (assist by D. Lillard)
8:47.0,G. Monroe misses 2-pt shot from 1 ft (block by M. Plumlee),,4-10,,
8:46.0,,,4-10,,Defensive rebound by D. Lillard
8:41.0,,,4-10,,C. McCollum misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by K. Middleton,,4-10,,
8:37.0,Shooting foul by C. McCollum (drawn by K. Middleton),,4-10,,
8:37.0,K. Middleton makes free throw 1 of 2,1,5-10,,
8:37.0,K. Middleton makes free throw 2 of 2,1,6-10,,
8:20.0,,,6-13,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
8:06.0,K. Middleton misses 3-pt shot from 25 ft,,6-13,,
8:05.0,,,6-13,,Defensive rebound by N. Vonleh
7:55.0,,,6-15,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
7:55.0,Milwaukee full timeout,,6-15,,
7:55.0,J. Bayless enters the game for K. Middleton,,6-15,,
7:31.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,8-15,,
7:10.0,,,8-17,2,A. Aminu makes 2-pt shot from 21 ft
6:55.0,M. Carter-Williams misses 3-pt shot from 24 ft,,8-17,,
6:54.0,Offensive rebound by G. Antetokounmpo,,8-17,,
6:43.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,8-17,,
6:43.0,Offensive rebound by M. Carter-Williams,,8-17,,
6:38.0,G. Antetokounmpo misses 2-pt shot from 14 ft,,8-17,,
6:38.0,,,8-17,,Defensive rebound by M. Plumlee
6:22.0,,,8-19,2,C. McCollum makes 2-pt shot from 14 ft
6:03.0,G. Monroe makes 2-pt shot from 4 ft (assist by J. Bayless),2,10-19,,
