time,LA Lakers,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. J. Lauvergne (L. Nance gains possession),,,,Jump ball: R. Hibbert vs. J. Lauvergne (L. Nance gains possession)
11:43.0,L. Williams misses 2-pt shot from 1 ft (block by G. Harris),,0-0,,
11:42.0,Offensive rebound by Team,,0-0,,
11:37.0,J. Clarkson makes 2-pt shot from 18 ft,2,2-0,,
11:17.0,,,2-0,,K. Faried misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by L. Williams,,2-0,,
11:08.0,L. Nance makes 2-pt shot from 1 ft (assist by L. Williams),2,4-0,,
10:56.0,,,4-3,3,K. Papanikolaou makes 3-pt shot from 23 ft (assist by K. Faried)
10:44.0,K. Bryant makes 2-pt shot from 13 ft,2,6-3,,
10:34.0,,,6-3,,J. Nelson misses 3-pt shot from 25 ft
10:33.0,Defensive rebound by R. Hibbert,,6-3,,
10:24.0,L. Nance makes 2-pt shot from 14 ft (assist by L. Williams),2,8-3,,
10:22.0,,,8-3,,Denver full timeout
10:08.0,,,8-3,,Turnover by J. Nelson (bad pass)
9:51.0,J. Clarkson misses 2-pt shot from 2 ft,,8-3,,
9:49.0,Offensive rebound by L. Williams,,8-3,,
9:45.0,Turnover by L. Williams (bad pass),,8-3,,
9:25.0,,,8-3,,K. Papanikolaou misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by J. Clarkson,,8-3,,
9:00.0,L. Williams makes 3-pt shot from 23 ft,3,11-3,,
8:50.0,,,11-3,,G. Harris misses 2-pt shot from 5 ft
8:49.0,Defensive rebound by R. Hibbert,,11-3,,
8:40.0,L. Williams misses 3-pt shot from 23 ft,,11-3,,
8:38.0,,,11-3,,Defensive rebound by G. Harris
8:30.0,,,11-3,,Shooting foul by R. Hibbert (drawn by G. Harris)
8:30.0,,,11-3,,Denver full timeout
8:30.0,,,11-3,,G. Harris misses free throw 1 of 2
8:30.0,,,11-3,,Offensive rebound by Team
8:30.0,,,11-4,1,G. Harris makes free throw 2 of 2
8:29.0,,,11-4,,Personal take foul by K. Papanikolaou (drawn by K. Bryant)
8:29.0,,,11-4,,W. Barton enters the game for G. Harris
8:14.0,L. Williams misses 2-pt shot from 5 ft,,11-4,,
8:11.0,Offensive rebound by Team,,11-4,,
7:54.0,L. Nance misses 2-pt shot at rim (block by K. Faried),,11-4,,
7:52.0,,,11-4,,Defensive rebound by W. Barton
7:44.0,,,11-6,2,W. Barton makes 2-pt shot from 6 ft
7:27.0,L. Nance misses 2-pt shot from 20 ft,,11-6,,
7:26.0,,,11-6,,Defensive rebound by J. Nelson
7:19.0,,,11-9,3,W. Barton makes 3-pt shot from 25 ft (assist by J. Nelson)
7:07.0,,,11-9,,Personal foul by J. Lauvergne (drawn by R. Hibbert)
6:53.0,R. Hibbert makes 2-pt shot from 6 ft,2,13-9,,
6:41.0,,,13-12,3,W. Barton makes 3-pt shot from 25 ft (assist by J. Nelson)
6:41.0,,,13-12,,Shooting foul by J. Clarkson (drawn by W. Barton)
6:41.0,R. Sacre enters the game for R. Hibbert,,13-12,,
6:41.0,,,13-13,1,W. Barton makes free throw 1 of 1
6:33.0,K. Bryant makes 3-pt shot from 27 ft (assist by J. Clarkson),3,16-13,,
6:33.0,Shooting foul by K. Papanikolaou (drawn by K. Bryant),,16-13,,
6:33.0,K. Bryant makes free throw 1 of 1,1,17-13,,
6:21.0,D. Russell enters the game for L. Nance,,17-13,,
6:21.0,J. Randle enters the game for J. Clarkson,,17-13,,
6:13.0,,,17-16,3,K. Papanikolaou makes 3-pt shot from 24 ft (assist by J. Nelson)
5:57.0,D. Russell misses 3-pt shot from 23 ft,,17-16,,
5:57.0,,,17-16,,Defensive rebound by J. Lauvergne
5:48.0,,,17-16,,Turnover by K. Faried (lost ball; steal by D. Russell)
5:37.0,,,17-16,,Def 3 sec tech foul by J. Lauvergne
5:37.0,L. Williams misses technical free throw,,17-16,,
