time,Cleveland,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. T. Thompson (I. Smith gains possession),,,,Jump ball: N. Noel vs. T. Thompson (I. Smith gains possession)
11:42.0,,,0-0,,J. Grant misses 2-pt shot from 2 ft
11:40.0,Defensive rebound by K. Love,,0-0,,
11:25.0,K. Irving makes 2-pt shot from 5 ft (assist by L. James),2,2-0,,
11:15.0,,,2-0,,Turnover by I. Smith (lost ball)
11:02.0,L. James makes 3-pt shot from 25 ft,3,5-0,,
11:00.0,,,5-0,,Philadelphia full timeout
10:48.0,,,5-2,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
10:26.0,K. Love makes 2-pt shot from 8 ft (assist by L. James),2,7-2,,
10:17.0,,,7-4,2,N. Noel makes 2-pt shot from 2 ft (assist by I. Smith)
10:01.0,K. Love misses 3-pt shot from 25 ft,,7-4,,
10:00.0,,,7-4,,Defensive rebound by N. Stauskas
9:51.0,,,7-4,,J. Okafor misses 2-pt shot from 14 ft
9:50.0,Defensive rebound by K. Love,,7-4,,
9:43.0,Shooting foul by J. Okafor (drawn by T. Thompson),,7-4,,
9:43.0,T. Thompson makes free throw 1 of 2,1,8-4,,
9:43.0,T. Thompson misses free throw 2 of 2,,8-4,,
9:42.0,,,8-4,,Defensive rebound by N. Noel
9:31.0,Def 3 sec tech foul by T. Thompson,,8-4,,
9:31.0,,,8-5,1,I. Smith makes technical free throw
9:22.0,,,8-5,,N. Stauskas misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by L. James,,8-5,,
9:15.0,L. James misses 2-pt shot from 20 ft,,8-5,,
9:12.0,,,8-5,,Defensive rebound by J. Grant
8:58.0,,,8-7,2,I. Smith makes 2-pt shot from 10 ft
8:40.0,J. Smith makes 2-pt shot at rim (assist by L. James),2,10-7,,
8:28.0,,,10-7,,J. Okafor misses 2-pt shot from 2 ft (block by K. Irving)
8:26.0,,,10-7,,Offensive rebound by N. Noel
8:22.0,,,10-9,2,I. Smith makes 2-pt shot from 9 ft (assist by N. Noel)
8:14.0,K. Irving misses 3-pt shot from 26 ft,,10-9,,
8:13.0,,,10-9,,Defensive rebound by J. Grant
8:04.0,,,10-9,,Turnover by I. Smith (bad pass)
7:50.0,J. Smith misses 3-pt shot from 25 ft,,10-9,,
7:49.0,,,10-9,,Defensive rebound by J. Okafor
7:36.0,,,10-11,2,J. Okafor makes 2-pt shot from 7 ft (assist by I. Smith)
7:21.0,K. Irving misses 2-pt shot from 17 ft,,10-11,,
7:20.0,,,10-11,,Defensive rebound by N. Noel
7:06.0,,,10-11,,N. Noel misses 2-pt shot from 16 ft
7:05.0,Defensive rebound by K. Love,,10-11,,
6:49.0,Offensive charge foul by K. Love,,10-11,,
6:49.0,Turnover by K. Love (offensive foul),,10-11,,
6:31.0,,,10-13,2,J. Grant makes 2-pt shot at rim (assist by N. Noel)
6:17.0,,,10-13,,Personal foul by J. Grant (drawn by K. Love)
6:17.0,,,10-13,,C. Landry enters the game for N. Noel
6:17.0,,,10-13,,H. Thompson enters the game for N. Stauskas
6:13.0,,,10-13,,Def 3 sec tech foul by J. Okafor
6:13.0,K. Irving makes technical free throw,1,11-13,,
6:03.0,,,11-13,,Personal foul by J. Okafor (drawn by T. Thompson)
6:03.0,,,11-13,,N. Noel enters the game for J. Okafor
5:52.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,14-13,,
5:39.0,,,14-13,,Turnover by J. Grant (bad pass; steal by L. James)
5:32.0,,,14-13,,Personal foul by C. Landry (drawn by K. Love)
5:32.0,M. Dellavedova enters the game for K. Irving,,14-13,,
5:32.0,,,14-13,,J. Sampson enters the game for J. Grant
5:16.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,16-13,,
4:50.0,,,16-15,2,I. Smith makes 2-pt shot from 18 ft
4:39.0,J. Smith misses 2-pt shot from 18 ft,,16-15,,
4:37.0,,,16-15,,Defensive rebound by Team
4:37.0,,,16-15,,T. McConnell enters the game for I. Smith
4:19.0,,,16-15,,J. Sampson misses 3-pt shot from 24 ft
4:18.0,Defensive rebound by K. Love,,16-15,,
4:16.0,Shooting foul by H. Thompson (drawn by L. James),,16-15,,
4:16.0,L. James misses free throw 1 of 2,,16-15,,
4:16.0,Offensive rebound by Team,,16-15,,
4:16.0,T. Mozgov enters the game for T. Thompson,,16-15,,
4:16.0,L. James makes free throw 2 of 2,1,17-15,,
4:01.0,,,17-17,2,H. Thompson makes 2-pt shot from 5 ft
3:52.0,,,17-17,,Personal foul by C. Landry (drawn by K. Love)
3:52.0,K. Love misses free throw 1 of 2,,17-17,,
3:52.0,Offensive rebound by Team,,17-17,,
3:52.0,,,17-17,,R. Covington enters the game for C. Landry
3:52.0,K. Love makes free throw 2 of 2,1,18-17,,
