time,Indiana,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. I. Mahinmi (G. Hill gains possession),,,,Jump ball: P. Gasol vs. I. Mahinmi (G. Hill gains possession)
11:31.0,P. George misses 3-pt shot from 42 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by P. Gasol
11:10.0,,,0-2,2,P. Gasol makes 2-pt shot from 13 ft
10:54.0,M. Ellis misses 2-pt shot from 16 ft,,0-2,,
10:54.0,,,0-2,,Defensive rebound by P. Gasol
10:29.0,,,0-2,,P. Gasol misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by G. Hill,,0-2,,
10:21.0,G. Hill makes 2-pt shot from 17 ft,2,2-2,,
10:02.0,,,2-2,,J. Butler misses 2-pt shot from 17 ft
9:59.0,Defensive rebound by G. Hill,,2-2,,
9:56.0,Turnover by G. Hill (step out of bounds),,2-2,,
9:33.0,,,2-5,3,K. Hinrich makes 3-pt shot from 24 ft (assist by N. Mirotic)
9:20.0,P. George makes 2-pt shot from 17 ft (assist by I. Mahinmi),2,4-5,,
8:58.0,,,4-5,,P. Gasol misses 2-pt shot from 12 ft
8:57.0,Defensive rebound by L. Allen,,4-5,,
8:42.0,G. Hill misses 2-pt shot from 10 ft (block by K. Hinrich),,4-5,,
8:41.0,,,4-5,,Defensive rebound by N. Mirotic
8:32.0,,,4-5,,Turnover by K. Hinrich (back court)
8:22.0,M. Ellis makes 2-pt shot from 1 ft,2,6-5,,
8:01.0,,,6-5,,Turnover by P. Gasol (lost ball; steal by I. Mahinmi)
7:47.0,P. George misses 2-pt shot from 14 ft (block by P. Gasol),,6-5,,
7:45.0,,,6-5,,Defensive rebound by T. Gibson
7:32.0,,,6-5,,Shooting foul by M. Ellis (drawn by P. Gasol)
7:32.0,,,6-6,1,P. Gasol makes free throw 1 of 2
7:32.0,,,6-7,1,P. Gasol makes free throw 2 of 2
7:18.0,I. Mahinmi misses 2-pt shot from 15 ft,,6-7,,
7:17.0,,,6-7,,Defensive rebound by P. Gasol
6:56.0,,,6-7,,K. Hinrich misses 2-pt shot from 4 ft
6:55.0,Defensive rebound by I. Mahinmi,,6-7,,
6:46.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by G. Hill),2,8-7,,
6:22.0,,,8-7,,T. Gibson misses 2-pt shot from 5 ft
6:22.0,,,8-7,,Offensive rebound by Team
6:22.0,Loose ball foul by M. Ellis (drawn by N. Mirotic),,8-7,,
6:22.0,R. Stuckey enters the game for M. Ellis,,8-7,,
6:08.0,,,8-7,,P. Gasol misses 2-pt shot from 8 ft
6:07.0,Defensive rebound by L. Allen,,8-7,,
5:58.0,L. Allen makes 2-pt shot from 1 ft (assist by P. George),2,10-7,,
5:48.0,,,10-7,,Shooting foul by L. Allen (drawn by J. Butler)
5:48.0,,,10-7,,Chicago full timeout
5:48.0,,,10-7,,J. Butler misses free throw 1 of 2
5:48.0,,,10-7,,Offensive rebound by Team
5:48.0,,,10-8,1,J. Butler makes free throw 2 of 2
5:35.0,Turnover by P. George (bad pass),,10-8,,
