time,San Antonio,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. Z. Pachulia (D. Nowitzki gains possession),,,,Jump ball: L. Aldridge vs. Z. Pachulia (D. Nowitzki gains possession)
11:37.0,,,0-2,2,D. Williams makes 2-pt shot from 11 ft
11:26.0,Offensive foul by D. West,,0-2,,
11:26.0,Turnover by D. West (offensive foul),,0-2,,
11:12.0,,,0-2,,C. Parsons misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by D. Green,,0-2,,
11:05.0,,,0-2,,Personal foul by D. Williams (drawn by K. Leonard)
10:58.0,K. Leonard makes 2-pt shot from 18 ft (assist by L. Aldridge),2,2-2,,
10:46.0,,,2-4,2,W. Matthews makes 2-pt shot from 19 ft (assist by Z. Pachulia)
10:30.0,D. West makes 2-pt shot from 5 ft,2,4-4,,
10:12.0,,,4-4,,Turnover by W. Matthews (bad pass)
10:02.0,L. Aldridge misses 2-pt shot from 16 ft,,4-4,,
10:01.0,,,4-4,,Defensive rebound by D. Nowitzki
9:52.0,,,4-4,,Z. Pachulia misses 2-pt shot from 10 ft
9:51.0,Defensive rebound by T. Parker,,4-4,,
9:40.0,L. Aldridge makes 2-pt shot from 3 ft (assist by D. West),2,6-4,,
9:23.0,,,6-4,,Turnover by D. Nowitzki (bad pass; steal by L. Aldridge)
9:15.0,K. Leonard misses 2-pt shot from 12 ft,,6-4,,
9:14.0,,,6-4,,Defensive rebound by D. Nowitzki
9:04.0,,,6-6,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by D. Williams)
8:45.0,D. Green makes 3-pt shot from 25 ft (assist by T. Parker),3,9-6,,
8:31.0,,,9-6,,W. Matthews misses 2-pt shot from 17 ft
8:30.0,Defensive rebound by D. West,,9-6,,
8:17.0,L. Aldridge misses 2-pt shot from 7 ft,,9-6,,
8:16.0,,,9-6,,Defensive rebound by D. Nowitzki
8:06.0,,,9-8,2,C. Parsons makes 2-pt shot from 13 ft
7:47.0,D. Green misses 2-pt shot from 14 ft,,9-8,,
7:46.0,,,9-8,,Defensive rebound by C. Parsons
7:29.0,,,9-8,,C. Parsons misses 2-pt shot from 7 ft
7:28.0,Defensive rebound by D. Green,,9-8,,
7:21.0,Turnover by L. Aldridge (lost ball; steal by D. Nowitzki),,9-8,,
7:00.0,,,9-8,,D. Nowitzki misses 2-pt shot from 15 ft
6:59.0,Defensive rebound by L. Aldridge,,9-8,,
6:44.0,K. Leonard makes 2-pt shot from 12 ft,2,11-8,,
6:31.0,,,11-8,,D. Williams misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by L. Aldridge,,11-8,,
6:16.0,Turnover by K. Leonard (lost ball; steal by C. Parsons),,11-8,,
6:14.0,,,11-8,,Turnover by C. Parsons (bad pass)
6:12.0,,,11-8,,R. Felton enters the game for C. Parsons
6:03.0,,,11-8,,Personal foul by W. Matthews (drawn by K. Leonard)
5:49.0,L. Aldridge makes 2-pt shot from 7 ft,2,13-8,,
5:48.0,,,13-8,,Dallas full timeout
5:48.0,,,13-8,,C. Villanueva enters the game for D. Nowitzki
5:38.0,,,13-8,,Shooting foul by D. West (drawn by Z. Pachulia)
5:38.0,,,13-9,1,Z. Pachulia makes free throw 1 of 2
5:38.0,B. Diaw enters the game for D. West,,13-9,,
5:38.0,,,13-9,,Z. Pachulia misses free throw 2 of 2
5:37.0,Defensive rebound by B. Diaw,,13-9,,
5:16.0,B. Diaw makes 2-pt shot from 7 ft,2,15-9,,
5:04.0,,,15-9,,D. Williams misses 2-pt shot from 17 ft
5:03.0,Defensive rebound by B. Diaw,,15-9,,
4:55.0,T. Parker misses 2-pt shot from 19 ft,,15-9,,
4:54.0,,,15-9,,Defensive rebound by C. Villanueva
4:41.0,,,15-9,,Turnover by R. Felton (bad pass; steal by L. Aldridge)
4:20.0,D. Green misses 3-pt shot from 25 ft,,15-9,,
4:19.0,,,15-9,,Defensive rebound by D. Williams
4:02.0,Personal foul by B. Diaw (drawn by R. Felton),,15-9,,
4:02.0,P. Mills enters the game for T. Parker,,15-9,,
3:57.0,,,15-9,,Shooting foul by L. Aldridge (drawn by Z. Pachulia)
3:57.0,,,15-10,1,Z. Pachulia makes free throw 1 of 2
3:57.0,San Antonio full timeout,,15-10,,
3:57.0,J. Simmons enters the game for D. Green,,15-10,,
3:57.0,,,15-10,,Z. Pachulia misses free throw 2 of 2
3:56.0,Defensive rebound by K. Leonard,,15-10,,
3:44.0,K. Leonard makes 2-pt shot from 19 ft,2,17-10,,
3:25.0,,,17-10,,Z. Pachulia misses 2-pt shot from 16 ft
3:25.0,Defensive rebound by P. Mills,,17-10,,
3:11.0,K. Leonard misses 2-pt shot from 3 ft,,17-10,,
3:10.0,,,17-10,,Defensive rebound by C. Villanueva
3:00.0,,,17-10,,Offensive foul by C. Villanueva
3:00.0,,,17-10,,Turnover by C. Villanueva (offensive foul)
3:00.0,,,17-10,,D. Nowitzki enters the game for Z. Pachulia
3:00.0,,,17-10,,C. Parsons enters the game for W. Matthews
2:40.0,K. Leonard makes 3-pt shot from 24 ft (assist by B. Diaw),3,20-10,,
2:28.0,,,20-10,,Turnover by D. Williams (bad pass)
2:28.0,,,20-10,,J. Barea enters the game for D. Williams
2:16.0,Shooting foul by D. Nowitzki (drawn by L. Aldridge),,20-10,,
2:16.0,L. Aldridge makes free throw 1 of 2,1,21-10,,
2:16.0,L. Aldridge makes free throw 2 of 2,1,22-10,,
2:01.0,,,22-12,2,C. Parsons makes 2-pt shot from 13 ft (assist by C. Villanueva)
1:46.0,L. Aldridge misses 2-pt shot from 4 ft,,22-12,,
1:45.0,,,22-12,,Defensive rebound by D. Nowitzki
1:34.0,,,22-12,,C. Villanueva misses 2-pt shot from 9 ft
1:33.0,Defensive rebound by L. Aldridge,,22-12,,
1:25.0,J. Simmons makes 3-pt shot from 22 ft (assist by B. Diaw),3,25-12,,
1:24.0,,,25-12,,Dallas full timeout
1:24.0,,,25-12,,S. Mejri enters the game for C. Villanueva
1:24.0,K. Anderson enters the game for L. Aldridge,,25-12,,
1:12.0,,,25-12,,D. Nowitzki misses 2-pt shot from 17 ft
1:12.0,Defensive rebound by P. Mills,,25-12,,
1:02.0,K. Leonard makes 2-pt shot from 14 ft,2,27-12,,
0:58.0,Personal foul by J. Simmons (drawn by R. Felton),,27-12,,
0:58.0,B. Marjanovic enters the game for K. Leonard,,27-12,,
0:46.0,,,27-12,,D. Nowitzki misses 2-pt shot from 12 ft
0:45.0,Defensive rebound by P. Mills,,27-12,,
0:38.0,P. Mills misses 2-pt shot from 19 ft,,27-12,,
0:37.0,,,27-12,,Defensive rebound by D. Nowitzki
0:24.0,,,27-12,,Offensive charge foul by R. Felton
0:24.0,,,27-12,,Turnover by R. Felton (offensive foul)
0:09.0,,,27-12,,Personal take foul by J. Barea
0:02.0,K. Anderson misses 3-pt shot from 23 ft,,27-12,,
0:01.0,,,27-12,,Defensive rebound by S. Mejri
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,B. Diaw misses 2-pt shot from 19 ft,,27-12,,
11:39.0,Offensive rebound by B. Marjanovic,,27-12,,
11:30.0,B. Marjanovic makes 2-pt shot from 6 ft,2,29-12,,
11:08.0,,,29-12,,C. Parsons misses 2-pt shot from 5 ft
11:07.0,Defensive rebound by B. Diaw,,29-12,,
10:57.0,Offensive foul by B. Marjanovic,,29-12,,
10:57.0,Turnover by B. Marjanovic (offensive foul),,29-12,,
10:50.0,,,29-14,2,J. Barea makes 2-pt shot from 12 ft
10:23.0,Shooting foul by S. Mejri (drawn by P. Mills),,29-14,,
10:23.0,P. Mills makes 2-pt shot from 12 ft,2,31-14,,
10:23.0,P. Mills makes free throw 1 of 1,1,32-14,,
10:09.0,Personal foul by J. Simmons (drawn by D. Nowitzki),,32-14,,
10:01.0,,,32-14,,R. Felton misses 3-pt shot from 22 ft
10:00.0,Defensive rebound by P. Mills,,32-14,,
9:54.0,Turnover by D. Green (bad pass; steal by S. Mejri),,32-14,,
9:42.0,Personal foul by B. Diaw (drawn by D. Nowitzki),,32-14,,
9:34.0,,,32-14,,S. Mejri misses 2-pt shot from 1 ft
9:32.0,Defensive rebound by B. Marjanovic,,32-14,,
9:26.0,P. Mills makes 2-pt shot from 20 ft,2,34-14,,
9:25.0,,,34-14,,Dallas full timeout
9:25.0,T. Parker enters the game for D. Green,,34-14,,
9:25.0,K. Anderson enters the game for B. Diaw,,34-14,,
9:05.0,,,34-14,,J. Barea misses 3-pt shot from 24 ft
9:05.0,Defensive rebound by Team,,34-14,,
8:47.0,P. Mills makes 3-pt shot from 23 ft (assist by J. Simmons),3,37-14,,
8:30.0,,,37-16,2,S. Mejri makes 2-pt shot at rim (assist by R. Felton)
8:03.0,Shooting foul by R. Felton (drawn by K. Anderson),,37-16,,
8:03.0,K. Anderson makes free throw 1 of 3,1,38-16,,
8:03.0,K. Anderson makes free throw 2 of 3,1,39-16,,
8:03.0,,,39-16,,J. Anderson enters the game for C. Parsons
8:03.0,,,39-16,,C. Villanueva enters the game for D. Nowitzki
8:03.0,,,39-16,,D. Williams enters the game for R. Felton
8:03.0,,,39-16,,W. Matthews enters the game for J. Barea
8:03.0,,,39-16,,Z. Pachulia enters the game for S. Mejri
8:03.0,L. Aldridge enters the game for P. Mills,,39-16,,
8:03.0,K. Leonard enters the game for J. Simmons,,39-16,,
8:03.0,D. Green enters the game for B. Marjanovic,,39-16,,
8:03.0,K. Anderson makes free throw 3 of 3,1,40-16,,
7:46.0,,,40-16,,D. Williams misses 3-pt shot from 24 ft
7:46.0,Defensive rebound by Team,,40-16,,
7:37.0,K. Leonard misses 2-pt shot from 14 ft,,40-16,,
7:36.0,Offensive rebound by K. Leonard,,40-16,,
7:35.0,,,40-16,,Personal foul by J. Anderson (drawn by K. Leonard)
7:27.0,K. Leonard misses 3-pt shot from 22 ft,,40-16,,
7:26.0,,,40-16,,Defensive rebound by C. Villanueva
7:20.0,,,40-16,,W. Matthews misses 2-pt shot from 8 ft
7:18.0,Defensive rebound by L. Aldridge,,40-16,,
7:08.0,L. Aldridge misses 3-pt shot from 24 ft,,40-16,,
7:07.0,,,40-16,,Defensive rebound by J. Anderson
6:56.0,,,40-16,,C. Villanueva misses 2-pt shot from 16 ft
6:55.0,,,40-16,,Offensive rebound by Z. Pachulia
6:53.0,,,40-18,2,C. Villanueva makes 2-pt shot from 3 ft (assist by Z. Pachulia)
6:53.0,San Antonio full timeout,,40-18,,
6:37.0,D. Green makes 2-pt shot from 14 ft,2,42-18,,
6:19.0,,,42-20,2,D. Williams makes 2-pt shot from 5 ft
6:02.0,D. Green misses 3-pt shot from 23 ft,,42-20,,
6:01.0,Offensive rebound by L. Aldridge,,42-20,,
5:47.0,Turnover by K. Anderson (traveling),,42-20,,
5:28.0,,,42-20,,D. Williams misses 2-pt shot from 17 ft
5:27.0,Defensive rebound by K. Anderson,,42-20,,
5:05.0,T. Parker makes 3-pt shot from 24 ft,3,45-20,,
4:52.0,,,45-20,,Z. Pachulia misses 2-pt shot from 4 ft
4:51.0,Defensive rebound by D. Green,,45-20,,
4:40.0,Shooting foul by C. Villanueva (drawn by L. Aldridge),,45-20,,
4:40.0,L. Aldridge makes free throw 1 of 2,1,46-20,,
4:40.0,,,46-20,,C. Parsons enters the game for J. Anderson
4:40.0,,,46-20,,D. Nowitzki enters the game for C. Villanueva
4:40.0,,,46-20,,J. McGee enters the game for Z. Pachulia
4:40.0,L. Aldridge makes free throw 2 of 2,1,47-20,,
4:30.0,,,47-22,2,J. McGee makes 2-pt shot at rim (assist by C. Parsons)
4:14.0,K. Leonard makes 3-pt shot from 22 ft (assist by D. Green),3,50-22,,
3:51.0,,,50-22,,Turnover by D. Nowitzki (lost ball; steal by K. Anderson)
3:33.0,T. Parker misses 3-pt shot from 24 ft,,50-22,,
3:31.0,Offensive rebound by L. Aldridge,,50-22,,
3:31.0,L. Aldridge makes 2-pt shot from 1 ft,2,52-22,,
3:15.0,,,52-22,,W. Matthews misses 2-pt shot from 13 ft
3:14.0,Defensive rebound by L. Aldridge,,52-22,,
3:02.0,K. Leonard makes 2-pt shot from 15 ft,2,54-22,,
2:43.0,,,54-24,2,C. Parsons makes 2-pt shot from 14 ft
2:31.0,T. Parker makes 2-pt shot at rim,2,56-24,,
2:17.0,,,56-26,2,J. McGee makes 2-pt shot from 1 ft
1:54.0,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Parker),2,58-26,,
1:43.0,,,58-26,,Turnover by J. McGee (lost ball)
1:43.0,Official timeout,,58-26,,
1:43.0,,,58-26,,Z. Pachulia enters the game for J. McGee
1:43.0,D. West enters the game for T. Parker,,58-26,,
1:43.0,P. Mills enters the game for K. Anderson,,58-26,,
1:19.0,D. West misses 2-pt shot from 8 ft (block by W. Matthews),,58-26,,
1:18.0,Offensive rebound by Team,,58-26,,
1:18.0,Turnover by Team (shot clock),,58-26,,
1:08.0,,,58-26,,Technical foul by Z. Pachulia
1:08.0,Technical foul by D. West,,58-26,,
1:08.0,,,58-26,,Flagrant foul type 1 by Z. Pachulia
1:08.0,,,58-26,,Turnover by Z. Pachulia (offensive foul)
1:08.0,D. West makes flagrant free throw 1 of 2,1,59-26,,
1:08.0,D. West makes flagrant free throw 2 of 2,1,60-26,,
0:53.0,K. Leonard misses 2-pt shot from 11 ft,,60-26,,
0:52.0,,,60-26,,Defensive rebound by D. Williams
0:42.0,,,60-26,,Turnover by C. Parsons (lost ball)
0:35.0,P. Mills makes 2-pt shot from 19 ft,2,62-26,,
0:14.0,,,62-26,,C. Parsons misses 2-pt shot from 17 ft
0:14.0,Defensive rebound by L. Aldridge,,62-26,,
0:03.0,L. Aldridge misses 2-pt shot from 19 ft,,62-26,,
0:02.0,,,62-26,,Defensive rebound by D. Nowitzki
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Green misses 2-pt shot from 22 ft,,62-26,,
11:43.0,,,62-26,,Defensive rebound by D. Nowitzki
11:30.0,,,62-28,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by W. Matthews)
11:13.0,,,62-28,,Personal foul by W. Matthews (drawn by L. Aldridge)
11:07.0,D. West misses 2-pt shot from 19 ft,,62-28,,
11:04.0,,,62-28,,Defensive rebound by Z. Pachulia
10:58.0,,,62-28,,Shooting foul by D. West (drawn by D. Nowitzki)
10:58.0,,,62-29,1,D. Nowitzki makes free throw 1 of 2
10:58.0,,,62-30,1,D. Nowitzki makes free throw 2 of 2
10:36.0,D. Green misses 3-pt shot from 23 ft,,62-30,,
10:35.0,,,62-30,,Defensive rebound by D. Williams
10:28.0,Violation by D. West (kicked ball),,62-30,,
