time,Chicago,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Stoudemire (E. Moore gains possession),,,,Jump ball: P. Gasol vs. A. Stoudemire (E. Moore gains possession)
11:41.0,P. Gasol makes 2-pt shot from 9 ft,2,2-0,,
11:22.0,,,2-0,,D. Wade misses 2-pt shot from 6 ft
11:21.0,Defensive rebound by P. Gasol,,2-0,,
11:15.0,D. Rose misses 2-pt shot from 21 ft,,2-0,,
11:14.0,,,2-0,,Defensive rebound by G. Dragic
10:59.0,,,2-2,2,G. Dragic makes 2-pt shot from 2 ft (assist by D. Wade)
10:51.0,Turnover by D. Rose (bad pass; steal by L. Deng),,2-2,,
10:47.0,,,2-4,2,L. Deng makes 2-pt shot from 1 ft
10:30.0,P. Gasol makes 2-pt shot from 9 ft,2,4-4,,
10:04.0,,,4-6,2,L. Deng makes 2-pt shot from 6 ft
9:54.0,P. Gasol makes 2-pt shot from 10 ft (assist by E. Moore),2,6-6,,
9:30.0,,,6-6,,D. Wade misses 2-pt shot from 12 ft
9:29.0,Defensive rebound by E. Moore,,6-6,,
9:19.0,T. Gibson makes 2-pt shot at rim (assist by E. Moore),2,8-6,,
9:08.0,,,8-8,2,A. Stoudemire makes 2-pt shot from 1 ft (assist by G. Dragic)
9:08.0,,,8-8,,Shooting foul by P. Gasol (drawn by A. Stoudemire)
9:08.0,,,8-9,1,A. Stoudemire makes free throw 1 of 1
9:04.0,Shooting foul by A. Stoudemire (drawn by D. Rose),,8-9,,
9:04.0,D. Rose makes free throw 1 of 2,1,9-9,,
9:04.0,D. Rose makes free throw 2 of 2,1,10-9,,
8:48.0,,,10-11,2,G. Dragic makes 2-pt shot from 1 ft (assist by L. Deng)
8:40.0,E. Moore misses 3-pt shot from 24 ft,,10-11,,
8:39.0,,,10-11,,Defensive rebound by J. Johnson
8:36.0,,,10-13,2,D. Wade makes 2-pt shot at rim (assist by J. Johnson)
8:19.0,T. Gibson makes 2-pt shot from 5 ft,2,12-13,,
7:56.0,,,12-15,2,J. Johnson makes 2-pt shot from 8 ft (assist by G. Dragic)
7:47.0,,,12-15,,Personal foul by L. Deng (drawn by T. Gibson)
7:41.0,P. Gasol misses 2-pt shot from 1 ft (block by A. Stoudemire),,12-15,,
7:40.0,Offensive rebound by Team,,12-15,,
7:32.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by P. Gasol),3,15-15,,
7:13.0,,,15-17,2,G. Dragic makes 2-pt shot from 6 ft
7:05.0,D. Rose makes 2-pt shot from 1 ft,2,17-17,,
6:49.0,,,17-20,3,J. Johnson makes 3-pt shot from 23 ft (assist by D. Wade)
6:31.0,T. Gibson makes 2-pt shot from 5 ft,2,19-20,,
6:16.0,,,19-20,,G. Dragic misses 2-pt shot from 15 ft
6:15.0,Defensive rebound by M. Dunleavy,,19-20,,
6:07.0,D. Rose misses 2-pt shot from 1 ft (block by A. Stoudemire),,19-20,,
6:06.0,,,19-20,,Defensive rebound by A. Stoudemire
6:00.0,,,19-22,2,L. Deng makes 2-pt shot at rim (assist by G. Dragic)
5:52.0,Chicago full timeout,,19-22,,
5:52.0,,,19-22,,J. Winslow enters the game for L. Deng
5:52.0,,,19-22,,H. Whiteside enters the game for A. Stoudemire
5:52.0,,,19-22,,J. Richardson enters the game for G. Dragic
5:52.0,T. Snell enters the game for M. Dunleavy,,19-22,,
5:52.0,D. McDermott enters the game for D. Rose,,19-22,,
5:34.0,T. Snell misses 3-pt shot from 24 ft,,19-22,,
5:33.0,,,19-22,,Defensive rebound by H. Whiteside
5:20.0,,,19-22,,Shooting foul by T. Snell (drawn by D. Wade)
5:20.0,,,19-23,1,D. Wade makes free throw 1 of 2
5:20.0,,,19-24,1,D. Wade makes free throw 2 of 2
5:03.0,Turnover by P. Gasol (lost ball),,19-24,,
4:42.0,,,19-26,2,J. Johnson makes 2-pt shot from 5 ft
4:26.0,T. Gibson misses 2-pt shot from 5 ft,,19-26,,
