time,Denver,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. M. Plumlee (N. Jokic gains possession),,,,Jump ball: J. Nurkic vs. M. Plumlee (N. Jokic gains possession)
11:35.0,N. Jokic makes 2-pt shot from 5 ft,2,2-0,,
11:19.0,,,2-0,,M. Plumlee misses 2-pt shot from 6 ft
11:17.0,Defensive rebound by J. Nurkic,,2-0,,
11:10.0,Turnover by N. Jokic (traveling),,2-0,,
10:59.0,,,2-0,,D. Lillard misses 3-pt shot from 26 ft
10:59.0,Defensive rebound by J. Nurkic,,2-0,,
10:41.0,E. Mudiay misses 3-pt shot from 25 ft,,2-0,,
10:40.0,,,2-0,,Defensive rebound by C. McCollum
10:36.0,,,2-2,2,C. McCollum makes 2-pt shot from 1 ft
10:22.0,Turnover by G. Harris (lost ball; steal by D. Lillard),,2-2,,
10:16.0,,,2-4,2,D. Lillard makes 2-pt shot at rim
10:00.0,J. Nurkic misses 2-pt shot from 18 ft,,2-4,,
9:57.0,Offensive rebound by N. Jokic,,2-4,,
9:57.0,N. Jokic misses 2-pt shot at rim,,2-4,,
9:54.0,,,2-4,,Defensive rebound by C. McCollum
9:41.0,,,2-4,,A. Aminu misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by Team,,2-4,,
9:30.0,G. Harris misses 2-pt shot from 1 ft,,2-4,,
9:29.0,Offensive rebound by J. Nurkic,,2-4,,
9:27.0,J. Nurkic makes 2-pt shot at rim,2,4-4,,
9:16.0,,,4-4,,C. McCollum misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by M. Miller,,4-4,,
9:09.0,M. Miller makes 3-pt shot from 25 ft (assist by E. Mudiay),3,7-4,,
8:50.0,,,7-6,2,C. McCollum makes 2-pt shot from 11 ft
8:43.0,M. Miller misses 3-pt shot from 26 ft,,7-6,,
8:42.0,,,7-6,,Defensive rebound by M. Plumlee
8:38.0,,,7-6,,Turnover by A. Aminu (bad pass)
8:28.0,,,7-6,,Personal foul by M. Harkless
8:20.0,E. Mudiay makes 2-pt shot from 2 ft,2,9-6,,
8:09.0,,,9-8,2,D. Lillard makes 2-pt shot from 1 ft
7:58.0,J. Nurkic misses 2-pt shot from 4 ft,,9-8,,
7:57.0,,,9-8,,Defensive rebound by Team
7:49.0,,,9-8,,M. Harkless misses 2-pt shot from 8 ft
7:48.0,Defensive rebound by M. Miller,,9-8,,
7:38.0,E. Mudiay makes 2-pt shot at rim (assist by N. Jokic),2,11-8,,
7:17.0,,,11-8,,A. Aminu misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by J. Nurkic,,11-8,,
7:06.0,N. Jokic makes 2-pt shot from 1 ft (assist by J. Nurkic),2,13-8,,
6:45.0,,,13-8,,M. Harkless misses 2-pt shot from 15 ft
6:45.0,Defensive rebound by M. Miller,,13-8,,
6:34.0,E. Mudiay misses 2-pt shot from 12 ft,,13-8,,
6:33.0,Offensive rebound by J. Nurkic,,13-8,,
6:30.0,E. Mudiay misses 2-pt shot from 1 ft (block by M. Plumlee),,13-8,,
6:28.0,,,13-8,,Defensive rebound by M. Plumlee
6:15.0,,,13-10,2,D. Lillard makes 2-pt shot at rim
5:59.0,M. Miller misses 3-pt shot from 27 ft,,13-10,,
5:59.0,Offensive rebound by N. Jokic,,13-10,,
5:56.0,Turnover by E. Mudiay (bad pass),,13-10,,
5:56.0,,,13-10,,Portland full timeout
5:46.0,,,13-10,,D. Lillard misses 2-pt shot from 15 ft
5:45.0,Defensive rebound by J. Nurkic,,13-10,,
