time,Memphis,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Green vs. J. Valanciunas (M. Conley gains possession),,,,Jump ball: J. Green vs. J. Valanciunas (M. Conley gains possession)
11:40.0,Z. Randolph makes 2-pt shot from 16 ft,2,2-0,,
11:21.0,,,2-0,,L. Scola misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by M. Barnes,,2-0,,
11:14.0,Turnover by M. Conley (bad pass; steal by L. Scola),,2-0,,
11:01.0,,,2-0,,L. Scola misses 2-pt shot from 2 ft
11:00.0,Defensive rebound by Z. Randolph,,2-0,,
10:46.0,M. Barnes misses 3-pt shot from 26 ft,,2-0,,
10:46.0,,,2-0,,Defensive rebound by J. Johnson
10:26.0,,,2-0,,Shooting foul by Z. Randolph (drawn by J. Johnson)
10:26.0,,,2-0,,J. Johnson misses free throw 1 of 2
10:26.0,,,2-0,,Offensive rebound by Team
10:26.0,,,2-1,1,J. Johnson makes free throw 2 of 2
10:11.0,Z. Randolph makes 2-pt shot from 18 ft,2,4-1,,
9:53.0,,,4-3,2,L. Scola makes 2-pt shot from 1 ft (assist by K. Lowry)
9:37.0,Z. Randolph makes 2-pt shot from 17 ft (assist by M. Barnes),2,6-3,,
9:21.0,,,6-3,,J. Johnson misses 3-pt shot from 23 ft
9:21.0,,,6-3,,Offensive rebound by J. Valanciunas
9:16.0,,,6-3,,K. Lowry misses 3-pt shot from 24 ft
9:16.0,Defensive rebound by M. Barnes,,6-3,,
9:09.0,M. Conley misses 3-pt shot from 25 ft,,6-3,,
9:09.0,,,6-3,,Defensive rebound by J. Valanciunas
8:54.0,,,6-3,,J. Valanciunas misses 2-pt shot from 4 ft
8:54.0,Defensive rebound by M. Barnes,,6-3,,
8:38.0,P. Hairston misses 3-pt shot from 24 ft,,6-3,,
8:38.0,,,6-3,,Defensive rebound by J. Valanciunas
8:23.0,,,6-3,,L. Scola misses 2-pt shot from 2 ft
8:23.0,,,6-3,,Offensive rebound by Team
8:23.0,Loose ball foul by J. Green (drawn by J. Valanciunas),,6-3,,
8:21.0,Personal foul by P. Hairston (drawn by D. DeRozan),,6-3,,
8:13.0,,,6-5,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
7:49.0,M. Conley makes 2-pt shot from 17 ft,2,8-5,,
7:36.0,,,8-5,,J. Johnson misses 3-pt shot from 23 ft
7:35.0,,,8-5,,Offensive rebound by J. Valanciunas
7:31.0,,,8-5,,L. Scola misses 3-pt shot from 23 ft
7:30.0,Defensive rebound by Z. Randolph,,8-5,,
7:24.0,Offensive charge foul by M. Barnes,,8-5,,
7:24.0,Turnover by M. Barnes (offensive foul),,8-5,,
7:11.0,,,8-5,,Offensive foul by L. Scola
7:11.0,,,8-5,,Turnover by L. Scola (offensive foul)
6:54.0,P. Hairston makes 2-pt shot from 4 ft,2,10-5,,
6:35.0,,,10-5,,D. DeRozan misses 2-pt shot from 16 ft
6:35.0,,,10-5,,Offensive rebound by D. DeRozan
6:18.0,,,10-7,2,K. Lowry makes 2-pt shot from 1 ft
6:18.0,,,10-7,,P. Patterson enters the game for L. Scola
6:05.0,M. Conley misses 2-pt shot from 11 ft,,10-7,,
6:04.0,,,10-7,,Defensive rebound by J. Valanciunas
5:58.0,,,10-9,2,K. Lowry makes 2-pt shot from 2 ft
5:39.0,P. Hairston misses 3-pt shot from 24 ft,,10-9,,
5:38.0,,,10-9,,Defensive rebound by J. Valanciunas
5:27.0,,,10-9,,P. Patterson misses 3-pt shot from 22 ft
5:26.0,Defensive rebound by M. Barnes,,10-9,,
5:11.0,Shooting foul by P. Patterson (drawn by M. Conley),,10-9,,
5:11.0,,,10-9,,Toronto full timeout
5:11.0,V. Carter enters the game for J. Green,,10-9,,
5:11.0,B. Wright enters the game for P. Hairston,,10-9,,
5:11.0,M. Conley makes free throw 1 of 2,1,11-9,,
5:11.0,M. Conley makes free throw 2 of 2,1,12-9,,
4:57.0,,,12-11,2,D. DeRozan makes 2-pt shot from 16 ft
4:33.0,B. Wright misses 2-pt shot from 6 ft,,12-11,,
4:33.0,,,12-11,,Defensive rebound by P. Patterson
4:21.0,,,12-11,,D. DeRozan misses 2-pt shot from 16 ft
4:20.0,Defensive rebound by M. Conley,,12-11,,
4:05.0,V. Carter makes 3-pt shot from 24 ft (assist by Z. Randolph),3,15-11,,
3:40.0,,,15-13,2,J. Johnson makes 2-pt shot from 19 ft
3:21.0,Turnover by B. Wright (offensive goaltending),,15-13,,
3:21.0,M. Chalmers enters the game for M. Barnes,,15-13,,
3:21.0,L. Stephenson enters the game for M. Conley,,15-13,,
3:21.0,,,15-13,,T. Ross enters the game for J. Johnson
3:00.0,,,15-13,,D. DeRozan misses 2-pt shot from 6 ft
2:59.0,Defensive rebound by V. Carter,,15-13,,
2:49.0,V. Carter misses 3-pt shot from 25 ft,,15-13,,
2:49.0,,,15-13,,Defensive rebound by J. Valanciunas
2:36.0,,,15-15,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
2:28.0,Memphis full timeout,,15-15,,
2:28.0,,,15-15,,B. Biyombo enters the game for J. Valanciunas
2:28.0,,,15-15,,C. Joseph enters the game for K. Lowry
2:28.0,M. Barnes enters the game for Z. Randolph,,15-15,,
2:16.0,L. Stephenson misses 2-pt shot from 18 ft,,15-15,,
2:15.0,,,15-15,,Defensive rebound by B. Biyombo
2:04.0,,,15-15,,Shooting foul by B. Wright (drawn by D. DeRozan)
2:04.0,,,15-16,1,D. DeRozan makes free throw 1 of 2
2:04.0,,,15-17,1,D. DeRozan makes free throw 2 of 2
1:56.0,M. Chalmers misses 2-pt shot from 13 ft,,15-17,,
1:56.0,,,15-17,,Defensive rebound by D. DeRozan
1:49.0,,,15-17,,Turnover by D. DeRozan (lost ball)
1:37.0,L. Stephenson makes 2-pt shot from 1 ft,2,17-17,,
1:22.0,,,17-17,,Turnover by D. DeRozan (bad pass; steal by M. Chalmers)
1:18.0,Shooting foul by C. Joseph (drawn by M. Chalmers),,17-17,,
1:18.0,M. Chalmers misses free throw 1 of 2,,17-17,,
1:18.0,Offensive rebound by Team,,17-17,,
1:18.0,M. Chalmers makes free throw 2 of 2,1,18-17,,
1:00.0,,,18-17,,T. Ross misses 3-pt shot from 23 ft
0:59.0,,,18-17,,Offensive rebound by B. Biyombo
0:57.0,,,18-17,,Turnover by B. Biyombo (lost ball; steal by M. Chalmers)
0:49.0,,,18-17,,Personal foul by D. DeRozan (drawn by L. Stephenson)
0:49.0,L. Stephenson makes free throw 1 of 2,1,19-17,,
0:49.0,L. Stephenson makes free throw 2 of 2,1,20-17,,
0:41.0,,,20-19,2,T. Ross makes 2-pt shot from 2 ft (assist by D. DeRozan)
0:41.0,,,20-19,,Shooting foul by V. Carter (drawn by T. Ross)
0:41.0,,,20-19,,T. Ross misses free throw 1 of 1
0:40.0,Defensive rebound by M. Barnes,,20-19,,
0:17.0,M. Barnes misses 2-pt shot from 6 ft,,20-19,,
0:16.0,,,20-19,,Defensive rebound by B. Biyombo
0:00.0,,,20-22,3,C. Joseph makes 3-pt shot from 25 ft (assist by D. DeRozan)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,20-22,,Shooting foul by M. Chalmers (drawn by P. Patterson)
11:46.0,,,20-23,1,P. Patterson makes free throw 1 of 2
11:46.0,,,20-24,1,P. Patterson makes free throw 2 of 2
11:34.0,Turnover by M. Chalmers (bad pass),,20-24,,
11:14.0,,,20-26,2,T. Ross makes 2-pt shot from 2 ft
10:51.0,V. Carter makes 2-pt shot from 5 ft (assist by L. Stephenson),2,22-26,,
10:46.0,,,22-26,,Turnover by C. Joseph (bad pass; steal by L. Stephenson)
10:38.0,M. Chalmers makes 3-pt shot from 24 ft (assist by L. Stephenson),3,25-26,,
10:25.0,,,25-26,,Turnover by B. Biyombo (offensive foul)
10:25.0,,,25-26,,Offensive foul by B. Biyombo
10:10.0,L. Stephenson misses 2-pt shot from 13 ft,,25-26,,
10:09.0,Offensive rebound by B. Wright,,25-26,,
9:59.0,M. Chalmers misses 2-pt shot from 1 ft,,25-26,,
9:59.0,Offensive rebound by V. Carter,,25-26,,
9:57.0,V. Carter misses 2-pt shot from 2 ft,,25-26,,
9:56.0,Offensive rebound by V. Carter,,25-26,,
9:52.0,J. Green misses 2-pt shot from 4 ft (block by B. Biyombo),,25-26,,
9:52.0,Offensive rebound by J. Green,,25-26,,
9:52.0,Memphis full timeout,,25-26,,
9:52.0,M. Conley enters the game for V. Carter,,25-26,,
9:52.0,C. Andersen enters the game for B. Wright,,25-26,,
9:44.0,M. Chalmers misses 3-pt shot from 24 ft,,25-26,,
9:44.0,,,25-26,,Defensive rebound by B. Biyombo
9:29.0,,,25-26,,B. Biyombo misses 2-pt shot from 15 ft
9:28.0,Defensive rebound by L. Stephenson,,25-26,,
9:18.0,Turnover by L. Stephenson (palming),,25-26,,
9:09.0,,,25-26,,Shooting foul by M. Chalmers (drawn by K. Lowry)
9:09.0,,,25-27,1,K. Lowry makes free throw 1 of 2
9:09.0,,,25-28,1,K. Lowry makes free throw 2 of 2
9:00.0,,,25-28,,Violation by B. Biyombo (def goaltending)
9:00.0,M. Chalmers makes 2-pt shot from 1 ft,2,27-28,,
8:53.0,Personal foul by M. Chalmers (drawn by C. Joseph),,27-28,,
8:53.0,P. Hairston enters the game for M. Chalmers,,27-28,,
8:52.0,Z. Randolph enters the game for J. Green,,27-28,,
8:42.0,,,27-28,,P. Patterson misses 2-pt shot from 10 ft
8:41.0,Defensive rebound by C. Andersen,,27-28,,
8:41.0,,,27-28,,Personal foul by B. Biyombo (drawn by C. Andersen)
8:25.0,Turnover by P. Hairston (lost ball; steal by K. Lowry),,27-28,,
8:06.0,,,27-31,3,P. Patterson makes 3-pt shot from 25 ft (assist by K. Lowry)
7:51.0,,,27-31,,Def 3 sec tech foul by B. Biyombo
7:51.0,M. Conley makes technical free throw,1,28-31,,
7:43.0,L. Stephenson makes 2-pt shot from 15 ft,2,30-31,,
7:29.0,,,30-34,3,K. Lowry makes 3-pt shot from 24 ft (assist by T. Ross)
7:11.0,M. Conley misses 3-pt shot from 23 ft,,30-34,,
7:11.0,,,30-34,,Defensive rebound by B. Biyombo
7:02.0,Loose ball foul by P. Hairston (drawn by B. Biyombo),,30-34,,
6:52.0,,,30-36,2,C. Joseph makes 2-pt shot from 18 ft
6:40.0,Turnover by P. Hairston (offensive foul),,30-36,,
6:40.0,Offensive foul by P. Hairston,,30-36,,
6:40.0,,,30-36,,J. Valanciunas enters the game for B. Biyombo
6:37.0,Technical foul by P. Hairston,,30-36,,
6:37.0,,,30-37,1,K. Lowry makes technical free throw
6:37.0,V. Carter enters the game for P. Hairston,,30-37,,
6:27.0,,,30-37,,K. Lowry misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by C. Andersen,,30-37,,
6:14.0,,,30-37,,D. DeRozan enters the game for C. Joseph
6:14.0,Turnover by Z. Randolph (lost ball; steal by J. Valanciunas),,30-37,,
6:14.0,Jump ball: Z. Randolph vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: Z. Randolph vs. J. Valanciunas (K. Lowry gains possession)
6:02.0,,,30-39,2,K. Lowry makes 2-pt shot from 1 ft
5:57.0,Memphis full timeout,,30-39,,
5:57.0,Official timeout,,30-39,,
5:57.0,,,30-39,,L. Scola enters the game for P. Patterson
5:57.0,M. Barnes enters the game for L. Stephenson,,30-39,,
5:50.0,Z. Randolph misses 2-pt shot from 19 ft,,30-39,,
5:50.0,,,30-39,,Defensive rebound by K. Lowry
5:24.0,,,30-42,3,T. Ross makes 3-pt shot from 24 ft (assist by D. DeRozan)
5:05.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Barnes),2,32-42,,
4:52.0,,,32-42,,T. Ross misses 3-pt shot from 25 ft
