time,San Antonio,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. A. Stoudemire (L. Deng gains possession),,,,Jump ball: L. Aldridge vs. A. Stoudemire (L. Deng gains possession)
11:40.0,,,0-2,2,G. Dragic makes 2-pt shot from 3 ft (assist by A. Stoudemire)
11:13.0,D. Green misses 2-pt shot from 7 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by A. Stoudemire
10:55.0,,,0-2,,C. Bosh misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by K. Leonard,,0-2,,
10:48.0,K. Leonard makes 2-pt shot from 1 ft,2,2-2,,
10:24.0,,,2-2,,C. Bosh misses 2-pt shot from 12 ft
10:23.0,Defensive rebound by L. Aldridge,,2-2,,
10:15.0,T. Parker makes 2-pt shot from 9 ft,2,4-2,,
10:15.0,Shooting foul by G. Dragic (drawn by T. Parker),,4-2,,
10:15.0,T. Parker makes free throw 1 of 1,1,5-2,,
10:00.0,,,5-2,,G. Dragic misses 2-pt shot from 1 ft (block by D. West)
9:58.0,Defensive rebound by L. Aldridge,,5-2,,
9:52.0,T. Parker misses 2-pt shot from 1 ft,,5-2,,
9:51.0,,,5-2,,Defensive rebound by A. Stoudemire
9:44.0,,,5-2,,Turnover by C. Bosh (lost ball)
9:33.0,L. Aldridge makes 2-pt shot at rim (assist by D. West),2,7-2,,
9:19.0,,,7-4,2,D. Wade makes 2-pt shot from 13 ft
9:03.0,T. Parker misses 2-pt shot from 14 ft,,7-4,,
9:02.0,,,7-4,,Defensive rebound by C. Bosh
8:50.0,,,7-6,2,C. Bosh makes 2-pt shot from 12 ft (assist by G. Dragic)
8:26.0,L. Aldridge misses 2-pt shot from 3 ft,,7-6,,
8:25.0,,,7-6,,Defensive rebound by A. Stoudemire
8:20.0,,,7-6,,G. Dragic misses 2-pt shot from 14 ft
8:19.0,Defensive rebound by L. Aldridge,,7-6,,
8:09.0,T. Parker misses 2-pt shot from 1 ft (block by A. Stoudemire),,7-6,,
