time,Denver,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. A. Len (E. Bledsoe gains possession),,,,Jump ball: K. Faried vs. A. Len (E. Bledsoe gains possession)
11:46.0,,,0-0,,Offensive foul by A. Len
11:46.0,,,0-0,,Turnover by A. Len (offensive foul)
11:34.0,R. Foye makes 3-pt shot from 24 ft (assist by M. Miller),3,3-0,,
11:07.0,,,3-0,,T. Warren misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by M. Miller,,3-0,,
10:55.0,G. Harris misses 2-pt shot from 16 ft,,3-0,,
10:53.0,Offensive rebound by Team,,3-0,,
10:47.0,K. Faried makes 2-pt shot at rim (assist by R. Foye),2,5-0,,
10:35.0,,,5-0,,J. Leuer misses 2-pt shot from 16 ft
10:34.0,Defensive rebound by K. Papanikolaou,,5-0,,
10:23.0,Turnover by K. Faried (lost ball; steal by T. Warren),,5-0,,
10:18.0,,,5-0,,T. Warren misses 2-pt shot at rim
10:16.0,,,5-0,,Offensive rebound by J. Leuer
10:16.0,,,5-2,2,J. Leuer makes 2-pt shot at rim
10:05.0,M. Miller misses 3-pt shot from 25 ft,,5-2,,
10:03.0,,,5-2,,Defensive rebound by E. Bledsoe
9:57.0,,,5-2,,E. Bledsoe misses 2-pt shot from 17 ft
9:54.0,Defensive rebound by M. Miller,,5-2,,
9:34.0,R. Foye makes 3-pt shot from 25 ft (assist by M. Miller),3,8-2,,
9:18.0,,,8-2,,T. Warren misses 2-pt shot from 9 ft
9:16.0,Defensive rebound by Team,,8-2,,
9:01.0,G. Harris misses 2-pt shot from 18 ft,,8-2,,
8:59.0,,,8-2,,Defensive rebound by J. Leuer
8:53.0,,,8-2,,J. Leuer misses 2-pt shot from 16 ft
8:51.0,Defensive rebound by K. Faried,,8-2,,
8:36.0,R. Foye misses 2-pt shot from 16 ft,,8-2,,
8:33.0,,,8-2,,Defensive rebound by A. Len
8:12.0,,,8-4,2,J. Leuer makes 2-pt shot from 1 ft (assist by E. Bledsoe)
7:55.0,Turnover by K. Papanikolaou (bad pass; steal by A. Len),,8-4,,
7:51.0,,,8-6,2,J. Leuer makes 2-pt shot from 1 ft (assist by B. Knight)
7:30.0,R. Foye misses 3-pt shot from 24 ft,,8-6,,
7:28.0,,,8-6,,Defensive rebound by J. Leuer
7:24.0,,,8-6,,E. Bledsoe misses 2-pt shot from 19 ft
7:19.0,Defensive rebound by R. Foye,,8-6,,
7:05.0,G. Harris misses 2-pt shot from 18 ft,,8-6,,
7:03.0,Offensive rebound by G. Harris,,8-6,,
6:57.0,M. Miller misses 3-pt shot from 24 ft,,8-6,,
6:55.0,,,8-6,,Defensive rebound by T. Warren
6:50.0,,,8-6,,Turnover by E. Bledsoe (bad pass; steal by K. Papanikolaou)
6:42.0,G. Harris misses 2-pt shot from 10 ft,,8-6,,
6:39.0,,,8-6,,Defensive rebound by A. Len
6:35.0,,,8-8,2,J. Leuer makes 2-pt shot at rim (assist by E. Bledsoe)
6:33.0,Denver full timeout,,8-8,,
6:15.0,G. Harris misses 3-pt shot from 24 ft,,8-8,,
6:13.0,Offensive rebound by M. Miller,,8-8,,
6:03.0,Turnover by M. Miller (bad pass; steal by E. Bledsoe),,8-8,,
5:59.0,,,8-8,,Offensive charge foul by J. Leuer
5:59.0,,,8-8,,Turnover by J. Leuer (offensive foul)
5:51.0,R. Foye makes 3-pt shot from 25 ft,3,11-8,,
5:42.0,,,11-8,,E. Bledsoe misses 2-pt shot from 2 ft (block by K. Faried)
5:40.0,Defensive rebound by Team,,11-8,,
5:21.0,K. Papanikolaou makes 3-pt shot from 22 ft (assist by R. Foye),3,14-8,,
5:07.0,,,14-8,,J. Leuer misses 2-pt shot from 8 ft
5:04.0,Defensive rebound by M. Miller,,14-8,,
5:02.0,G. Harris makes 2-pt shot at rim (assist by M. Miller),2,16-8,,
4:49.0,Personal foul by K. Faried (drawn by A. Len),,16-8,,
4:49.0,D. Arthur enters the game for M. Miller,,16-8,,
4:49.0,,,16-8,,T. Chandler enters the game for A. Len
4:49.0,,,16-8,,M. Teletovic enters the game for J. Leuer
4:49.0,N. Jokic enters the game for K. Faried,,16-8,,
4:38.0,,,16-10,2,B. Knight makes 2-pt shot from 20 ft
4:21.0,Turnover by R. Foye (bad pass),,16-10,,
4:21.0,,,16-10,,A. Goodwin enters the game for E. Bledsoe
4:04.0,,,16-12,2,B. Knight makes 2-pt shot from 4 ft
3:55.0,R. Foye misses 3-pt shot from 26 ft,,16-12,,
3:53.0,Offensive rebound by K. Papanikolaou,,16-12,,
3:41.0,D. Arthur makes 2-pt shot from 18 ft (assist by G. Harris),2,18-12,,
3:26.0,,,18-12,,Turnover by M. Teletovic (bad pass; steal by N. Jokic)
3:18.0,N. Jokic makes 2-pt shot from 3 ft (assist by R. Foye),2,20-12,,
3:05.0,,,20-14,2,B. Knight makes 2-pt shot from 20 ft
2:48.0,Turnover by N. Jokic (bad pass; steal by T. Warren),,20-14,,
2:44.0,,,20-16,2,A. Goodwin makes 2-pt shot at rim (assist by T. Warren)
2:29.0,K. Papanikolaou misses 2-pt shot from 4 ft (block by T. Chandler),,20-16,,
2:27.0,,,20-16,,Defensive rebound by T. Chandler
2:24.0,,,20-18,2,A. Goodwin makes 2-pt shot at rim (assist by B. Knight)
2:23.0,Denver full timeout,,20-18,,
2:23.0,,,20-18,,Phoenix full timeout
2:23.0,W. Barton enters the game for R. Foye,,20-18,,
2:11.0,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic),2,22-18,,
1:57.0,,,22-18,,Turnover by B. Knight (bad pass; steal by D. Arthur)
1:52.0,D. Arthur makes 2-pt shot from 18 ft,2,24-18,,
1:40.0,,,24-21,3,B. Knight makes 3-pt shot from 25 ft
1:21.0,D. Arthur makes 2-pt shot from 17 ft (assist by G. Harris),2,26-21,,
1:14.0,Personal foul by G. Harris (drawn by B. Knight),,26-21,,
1:07.0,,,26-21,,M. Teletovic misses 2-pt shot from 16 ft (block by D. Arthur)
1:04.0,Defensive rebound by D. Arthur,,26-21,,
1:00.0,W. Barton makes 2-pt shot from 19 ft,2,28-21,,
0:48.0,,,28-21,,T. Chandler misses 2-pt shot at rim
0:43.0,Defensive rebound by N. Jokic,,28-21,,
0:40.0,D. Arthur makes 3-pt shot from 22 ft (assist by G. Harris),3,31-21,,
0:33.0,,,31-21,,B. Knight misses 2-pt shot from 21 ft
0:30.0,Defensive rebound by N. Jokic,,31-21,,
0:12.0,N. Jokic makes 2-pt shot from 1 ft (assist by W. Barton),2,33-21,,
0:01.0,,,33-21,,A. Goodwin misses 2-pt shot from 4 ft
0:00.0,Defensive rebound by D. Arthur,,33-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,N. Jokic misses 3-pt shot from 24 ft,,33-21,,
11:33.0,,,33-21,,Defensive rebound by E. Bledsoe
11:26.0,,,33-21,,M. Morris misses 2-pt shot from 17 ft
11:24.0,Defensive rebound by K. Papanikolaou,,33-21,,
11:11.0,R. Foye misses 3-pt shot from 24 ft,,33-21,,
11:09.0,Offensive rebound by N. Jokic,,33-21,,
10:59.0,N. Jokic makes 3-pt shot from 23 ft (assist by W. Barton),3,36-21,,
10:41.0,,,36-21,,Turnover by M. Morris (bad pass)
10:31.0,K. Papanikolaou misses 3-pt shot from 25 ft,,36-21,,
10:29.0,,,36-21,,Defensive rebound by E. Bledsoe
