time,Milwaukee,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. M. Plumlee (G. Antetokounmpo gains possession),,,,Jump ball: N. Noel vs. M. Plumlee (G. Antetokounmpo gains possession)
11:34.0,K. Middleton makes 2-pt shot from 21 ft (assist by M. Plumlee),2,2-0,,
11:22.0,,,2-0,,R. Covington misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by M. Plumlee,,2-0,,
11:16.0,Shooting foul by R. Covington (drawn by G. Antetokounmpo),,2-0,,
11:16.0,G. Antetokounmpo makes free throw 1 of 2,1,3-0,,
11:16.0,G. Antetokounmpo makes free throw 2 of 2,1,4-0,,
11:06.0,,,4-0,,J. Grant misses 2-pt shot from 5 ft
11:05.0,,,4-0,,Offensive rebound by J. Grant
11:03.0,,,4-2,2,J. Grant makes 2-pt shot from 1 ft
10:52.0,T. Ennis makes 2-pt shot from 1 ft,2,6-2,,
10:40.0,,,6-2,,Turnover by N. Noel (lost ball; steal by K. Middleton)
10:34.0,Turnover by J. Parker (lost ball; steal by I. Smith),,6-2,,
10:27.0,,,6-2,,Turnover by R. Covington (lost ball; steal by G. Antetokounmpo)
10:19.0,J. Parker makes 2-pt shot from 5 ft (assist by K. Middleton),2,8-2,,
10:05.0,,,8-2,,R. Covington misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by M. Plumlee,,8-2,,
9:55.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,8-2,,
9:53.0,,,8-2,,Defensive rebound by N. Noel
9:37.0,,,8-2,,N. Stauskas misses 3-pt shot from 23 ft
9:35.0,Defensive rebound by T. Ennis,,8-2,,
9:28.0,M. Plumlee makes 2-pt shot from 2 ft (assist by K. Middleton),2,10-2,,
9:28.0,,,10-2,,Philadelphia full timeout
9:15.0,,,10-2,,R. Covington misses 3-pt shot from 23 ft
9:13.0,Defensive rebound by J. Parker,,10-2,,
8:57.0,Turnover by T. Ennis (lost ball; steal by I. Smith),,10-2,,
8:31.0,,,10-2,,R. Covington misses 3-pt shot from 30 ft
8:29.0,Defensive rebound by J. Parker,,10-2,,
8:23.0,Shooting foul by I. Smith (drawn by K. Middleton),,10-2,,
8:23.0,K. Middleton makes free throw 1 of 2,1,11-2,,
8:23.0,K. Middleton makes free throw 2 of 2,1,12-2,,
8:12.0,,,12-4,2,J. Grant makes 2-pt shot at rim
8:12.0,,,12-4,,Shooting foul by J. Parker (drawn by J. Grant)
8:12.0,,,12-4,,J. Grant misses free throw 1 of 1
8:11.0,Defensive rebound by T. Ennis,,12-4,,
8:01.0,G. Antetokounmpo misses 2-pt shot from 8 ft (block by J. Grant),,12-4,,
8:01.0,Offensive rebound by Team,,12-4,,
7:54.0,K. Middleton misses 2-pt shot from 9 ft,,12-4,,
7:53.0,,,12-4,,Defensive rebound by I. Smith
7:46.0,,,12-4,,Turnover by I. Smith (lost ball; steal by K. Middleton)
7:40.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,14-4,,
7:21.0,,,14-4,,N. Stauskas misses 3-pt shot from 24 ft
7:20.0,Defensive rebound by M. Plumlee,,14-4,,
6:59.0,M. Plumlee misses 2-pt shot from 8 ft,,14-4,,
6:58.0,,,14-4,,Defensive rebound by N. Noel
6:50.0,,,14-6,2,J. Grant makes 2-pt shot at rim (assist by I. Smith)
6:25.0,K. Middleton makes 3-pt shot from 24 ft (assist by T. Ennis),3,17-6,,
6:06.0,,,17-6,,Shooting foul by K. Middleton (drawn by J. Grant)
6:06.0,,,17-7,1,J. Grant makes free throw 1 of 2
6:06.0,J. Henson enters the game for M. Plumlee,,17-7,,
6:06.0,R. Vaughn enters the game for K. Middleton,,17-7,,
6:06.0,,,17-7,,H. Thompson enters the game for R. Covington
6:06.0,,,17-8,1,J. Grant makes free throw 2 of 2
5:50.0,J. Parker misses 2-pt shot from 2 ft,,17-8,,
5:50.0,,,17-8,,Defensive rebound by Team
5:50.0,Loose ball foul by J. Henson,,17-8,,
5:32.0,,,17-8,,Turnover by I. Smith (lost ball; steal by G. Antetokounmpo)
5:29.0,Shooting foul by H. Thompson (drawn by G. Antetokounmpo),,17-8,,
5:29.0,G. Antetokounmpo misses free throw 1 of 2,,17-8,,
5:29.0,Offensive rebound by Team,,17-8,,
5:29.0,G. Antetokounmpo makes free throw 2 of 2,1,18-8,,
5:19.0,,,18-8,,Shooting foul by J. Parker (drawn by J. Grant)
5:19.0,,,18-9,1,J. Grant makes free throw 1 of 2
5:19.0,J. O'Bryant enters the game for J. Parker,,18-9,,
5:19.0,,,18-10,1,J. Grant makes free throw 2 of 2
5:00.0,J. Henson misses 2-pt shot from 6 ft,,18-10,,
4:58.0,,,18-10,,Defensive rebound by J. Grant
4:38.0,,,18-10,,N. Stauskas misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by G. Antetokounmpo,,18-10,,
4:30.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by J. Grant),,18-10,,
4:28.0,,,18-10,,Defensive rebound by J. Grant
4:23.0,,,18-10,,H. Thompson misses 3-pt shot from 27 ft
4:21.0,,,18-10,,Offensive rebound by H. Thompson
4:19.0,,,18-12,2,N. Noel makes 2-pt shot at rim (assist by H. Thompson)
4:05.0,Turnover by J. Henson (offensive foul),,18-12,,
4:05.0,Offensive foul by J. Henson,,18-12,,
4:05.0,,,18-12,,T. McConnell enters the game for N. Stauskas
3:51.0,,,18-15,3,H. Thompson makes 3-pt shot from 24 ft (assist by T. McConnell)
3:49.0,Milwaukee full timeout,,18-15,,
3:49.0,G. Vasquez enters the game for T. Ennis,,18-15,,
3:49.0,,,18-15,,E. Brand enters the game for J. Grant
3:49.0,,,18-15,,R. Covington enters the game for I. Smith
3:36.0,,,18-15,,Personal foul by E. Brand
3:29.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson),2,20-15,,
3:16.0,,,20-15,,Turnover by T. McConnell (traveling)
2:59.0,G. Vasquez misses 3-pt shot from 25 ft,,20-15,,
2:57.0,,,20-15,,Defensive rebound by R. Covington
2:44.0,,,20-15,,H. Thompson misses 3-pt shot from 23 ft
2:41.0,Defensive rebound by J. Henson,,20-15,,
2:32.0,R. Vaughn misses 3-pt shot from 24 ft,,20-15,,
