time,New Orleans,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. Z. Pachulia (E. Gordon gains possession),,,,Jump ball: A. Davis vs. Z. Pachulia (E. Gordon gains possession)
11:40.0,A. Davis makes 2-pt shot from 8 ft,2,2-0,,
11:25.0,,,2-0,,Turnover by Z. Pachulia (lost ball; steal by A. Davis)
11:12.0,Turnover by A. Davis (lost ball; steal by Z. Pachulia),,2-0,,
11:05.0,Personal block foul by A. Davis (drawn by W. Matthews),,2-0,,
11:01.0,,,2-0,,Shooting foul by O. Asik (drawn by Z. Pachulia)
11:01.0,,,2-1,1,Z. Pachulia makes free throw 1 of 2
11:01.0,,,2-2,1,Z. Pachulia makes free throw 2 of 2
10:51.0,N. Cole makes 2-pt shot from 17 ft,2,4-2,,
10:42.0,,,4-4,2,J. Barea makes 2-pt shot from 2 ft
10:28.0,T. Douglas enters the game for N. Cole,,4-4,,
10:24.0,A. Davis misses 2-pt shot from 21 ft,,4-4,,
10:24.0,,,4-4,,Defensive rebound by J. Barea
10:10.0,Shooting block foul by T. Douglas (drawn by D. Nowitzki),,4-4,,
10:10.0,,,4-4,,D. Nowitzki misses free throw 1 of 2
10:10.0,,,4-4,,Offensive rebound by Team
10:10.0,,,4-5,1,D. Nowitzki makes free throw 2 of 2
9:52.0,Shooting foul by C. Parsons (drawn by E. Gordon),,4-5,,
9:52.0,E. Gordon makes 2-pt shot from 1 ft,2,6-5,,
9:52.0,E. Gordon makes free throw 1 of 1,1,7-5,,
9:28.0,,,7-5,,Z. Pachulia misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by A. Davis,,7-5,,
9:20.0,A. Davis makes 2-pt shot from 5 ft (assist by T. Douglas),2,9-5,,
8:55.0,,,9-5,,J. Barea misses 2-pt shot from 6 ft
8:53.0,,,9-5,,Offensive rebound by Z. Pachulia
8:53.0,,,9-5,,Z. Pachulia misses 2-pt shot at rim
8:50.0,Defensive rebound by E. Gordon,,9-5,,
8:50.0,E. Gordon makes 2-pt shot from 16 ft,2,11-5,,
8:50.0,Shooting foul by W. Matthews (drawn by E. Gordon),,11-5,,
8:50.0,N. Cole enters the game for T. Douglas,,11-5,,
8:50.0,E. Gordon makes free throw 1 of 1,1,12-5,,
8:31.0,,,12-5,,Shooting foul by N. Cole (drawn by D. Nowitzki)
8:31.0,,,12-6,1,D. Nowitzki makes free throw 1 of 2
8:31.0,,,12-7,1,D. Nowitzki makes free throw 2 of 2
8:19.0,Turnover by E. Gordon (lost ball; steal by W. Matthews),,12-7,,
8:14.0,Violation by A. Davis (kicked ball),,12-7,,
8:03.0,,,12-7,,C. Parsons misses 2-pt shot from 19 ft
8:01.0,Defensive rebound by A. Davis,,12-7,,
7:47.0,E. Gordon misses 2-pt shot from 16 ft,,12-7,,
7:46.0,,,12-7,,Defensive rebound by Z. Pachulia
7:41.0,,,12-7,,W. Matthews misses 3-pt shot from 24 ft
7:38.0,Defensive rebound by E. Gordon,,12-7,,
7:29.0,E. Gordon misses 3-pt shot from 24 ft,,12-7,,
7:28.0,,,12-7,,Defensive rebound by D. Nowitzki
7:28.0,Loose ball foul by O. Asik (drawn by D. Nowitzki),,12-7,,
7:28.0,,,12-8,1,D. Nowitzki makes free throw 1 of 2
7:28.0,K. Perkins enters the game for O. Asik,,12-8,,
7:28.0,,,12-8,,D. Nowitzki misses free throw 2 of 2
7:28.0,Defensive rebound by N. Cole,,12-8,,
7:19.0,Offensive foul by K. Perkins,,12-8,,
7:19.0,Turnover by K. Perkins (offensive foul),,12-8,,
6:57.0,,,12-10,2,Z. Pachulia makes 2-pt shot from 9 ft (assist by J. Barea)
6:46.0,Turnover by N. Cole (bad pass; steal by Z. Pachulia),,12-10,,
