time,LA Lakers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. D. Howard (D. Russell gains possession),,,,Jump ball: R. Hibbert vs. D. Howard (D. Russell gains possession)
11:39.0,R. Hibbert makes 2-pt shot from 16 ft (assist by L. Nance),2,2-0,,
11:17.0,,,2-0,,T. Ariza misses 3-pt shot from 24 ft
11:16.0,,,2-0,,Offensive rebound by D. Howard
11:12.0,,,2-2,2,D. Howard makes 2-pt shot from 6 ft
11:02.0,L. Nance misses 2-pt shot from 15 ft,,2-2,,
11:01.0,,,2-2,,Defensive rebound by T. Ariza
10:36.0,,,2-2,,T. Ariza misses 3-pt shot from 22 ft
10:35.0,Defensive rebound by L. Williams,,2-2,,
10:28.0,Turnover by L. Williams (bad pass; steal by C. Capela),,2-2,,
10:22.0,,,2-4,2,J. Harden makes 2-pt shot at rim
10:03.0,D. Russell makes 3-pt shot from 22 ft (assist by K. Bryant),3,5-4,,
9:50.0,,,5-4,,P. Beverley misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by L. Nance,,5-4,,
9:39.0,L. Nance misses 2-pt shot from 4 ft (block by D. Howard),,5-4,,
9:37.0,,,5-4,,Defensive rebound by C. Capela
9:31.0,,,5-6,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
9:09.0,D. Russell makes 2-pt shot from 15 ft (assist by K. Bryant),2,7-6,,
9:06.0,,,7-6,,Houston full timeout
8:42.0,,,7-6,,P. Beverley misses 3-pt shot from 23 ft
8:41.0,Defensive rebound by K. Bryant,,7-6,,
8:26.0,L. Nance makes 2-pt shot at rim (assist by K. Bryant),2,9-6,,
8:14.0,,,9-9,3,J. Harden makes 3-pt shot from 24 ft (assist by T. Ariza)
7:49.0,D. Russell makes 2-pt shot from 16 ft,2,11-9,,
7:34.0,,,11-9,,Turnover by T. Ariza (bad pass; steal by D. Russell)
7:27.0,L. Williams misses 3-pt shot from 24 ft,,11-9,,
7:26.0,,,11-9,,Defensive rebound by P. Beverley
7:14.0,,,11-11,2,D. Howard makes 2-pt shot at rim (assist by C. Capela)
7:00.0,,,11-11,,Personal foul by T. Ariza (drawn by K. Bryant)
7:00.0,,,11-11,,T. Jones enters the game for C. Capela
6:44.0,R. Hibbert makes 2-pt shot from 3 ft (assist by L. Williams),2,13-11,,
6:32.0,,,13-13,2,J. Harden makes 2-pt shot from 13 ft (assist by D. Howard)
6:26.0,Turnover by D. Russell (bad pass; steal by J. Harden),,13-13,,
6:19.0,,,13-13,,T. Jones misses 2-pt shot from 2 ft
6:19.0,Defensive rebound by R. Hibbert,,13-13,,
6:14.0,Shooting foul by P. Beverley (drawn by L. Nance),,13-13,,
6:14.0,L. Nance makes free throw 1 of 2,1,14-13,,
6:14.0,L. Nance makes free throw 2 of 2,1,15-13,,
5:50.0,,,15-13,,P. Beverley misses 3-pt shot from 24 ft
5:50.0,,,15-13,,Offensive rebound by D. Howard
5:45.0,,,15-16,3,J. Harden makes 3-pt shot from 24 ft (assist by D. Howard)
5:30.0,Shooting foul by J. Harden (drawn by L. Williams),,15-16,,
5:30.0,L. Williams makes free throw 1 of 3,1,16-16,,
5:30.0,L. Williams makes free throw 2 of 3,1,17-16,,
5:30.0,,,17-16,,T. Lawson enters the game for P. Beverley
