time,Orlando,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: D. Jordan vs. N. Vucevic (C. Frye gains possession)
11:46.0,T. Harris misses 2-pt shot from 17 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by B. Griffin
11:30.0,,,0-2,2,D. Jordan makes 2-pt shot from 3 ft (assist by B. Griffin)
11:13.0,E. Payton makes 2-pt shot from 5 ft,2,2-2,,
11:00.0,,,2-2,,Turnover by A. Rivers (bad pass; steal by E. Fournier)
10:54.0,E. Fournier misses 2-pt shot from 2 ft,,2-2,,
10:53.0,Offensive rebound by T. Harris,,2-2,,
10:51.0,T. Harris makes 2-pt shot at rim,2,4-2,,
10:35.0,,,4-4,2,J. Crawford makes 2-pt shot from 15 ft (assist by B. Griffin)
10:16.0,N. Vucevic misses 2-pt shot from 9 ft,,4-4,,
10:14.0,Offensive rebound by T. Harris,,4-4,,
10:10.0,T. Harris misses 2-pt shot from 1 ft,,4-4,,
10:09.0,Offensive rebound by N. Vucevic,,4-4,,
10:05.0,T. Harris makes 2-pt shot from 3 ft (assist by N. Vucevic),2,6-4,,
9:51.0,,,6-6,2,B. Griffin makes 2-pt shot from 15 ft (assist by A. Rivers)
9:41.0,C. Frye misses 3-pt shot from 24 ft,,6-6,,
9:40.0,,,6-6,,Defensive rebound by B. Griffin
9:29.0,,,6-8,2,B. Griffin makes 2-pt shot at rim
9:16.0,,,6-8,,Personal foul by J. Crawford (drawn by E. Fournier)
9:11.0,Shooting foul by J. Crawford (drawn by E. Fournier),,6-8,,
9:11.0,E. Fournier makes free throw 1 of 2,1,7-8,,
9:11.0,,,7-8,,L. Stephenson enters the game for J. Crawford
9:11.0,E. Fournier makes free throw 2 of 2,1,8-8,,
8:57.0,,,8-8,,B. Griffin misses 2-pt shot from 18 ft
8:57.0,Defensive rebound by T. Harris,,8-8,,
8:39.0,N. Vucevic misses 2-pt shot from 18 ft,,8-8,,
8:39.0,,,8-8,,Defensive rebound by D. Jordan
8:24.0,,,8-8,,Turnover by L. Mbah a Moute (lost ball; steal by E. Payton)
8:18.0,T. Harris makes 2-pt shot from 2 ft (assist by E. Payton),2,10-8,,
8:08.0,,,10-8,,L. Stephenson misses 2-pt shot from 15 ft
8:07.0,Defensive rebound by T. Harris,,10-8,,
7:56.0,N. Vucevic misses 2-pt shot from 20 ft,,10-8,,
7:56.0,,,10-8,,Defensive rebound by A. Rivers
7:43.0,,,10-8,,D. Jordan misses 2-pt shot from 4 ft
7:43.0,Defensive rebound by Team,,10-8,,
7:43.0,,,10-8,,W. Johnson enters the game for L. Mbah a Moute
7:31.0,C. Frye misses 3-pt shot from 25 ft,,10-8,,
7:30.0,,,10-8,,Defensive rebound by D. Jordan
7:12.0,,,10-11,3,W. Johnson makes 3-pt shot from 26 ft (assist by B. Griffin)
7:04.0,Turnover by E. Fournier (lost ball; steal by L. Stephenson),,10-11,,
6:53.0,Def 3 sec tech foul by N. Vucevic,,10-11,,
6:53.0,,,10-12,1,W. Johnson makes technical free throw
6:44.0,,,10-14,2,A. Rivers makes 2-pt shot from 3 ft
6:30.0,E. Payton misses 2-pt shot from 20 ft,,10-14,,
6:29.0,,,10-14,,Defensive rebound by B. Griffin
6:22.0,,,10-14,,Shooting foul by N. Vucevic (drawn by B. Griffin)
6:22.0,,,10-15,1,B. Griffin makes free throw 1 of 2
6:22.0,V. Oladipo enters the game for E. Fournier,,10-15,,
6:22.0,J. Smith enters the game for N. Vucevic,,10-15,,
6:22.0,A. Nicholson enters the game for C. Frye,,10-15,,
6:22.0,,,10-16,1,B. Griffin makes free throw 2 of 2
6:07.0,J. Smith makes 2-pt shot from 14 ft (assist by E. Payton),2,12-16,,
5:56.0,,,12-16,,A. Rivers misses 2-pt shot from 2 ft (block by V. Oladipo)
5:55.0,,,12-16,,Offensive rebound by W. Johnson
5:51.0,,,12-16,,D. Jordan misses 2-pt shot from 1 ft
5:47.0,Defensive rebound by J. Smith,,12-16,,
5:41.0,J. Smith makes 2-pt shot from 18 ft (assist by V. Oladipo),2,14-16,,
5:13.0,,,14-19,3,W. Johnson makes 3-pt shot from 24 ft (assist by A. Rivers)
5:00.0,Turnover by V. Oladipo (lost ball),,14-19,,
5:00.0,,,14-19,,LA Clippers full timeout
5:00.0,A. Gordon enters the game for T. Harris,,14-19,,
4:46.0,,,14-19,,Shooting foul by J. Smith (drawn by B. Griffin)
4:46.0,,,14-20,1,B. Griffin makes free throw 1 of 2
4:46.0,,,14-20,,B. Griffin misses free throw 2 of 2
4:44.0,Defensive rebound by A. Gordon,,14-20,,
4:31.0,V. Oladipo makes 2-pt shot from 18 ft (assist by J. Smith),2,16-20,,
4:19.0,,,16-20,,Shooting foul by V. Oladipo (drawn by W. Johnson)
