time,Indiana,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. I. Mahinmi (T. Young gains possession),,,,Jump ball: B. Lopez vs. I. Mahinmi (T. Young gains possession)
11:45.0,,,0-2,2,S. Larkin makes 2-pt shot from 2 ft (assist by B. Lopez)
11:28.0,Shooting foul by B. Lopez (drawn by I. Mahinmi),,0-2,,
11:28.0,I. Mahinmi makes free throw 1 of 2,1,1-2,,
11:28.0,I. Mahinmi makes free throw 2 of 2,1,2-2,,
11:14.0,,,2-2,,B. Bogdanovic misses 2-pt shot from 2 ft
11:13.0,Defensive rebound by I. Mahinmi,,2-2,,
11:04.0,M. Turner makes 2-pt shot from 1 ft (assist by P. George),2,4-2,,
10:55.0,,,4-4,2,T. Young makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
10:38.0,G. Hill makes 3-pt shot from 22 ft (assist by I. Mahinmi),3,7-4,,
10:25.0,,,7-7,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Karasev)
10:05.0,I. Mahinmi makes 2-pt shot at rim (assist by M. Turner),2,9-7,,
9:39.0,,,9-7,,Turnover by Team (shot clock)
9:21.0,I. Mahinmi misses 2-pt shot from 4 ft,,9-7,,
9:20.0,,,9-7,,Defensive rebound by B. Lopez
9:03.0,,,9-9,2,S. Larkin makes 2-pt shot from 15 ft
8:51.0,Offensive foul by G. Hill,,9-9,,
8:51.0,Turnover by G. Hill (offensive foul),,9-9,,
8:40.0,,,9-11,2,T. Young makes 2-pt shot from 7 ft (assist by S. Larkin)
8:24.0,P. George makes 3-pt shot from 25 ft (assist by M. Ellis),3,12-11,,
8:16.0,,,12-11,,B. Lopez misses 2-pt shot from 1 ft
8:15.0,,,12-11,,Offensive rebound by S. Karasev
8:13.0,,,12-13,2,S. Karasev makes 2-pt shot from 2 ft
8:02.0,M. Turner misses 2-pt shot from 13 ft,,12-13,,
8:01.0,,,12-13,,Defensive rebound by B. Lopez
7:51.0,,,12-13,,S. Karasev misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by G. Hill,,12-13,,
7:44.0,Turnover by G. Hill (lost ball; steal by S. Karasev),,12-13,,
7:38.0,,,12-13,,S. Larkin misses 2-pt shot from 1 ft
7:37.0,Defensive rebound by M. Turner,,12-13,,
7:32.0,P. George makes 2-pt shot from 1 ft,2,14-13,,
7:13.0,,,14-13,,T. Young misses 2-pt shot from 5 ft
7:12.0,,,14-13,,Offensive rebound by T. Young
7:11.0,,,14-15,2,T. Young makes 2-pt shot from 2 ft
7:05.0,Indiana full timeout,,14-15,,
6:59.0,P. George misses 3-pt shot from 25 ft,,14-15,,
6:58.0,,,14-15,,Defensive rebound by Team
6:47.0,,,14-15,,B. Bogdanovic misses 3-pt shot from 22 ft
6:46.0,Defensive rebound by G. Hill,,14-15,,
6:37.0,G. Hill misses 2-pt shot from 15 ft,,14-15,,
6:36.0,Offensive rebound by P. George,,14-15,,
