time,Oklahoma City,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Jordan (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. D. Jordan (R. Westbrook gains possession)
11:42.0,S. Adams misses 2-pt shot at rim,,0-0,,
11:41.0,,,0-0,,Defensive rebound by C. Paul
11:32.0,,,0-0,,C. Paul misses 2-pt shot from 10 ft
11:29.0,Defensive rebound by S. Adams,,0-0,,
11:23.0,S. Ibaka misses 2-pt shot from 18 ft,,0-0,,
11:20.0,Offensive rebound by S. Adams,,0-0,,
11:11.0,K. Durant misses 3-pt shot from 25 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by J. Redick
11:06.0,,,0-0,,Turnover by J. Redick (bad pass; steal by A. Roberson)
11:01.0,A. Roberson makes 2-pt shot at rim,2,2-0,,
10:49.0,,,2-0,,J. Redick misses 2-pt shot from 20 ft
10:49.0,Defensive rebound by S. Adams,,2-0,,
10:37.0,S. Adams misses 2-pt shot from 1 ft,,2-0,,
10:37.0,Offensive rebound by Team,,2-0,,
10:24.0,K. Durant misses 3-pt shot from 25 ft,,2-0,,
10:24.0,,,2-0,,Defensive rebound by D. Jordan
10:14.0,Def 3 sec tech foul by S. Ibaka,,2-0,,
10:14.0,,,2-1,1,C. Paul makes technical free throw
10:09.0,,,2-1,,J. Redick misses 3-pt shot from 24 ft
10:08.0,,,2-1,,Offensive rebound by C. Paul
10:02.0,,,2-1,,C. Paul misses 2-pt shot from 8 ft
10:02.0,,,2-1,,Offensive rebound by Team
10:02.0,Loose ball foul by S. Adams (drawn by D. Jordan),,2-1,,
9:50.0,,,2-4,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
9:30.0,S. Ibaka makes 2-pt shot from 18 ft (assist by K. Durant),2,4-4,,
9:12.0,,,4-6,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
8:56.0,R. Westbrook makes 2-pt shot from 11 ft,2,6-6,,
8:56.0,,,6-6,,Violation by D. Jordan (def goaltending)
8:42.0,,,6-6,,B. Griffin misses 2-pt shot from 17 ft
8:42.0,Defensive rebound by K. Durant,,6-6,,
8:26.0,K. Durant makes 2-pt shot from 11 ft,2,8-6,,
8:07.0,,,8-6,,B. Griffin misses 2-pt shot from 5 ft
8:05.0,,,8-6,,Offensive rebound by L. Mbah a Moute
7:56.0,,,8-6,,Turnover by C. Paul (bad pass; steal by S. Ibaka)
7:50.0,R. Westbrook misses 2-pt shot from 1 ft,,8-6,,
7:50.0,,,8-6,,Defensive rebound by B. Griffin
7:50.0,Personal foul by R. Westbrook (drawn by B. Griffin),,8-6,,
7:35.0,,,8-8,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
7:14.0,K. Durant misses 2-pt shot from 9 ft,,8-8,,
7:13.0,,,8-8,,Defensive rebound by J. Redick
7:05.0,,,8-10,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul)
6:45.0,R. Westbrook misses 2-pt shot from 17 ft,,8-10,,
6:44.0,,,8-10,,Defensive rebound by J. Redick
6:35.0,,,8-12,2,C. Paul makes 2-pt shot from 6 ft
6:20.0,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook),2,10-12,,
6:05.0,,,10-12,,J. Redick misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by K. Durant,,10-12,,
5:50.0,R. Westbrook misses 2-pt shot from 19 ft,,10-12,,
5:49.0,,,10-12,,Defensive rebound by D. Jordan
5:27.0,,,10-15,3,C. Paul makes 3-pt shot from 24 ft (assist by B. Griffin)
5:20.0,Oklahoma City full timeout,,10-15,,
5:20.0,D. Waiters enters the game for A. Roberson,,10-15,,
5:20.0,E. Kanter enters the game for S. Adams,,10-15,,
5:04.0,E. Kanter misses 2-pt shot from 17 ft,,10-15,,
5:04.0,,,10-15,,Defensive rebound by B. Griffin
4:43.0,,,10-15,,L. Mbah a Moute misses 2-pt shot from 1 ft
4:43.0,Defensive rebound by E. Kanter,,10-15,,
4:39.0,Shooting foul by B. Griffin (drawn by S. Ibaka),,10-15,,
4:39.0,S. Ibaka makes free throw 1 of 2,1,11-15,,
4:39.0,S. Ibaka misses free throw 2 of 2,,11-15,,
4:38.0,,,11-15,,Defensive rebound by L. Mbah a Moute
4:19.0,,,11-17,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
3:55.0,S. Ibaka makes 2-pt shot at rim (assist by D. Waiters),2,13-17,,
3:38.0,,,13-19,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
3:19.0,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook),3,16-19,,
3:04.0,,,16-19,,J. Redick misses 3-pt shot from 24 ft
3:03.0,Defensive rebound by S. Ibaka,,16-19,,
2:59.0,Shooting foul by C. Paul (drawn by R. Westbrook),,16-19,,
2:59.0,,,16-19,,LA Clippers full timeout
2:59.0,,,16-19,,J. Crawford enters the game for J. Redick
2:59.0,R. Westbrook makes free throw 1 of 2,1,17-19,,
2:59.0,R. Westbrook makes free throw 2 of 2,1,18-19,,
2:48.0,Def 3 sec tech foul by E. Kanter,,18-19,,
2:48.0,,,18-20,1,C. Paul makes technical free throw
2:48.0,,,18-20,,C. Aldrich enters the game for D. Jordan
2:48.0,D. Augustin enters the game for R. Westbrook,,18-20,,
2:35.0,,,18-20,,C. Paul misses 2-pt shot from 9 ft
2:35.0,Defensive rebound by S. Ibaka,,18-20,,
2:25.0,Turnover by K. Durant (lost ball; steal by C. Aldrich),,18-20,,
2:23.0,,,18-20,,Shooting foul by S. Ibaka (drawn by C. Paul)
2:23.0,,,18-21,1,C. Paul makes free throw 1 of 2
2:23.0,,,18-22,1,C. Paul makes free throw 2 of 2
2:00.0,S. Ibaka misses 2-pt shot from 1 ft,,18-22,,
2:00.0,,,18-22,,Defensive rebound by C. Aldrich
1:47.0,,,18-22,,B. Griffin misses 2-pt shot from 14 ft
1:46.0,Defensive rebound by S. Ibaka,,18-22,,
1:37.0,K. Durant misses 2-pt shot from 14 ft,,18-22,,
1:36.0,,,18-22,,Defensive rebound by C. Aldrich
1:20.0,,,18-25,3,C. Paul makes 3-pt shot from 25 ft
0:52.0,D. Waiters makes 3-pt shot from 24 ft,3,21-25,,
0:48.0,,,21-25,,B. Griffin misses 2-pt shot from 1 ft
0:48.0,,,21-25,,Offensive rebound by L. Mbah a Moute
0:41.0,,,21-25,,C. Aldrich misses 2-pt shot from 2 ft
0:40.0,Defensive rebound by S. Ibaka,,21-25,,
0:36.0,K. Durant makes 2-pt shot from 10 ft (assist by D. Waiters),2,23-25,,
0:35.0,Shooting foul by J. Crawford (drawn by K. Durant),,23-25,,
0:35.0,N. Collison enters the game for S. Ibaka,,23-25,,
