time,San Antonio,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. J. Nurkic (N. Jokic gains possession),,,,Jump ball: T. Duncan vs. J. Nurkic (N. Jokic gains possession)
11:37.0,,,0-0,,J. Sampson misses 2-pt shot from 4 ft
11:36.0,Defensive rebound by T. Duncan,,0-0,,
11:20.0,Turnover by A. Miller (lost ball; steal by E. Mudiay),,0-0,,
11:08.0,,,0-0,,N. Jokic misses 2-pt shot from 15 ft
11:06.0,Defensive rebound by K. Anderson,,0-0,,
10:53.0,T. Duncan misses 2-pt shot from 16 ft,,0-0,,
10:52.0,,,0-0,,Defensive rebound by N. Jokic
10:42.0,,,0-0,,J. Nurkic misses 2-pt shot from 6 ft
10:41.0,,,0-0,,Offensive rebound by N. Jokic
10:37.0,,,0-0,,N. Jokic misses 2-pt shot from 1 ft
10:37.0,Defensive rebound by D. West,,0-0,,
10:28.0,D. West makes 2-pt shot at rim (assist by K. Anderson),2,2-0,,
10:14.0,,,2-2,2,J. Nurkic makes 2-pt shot from 16 ft (assist by E. Mudiay)
9:58.0,Turnover by T. Duncan (lost ball; steal by J. Nurkic),,2-2,,
9:55.0,,,2-4,2,E. Mudiay makes 2-pt shot from 1 ft
9:55.0,,,2-4,,Shooting foul by A. Miller (drawn by E. Mudiay)
9:55.0,,,2-5,1,E. Mudiay makes free throw 1 of 1
9:42.0,D. West misses 2-pt shot from 20 ft,,2-5,,
9:41.0,,,2-5,,Defensive rebound by J. Sampson
9:23.0,,,2-7,2,E. Mudiay makes 2-pt shot from 18 ft (assist by N. Jokic)
8:57.0,T. Duncan misses 2-pt shot from 3 ft (block by J. Nurkic),,2-7,,
8:55.0,,,2-7,,Defensive rebound by N. Jokic
8:41.0,,,2-7,,E. Mudiay misses 3-pt shot from 26 ft
8:40.0,Defensive rebound by J. Simmons,,2-7,,
8:32.0,Shooting foul by N. Jokic (drawn by D. West),,2-7,,
8:32.0,D. West makes free throw 1 of 2,1,3-7,,
8:32.0,D. West makes free throw 2 of 2,1,4-7,,
8:15.0,,,4-9,2,J. Nurkic makes 2-pt shot from 6 ft
8:04.0,D. West makes 2-pt shot from 2 ft (assist by K. Anderson),2,6-9,,
7:41.0,,,6-9,,G. Harris misses 3-pt shot from 26 ft
7:40.0,,,6-9,,Offensive rebound by N. Jokic
7:33.0,,,6-11,2,J. Sampson makes 2-pt shot from 5 ft
7:15.0,D. West misses 2-pt shot from 20 ft,,6-11,,
7:15.0,,,6-11,,Defensive rebound by G. Harris
7:07.0,,,6-11,,J. Nurkic misses 2-pt shot from 21 ft
7:06.0,Defensive rebound by A. Miller,,6-11,,
6:48.0,D. West misses 2-pt shot from 3 ft,,6-11,,
6:47.0,,,6-11,,Defensive rebound by J. Nurkic
6:42.0,,,6-11,,Turnover by E. Mudiay (lost ball; steal by A. Miller)
6:36.0,K. Anderson misses 2-pt shot from 8 ft,,6-11,,
6:35.0,Offensive rebound by K. Anderson,,6-11,,
6:30.0,K. Anderson misses 2-pt shot from 6 ft,,6-11,,
6:30.0,,,6-11,,Defensive rebound by N. Jokic
6:22.0,,,6-11,,J. Nurkic misses 2-pt shot from 2 ft (block by T. Duncan)
6:21.0,Defensive rebound by D. West,,6-11,,
6:12.0,T. Duncan misses 2-pt shot from 2 ft,,6-11,,
6:11.0,Offensive rebound by T. Duncan,,6-11,,
6:11.0,T. Duncan makes 2-pt shot from 2 ft,2,8-11,,
6:11.0,,,8-11,,Denver full timeout
6:11.0,B. Marjanovic enters the game for T. Duncan,,8-11,,
5:50.0,,,8-13,2,E. Mudiay makes 2-pt shot from 1 ft (assist by N. Jokic)
5:28.0,A. Miller misses 2-pt shot from 15 ft,,8-13,,
5:27.0,,,8-13,,Defensive rebound by J. Nurkic
5:20.0,Personal foul by D. West,,8-13,,
5:20.0,P. Mills enters the game for J. Simmons,,8-13,,
5:20.0,K. Martin enters the game for A. Miller,,8-13,,
5:06.0,,,8-13,,E. Mudiay misses 2-pt shot from 10 ft
5:05.0,Defensive rebound by B. Marjanovic,,8-13,,
4:53.0,K. Martin misses 2-pt shot from 15 ft,,8-13,,
4:52.0,,,8-13,,Defensive rebound by G. Harris
4:47.0,,,8-15,2,G. Harris makes 2-pt shot from 1 ft
4:30.0,P. Mills misses 2-pt shot from 14 ft,,8-15,,
4:29.0,,,8-15,,Defensive rebound by E. Mudiay
4:24.0,,,8-15,,Turnover by E. Mudiay (lost ball; steal by P. Mills)
4:17.0,K. Martin misses 3-pt shot from 25 ft,,8-15,,
4:16.0,,,8-15,,Defensive rebound by E. Mudiay
4:11.0,,,8-15,,N. Jokic misses 2-pt shot from 1 ft
4:09.0,Defensive rebound by D. West,,8-15,,
4:02.0,Turnover by K. Anderson (lost ball; steal by J. Sampson),,8-15,,
3:56.0,,,8-15,,Offensive foul by G. Harris
3:56.0,,,8-15,,Turnover by G. Harris (offensive foul)
3:56.0,,,8-15,,J. Lauvergne enters the game for J. Sampson
3:56.0,,,8-15,,W. Barton enters the game for J. Nurkic
3:56.0,M. Bonner enters the game for D. West,,8-15,,
3:43.0,P. Mills misses 2-pt shot from 1 ft (block by J. Lauvergne),,8-15,,
3:38.0,,,8-15,,Defensive rebound by N. Jokic
3:33.0,,,8-17,2,J. Lauvergne makes 2-pt shot from 19 ft
