time,Oklahoma City,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Bogut (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. A. Bogut (S. Ibaka gains possession)
11:46.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,2-0,,
11:32.0,,,2-0,,K. Thompson misses 3-pt shot from 25 ft
11:30.0,Defensive rebound by D. Waiters,,2-0,,
11:06.0,R. Westbrook makes 3-pt shot from 25 ft (assist by D. Waiters),3,5-0,,
10:58.0,,,5-0,,H. Barnes misses 3-pt shot from 25 ft
10:56.0,Defensive rebound by D. Waiters,,5-0,,
10:50.0,K. Durant makes 2-pt shot from 15 ft,2,7-0,,
10:34.0,,,7-0,,S. Curry misses 3-pt shot from 25 ft
10:33.0,Defensive rebound by S. Adams,,7-0,,
10:24.0,K. Durant makes 2-pt shot from 2 ft,2,9-0,,
10:06.0,,,9-2,2,H. Barnes makes 2-pt shot from 8 ft
9:49.0,Turnover by S. Adams (lost ball),,9-2,,
9:37.0,,,9-4,2,H. Barnes makes 2-pt shot from 2 ft (assist by D. Green)
9:20.0,Turnover by K. Durant (lost ball),,9-4,,
9:12.0,,,9-6,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
8:58.0,S. Ibaka makes 3-pt shot from 25 ft (assist by R. Westbrook),3,12-6,,
8:50.0,Violation by K. Durant (kicked ball),,12-6,,
8:46.0,,,12-6,,K. Thompson misses 2-pt shot from 5 ft (block by S. Adams)
8:46.0,,,12-6,,Offensive rebound by Team
8:44.0,,,12-8,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
8:31.0,Shooting foul by S. Curry (drawn by K. Durant),,12-8,,
8:31.0,K. Durant makes free throw 1 of 2,1,13-8,,
8:31.0,K. Durant makes free throw 2 of 2,1,14-8,,
8:17.0,,,14-8,,S. Curry misses 2-pt shot from 17 ft
8:16.0,Defensive rebound by S. Adams,,14-8,,
8:04.0,R. Westbrook makes 2-pt shot from 5 ft,2,16-8,,
7:52.0,,,16-10,2,K. Thompson makes 2-pt shot from 3 ft
7:38.0,R. Westbrook misses 2-pt shot at rim,,16-10,,
7:37.0,Offensive rebound by S. Adams,,16-10,,
7:37.0,S. Adams misses 2-pt shot from 1 ft,,16-10,,
7:35.0,,,16-10,,Defensive rebound by K. Thompson
7:30.0,,,16-13,3,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry)
7:11.0,K. Durant misses 2-pt shot from 17 ft,,16-13,,
7:10.0,,,16-13,,Defensive rebound by A. Bogut
7:05.0,,,16-13,,S. Curry misses 3-pt shot from 31 ft
7:01.0,Defensive rebound by K. Durant,,16-13,,
