time,Miami,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Stoudemire vs. J. Valanciunas (D. Wade gains possession),,,,Jump ball: A. Stoudemire vs. J. Valanciunas (D. Wade gains possession)
11:41.0,C. Bosh misses 2-pt shot from 3 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Valanciunas
11:33.0,,,0-3,3,J. Johnson makes 3-pt shot from 22 ft (assist by D. DeRozan)
11:16.0,T. Johnson misses 2-pt shot from 18 ft,,0-3,,
11:15.0,,,0-3,,Defensive rebound by J. Valanciunas
11:03.0,,,0-5,2,D. DeRozan makes 2-pt shot from 4 ft
11:03.0,,,0-5,,Shooting foul by T. Johnson (drawn by D. DeRozan)
11:03.0,,,0-6,1,D. DeRozan makes free throw 1 of 1
10:51.0,A. Stoudemire makes 2-pt shot at rim (assist by D. Wade),2,2-6,,
10:34.0,,,2-6,,D. DeRozan misses 2-pt shot from 19 ft
10:33.0,Defensive rebound by C. Bosh,,2-6,,
10:24.0,J. Winslow misses 2-pt shot from 1 ft,,2-6,,
10:23.0,,,2-6,,Defensive rebound by L. Scola
10:13.0,,,2-9,3,K. Lowry makes 3-pt shot from 23 ft (assist by J. Johnson)
10:11.0,Miami full timeout,,2-9,,
9:59.0,D. Wade makes 2-pt shot from 9 ft,2,4-9,,
9:40.0,,,4-9,,J. Valanciunas misses 2-pt shot from 4 ft
9:40.0,,,4-9,,Offensive rebound by J. Johnson
9:38.0,,,4-9,,J. Johnson misses 2-pt shot at rim
9:38.0,Defensive rebound by J. Winslow,,4-9,,
9:20.0,D. Wade misses 2-pt shot from 8 ft,,4-9,,
9:19.0,,,4-9,,Defensive rebound by J. Johnson
9:00.0,,,4-11,2,J. Valanciunas makes 2-pt shot from 3 ft
8:47.0,,,4-11,,Personal foul by J. Valanciunas (drawn by A. Stoudemire)
8:34.0,T. Johnson makes 2-pt shot from 19 ft (assist by D. Wade),2,6-11,,
8:19.0,,,6-13,2,D. DeRozan makes 2-pt shot from 1 ft
8:02.0,T. Johnson misses 2-pt shot from 3 ft,,6-13,,
8:01.0,Offensive rebound by T. Johnson,,6-13,,
7:57.0,A. Stoudemire makes 2-pt shot at rim (assist by T. Johnson),2,8-13,,
7:42.0,,,8-15,2,D. DeRozan makes 2-pt shot from 12 ft
7:23.0,Turnover by A. Stoudemire (step out of bounds),,8-15,,
7:10.0,,,8-15,,J. Johnson misses 3-pt shot from 24 ft
7:09.0,Defensive rebound by C. Bosh,,8-15,,
6:56.0,D. Wade misses 2-pt shot from 2 ft,,8-15,,
6:55.0,Offensive rebound by A. Stoudemire,,8-15,,
6:53.0,Turnover by A. Stoudemire (lost ball),,8-15,,
6:53.0,J. Richardson enters the game for T. Johnson,,8-15,,
6:39.0,,,8-18,3,D. DeRozan makes 3-pt shot from 24 ft (assist by J. Valanciunas)
6:24.0,C. Bosh makes 2-pt shot from 15 ft (assist by J. Richardson),2,10-18,,
6:03.0,Shooting block foul by A. Stoudemire (drawn by J. Valanciunas),,10-18,,
6:03.0,,,10-19,1,J. Valanciunas makes free throw 1 of 2
6:03.0,,,10-20,1,J. Valanciunas makes free throw 2 of 2
5:45.0,Shooting foul by J. Johnson (drawn by C. Bosh),,10-20,,
