time,Philadelphia,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Grant (I. Canaan gains possession),,,,Jump ball: M. Gasol vs. J. Grant (I. Canaan gains possession)
11:41.0,J. Okafor misses 2-pt shot from 9 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by T. Allen
11:21.0,,,0-2,2,M. Conley makes 2-pt shot from 20 ft (assist by M. Gasol)
10:54.0,R. Covington misses 3-pt shot from 24 ft,,0-2,,
10:53.0,,,0-2,,Defensive rebound by M. Gasol
10:42.0,,,0-2,,M. Gasol misses 2-pt shot from 5 ft
10:41.0,,,0-2,,Offensive rebound by Z. Randolph
10:41.0,,,0-2,,Z. Randolph misses 2-pt shot at rim
10:38.0,Defensive rebound by R. Covington,,0-2,,
10:15.0,I. Canaan misses 2-pt shot from 1 ft,,0-2,,
10:13.0,,,0-2,,Defensive rebound by Z. Randolph
10:02.0,,,0-4,2,J. Green makes 2-pt shot from 8 ft
9:47.0,J. Grant misses 2-pt shot from 6 ft,,0-4,,
9:45.0,,,0-4,,Defensive rebound by M. Gasol
9:31.0,,,0-4,,M. Conley misses 3-pt shot from 23 ft
9:31.0,Defensive rebound by J. Grant,,0-4,,
9:20.0,J. Grant misses 3-pt shot from 25 ft,,0-4,,
9:19.0,,,0-4,,Defensive rebound by T. Allen
9:01.0,,,0-4,,Turnover by M. Conley (bad pass; steal by J. Grant)
8:54.0,I. Canaan misses 2-pt shot from 12 ft (block by M. Gasol),,0-4,,
8:54.0,Offensive rebound by Team,,0-4,,
8:45.0,J. Okafor misses 3-pt shot from 25 ft,,0-4,,
8:44.0,Offensive rebound by J. Grant,,0-4,,
8:27.0,I. Canaan misses 3-pt shot from 27 ft,,0-4,,
8:26.0,,,0-4,,Defensive rebound by T. Allen
8:19.0,,,0-6,2,T. Allen makes 2-pt shot at rim
8:19.0,,,0-6,,Shooting foul by R. Covington (drawn by T. Allen)
8:19.0,,,0-6,,T. Allen misses free throw 1 of 1
8:18.0,Defensive rebound by R. Covington,,0-6,,
8:03.0,J. Grant misses 3-pt shot from 25 ft,,0-6,,
8:02.0,,,0-6,,Defensive rebound by M. Gasol
7:47.0,,,0-6,,Z. Randolph misses 2-pt shot from 1 ft
7:46.0,Defensive rebound by J. Okafor,,0-6,,
7:37.0,J. Sampson makes 2-pt shot from 2 ft (assist by I. Canaan),2,2-6,,
7:16.0,,,2-6,,M. Gasol misses 2-pt shot from 9 ft
7:16.0,,,2-6,,Offensive rebound by Z. Randolph
7:16.0,,,2-6,,Shooting foul by J. Okafor (drawn by Z. Randolph)
7:16.0,,,2-7,1,Z. Randolph makes free throw 1 of 2
7:16.0,H. Thompson enters the game for J. Sampson,,2-7,,
7:16.0,,,2-7,,J. Green enters the game for M. Gasol
7:16.0,T. McConnell enters the game for I. Canaan,,2-7,,
7:16.0,,,2-7,,Z. Randolph misses free throw 2 of 2
7:16.0,Defensive rebound by J. Grant,,2-7,,
7:00.0,R. Covington makes 2-pt shot from 6 ft,2,4-7,,
6:39.0,,,4-7,,T. Allen misses 2-pt shot from 9 ft
6:39.0,,,4-7,,Offensive rebound by Team
6:27.0,,,4-9,2,J. Green makes 2-pt shot from 15 ft (assist by M. Conley)
6:05.0,J. Okafor misses 2-pt shot from 10 ft,,4-9,,
6:05.0,,,4-9,,Defensive rebound by Team
5:53.0,,,4-9,,J. Green misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by J. Okafor,,4-9,,
5:39.0,J. Okafor makes 2-pt shot at rim (assist by R. Covington),2,6-9,,
5:21.0,,,6-9,,Turnover by M. Conley (bad pass)
5:21.0,,,6-9,,Memphis full timeout
5:21.0,N. Stauskas enters the game for J. Grant,,6-9,,
4:56.0,R. Covington misses 2-pt shot from 21 ft,,6-9,,
4:56.0,Offensive rebound by Team,,6-9,,
4:56.0,Turnover by Team (shot clock),,6-9,,
4:47.0,,,6-11,2,J. Green makes 2-pt shot from 1 ft (assist by J. Green)
4:47.0,,,6-11,,Shooting foul by N. Stauskas (drawn by J. Green)
4:47.0,,,6-11,,C. Lee enters the game for T. Allen
4:47.0,,,6-11,,Violation by Team (delay of game)
4:47.0,,,6-12,1,J. Green makes free throw 1 of 1
4:36.0,Shooting foul by M. Conley (drawn by T. McConnell),,6-12,,
4:36.0,T. McConnell makes 2-pt shot from 6 ft,2,8-12,,
4:36.0,T. McConnell misses free throw 1 of 1,,8-12,,
4:34.0,,,8-12,,Defensive rebound by J. Green
4:19.0,,,8-12,,Turnover by M. Conley (lost ball; steal by R. Covington)
4:14.0,N. Stauskas misses 2-pt shot from 1 ft,,8-12,,
4:12.0,,,8-12,,Defensive rebound by J. Green
4:11.0,,,8-12,,Turnover by J. Green (bad pass; steal by H. Thompson)
4:04.0,H. Thompson misses 3-pt shot from 26 ft,,8-12,,
4:01.0,,,8-12,,Defensive rebound by C. Lee
3:53.0,,,8-12,,Shooting foul by J. Okafor (drawn by Z. Randolph)
3:53.0,,,8-13,1,Z. Randolph makes free throw 1 of 2
3:53.0,,,8-13,,M. Barnes enters the game for J. Green
3:53.0,R. Holmes enters the game for J. Okafor,,8-13,,
3:53.0,I. Canaan enters the game for H. Thompson,,8-13,,
3:53.0,,,8-14,1,Z. Randolph makes free throw 2 of 2
3:45.0,N. Stauskas misses 3-pt shot from 23 ft,,8-14,,
3:44.0,,,8-14,,Defensive rebound by Z. Randolph
3:34.0,,,8-14,,Z. Randolph misses 2-pt shot from 19 ft
3:34.0,Defensive rebound by T. McConnell,,8-14,,
3:09.0,Turnover by Team (shot clock),,8-14,,
3:09.0,,,8-14,,M. Gasol enters the game for Z. Randolph
3:09.0,,,8-14,,M. Chalmers enters the game for M. Conley
2:53.0,,,8-14,,M. Barnes misses 3-pt shot from 23 ft
2:52.0,Defensive rebound by I. Canaan,,8-14,,
2:45.0,Philadelphia full timeout,,8-14,,
2:45.0,P. Pressey enters the game for T. McConnell,,8-14,,
2:34.0,I. Canaan makes 3-pt shot from 27 ft (assist by P. Pressey),3,11-14,,
