time,Memphis,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. I. Mahinmi (T. Allen gains possession),,,,Jump ball: M. Gasol vs. I. Mahinmi (T. Allen gains possession)
11:38.0,Z. Randolph misses 2-pt shot from 18 ft,,0-0,,
11:37.0,Offensive rebound by T. Allen,,0-0,,
11:34.0,,,0-0,,Personal foul by P. George (drawn by T. Allen)
11:27.0,C. Lee makes 2-pt shot from 20 ft (assist by M. Conley),2,2-0,,
11:08.0,,,2-0,,J. Hill misses 2-pt shot at rim
11:06.0,,,2-0,,Offensive rebound by Team
10:54.0,,,2-0,,G. Hill misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by T. Allen,,2-0,,
10:41.0,C. Lee makes 2-pt shot from 18 ft (assist by M. Gasol),2,4-0,,
10:32.0,,,4-0,,P. George misses 2-pt shot from 15 ft
10:31.0,Defensive rebound by M. Gasol,,4-0,,
10:29.0,,,4-0,,Technical foul by P. George
10:29.0,C. Lee makes technical free throw,1,5-0,,
10:17.0,T. Allen misses 2-pt shot from 7 ft,,5-0,,
10:16.0,Offensive rebound by T. Allen,,5-0,,
10:14.0,T. Allen makes 2-pt shot at rim,2,7-0,,
9:57.0,,,7-2,2,I. Mahinmi makes 2-pt shot at rim (assist by G. Hill)
9:38.0,Z. Randolph misses 2-pt shot from 7 ft,,7-2,,
9:36.0,,,7-2,,Defensive rebound by I. Mahinmi
9:28.0,,,7-2,,P. George misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by Z. Randolph,,7-2,,
9:10.0,M. Gasol misses 2-pt shot from 15 ft,,7-2,,
9:10.0,,,7-2,,Defensive rebound by I. Mahinmi
9:03.0,,,7-2,,M. Ellis misses 2-pt shot from 1 ft
9:00.0,,,7-2,,Offensive rebound by I. Mahinmi
9:00.0,,,7-4,2,I. Mahinmi makes 2-pt shot at rim
8:50.0,T. Allen makes 2-pt shot at rim,2,9-4,,
8:39.0,Personal foul by Z. Randolph (drawn by J. Hill),,9-4,,
8:38.0,Personal foul by T. Allen (drawn by P. George),,9-4,,
