time,New York,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. G. Monroe (K. Porzingis gains possession),,,,Jump ball: R. Lopez vs. G. Monroe (K. Porzingis gains possession)
11:46.0,R. Lopez makes 2-pt shot at rim (assist by C. Anthony),2,2-0,,
11:29.0,,,2-0,,M. Carter-Williams misses 2-pt shot from 7 ft
11:27.0,,,2-0,,Offensive rebound by G. Monroe
11:24.0,,,2-3,3,C. Copeland makes 3-pt shot from 24 ft (assist by G. Monroe)
11:07.0,Shooting foul by G. Monroe (drawn by R. Lopez),,2-3,,
11:07.0,R. Lopez makes free throw 1 of 2,1,3-3,,
11:07.0,R. Lopez makes free throw 2 of 2,1,4-3,,
10:47.0,,,4-3,,M. Carter-Williams misses 2-pt shot from 2 ft
10:45.0,,,4-3,,Offensive rebound by G. Monroe
10:45.0,,,4-5,2,G. Monroe makes 2-pt shot from 1 ft
10:22.0,C. Anthony misses 2-pt shot from 14 ft,,4-5,,
10:20.0,,,4-5,,Defensive rebound by K. Middleton
10:12.0,,,4-5,,M. Carter-Williams misses 2-pt shot from 1 ft
10:11.0,,,4-5,,Offensive rebound by Team
10:04.0,,,4-5,,C. Copeland misses 2-pt shot from 18 ft
10:02.0,Defensive rebound by S. Vujacic,,4-5,,
9:50.0,J. Calderon misses 2-pt shot at rim,,4-5,,
9:48.0,,,4-5,,Defensive rebound by J. Bayless
9:38.0,,,4-5,,K. Middleton misses 2-pt shot from 19 ft
9:36.0,,,4-5,,Offensive rebound by G. Monroe
9:34.0,,,4-7,2,G. Monroe makes 2-pt shot from 5 ft
9:25.0,Turnover by J. Calderon (lost ball; steal by G. Monroe),,4-7,,
9:25.0,Personal foul by K. Porzingis (drawn by M. Carter-Williams),,4-7,,
9:17.0,,,4-9,2,M. Carter-Williams makes 2-pt shot from 1 ft
9:04.0,S. Vujacic misses 3-pt shot from 23 ft,,4-9,,
9:02.0,,,4-9,,Defensive rebound by G. Monroe
9:00.0,Personal foul by J. Calderon (drawn by M. Carter-Williams),,4-9,,
8:56.0,,,4-11,2,M. Carter-Williams makes 2-pt shot at rim (assist by G. Monroe)
8:56.0,New York full timeout,,4-11,,
8:33.0,K. Porzingis misses 2-pt shot from 2 ft,,4-11,,
8:32.0,,,4-11,,Defensive rebound by G. Monroe
8:21.0,,,4-11,,G. Monroe misses 2-pt shot from 9 ft
8:18.0,Defensive rebound by C. Anthony,,4-11,,
8:13.0,C. Anthony makes 2-pt shot from 1 ft,2,6-11,,
8:07.0,,,6-11,,K. Middleton misses 2-pt shot from 3 ft (block by R. Lopez)
8:07.0,,,6-11,,Offensive rebound by Team
8:04.0,,,6-11,,K. Middleton misses 2-pt shot from 12 ft
8:03.0,Defensive rebound by J. Calderon,,6-11,,
7:52.0,K. Porzingis misses 2-pt shot from 12 ft,,6-11,,
7:50.0,,,6-11,,Defensive rebound by J. Bayless
7:43.0,,,6-11,,M. Carter-Williams misses 2-pt shot from 14 ft
7:41.0,Defensive rebound by C. Anthony,,6-11,,
7:30.0,K. Porzingis misses 2-pt shot from 12 ft,,6-11,,
7:29.0,,,6-11,,Defensive rebound by J. Bayless
7:24.0,,,6-11,,J. Bayless misses 2-pt shot from 2 ft
7:22.0,,,6-11,,Offensive rebound by M. Carter-Williams
7:22.0,,,6-11,,M. Carter-Williams misses 2-pt shot at rim
7:20.0,,,6-11,,Offensive rebound by G. Monroe
7:18.0,,,6-11,,G. Monroe misses 2-pt shot from 1 ft (block by R. Lopez)
7:15.0,Defensive rebound by S. Vujacic,,6-11,,
7:03.0,,,6-11,,Personal foul by C. Copeland (drawn by J. Calderon)
7:03.0,D. Williams enters the game for K. Porzingis,,6-11,,
7:03.0,K. O'Quinn enters the game for R. Lopez,,6-11,,
6:52.0,C. Anthony misses 2-pt shot from 1 ft,,6-11,,
6:51.0,,,6-11,,Defensive rebound by G. Monroe
6:47.0,,,6-11,,Turnover by K. Middleton (bad pass; steal by S. Vujacic)
6:41.0,C. Anthony misses 2-pt shot from 19 ft,,6-11,,
6:39.0,Offensive rebound by K. O'Quinn,,6-11,,
6:37.0,D. Williams misses 2-pt shot at rim (block by G. Monroe),,6-11,,
6:37.0,Offensive rebound by Team,,6-11,,
6:37.0,,,6-11,,G. Vasquez enters the game for J. Bayless
6:32.0,D. Williams misses 2-pt shot from 17 ft,,6-11,,
