time,Memphis,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. K. Towns (M. Conley gains possession),,,,Jump ball: M. Gasol vs. K. Towns (M. Conley gains possession)
11:42.0,M. Conley misses 2-pt shot from 7 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by Z. LaVine
11:23.0,,,0-0,,Z. LaVine misses 2-pt shot from 2 ft
11:22.0,Defensive rebound by Z. Randolph,,0-0,,
11:03.0,Turnover by Z. Randolph (lost ball; steal by K. Garnett),,0-0,,
10:58.0,,,0-2,2,Z. LaVine makes 2-pt shot at rim (assist by K. Garnett)
10:39.0,Jump ball: M. Gasol vs. K. Towns (T. Allen gains possession),,,,Jump ball: M. Gasol vs. K. Towns (T. Allen gains possession)
10:34.0,,,0-2,,Personal foul by Z. LaVine (drawn by M. Conley)
10:29.0,,,0-2,,Personal foul by K. Garnett (drawn by Z. Randolph)
10:20.0,J. Green makes 2-pt shot from 1 ft,2,2-2,,
9:59.0,,,2-2,,Z. LaVine misses 2-pt shot from 18 ft
9:58.0,Defensive rebound by M. Gasol,,2-2,,
9:52.0,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley),2,4-2,,
9:31.0,,,4-2,,K. Towns misses 2-pt shot from 21 ft
9:30.0,,,4-2,,Offensive rebound by Z. LaVine
9:29.0,,,4-4,2,Z. LaVine makes 2-pt shot from 5 ft
9:19.0,,,4-4,,Personal foul by Z. LaVine (drawn by M. Conley)
9:19.0,,,4-4,,A. Miller enters the game for Z. LaVine
9:13.0,Turnover by M. Conley (bad pass; steal by T. Prince),,4-4,,
8:54.0,,,4-4,,K. Towns misses 2-pt shot at rim
8:53.0,Defensive rebound by Team,,4-4,,
8:30.0,M. Conley makes 3-pt shot from 24 ft (assist by J. Green),3,7-4,,
8:15.0,,,7-7,3,A. Wiggins makes 3-pt shot from 24 ft (assist by A. Miller)
8:01.0,T. Allen misses 3-pt shot from 22 ft,,7-7,,
8:00.0,,,7-7,,Defensive rebound by K. Garnett
7:56.0,,,7-7,,Shooting foul by T. Allen (drawn by A. Wiggins)
7:56.0,,,7-8,1,A. Wiggins makes free throw 1 of 2
7:56.0,,,7-9,1,A. Wiggins makes free throw 2 of 2
7:33.0,T. Allen makes 2-pt shot from 9 ft,2,9-9,,
7:15.0,,,9-9,,Shooting foul by Z. Randolph (drawn by K. Towns)
7:15.0,,,9-10,1,K. Towns makes free throw 1 of 2
7:15.0,,,9-11,1,K. Towns makes free throw 2 of 2
6:59.0,,,9-11,,Personal foul by K. Towns (drawn by M. Gasol)
6:47.0,Turnover by M. Gasol (bad pass; steal by A. Wiggins),,9-11,,
6:43.0,,,9-13,2,A. Wiggins makes 2-pt shot at rim
