time,Atlanta,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Horford (P. Millsap gains possession),,,,Jump ball: A. Bogut vs. A. Horford (P. Millsap gains possession)
11:47.0,Turnover by P. Millsap (bad pass; steal by S. Livingston),,0-0,,
11:43.0,Jump ball: D. Green vs. K. Korver (A. Horford gains possession),,,,Jump ball: D. Green vs. K. Korver (A. Horford gains possession)
11:43.0,,,0-0,,Turnover by D. Green (lost ball; steal by K. Korver)
11:33.0,K. Korver misses 3-pt shot from 28 ft,,0-0,,
11:32.0,Offensive rebound by Team,,0-0,,
11:25.0,K. Korver makes 2-pt shot from 19 ft (assist by J. Teague),2,2-0,,
11:09.0,,,2-3,3,K. Thompson makes 3-pt shot from 24 ft (assist by H. Barnes)
10:53.0,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague),3,5-3,,
10:37.0,,,5-6,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
10:22.0,P. Millsap misses 2-pt shot from 1 ft,,5-6,,
10:22.0,Offensive rebound by K. Korver,,5-6,,
10:17.0,K. Korver misses 2-pt shot from 16 ft,,5-6,,
10:17.0,,,5-6,,Defensive rebound by S. Livingston
10:06.0,,,5-8,2,A. Bogut makes 2-pt shot from 3 ft
9:54.0,Shooting foul by D. Green (drawn by K. Bazemore),,5-8,,
9:54.0,K. Bazemore makes free throw 1 of 2,1,6-8,,
9:54.0,K. Bazemore makes free throw 2 of 2,1,7-8,,
9:40.0,,,7-8,,K. Thompson misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by A. Horford,,7-8,,
9:26.0,Shooting foul by S. Livingston (drawn by P. Millsap),,7-8,,
9:26.0,P. Millsap misses free throw 1 of 2,,7-8,,
9:26.0,Offensive rebound by Team,,7-8,,
9:26.0,P. Millsap makes free throw 2 of 2,1,8-8,,
9:10.0,,,8-10,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
8:56.0,A. Horford misses 2-pt shot from 21 ft,,8-10,,
8:56.0,,,8-10,,Defensive rebound by D. Green
8:51.0,,,8-12,2,A. Bogut makes 2-pt shot at rim (assist by D. Green)
8:25.0,P. Millsap misses 2-pt shot from 15 ft,,8-12,,
8:25.0,,,8-12,,Defensive rebound by S. Livingston
8:16.0,,,8-15,3,D. Green makes 3-pt shot from 24 ft (assist by S. Livingston)
8:16.0,Atlanta full timeout,,8-15,,
7:53.0,J. Teague misses 3-pt shot from 26 ft,,8-15,,
7:53.0,,,8-15,,Defensive rebound by A. Bogut
7:29.0,,,8-15,,H. Barnes misses 2-pt shot from 14 ft
7:29.0,,,8-15,,Offensive rebound by Team
7:29.0,,,8-15,,Turnover by Team (shot clock)
7:07.0,P. Millsap misses 3-pt shot from 25 ft,,8-15,,
7:06.0,,,8-15,,Defensive rebound by K. Thompson
6:54.0,,,8-15,,H. Barnes misses 2-pt shot from 3 ft
6:54.0,Defensive rebound by K. Bazemore,,8-15,,
6:44.0,Turnover by K. Bazemore (bad pass; steal by A. Bogut),,8-15,,
6:25.0,,,8-15,,D. Green misses 3-pt shot from 26 ft
6:25.0,,,8-15,,Offensive rebound by S. Livingston
6:17.0,,,8-15,,S. Livingston misses 2-pt shot from 14 ft
6:16.0,Defensive rebound by K. Korver,,8-15,,
6:13.0,,,8-15,,Personal foul by K. Thompson (drawn by K. Korver)
6:13.0,T. Sefolosha enters the game for K. Bazemore,,8-15,,
6:13.0,M. Muscala enters the game for A. Horford,,8-15,,
6:07.0,Shooting foul by A. Bogut (drawn by P. Millsap),,8-15,,
6:07.0,P. Millsap makes free throw 1 of 2,1,9-15,,
6:07.0,P. Millsap makes free throw 2 of 2,1,10-15,,
5:53.0,,,10-15,,K. Thompson misses 2-pt shot from 15 ft
5:51.0,,,10-15,,Offensive rebound by S. Livingston
5:43.0,,,10-17,2,S. Livingston makes 2-pt shot from 6 ft (assist by D. Green)
5:35.0,Offensive foul by M. Muscala,,10-17,,
5:35.0,Turnover by M. Muscala (offensive foul),,10-17,,
5:35.0,,,10-17,,I. Clark enters the game for S. Livingston
5:24.0,,,10-17,,M. Speights enters the game for A. Bogut
5:11.0,,,10-17,,Turnover by D. Green (bad pass; steal by K. Korver)
4:47.0,P. Millsap makes 2-pt shot from 9 ft,2,12-17,,
4:36.0,,,12-17,,I. Clark misses 3-pt shot from 26 ft
4:35.0,Defensive rebound by M. Muscala,,12-17,,
4:22.0,J. Teague misses 3-pt shot from 24 ft,,12-17,,
4:21.0,Offensive rebound by P. Millsap,,12-17,,
4:17.0,K. Korver makes 3-pt shot from 29 ft (assist by P. Millsap),3,15-17,,
4:02.0,,,15-17,,K. Thompson misses 3-pt shot from 24 ft
4:02.0,Defensive rebound by J. Teague,,15-17,,
3:53.0,M. Muscala misses 2-pt shot from 12 ft,,15-17,,
3:53.0,,,15-17,,Defensive rebound by Team
3:52.0,,,15-17,,Golden State full timeout
3:52.0,,,15-17,,B. Rush enters the game for H. Barnes
3:52.0,M. Scott enters the game for K. Korver,,15-17,,
3:52.0,T. Hardaway enters the game for J. Teague,,15-17,,
3:52.0,D. Schroder enters the game for M. Muscala,,15-17,,
3:35.0,,,15-17,,M. Speights misses 2-pt shot from 17 ft
3:35.0,Defensive rebound by P. Millsap,,15-17,,
3:17.0,M. Scott makes 3-pt shot from 26 ft (assist by T. Sefolosha),3,18-17,,
3:03.0,,,18-19,2,D. Green makes 2-pt shot from 1 ft
2:51.0,,,18-19,,Personal foul by I. Clark (drawn by D. Schroder)
2:51.0,D. Schroder makes free throw 1 of 2,1,19-19,,
2:51.0,D. Schroder makes free throw 2 of 2,1,20-19,,
2:34.0,,,20-21,2,D. Green makes 2-pt shot at rim (assist by K. Thompson)
2:23.0,Shooting foul by K. Thompson (drawn by P. Millsap),,20-21,,
2:23.0,P. Millsap misses free throw 1 of 2,,20-21,,
2:23.0,Offensive rebound by Team,,20-21,,
2:23.0,,,20-21,,L. Barbosa enters the game for K. Thompson
2:23.0,P. Millsap makes free throw 2 of 2,1,21-21,,
2:00.0,,,21-23,2,M. Speights makes 2-pt shot from 2 ft (assist by D. Green)
1:52.0,Turnover by T. Sefolosha (bad pass; steal by D. Green),,21-23,,
1:49.0,,,21-23,,Shooting foul by D. Schroder (drawn by I. Clark)
1:49.0,,,21-24,1,I. Clark makes free throw 1 of 2
1:49.0,A. Horford enters the game for P. Millsap,,21-24,,
1:49.0,K. Korver enters the game for T. Sefolosha,,21-24,,
1:49.0,,,21-25,1,I. Clark makes free throw 2 of 2
1:37.0,D. Schroder misses 2-pt shot from 19 ft,,21-25,,
1:36.0,Offensive rebound by A. Horford,,21-25,,
1:31.0,K. Korver misses 3-pt shot from 26 ft,,21-25,,
1:31.0,,,21-25,,Defensive rebound by B. Rush
1:22.0,,,21-25,,Shooting foul by A. Horford (drawn by M. Speights)
1:22.0,,,21-26,1,M. Speights makes free throw 1 of 2
1:22.0,,,21-27,1,M. Speights makes free throw 2 of 2
1:08.0,M. Scott makes 2-pt shot from 6 ft (assist by D. Schroder),2,23-27,,
0:58.0,,,23-27,,D. Green misses 2-pt shot from 18 ft
0:57.0,Defensive rebound by D. Schroder,,23-27,,
0:44.0,A. Horford misses 2-pt shot from 5 ft (block by M. Speights),,23-27,,
0:43.0,,,23-27,,Defensive rebound by D. Green
0:40.0,,,23-27,,Shooting foul by K. Korver (drawn by L. Barbosa)
0:40.0,,,23-28,1,L. Barbosa makes free throw 1 of 2
0:40.0,,,23-29,1,L. Barbosa makes free throw 2 of 2
0:33.0,M. Scott makes 3-pt shot from 26 ft (assist by D. Schroder),3,26-29,,
0:12.0,,,26-32,3,B. Rush makes 3-pt shot from 25 ft (assist by I. Clark)
0:03.0,Turnover by D. Schroder (bad pass; steal by B. Rush),,26-32,,
0:00.0,,,26-32,,B. Rush misses 3-pt shot from 32 ft
0:00.0,,,26-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,26-32,,B. Rush misses 2-pt shot from 18 ft
11:47.0,Defensive rebound by K. Bazemore,,26-32,,
11:36.0,T. Hardaway misses 2-pt shot from 16 ft,,26-32,,
11:35.0,,,26-32,,Defensive rebound by L. Barbosa
11:29.0,,,26-34,2,L. Barbosa makes 2-pt shot from 9 ft
11:14.0,D. Schroder makes 2-pt shot from 2 ft,2,28-34,,
11:08.0,Personal foul by T. Hardaway (drawn by H. Barnes),,28-34,,
11:08.0,,,28-34,,A. Varejao enters the game for M. Speights
10:53.0,,,28-34,,S. Livingston misses 2-pt shot from 14 ft
10:52.0,,,28-34,,Offensive rebound by A. Varejao
10:52.0,,,28-36,2,A. Varejao makes 2-pt shot from 1 ft
10:39.0,D. Schroder misses 2-pt shot from 16 ft,,28-36,,
10:38.0,,,28-36,,Defensive rebound by Team
10:16.0,,,28-38,2,L. Barbosa makes 2-pt shot from 18 ft (assist by B. Rush)
10:07.0,A. Horford makes 2-pt shot at rim (assist by D. Schroder),2,30-38,,
9:55.0,,,30-41,3,L. Barbosa makes 3-pt shot from 26 ft (assist by A. Varejao)
9:31.0,D. Schroder makes 2-pt shot from 17 ft,2,32-41,,
9:14.0,J. Teague enters the game for D. Schroder,,32-41,,
9:14.0,,,32-41,,Golden State full timeout
9:08.0,,,32-41,,S. Livingston misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by M. Scott,,32-41,,
8:51.0,K. Bazemore misses 3-pt shot from 24 ft,,32-41,,
8:51.0,,,32-41,,Defensive rebound by L. Barbosa
8:43.0,,,32-43,2,H. Barnes makes 2-pt shot from 1 ft (assist by L. Barbosa)
8:32.0,J. Teague makes 2-pt shot from 1 ft,2,34-43,,
8:08.0,,,34-43,,A. Varejao misses 2-pt shot from 1 ft
8:07.0,,,34-43,,Offensive rebound by H. Barnes
8:07.0,,,34-45,2,H. Barnes makes 2-pt shot at rim
7:53.0,T. Hardaway misses 3-pt shot from 23 ft,,34-45,,
7:52.0,,,34-45,,Defensive rebound by H. Barnes
7:41.0,,,34-45,,B. Rush misses 2-pt shot from 13 ft
7:39.0,Defensive rebound by K. Bazemore,,34-45,,
7:32.0,,,34-45,,Personal foul by H. Barnes (drawn by M. Scott)
7:32.0,P. Millsap enters the game for M. Scott,,34-45,,
7:32.0,K. Korver enters the game for T. Hardaway,,34-45,,
7:26.0,J. Teague makes 3-pt shot from 25 ft,3,37-45,,
7:02.0,,,37-45,,B. Rush misses 2-pt shot from 17 ft
7:01.0,Defensive rebound by K. Bazemore,,37-45,,
6:54.0,K. Bazemore makes 2-pt shot from 2 ft,2,39-45,,
6:54.0,,,39-45,,Golden State full timeout
6:54.0,,,39-45,,K. Thompson enters the game for L. Barbosa
6:54.0,,,39-45,,D. Green enters the game for B. Rush
6:37.0,,,39-45,,D. Green misses 2-pt shot from 17 ft
6:36.0,,,39-45,,Offensive rebound by H. Barnes
6:36.0,Personal foul by K. Bazemore (drawn by H. Barnes),,39-45,,
6:36.0,,,39-45,,A. Bogut enters the game for A. Varejao
6:32.0,,,39-45,,K. Thompson misses 2-pt shot from 10 ft
6:29.0,,,39-45,,Offensive rebound by H. Barnes
6:21.0,,,39-45,,S. Livingston misses 2-pt shot from 10 ft
6:20.0,Defensive rebound by K. Bazemore,,39-45,,
6:08.0,Turnover by K. Bazemore (bad pass; steal by D. Green),,39-45,,
6:02.0,,,39-47,2,H. Barnes makes 2-pt shot at rim (assist by K. Thompson)
6:02.0,Atlanta full timeout,,39-47,,
6:02.0,M. Scott enters the game for A. Horford,,39-47,,
5:49.0,K. Bazemore makes 3-pt shot from 27 ft (assist by J. Teague),3,42-47,,
5:25.0,,,42-49,2,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green)
5:12.0,K. Bazemore misses 3-pt shot from 24 ft,,42-49,,
5:11.0,Offensive rebound by K. Korver,,42-49,,
5:09.0,K. Korver misses 2-pt shot from 7 ft,,42-49,,
5:06.0,,,42-49,,Defensive rebound by D. Green
4:56.0,,,42-52,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
4:36.0,,,42-52,,Personal foul by A. Bogut (drawn by M. Scott)
4:36.0,,,42-52,,I. Clark enters the game for S. Livingston
4:28.0,M. Scott misses 3-pt shot from 26 ft,,42-52,,
4:27.0,,,42-52,,Defensive rebound by I. Clark
4:12.0,,,42-54,2,A. Bogut makes 2-pt shot at rim (assist by D. Green)
4:01.0,,,42-54,,Personal foul by I. Clark (drawn by J. Teague)
4:01.0,A. Horford enters the game for M. Scott,,42-54,,
3:46.0,A. Horford misses 2-pt shot from 12 ft,,42-54,,
3:45.0,,,42-54,,Defensive rebound by K. Thompson
3:39.0,,,42-54,,I. Clark misses 3-pt shot from 27 ft
3:38.0,Defensive rebound by Team,,42-54,,
3:38.0,,,42-54,,Personal foul by H. Barnes (drawn by K. Bazemore)
3:38.0,T. Sefolosha enters the game for K. Bazemore,,42-54,,
3:38.0,,,42-54,,B. Rush enters the game for H. Barnes
3:15.0,P. Millsap misses 2-pt shot from 15 ft,,42-54,,
3:14.0,,,42-54,,Defensive rebound by B. Rush
3:02.0,,,42-56,2,D. Green makes 2-pt shot from 2 ft
3:02.0,Atlanta full timeout,,42-56,,
2:52.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by A. Horford),2,44-56,,
2:35.0,,,44-56,,K. Thompson misses 2-pt shot from 18 ft
2:33.0,,,44-56,,Offensive rebound by D. Green
2:26.0,,,44-58,2,A. Bogut makes 2-pt shot at rim (assist by K. Thompson)
2:11.0,Turnover by A. Horford (lost ball),,44-58,,
2:11.0,Official timeout,,44-58,,
2:11.0,K. Bazemore enters the game for K. Korver,,44-58,,
2:10.0,Personal take foul by T. Sefolosha (drawn by A. Bogut),,44-58,,
1:55.0,,,44-58,,K. Thompson misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by K. Bazemore,,44-58,,
1:40.0,Turnover by A. Horford (lost ball; steal by A. Bogut),,44-58,,
1:28.0,,,44-58,,I. Clark misses 3-pt shot from 26 ft
1:27.0,Defensive rebound by P. Millsap,,44-58,,
1:08.0,J. Teague makes 2-pt shot from 7 ft,2,46-58,,
0:44.0,,,46-58,,D. Green misses 2-pt shot from 18 ft
0:43.0,Defensive rebound by K. Bazemore,,46-58,,
0:32.0,J. Teague misses 3-pt shot from 27 ft,,46-58,,
0:31.0,,,46-58,,Defensive rebound by D. Green
0:26.0,,,46-58,,Shooting foul by K. Bazemore (drawn by I. Clark)
0:26.0,,,46-58,,I. Clark misses free throw 1 of 2
0:26.0,,,46-58,,Offensive rebound by Team
0:26.0,,,46-58,,J. McAdoo enters the game for A. Bogut
