time,Charlotte,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. C. Zeller (J. Grant gains possession),,,,Jump ball: N. Noel vs. C. Zeller (J. Grant gains possession)
11:51.0,,,0-3,3,I. Canaan makes 3-pt shot from 22 ft (assist by N. Noel)
11:37.0,Shooting foul by N. Noel (drawn by C. Zeller),,0-3,,
11:37.0,C. Zeller makes free throw 1 of 2,1,1-3,,
11:37.0,C. Zeller misses free throw 2 of 2,,1-3,,
11:36.0,,,1-3,,Defensive rebound by I. Smith
11:19.0,,,1-3,,R. Covington misses 2-pt shot from 1 ft (block by C. Zeller)
11:17.0,,,1-3,,Offensive rebound by R. Covington
11:16.0,,,1-5,2,N. Noel makes 2-pt shot at rim (assist by R. Covington)
11:05.0,Turnover by C. Lee (lost ball; steal by I. Canaan),,1-5,,
11:02.0,,,1-5,,Shooting foul by C. Lee (drawn by I. Canaan)
11:02.0,,,1-6,1,I. Canaan makes free throw 1 of 2
11:02.0,,,1-7,1,I. Canaan makes free throw 2 of 2
10:43.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,4-7,,
10:25.0,,,4-7,,N. Noel misses 2-pt shot from 4 ft
10:23.0,Defensive rebound by M. Williams,,4-7,,
10:02.0,K. Walker makes 2-pt shot from 11 ft (assist by N. Batum),2,6-7,,
9:53.0,,,6-7,,I. Smith misses 2-pt shot at rim
9:52.0,Defensive rebound by C. Zeller,,6-7,,
9:46.0,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum),3,9-7,,
9:31.0,,,9-10,3,R. Covington makes 3-pt shot from 25 ft (assist by N. Noel)
9:13.0,C. Lee misses 3-pt shot from 27 ft,,9-10,,
9:12.0,Offensive rebound by M. Williams,,9-10,,
9:10.0,M. Williams makes 2-pt shot from 1 ft,2,11-10,,
8:57.0,,,11-10,,Turnover by I. Canaan (bad pass; steal by N. Batum)
8:51.0,N. Batum misses 2-pt shot from 2 ft,,11-10,,
8:48.0,,,11-10,,Defensive rebound by J. Grant
8:42.0,,,11-10,,I. Canaan misses 3-pt shot from 23 ft
8:39.0,Defensive rebound by C. Lee,,11-10,,
8:30.0,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum),3,14-10,,
8:30.0,,,14-10,,Philadelphia full timeout
8:18.0,,,14-10,,Turnover by N. Noel (bad pass; steal by N. Batum)
8:08.0,C. Lee misses 2-pt shot from 17 ft,,14-10,,
8:07.0,,,14-10,,Defensive rebound by J. Grant
7:45.0,,,14-10,,I. Canaan misses 2-pt shot from 21 ft
7:43.0,Defensive rebound by M. Williams,,14-10,,
7:29.0,M. Williams misses 3-pt shot from 24 ft,,14-10,,
7:27.0,,,14-10,,Defensive rebound by I. Smith
7:23.0,,,14-13,3,R. Covington makes 3-pt shot from 25 ft (assist by I. Smith)
7:01.0,,,14-13,,Personal foul by N. Noel (drawn by C. Zeller)
7:01.0,,,14-13,,R. Holmes enters the game for N. Noel
6:53.0,K. Walker misses 2-pt shot from 17 ft (block by I. Smith),,14-13,,
6:51.0,,,14-13,,Defensive rebound by R. Covington
6:40.0,,,14-16,3,I. Canaan makes 3-pt shot from 24 ft (assist by R. Covington)
6:19.0,N. Batum makes 2-pt shot from 11 ft,2,16-16,,
6:06.0,,,16-16,,R. Covington misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by K. Walker,,16-16,,
5:54.0,A. Jefferson enters the game for C. Zeller,,16-16,,
5:54.0,K. Walker misses 2-pt shot from 4 ft (block by R. Covington),,16-16,,
5:53.0,Jump ball: I. Smith vs. K. Walker (C. Lee gains possession),,,,Jump ball: I. Smith vs. K. Walker (C. Lee gains possession)
5:53.0,Offensive rebound by Team,,16-16,,
