time,Houston,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:34.0,J. Harden misses 3-pt shot from 24 ft (block by J. Johnson),,0-0,,
12:00.0,Jump ball: D. Howard vs. J. Valanciunas (P. Beverley gains possession),,,,Jump ball: D. Howard vs. J. Valanciunas (P. Beverley gains possession)
11:34.0,Offensive rebound by Team,,0-0,,
11:34.0,Turnover by Team (shot clock),,0-0,,
11:15.0,,,0-0,,J. Valanciunas misses 2-pt shot from 6 ft
11:15.0,,,0-0,,Offensive rebound by L. Scola
11:12.0,,,0-0,,L. Scola misses 2-pt shot from 2 ft
11:11.0,Defensive rebound by P. Beverley,,0-0,,
11:02.0,Turnover by P. Beverley (bad pass; steal by K. Lowry),,0-0,,
10:57.0,,,0-2,2,L. Scola makes 2-pt shot from 2 ft (assist by K. Lowry)
10:44.0,Turnover by T. Ariza (bad pass; steal by L. Scola),,0-2,,
10:24.0,,,0-2,,K. Lowry misses 2-pt shot from 3 ft
10:24.0,Defensive rebound by D. Howard,,0-2,,
10:17.0,Shooting foul by L. Scola (drawn by D. Motiejunas),,0-2,,
10:17.0,D. Motiejunas makes free throw 1 of 2,1,1-2,,
10:17.0,D. Motiejunas misses free throw 2 of 2,,1-2,,
10:16.0,,,1-2,,Defensive rebound by J. Valanciunas
10:03.0,,,1-2,,Turnover by D. DeRozan (bad pass; steal by P. Beverley)
9:56.0,J. Harden makes 2-pt shot from 1 ft (assist by P. Beverley),2,3-2,,
9:41.0,,,3-2,,J. Johnson misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by D. Motiejunas,,3-2,,
9:31.0,D. Howard makes 2-pt shot from 2 ft (assist by J. Harden),2,5-2,,
9:31.0,Shooting foul by J. Valanciunas (drawn by D. Howard),,5-2,,
9:31.0,D. Howard makes free throw 1 of 1,1,6-2,,
9:19.0,Personal foul by D. Howard (drawn by J. Valanciunas),,6-2,,
9:17.0,Personal foul by D. Motiejunas (drawn by K. Lowry),,6-2,,
9:12.0,,,6-2,,Turnover by K. Lowry (bad pass; steal by J. Harden)
9:08.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,8-2,,
8:46.0,,,8-4,2,J. Valanciunas makes 2-pt shot at rim (assist by J. Johnson)
8:32.0,D. Howard makes 2-pt shot at rim (assist by P. Beverley),2,10-4,,
8:20.0,Personal foul by P. Beverley (drawn by K. Lowry),,10-4,,
8:20.0,Technical foul by P. Beverley (drawn by K. Lowry),,10-4,,
8:20.0,,,10-5,1,D. DeRozan makes technical free throw
8:08.0,,,10-5,,L. Scola misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by D. Howard,,10-5,,
7:58.0,P. Beverley misses 3-pt shot from 24 ft,,10-5,,
7:58.0,,,10-5,,Defensive rebound by D. DeRozan
7:47.0,,,10-8,3,J. Johnson makes 3-pt shot from 22 ft (assist by D. DeRozan)
7:24.0,Turnover by D. Motiejunas (bad pass; steal by D. DeRozan),,10-8,,
7:18.0,,,10-10,2,L. Scola makes 2-pt shot at rim (assist by D. DeRozan)
7:01.0,D. Howard makes 2-pt shot from 1 ft,2,12-10,,
6:50.0,,,12-12,2,J. Valanciunas makes 2-pt shot from 6 ft (assist by J. Johnson)
6:37.0,J. Harden makes 2-pt shot from 1 ft,2,14-12,,
6:30.0,,,14-14,2,J. Johnson makes 2-pt shot from 2 ft (assist by D. DeRozan)
6:26.0,Houston full timeout,,14-14,,
6:13.0,D. Howard misses 2-pt shot from 6 ft (block by J. Valanciunas),,14-14,,
6:13.0,,,14-14,,Defensive rebound by J. Valanciunas
6:13.0,,,14-14,,Turnover by J. Johnson (lost ball)
6:01.0,P. Beverley makes 3-pt shot from 23 ft (assist by D. Motiejunas),3,17-14,,
5:37.0,,,17-16,2,J. Valanciunas makes 2-pt shot from 8 ft (assist by D. DeRozan)
5:25.0,P. Beverley misses 2-pt shot from 3 ft,,17-16,,
5:24.0,,,17-16,,Defensive rebound by J. Valanciunas
5:08.0,,,17-19,3,J. Johnson makes 3-pt shot from 24 ft (assist by K. Lowry)
4:54.0,T. Ariza misses 3-pt shot from 24 ft,,17-19,,
4:54.0,,,17-19,,Defensive rebound by J. Johnson
4:46.0,,,17-21,2,L. Scola makes 2-pt shot from 1 ft (assist by K. Lowry)
4:27.0,D. Motiejunas misses 2-pt shot from 2 ft,,17-21,,
4:26.0,Offensive rebound by D. Howard,,17-21,,
4:25.0,Shooting foul by J. Valanciunas (drawn by D. Howard),,17-21,,
4:25.0,D. Howard misses free throw 1 of 2,,17-21,,
4:25.0,Offensive rebound by Team,,17-21,,
4:25.0,J. Terry enters the game for P. Beverley,,17-21,,
4:25.0,M. Harrell enters the game for D. Motiejunas,,17-21,,
4:25.0,,,17-21,,B. Biyombo enters the game for J. Valanciunas
4:25.0,D. Howard makes free throw 2 of 2,1,18-21,,
4:09.0,,,18-21,,L. Scola misses 2-pt shot from 7 ft
4:08.0,Defensive rebound by D. Howard,,18-21,,
3:57.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,20-21,,
3:34.0,,,20-23,2,L. Scola makes 2-pt shot from 6 ft
3:19.0,T. Ariza misses 3-pt shot from 22 ft,,20-23,,
3:19.0,,,20-23,,Defensive rebound by B. Biyombo
